DatasetName,NOP58_C(109) NOP58_C(509) NOP58_C(514) NOP58_S(105) NOP58_S(109) NOP58_S(304) NOP58_S(351) NOP58_S(407) NOP58_S(434) NOP58_S(440) NOP58_S(475) NOP58_S(483) NOP58_S(494) NOP58_S(497) NOP58_S(502) NOP58_S(507) NOP58_S(509) NOP58_S(514) NOP58_T(34) NOP58_T(350) NOP58_T(435) NOP58_T(438) NOP58_T(482) NOP58_T(508),NOP58_T(510)
RM2024_Intensity D4-1___3,0.5153906873324706,
RB2022_4_PostEndurance,,
FSO2013_Ratio M/L normalized Rep3,0.5301532896966964,
SR2019_MCF7_Biol_repl_3,0.5299648918722176,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),0.5034558372638521,
SR2019_LM2_Biol_repl_1,,
RCJD2014_15min_1,0.5151110426356601,
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,
CK2022_7 16-1,0.5286961296410686,
NJH2025_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_C,0.5341398692386722,
RKK2015_TNF-α/basal,0.528375892411737,
JJ2018_Ratio H/M normalized pP2,0.5211598115911563,
NJH2025_Sub12_MICT_Pre,,
NJH2025_Sub7_MICT_Post,,
DL2023_control-3,0.5168522826361794,
ZX2022_Control Replicate 2,0.5328139427730848,
HS2024_6_B_T3,0.5221577795518655,
JW2015_Intensity pre1,,
IMM2018_normalised rep. int. Empty-3,0.5292699865089925,
AMK2021_30R_p5,,
FSO2013_Ratio M/L normalized Rep1,0.5110001025914142,
SR2019_MDAMB231_Biol_repl_4,0.524005757327295,
GF2025_P2_Sph,0.502453431055768,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,
NJH2025_Sub13_HIIT_Mid,,
CP2009_Ratio M/L,,
NJH2025_Sub7_HIIT_Post,,
KBE2022_Log2_Ex_44_T,0.5404378811372962,
DB2022_Intensity L2,,
TM2022_mock.4h.C,,
AST2020_anti-CD3.2,0.5301940987486464,
CW2012_10 µM Erl/control Experiment 1 Replicate B,,
HS2024_7_B_N1,0.5140376702911124,
FSO2013_Ratio M/L normalized Rep1___1,0.5112918976062716,
