DatasetName,HCFC1_M(2020) HCFC1_S(1136) HCFC1_S(1152) HCFC1_S(1177) HCFC1_S(1205) HCFC1_S(1222) HCFC1_S(1224) HCFC1_S(1438) HCFC1_S(1497) HCFC1_S(1507) HCFC1_S(1516) HCFC1_S(1882) HCFC1_S(2015) HCFC1_S(2020) HCFC1_S(2063) HCFC1_S(2064) HCFC1_S(215) HCFC1_S(411) HCFC1_S(507) HCFC1_S(529) HCFC1_S(594) HCFC1_S(597) HCFC1_S(598) HCFC1_S(6) HCFC1_S(666) HCFC1_S(685) HCFC1_S(793) HCFC1_S(794) HCFC1_T(1485) HCFC1_T(1486) HCFC1_T(1491) HCFC1_T(410) HCFC1_T(413),HCFC1_S(1204) HCFC1_S(1221) HCFC1_S(1482) HCFC1_S(1838) HCFC1_S(1946) HCFC1_S(2019) HCFC1_S(3) HCFC1_S(419) HCFC1_S(601) HCFC1_S(665) HCFC1_S(669) HCFC1_S(757) HCFC1_T(498)
RM2024_Intensity D4-1___3,,
RB2022_4_PostEndurance,0.55737455326931,
FSO2013_Ratio M/L normalized Rep3,0.5469221906155761,
SR2019_MCF7_Biol_repl_3,,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),,
SR2019_LM2_Biol_repl_1,,
RCJD2014_15min_1,,
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,
CK2022_7 16-1,0.5595042418010783,
NJH2025_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_C,0.5602808295179028,
RKK2015_TNF-α/basal,,
JJ2018_Ratio H/M normalized pP2,,
NJH2025_Sub12_MICT_Pre,,
NJH2025_Sub7_MICT_Post,,
DL2023_control-3,,
ZX2022_Control Replicate 2,0.5470616683012555,0.399293087543198
HS2024_6_B_T3,,
JW2015_Intensity pre1,,
IMM2018_normalised rep. int. Empty-3,,
AMK2021_30R_p5,,
FSO2013_Ratio M/L normalized Rep1,0.5645363430535106,
SR2019_MDAMB231_Biol_repl_4,,
GF2025_P2_Sph,0.5606751812620603,0.3951816408147055
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,
NJH2025_Sub13_HIIT_Mid,,
CP2009_Ratio M/L,,
NJH2025_Sub7_HIIT_Post,,
KBE2022_Log2_Ex_44_T,0.5615486385939474,0.398171857423932
DB2022_Intensity L2,,
TM2022_mock.4h.C,,
AST2020_anti-CD3.2,0.5606924322069515,
CW2012_10 µM Erl/control Experiment 1 Replicate B,,
HS2024_7_B_N1,,
FSO2013_Ratio M/L normalized Rep1___1,0.5644856453931698,
SAS2015_AZD/DMSO_Exp3,,
RM2024_Intensity D0-2___3,,
RM2024_Intensity D6-1,,
RB2022_8_RecoverySprint,0.5622574771160685,0.4031106882076928
RB2022_5_PreEndurance,,
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,,
EP2017_Untreated R#4 normalized log2 ratio,0.5408813176042325,
WZ2023_Pu_010_30min,0.5796173126972435,0.3955887400630282
AS2011_Ratio H/L Proteins RNAi_2,,
RB2022_4_PreStrength,0.5581189951472765,
NJH2024_Sub4_MICT_Post,,
AH2018_LFQ_M_1_X,0.5740423491004106,0.4000680053546258
RB2022_8_RecoveryEndurance,0.5599333491939092,0.39725706198018046
KBE2022_Log2_Ex_14_U,0.5633828669961265,0.39779661754547413
FSO2013_Ratio M/L normalized Rep3___3,,
AH2018_TMTMS3_1_C,0.5541124701174834,
JJ2018_Ratio H/L normalized___1,,
ZQ2022_C2,,
RB2022_5_PreSprint,0.5608875493676505,
PG2020_Intensity 8h_C,0.5638542135730475,
AH2018_SILAC_MR_2_N,0.5715169801944471,0.40625115534395373
MV2014_Ratio M/L normalized A1___2 (2 min),,
TM2022_S2.8h.B,,
MV2014_Ratio M/H normalized B3___1 (30 min),,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,,
RM2024_Intensity D6-1___2,,
NJH2025_Sub7_MICT_Mid,,
LY2019_P1+,0.572804759659496,
AS2011_Ratio H/L Proteins Inhi_2,,
BS2014_Log2(Ratio H/L normalized),,
UK2020_HCM_2,0.5525663217890835,
FSO2013_Ratio H/L normalized Rep2___2,,
EP2017_Pervanadate R#3 normalized log2 ratio,0.5669842262793005,
RM2024_Intensity D4-3___3,,
RB2022_5_PreStrength,0.562332065769853,
NJH2024_Sub4_MICT_Mid,,
TM2022_S2.4h.A,,
RB2022_5_PostStrength,0.5559822647928041,
GF2025_P6_Sph,0.5595208001768632,0.40363500048265444
RB2022_2_PreSprint,,0.3884820397947655
ZX2022_CB treated Replicate 3,0.5452754897762291,0.39903772113707675
RM2024_Intensity D6-2___3,,
WZ2023_Pe_025_10min,0.5794917994712323,0.39220577156572933
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,
AST2020_anti-CD3+PDL2.1,0.5607483927778939,
KBE2022_Log2_Ex_34_U,0.5610664274395042,0.3958552079084112
WZ2023_Pu_005_10min,0.5825821601458121,0.39838440264111247
AS2011_Ratio H/L RNAi_2_1,,
NJH2024_Sub9_HIIT_Mid,,
CK2022_9 40-1,0.5564087260076505,
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,,
LG2023_GSK3α-1_intensity,0.5557348775793648,
WZ2023_Pu_025_30min,0.5802881330856205,0.39390409452879604
AH2018_SILAC_MR_2_X,0.5711100424896502,0.3942924385037886
HS2024_4_PD_T2,,
NJH2024_Sub4_HIIT_Pre,,
RB2022_2_RecoverySprint,,0.40204147288844366
AS2011_Ratio H/L Protein RNAi_1,,
RM2024_Intensity D2-1___2,,
CR2017_Ratio Replicate 1.4,0.5439850771158444,
FR2021_Norm.Intensity.B,,
RM2024_Intensity D6-2___1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,,
RB2022_5_PostSprint,0.5523431411076687,
EJN2021_3_Rest_Basal,0.5600523294808052,
CR2017_Ratio Replicate 1.3,0.54778256380138,0.39511126002013275
AS2011_Ratio H/L Normalized by Protein RNAi_2,,
KTGR2014_Ratio-Rapa 7 mins,,
AMK2021_120R_p1,,
AH2018_SILAC_3_X,0.5609922055989595,
JJ2018_Ratio M/L normalized pP3,,
AH2018_SILAC_M_2_N,0.5623754658489069,
HS2024_7_PD_T2,,
FSO2013_Ratio H/L normalized Rep1___1,0.5585699171127119,
AH2018_LFQ_1_C,0.5691049129508359,
AS2011_Ratio H/L Normalized Inhi_1_3,,
KBE2022_Log2_Ex_28_T,0.5602265437507028,0.3973128542344443
HS2024_3_B_N1,,
RM2024_Intensity D4-2___3,,
WZ2023_Pe_025_30min,0.5850545378717912,0.39844781870886004
CK2022_11 40-1,0.5563184630718234,
CW2012_10 µM Erl/control Experiment 3 Replicate B,,
AH2018_SILAC_2_X,0.5619756694137314,
MV2014_Ratio H/M normalized A2___2 (2 min),,
AS2011_Ratio H/L RNAi_1_2,,
KS2014_Intensity E15_1,0.566647542494493,
FSO2013_Ratio H/L normalized Rep2,0.5567198035294032,
WZ2023_Pu_005_20min,0.5772290860463968,0.3914098050784828
NJH2024_Sub10_MICT_Post,,
RM2024_Intensity D2-3___1,,
CR2017_Ratio Replicate 1.5,0.5442071619170452,
CW2012_10 µM Gef/control Experiment 2 Replicate B,,
HS2024_7_B_T3,,
CKC2017_log2 normalized phosphoproteomics_60min_rep#1,,
AS2011_Ratio H/L RNAi_1,,
JC2019_Normalised_intensity_A_TiOx_Testis_sample_URO0059,,
AH2018_LFQ_M_1_C,0.5702126001504904,0.40071637274562255
NJH2025_Sub7_MICT_Pre,,
SR2019_SKBR3_Biol_repl_2,,
HS2024_9_B_T2,,
KTGR2014_Ratio-AA 7 mins,,
MV2014_Ratio L/H normalized B3___3 (5 min),,
HS2024_3_PD_T1,,
FSO2013_Ratio M/L normalized Rep3___2,,
SR2019_BT549_Biol_repl_3,,
RCJD2014_20min_mean,,
FR2021_Norm.Intensity.H,,
RB2022_2_PreStrength,,0.4024433948066118
DB2022_LFQ intensity L1.2,,
HS2024_4_B_N1,,
KTGR2014_Ratio H M Normalized Rep2_Rapamycin_0_15,,
CK2022_1 16-1,0.5600004172133182,
CK2022_1 200-1,0.5512368574594793,0.3935502087489825
PG2020_Intensity Mock_10h_D,0.5493774783183017,
SR2019_MCF10A_Biol_repl_2,,
JJ2018_Ratio M/L normalized pP2___2,,
HS2024_6_PD_T1,,
JVO2010_Ratio M/L Normalized by Protein ThymON - Log2 G1/S,,
RB2022_6_RecoveryEndurance,,0.4005446806246932
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3b,,
EP2017_Mitotic R#2 normalized log2 ratio,0.5698517093730423,
RCJD2014_5min_1,,
RM2024_Intensity D4-1___1,,
DL2023_24h-1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2b,,
TM2022_S2.4h.C,,
SAS2015_PLX/AZD_Exp2,,
CR2017_Ratio Replicate 3.3,0.5498185007783198,0.4014723547206135
PG2020_Intensity 2h_C,0.5607415590976892,
VOI2024_Veh2 di,,
ZX2022_CB treated Replicate 2,0.5453213418949853,0.3969599185944204
KBE2022_Log2_Ex_8_T,0.5627285963938622,0.39543869430040185
NJH2025_Sub10_MICT_Post,,
HS2024_6_I_T3,,
RN2012_L11,,
AS2011_Ratio H/L Normalized Inhi_2_2,,
IMM2018_normalised rep. int. Empty-1,,
HS2024_5_PD_T1,,
AH2018_LFQ_M_2_C,0.5720088483738903,
CK2022_3 40-1,0.5581563622823319,
RBK2021_1260T Early,0.5654602604812365,
NJH2024_Sub4_HIIT_Post,,
HS2024_4_I_T1,,
YA2020_Reporter_intensity_Cancer_No.5,0.5625048657396906,
HH2022_Reporter intensity 8,0.5621979005376541,
ZQ2022_N2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1b,,
FSO2013_Ratio H/L normalized Rep3___3,,
AH2018_TMTMS3_2_N,0.559171248268779,0.38454565824354847
EJN2021_5_Rest_Basal,0.5573121788841452,
NJH2025_Sub2_HIIT_Post,,
NJH2025_Sub1_MICT_Post,,
HS2024_9_B_T1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1a,,
JAW2011_Ratio H/L LS2_1,,
JVO2010_Log2 Ratio H/M Normalized aphidicolin,0.5611475564519846,
NJH2024_Sub6_HIIT_Pre,,
AH2018_SILAC_3_N,0.5602402843884811,
YA2020_Reporter_intensity_Normal_No.1,0.5604349916919081,
HS2024_3_B_T1,,
JJ2018_Ratio H/L normalized___2,,
RM2024_Intensity D0-2,,
MV2014_Ratio M/L normalized B1___2 (5 min),,
RB2022_7_PostStrength,0.5603991333531299,
RB2022_1_PostEndurance,,0.4112010754701958
CR2017_Ratio Replicate 3,0.5640538021810245,0.4146974980522635
SR2019_Hs578T_Biol_repl_3,,
MV2014_Ratio L/H normalized B3___1 (5 min),,
RBK2021_1244T Early,0.5689487618987998,
RB2022_3_PostSprint,0.5555252476888792,0.4005430351042841
NJH2024_Sub13_MICT_Mid,,
KTGR2014_Ratio-AA 2 mins,,
GF2025_P7_Sph,0.5601048338596966,0.4265717491827913
HS2024_8_I_T3,,
CF2017_EOC 3,0.5562107362236782,
LATM2013_Normalized Log2 Ratio (Medium/Light) Forward,,
HS2024_6_PD_T3,,
DL2023_12h-2,,
RM2024_Intensity D6-3___1,,
FS2019_Ctr1,0.5613830431156407,
WZ2023_Pu_010_20min,0.581905041802977,0.39962455652297774
AS2011_Ratio H/L_3,,
CK2022_1 40-1,0.5581644804162685,
RNJ2017_Log2_ratio_Tsup:Trest_D1,,
CK2022_8 16-1,0.5597811034004474,
KS2014_Intensity N3,0.5844298547584165,0.40982574497146756
RB2022_4_RecoveryEndurance,0.5607905224594946,
RB2022_5_RecoveryEndurance,0.558918840566378,
JAW2011_Ratio H/L LS1a_2,,
NJH2024_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_N,0.5604085850241981,
FSO2013_Ratio H/M normalized Rep2,0.5549609006635167,
RAM2015_Log2 A,0.5565948962165406,
HS2024_8_PD_T1,,
JJ2018_Ratio H/L normalized pP2,,
CF2017_OSE 27,0.559987173646036,
KS2014_Intensity E15_2,0.5682455539948783,0.3903950193364351
BS2014_Log2(Ratio H/L protein),,
PG2020_Intensity 8h_A,0.5634083865986317,
HS2024_7_I_T1,,
VOI2024_Veh3 di,,
RKK2015_TNF-α+SC-514/basal,,
SR2019_JIMT1_Biol_repl_1,,
HW2015_Ratio H/L normalized Exp2,,
HS2024_3_I_N1,,
AH2018_SILAC_M_3_X,0.5613850108072248,
NJH2024_Sub9_HIIT_Post,,
AS2011_Ratio H/L RNAi_1_3,,
GRW2016_Ratio H/L normalized SILAC 1___2,,
NJH2025_Sub1_HIIT_Pre,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-2,,
NJH2024_Sub4_HIIT_Mid,,
VOI2024_0.1uM 2 h_1 di,,
KBE2022_Log2_Ex_6_T,0.5612354082648643,0.3982584562137046
RM2024_Intensity D4-3___1,,
