DatasetName,MYEF2_S(391) MYEF2_S(431) MYEF2_S(520) MYEF2_S(571) MYEF2_S(6),MYEF2_S(17) MYEF2_T(13)
RM2024_Intensity D4-1___3,,
RB2022_4_PostEndurance,,
FSO2013_Ratio M/L normalized Rep3,0.5022912729047639,0.6188565750211624
SR2019_MCF7_Biol_repl_3,,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),,
SR2019_LM2_Biol_repl_1,,
RCJD2014_15min_1,,
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,
CK2022_7 16-1,,0.681106153893091
NJH2025_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_C,,0.6787778809004947
RKK2015_TNF-α/basal,,
JJ2018_Ratio H/M normalized pP2,,
NJH2025_Sub12_MICT_Pre,,
NJH2025_Sub7_MICT_Post,,
DL2023_control-3,,
ZX2022_Control Replicate 2,,0.6183165499300779
HS2024_6_B_T3,,
JW2015_Intensity pre1,,
IMM2018_normalised rep. int. Empty-3,,
AMK2021_30R_p5,,
FSO2013_Ratio M/L normalized Rep1,0.5032356223598862,0.5757502083026426
SR2019_MDAMB231_Biol_repl_4,,
GF2025_P2_Sph,,0.6100065394926154
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,
NJH2025_Sub13_HIIT_Mid,,
CP2009_Ratio M/L,,
NJH2025_Sub7_HIIT_Post,,
KBE2022_Log2_Ex_44_T,,0.6311303890187584
DB2022_Intensity L2,,
TM2022_mock.4h.C,,
AST2020_anti-CD3.2,,0.6021995175895514
CW2012_10 µM Erl/control Experiment 1 Replicate B,,
HS2024_7_B_N1,,
FSO2013_Ratio M/L normalized Rep1___1,0.5033899256560848,0.5769461980218205
SAS2015_AZD/DMSO_Exp3,,
RM2024_Intensity D0-2___3,,
RM2024_Intensity D6-1,,
RB2022_8_RecoverySprint,,
RB2022_5_PreEndurance,,
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,,0.6557112963623357
EP2017_Untreated R#4 normalized log2 ratio,,
WZ2023_Pu_010_30min,,0.7546449365885015
AS2011_Ratio H/L Proteins RNAi_2,,
RB2022_4_PreStrength,,
NJH2024_Sub4_MICT_Post,,
AH2018_LFQ_M_1_X,,0.7067203709524729
RB2022_8_RecoveryEndurance,,
KBE2022_Log2_Ex_14_U,,0.685354553548937
FSO2013_Ratio M/L normalized Rep3___3,,
AH2018_TMTMS3_1_C,,0.666188620438434
JJ2018_Ratio H/L normalized___1,,
ZQ2022_C2,,
RB2022_5_PreSprint,,
PG2020_Intensity 8h_C,,
AH2018_SILAC_MR_2_N,,0.7092234446188161
MV2014_Ratio M/L normalized A1___2 (2 min),,
TM2022_S2.8h.B,,
MV2014_Ratio M/H normalized B3___1 (30 min),,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,,
RM2024_Intensity D6-1___2,,
NJH2025_Sub7_MICT_Mid,,
LY2019_P1+,0.5202274006072524,0.6211845285432372
AS2011_Ratio H/L Proteins Inhi_2,,
BS2014_Log2(Ratio H/L normalized),,
UK2020_HCM_2,,0.6314202844268564
FSO2013_Ratio H/L normalized Rep2___2,,
EP2017_Pervanadate R#3 normalized log2 ratio,,
RM2024_Intensity D4-3___3,,
RB2022_5_PreStrength,,
NJH2024_Sub4_MICT_Mid,,
TM2022_S2.4h.A,,
RB2022_5_PostStrength,,
GF2025_P6_Sph,,0.5253686024503568
RB2022_2_PreSprint,,
ZX2022_CB treated Replicate 3,,0.6194491742351513
RM2024_Intensity D6-2___3,,
WZ2023_Pe_025_10min,,0.7583979358619353
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,
AST2020_anti-CD3+PDL2.1,,0.5992379012134894
KBE2022_Log2_Ex_34_U,,0.629587030006425
WZ2023_Pu_005_10min,,0.7549163797748375
AS2011_Ratio H/L RNAi_2_1,,
NJH2024_Sub9_HIIT_Mid,,
CK2022_9 40-1,,0.6609114609929936
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,,
LG2023_GSK3α-1_intensity,,
WZ2023_Pu_025_30min,,0.7529219178988623
AH2018_SILAC_MR_2_X,,0.6987870216490952
HS2024_4_PD_T2,,
NJH2024_Sub4_HIIT_Pre,,
RB2022_2_RecoverySprint,,
AS2011_Ratio H/L Protein RNAi_1,,
RM2024_Intensity D2-1___2,,
CR2017_Ratio Replicate 1.4,,0.5488740833894237
FR2021_Norm.Intensity.B,,
RM2024_Intensity D6-2___1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,,
RB2022_5_PostSprint,,
EJN2021_3_Rest_Basal,,0.561671110982704
CR2017_Ratio Replicate 1.3,,
AS2011_Ratio H/L Normalized by Protein RNAi_2,,
KTGR2014_Ratio-Rapa 7 mins,,
AMK2021_120R_p1,,
AH2018_SILAC_3_X,,0.6599981242756672
JJ2018_Ratio M/L normalized pP3,,
AH2018_SILAC_M_2_N,,0.6609426576101274
HS2024_7_PD_T2,,
FSO2013_Ratio H/L normalized Rep1___1,0.5172298735449189,0.556081254079273
AH2018_LFQ_1_C,,0.6943870662694007
AS2011_Ratio H/L Normalized Inhi_1_3,,
KBE2022_Log2_Ex_28_T,,0.5950255711735674
HS2024_3_B_N1,,
RM2024_Intensity D4-2___3,,
WZ2023_Pe_025_30min,,0.7568758040832799
CK2022_11 40-1,,0.6614145165764335
CW2012_10 µM Erl/control Experiment 3 Replicate B,,
AH2018_SILAC_2_X,,0.6583546244128865
MV2014_Ratio H/M normalized A2___2 (2 min),,
AS2011_Ratio H/L RNAi_1_2,,
KS2014_Intensity E15_1,,
FSO2013_Ratio H/L normalized Rep2,0.5084365522890986,0.5917182871967139
WZ2023_Pu_005_20min,,0.7596112441650769
NJH2024_Sub10_MICT_Post,,
RM2024_Intensity D2-3___1,,
CR2017_Ratio Replicate 1.5,,0.5486549079983448
CW2012_10 µM Gef/control Experiment 2 Replicate B,,
HS2024_7_B_T3,,
CKC2017_log2 normalized phosphoproteomics_60min_rep#1,,0.6557378512149787
AS2011_Ratio H/L RNAi_1,,
JC2019_Normalised_intensity_A_TiOx_Testis_sample_URO0059,,
AH2018_LFQ_M_1_C,,0.7026878719043634
NJH2025_Sub7_MICT_Pre,,
SR2019_SKBR3_Biol_repl_2,,
HS2024_9_B_T2,,
KTGR2014_Ratio-AA 7 mins,,
MV2014_Ratio L/H normalized B3___3 (5 min),,
HS2024_3_PD_T1,,
FSO2013_Ratio M/L normalized Rep3___2,,
SR2019_BT549_Biol_repl_3,,
RCJD2014_20min_mean,,
FR2021_Norm.Intensity.H,,
RB2022_2_PreStrength,,
DB2022_LFQ intensity L1.2,,
HS2024_4_B_N1,,
KTGR2014_Ratio H M Normalized Rep2_Rapamycin_0_15,,
CK2022_1 16-1,,0.6006208934994821
CK2022_1 200-1,,0.6575736974689199
PG2020_Intensity Mock_10h_D,,
SR2019_MCF10A_Biol_repl_2,,
JJ2018_Ratio M/L normalized pP2___2,,
HS2024_6_PD_T1,,
JVO2010_Ratio M/L Normalized by Protein ThymON - Log2 G1/S,,
RB2022_6_RecoveryEndurance,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3b,,
EP2017_Mitotic R#2 normalized log2 ratio,,
RCJD2014_5min_1,,
RM2024_Intensity D4-1___1,,
DL2023_24h-1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2b,,
TM2022_S2.4h.C,,
SAS2015_PLX/AZD_Exp2,,
CR2017_Ratio Replicate 3.3,,
PG2020_Intensity 2h_C,,
VOI2024_Veh2 di,,
ZX2022_CB treated Replicate 2,,0.6148750210236995
KBE2022_Log2_Ex_8_T,,0.6161811567557172
NJH2025_Sub10_MICT_Post,,
HS2024_6_I_T3,,
RN2012_L11,0.5199116518878405,0.5782656527848726
AS2011_Ratio H/L Normalized Inhi_2_2,,
IMM2018_normalised rep. int. Empty-1,,
HS2024_5_PD_T1,,
AH2018_LFQ_M_2_C,,0.6927248983541837
CK2022_3 40-1,,0.6384372778703962
RBK2021_1260T Early,,
NJH2024_Sub4_HIIT_Post,,
HS2024_4_I_T1,,
YA2020_Reporter_intensity_Cancer_No.5,,0.5992964749684075
HH2022_Reporter intensity 8,,
ZQ2022_N2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1b,,
FSO2013_Ratio H/L normalized Rep3___3,,
AH2018_TMTMS3_2_N,,0.5746765031168644
EJN2021_5_Rest_Basal,,0.6202079488585666
NJH2025_Sub2_HIIT_Post,,
NJH2025_Sub1_MICT_Post,,
HS2024_9_B_T1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1a,,
JAW2011_Ratio H/L LS2_1,,
JVO2010_Log2 Ratio H/M Normalized aphidicolin,,
NJH2024_Sub6_HIIT_Pre,,
AH2018_SILAC_3_N,,0.6628584710651035
YA2020_Reporter_intensity_Normal_No.1,,0.6131542279237623
HS2024_3_B_T1,,
JJ2018_Ratio H/L normalized___2,,
RM2024_Intensity D0-2,,
MV2014_Ratio M/L normalized B1___2 (5 min),,
RB2022_7_PostStrength,,
RB2022_1_PostEndurance,,
CR2017_Ratio Replicate 3,,0.5938815666225659
SR2019_Hs578T_Biol_repl_3,,
MV2014_Ratio L/H normalized B3___1 (5 min),,
RBK2021_1244T Early,,
RB2022_3_PostSprint,,
NJH2024_Sub13_MICT_Mid,,
KTGR2014_Ratio-AA 2 mins,,
GF2025_P7_Sph,,0.5826397114717008
HS2024_8_I_T3,,
CF2017_EOC 3,,0.6238789068793718
LATM2013_Normalized Log2 Ratio (Medium/Light) Forward,,
HS2024_6_PD_T3,,
DL2023_12h-2,,
RM2024_Intensity D6-3___1,,
FS2019_Ctr1,,
WZ2023_Pu_010_20min,,0.7522508377044508
AS2011_Ratio H/L_3,,
CK2022_1 40-1,,0.6371456113038108
RNJ2017_Log2_ratio_Tsup:Trest_D1,,
CK2022_8 16-1,,0.6781405319089897
KS2014_Intensity N3,,
RB2022_4_RecoveryEndurance,,
RB2022_5_RecoveryEndurance,,
JAW2011_Ratio H/L LS1a_2,,
NJH2024_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_N,,0.6743200793032273
FSO2013_Ratio H/M normalized Rep2,0.4842504069945086,0.5567932224895622
RAM2015_Log2 A,,
HS2024_8_PD_T1,,
JJ2018_Ratio H/L normalized pP2,,
CF2017_OSE 27,,0.7068297842879979
KS2014_Intensity E15_2,,
BS2014_Log2(Ratio H/L protein),,
PG2020_Intensity 8h_A,,
HS2024_7_I_T1,,
VOI2024_Veh3 di,,
RKK2015_TNF-α+SC-514/basal,,
SR2019_JIMT1_Biol_repl_1,,
HW2015_Ratio H/L normalized Exp2,,
HS2024_3_I_N1,,
AH2018_SILAC_M_3_X,,0.6607605341075544
NJH2024_Sub9_HIIT_Post,,
AS2011_Ratio H/L RNAi_1_3,,
GRW2016_Ratio H/L normalized SILAC 1___2,,
NJH2025_Sub1_HIIT_Pre,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-2,,
NJH2024_Sub4_HIIT_Mid,,
VOI2024_0.1uM 2 h_1 di,,
KBE2022_Log2_Ex_6_T,,0.5651181356481261
RM2024_Intensity D4-3___1,,
AH2018_LFQ_4_X,,0.6999242430508127
AS2011_Inhi 2_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,
RB2022_8_PostEndurance,,
NJH2025_Sub4_MICT_Mid,,
YP2020_Intensity C30_R1_mult_log2,,
AST2020_anti-CD3.1,,0.5984943757453645
NJH2025_Sub4_HIIT_Post,,
EP2017_Untreated R#4 log2 ratio,,
HS2024_6_B_N1,,
KBE2022_Log2_Ex_27_T,,0.6549818801418544
CW2012_10 µM Gef/control Experiment 1 Replicate A,,
VOI2024_0.1uM 24 h_1 mono,,
AMK2021_120R_p5,,
AS2011_Ratio H/L Proteins,,
NJH2024_Sub7_HIIT_Post,,
NJH2015_TMT Subject 1 127_N/126 (Exercise/Basal) (normalized),,
AS2011_Ratio H/L RNAi_2_2,,
RB2022_7_RecoveryStrength,,
AH2018_SILAC_IT_3_X,,0.6704100149221982
JAW2011_Ratio H/L,,
PG2020_Intensity 10h_C,,
FSO2013_Ratio M/L normalized Rep2,0.504224159511678,0.5766385587469156
CP2009_Ratio H/M Normalized (50 nM dasatinib vs 5 nM dasatinib),,
HH2022_Reporter intensity 5,,
SR2019_HCC1954_Biol_repl_2,,
CK2022_14 40-1,,0.682527201710261
RB2022_6_PreSprint,,
NJH2025_Sub12_MICT_Mid,,
PG2020_Intensity 4h_D,,
NJH2025_Sub2_MICT_Post,,
AH2018_LFQ_4_C,,0.6951569386808212
DL2023_control-1,,
AR2021_ALG 10 μM,,0.5737883044349976
JAW2011_Ratio H/L LS2_2,,
AH2018_SILAC_IT_3_N,,0.673721977051536
EJN2021_4_Rest_Ins,,0.5960049089744405
RN2012_H05,,0.6245265595004867
NJH2024_Sub7_HIIT_Mid,,
GF2025_P2_Adh,,0.5238634951751047
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4b,,
RB2022_8_PostSprint,,
EJN2021_1_Rest_Ins,,0.6023679396288435
HH2022_Reporter intensity 3,0.50503248927846,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4b,,
AH2018_SILAC_IT_1_C,,0.6838793952267574
JW2021_After_3,,
GF2025_P8_Sph,,0.6788125708617634
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4,,
JJ2018_Ratio M/L normalized pP2___1,,
AH2018_SILAC_2_N,,0.6610059317574919
CK2022_11 200-1,,0.6653043500600482
CK2022_12 200-1,,0.661490894855119
AS2011_Ratio H/L Normalized by Protein RNAi_1,,
RM2024_Intensity D2-1___3,,
NJH2024_Sub1_MICT_Pre,,
HH2022_Reporter intensity 9,,
WZ2023_Su_010_20min,,0.7572058799214803
AH2018_TMTMS2_2_N,0.5038559145056581,0.6713236891990433
NJH2024_Sub13_MICT_Pre,,
KBE2022_Log2_Ex_41_U,,0.6267746831384118
NJH2015_TMT Subject 3 129_N/128_C (Exercise/Basal) (normalized),,
AH2018_TMTMS3_Pool,,0.5851719601195766
KS2014_Intensity N4,,
NJH2024_Sub1_HIIT_Post,,
MM2018_Ratio H/L replicate2,,0.5724296417483976
RM2024_Intensity D4-2___2,,
NJH2024_Sub13_HIIT_Pre,,
CF2017_OSE 26,,0.6618975764770144
CK2022_14 200-1,,0.6980017195634726
SR2019_Hs578T_Biol_repl_1,,
RB2022_7_PostSprint,,
TM2022_mock.4h.A,,
NJH2025_Sub12_HIIT_Pre,,
AH2018_TMTMS3_1_N,,0.6004842187312361
AST2020_anti-CD3+PDL2.2,,0.5997044312668204
PG2020_Intensity Mock_10h_A,,
JW2021_After_2,,
NJH2024_Sub2_MICT_Post,,
EJN2021_2_Rest_Ins,,0.5679585367059041
SR2019_LM2_Biol_repl_4,,
CP2009_Ratio H/M,,
JAW2011_Ratio H/L HS,,
CK2022_13 16-1,,0.6560893508109348
GF2025_P1_Adh,,0.5005638575862831
GF2025_P1_Sph,,0.5467219141358683
EJN2021_5_Ex_Basal,,0.612236866341949
HS2024_7_I_T3,,
JJ2018_Ratio H/L normalized pP2___2,,
WZ2023_Pe_010_10min,,0.7535659170248903
CF2017_EOC 1,,0.6994115277233088
CK2022_3 200-1,,0.662671540461679
AH2018_LFQ_IT_3_C,,0.6638770662097583
SR2019_Hs578T_Biol_repl_2,,
NJH2024_Sub12_HIIT_Post,,
JJ2018_Ratio H/L normalized pP1___2,,
MV2014_Ratio H/L normalized A1___2 (10 min),,
NJH2024_Sub10_MICT_Mid,,
NJH2024_Sub13_MICT_Post,,
BS2014_Log2(Ratio H/L normalized Rep_1),,
RB2022_3_RecoverySprint,,
NJH2025_Sub1_HIIT_Mid,,
RCJD2014_20min_2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2,,
HS2024_6_PD_T2,,
HS2024_5_B_T1,,
CW2012_10 µM Gef/control Experiment 2 Replicate A,,
DL2023_12h-3,,
SR2019_MDAMB231_Biol_repl_2,,
HS2024_3_B_T2,,
RB2022_6_PreStrength,,
CK2022_2 40-1,,0.635683361621918
RB2022_1_PostSprint,,
CK2022_4 200-1,,0.662998555079601
JW2021_Before_2,,
TM2022_S2.12h.A,,
MV2014_Ratio L/M normalized B2___2 (30 min),,
CK2022_5 16-1,,0.6806045248046424
AR2021_ALG 1 μM,,0.587301875763963
HS2024_4_B_T1,,
MV2014_Ratio M/H normalized A3___1 (10 min),,
SR2019_BT549_Biol_repl_4,,
EJN2021_1_Rest_Basal,,0.5942270429393145
NJH2025_Sub8_MICT_Post,,
RCJD2014_5min_3,,
CR2017_Ratio Replicate 3.2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as3a,,
GF2025_P7_Adh,,0.654616361552262
CK2022_9 16-1,,0.612551865526024
NJH2024_Sub6_HIIT_Post,,
AMK2021_30R_p3,,
AS2011_Ratio H/L Normalized RNAi_2,,
RM2024_Intensity D0-2___2,,
KS2014_Intensity pY_N4,,
CK2022_13 200-1,,0.6988622196157142
AS2011_Ratio H/L Normalized_2,,
PG2020_Intensity 6h_D,,
CK2022_16 16-1,,0.6564953883672355
FS2019_db/db3,,
CK2022_15 40-1,,0.6836653706844562
NJH2024_Sub9_MICT_Pre,,
BS2014_Log2(Ratio H/L unmodified peptide),,
WZ2023_Su_005_10min,,0.7513705583014996
RM2009_Ratio M/L (M:15 min timepoint;L:0 min. timepoint),,
KBE2022_Log2_Ex_41_T,,0.621733053556746
AMK2021_Ctrl_p1,,
AH2018_LFQ_IT_3_X,,0.6582286486222887
HS2024_5_PD_T3,,
AH2018_TMTMS3_3_X,,0.5843166770469401
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2,,
KBE2022_Log2_Ex_40_U,,0.6269443504169134
AH2018_LFQ_M_1_N,,0.7086236630284668
KBE2022_Log2_Ex_27_U,,0.6592191482202944
HW2015_Ratio M/L normalized Exp3,,
RKK2015_TNF-α/IKKb(K44M),,
AH2018_SILAC_M_1_N,,0.6745505439206876
HW2015_Ratio M/L normalized Exp1,,
RB2022_5_RecoveryStrength,,
YP2020_Intensity P10_R1_mult_log2,,
RB2022_7_PreStrength,,
YA2020_Reporter_intensity_Normal_No.4,,0.6239492984559585
NJH2025_Sub13_HIIT_Pre,,
PG2020_Intensity CT_D,,
NJH2025_Sub9_MICT_Post,,
VOI2024_Veh1 mono,,
CK2022_12 16-1,,0.6108465322764848
RN2012_L13,,0.6358884504316253
LG2023_Control-1_intensity,,
RM2024_Intensity D6-3___2,,
KBE2022_Log2_Ex_8_U,,0.6095069075109809
SR2019_SKBR3_Biol_repl_3,,
NJH2024_Sub1_MICT_Post,,
HS2024_3_I_T2,,
KTGR2014_Ratio M L Normalized Rep2_Rapamycin_0_15,,
RM2024_Intensity D0-3___3,,
HS2024_6_I_T2,,
CW2012_10 µM Erl/control Experiment 2 Replicate B,,
AS2011_Ratio H/L Protein Inhi_1,,
FSO2013_Ratio H/M normalized Rep2___1,0.48792579094522576,0.5651416770210811
GRW2016_Ratio M/L normalized SILAC 5a___2,,
CK2022_10 40-1,,0.6636669495972549
NJH2024_Sub12_HIIT_Pre,,
NJH2024_Sub8_MICT_Pre,,
RM2024_Intensity D0-1___1,,
LY2019_P3+,0.5271539154872507,0.7854370672713489
HH2022_Reporter intensity 6,,
RB2022_2_RecoveryStrength,,
KTGR2014_Ratio-AA 15 mins,,
