DatasetName,MISP_S(155) MISP_S(156) MISP_S(177) MISP_S(178) MISP_S(208) MISP_S(214) MISP_S(269) MISP_S(284) MISP_S(333) MISP_S(335) MISP_S(344) MISP_S(348) MISP_S(376) MISP_S(391) MISP_S(394) MISP_S(395) MISP_S(397) MISP_S(400) MISP_S(430) MISP_S(449) MISP_S(460) MISP_S(466) MISP_S(468) MISP_S(471) MISP_S(473) MISP_S(479) MISP_S(540) MISP_S(541) MISP_S(543) MISP_S(575) MISP_S(582) MISP_S(586) MISP_S(675) MISP_S(78) MISP_S(84) MISP_T(153) MISP_T(154) MISP_T(157) MISP_T(164) MISP_T(172) MISP_T(179) MISP_T(217) MISP_T(219) MISP_T(224) MISP_T(287) MISP_T(291) MISP_T(333) MISP_T(338) MISP_T(374) MISP_T(377) MISP_T(433) MISP_T(459) MISP_T(464) MISP_T(577) MISP_Y(344) MISP_Y(350) MISP_Y(638) MISP_Y(7),MISP_S(213) MISP_S(474) MISP_S(566) MISP_S(69) MISP_T(160) MISP_T(262)
RM2024_Intensity D4-1___3,,
RB2022_4_PostEndurance,,
FSO2013_Ratio M/L normalized Rep3,0.5561127373097419,
SR2019_MCF7_Biol_repl_3,,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),0.5439375537822818,
SR2019_LM2_Biol_repl_1,,
RCJD2014_15min_1,0.5217297700619982,
AS2011_Ratio H/L Normalized by Proteins Inhi_1,0.5276377440353668,
CK2022_7 16-1,0.5230710692446802,
NJH2025_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_C,0.5206470835477226,
RKK2015_TNF-α/basal,0.5188000040438061,0.3264693314833454
JJ2018_Ratio H/M normalized pP2,0.5246094604935638,
NJH2025_Sub12_MICT_Pre,,
NJH2025_Sub7_MICT_Post,,
DL2023_control-3,,
ZX2022_Control Replicate 2,0.5167240948099265,
HS2024_6_B_T3,0.4975080125411696,
JW2015_Intensity pre1,,
IMM2018_normalised rep. int. Empty-3,0.5276895922603011,
AMK2021_30R_p5,0.5287632800324855,
FSO2013_Ratio M/L normalized Rep1,0.4963486595609689,
SR2019_MDAMB231_Biol_repl_4,,
GF2025_P2_Sph,0.5227263699770159,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,
NJH2025_Sub13_HIIT_Mid,,
CP2009_Ratio M/L,,
NJH2025_Sub7_HIIT_Post,,
KBE2022_Log2_Ex_44_T,,
DB2022_Intensity L2,,
TM2022_mock.4h.C,0.5238363598340866,
AST2020_anti-CD3.2,,
CW2012_10 µM Erl/control Experiment 1 Replicate B,,
HS2024_7_B_N1,0.579875769120848,
FSO2013_Ratio M/L normalized Rep1___1,0.5059075435569004,
SAS2015_AZD/DMSO_Exp3,,
RM2024_Intensity D0-2___3,,
RM2024_Intensity D6-1,,
RB2022_8_RecoverySprint,,
RB2022_5_PreEndurance,,
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,,
EP2017_Untreated R#4 normalized log2 ratio,0.5238957268026236,
WZ2023_Pu_010_30min,,
AS2011_Ratio H/L Proteins RNAi_2,0.5405894961765054,
RB2022_4_PreStrength,,
NJH2024_Sub4_MICT_Post,,
AH2018_LFQ_M_1_X,0.523723124128235,
RB2022_8_RecoveryEndurance,,
KBE2022_Log2_Ex_14_U,,
FSO2013_Ratio M/L normalized Rep3___3,0.5381089713863201,
AH2018_TMTMS3_1_C,0.5241354724467513,
JJ2018_Ratio H/L normalized___1,0.533359527242851,
ZQ2022_C2,,
RB2022_5_PreSprint,,
PG2020_Intensity 8h_C,0.5083816009170542,
AH2018_SILAC_MR_2_N,0.5243230248991443,
MV2014_Ratio M/L normalized A1___2 (2 min),,
TM2022_S2.8h.B,0.523088415137475,
MV2014_Ratio M/H normalized B3___1 (30 min),,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,,
RM2024_Intensity D6-1___2,,
NJH2025_Sub7_MICT_Mid,,
LY2019_P1+,0.5243288016700752,
AS2011_Ratio H/L Proteins Inhi_2,0.5143695602477828,
BS2014_Log2(Ratio H/L normalized),,
UK2020_HCM_2,,
FSO2013_Ratio H/L normalized Rep2___2,0.5187379162084054,
EP2017_Pervanadate R#3 normalized log2 ratio,0.5482717086138975,
RM2024_Intensity D4-3___3,,
RB2022_5_PreStrength,,
NJH2024_Sub4_MICT_Mid,,
TM2022_S2.4h.A,0.5257536343821986,
RB2022_5_PostStrength,,
GF2025_P6_Sph,0.5211236796559345,
RB2022_2_PreSprint,,
ZX2022_CB treated Replicate 3,0.5164784681797705,
RM2024_Intensity D6-2___3,,
WZ2023_Pe_025_10min,,
AS2011_Ratio H/L Normalized by Proteins RNAi_1,0.5366898552302884,
AST2020_anti-CD3+PDL2.1,,
KBE2022_Log2_Ex_34_U,,
WZ2023_Pu_005_10min,,
AS2011_Ratio H/L RNAi_2_1,0.5232222957229927,
NJH2024_Sub9_HIIT_Mid,,
CK2022_9 40-1,0.5166128951353468,0.2589377317427278
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,0.5244111292013198,
LG2023_GSK3α-1_intensity,0.523923209972678,
WZ2023_Pu_025_30min,,
AH2018_SILAC_MR_2_X,0.5243476770264839,
HS2024_4_PD_T2,0.522955071270249,
NJH2024_Sub4_HIIT_Pre,,
RB2022_2_RecoverySprint,,
AS2011_Ratio H/L Protein RNAi_1,0.5211854473381726,
RM2024_Intensity D2-1___2,,
CR2017_Ratio Replicate 1.4,,
FR2021_Norm.Intensity.B,0.5230252657057859,
RM2024_Intensity D6-2___1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,0.5140592738940915,
RB2022_5_PostSprint,,
EJN2021_3_Rest_Basal,,
CR2017_Ratio Replicate 1.3,,
AS2011_Ratio H/L Normalized by Protein RNAi_2,,
KTGR2014_Ratio-Rapa 7 mins,0.5235586788831026,
AMK2021_120R_p1,0.5191148688973221,
AH2018_SILAC_3_X,0.5210569644483088,
JJ2018_Ratio M/L normalized pP3,0.5119729763050237,
AH2018_SILAC_M_2_N,0.5240103966218709,
HS2024_7_PD_T2,0.5140043906920148,
FSO2013_Ratio H/L normalized Rep1___1,0.5392242012450813,
AH2018_LFQ_1_C,0.5257648348556638,
AS2011_Ratio H/L Normalized Inhi_1_3,0.5324724049712394,
KBE2022_Log2_Ex_28_T,,
HS2024_3_B_N1,0.5817869255465614,
RM2024_Intensity D4-2___3,,
WZ2023_Pe_025_30min,,
CK2022_11 40-1,0.5168274538059499,0.2609547790560039
CW2012_10 µM Erl/control Experiment 3 Replicate B,,
AH2018_SILAC_2_X,0.5227375047671525,
MV2014_Ratio H/M normalized A2___2 (2 min),,
AS2011_Ratio H/L RNAi_1_2,,
KS2014_Intensity E15_1,0.5284850349803832,
FSO2013_Ratio H/L normalized Rep2,0.5019382751196816,
WZ2023_Pu_005_20min,,
NJH2024_Sub10_MICT_Post,,
RM2024_Intensity D2-3___1,,
CR2017_Ratio Replicate 1.5,,
CW2012_10 µM Gef/control Experiment 2 Replicate B,,
HS2024_7_B_T3,0.470031913152453,
CKC2017_log2 normalized phosphoproteomics_60min_rep#1,,
AS2011_Ratio H/L RNAi_1,0.5089004078261978,
JC2019_Normalised_intensity_A_TiOx_Testis_sample_URO0059,,
AH2018_LFQ_M_1_C,0.5227515146719279,
NJH2025_Sub7_MICT_Pre,,
SR2019_SKBR3_Biol_repl_2,0.5250657077149976,
HS2024_9_B_T2,0.5535058801039542,
KTGR2014_Ratio-AA 7 mins,0.52424639578592,
MV2014_Ratio L/H normalized B3___3 (5 min),,
HS2024_3_PD_T1,0.5505835752081115,
FSO2013_Ratio M/L normalized Rep3___2,0.5337756185434784,
SR2019_BT549_Biol_repl_3,,
RCJD2014_20min_mean,0.5268664448863366,
FR2021_Norm.Intensity.H,0.5219241641289265,
RB2022_2_PreStrength,,
DB2022_LFQ intensity L1.2,,
HS2024_4_B_N1,0.47774894471124474,
KTGR2014_Ratio H M Normalized Rep2_Rapamycin_0_15,0.5244913128527782,
CK2022_1 16-1,0.527922503713473,
CK2022_1 200-1,0.5365488825726181,0.2967803093551082
PG2020_Intensity Mock_10h_D,0.512343968335289,
SR2019_MCF10A_Biol_repl_2,0.5237377958341738,
JJ2018_Ratio M/L normalized pP2___2,,
HS2024_6_PD_T1,0.48830278227672336,
JVO2010_Ratio M/L Normalized by Protein ThymON - Log2 G1/S,0.5370795704973944,0.29246374775125067
RB2022_6_RecoveryEndurance,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3b,,
EP2017_Mitotic R#2 normalized log2 ratio,0.5401297276349538,
RCJD2014_5min_1,0.5155282725645621,
RM2024_Intensity D4-1___1,,
DL2023_24h-1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-1,0.5138006873283816,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2b,,
TM2022_S2.4h.C,0.525738948649535,
SAS2015_PLX/AZD_Exp2,,
CR2017_Ratio Replicate 3.3,,
PG2020_Intensity 2h_C,0.521546286928745,0.285083861522957
VOI2024_Veh2 di,,
ZX2022_CB treated Replicate 2,0.5159047161235722,
KBE2022_Log2_Ex_8_T,,
NJH2025_Sub10_MICT_Post,,
HS2024_6_I_T3,0.4817047519280959,
RN2012_L11,0.5187501785052189,
AS2011_Ratio H/L Normalized Inhi_2_2,0.4733625713512329,
IMM2018_normalised rep. int. Empty-1,0.5283113363396799,
HS2024_5_PD_T1,0.4765759371412488,
AH2018_LFQ_M_2_C,0.5189413429369665,
CK2022_3 40-1,0.5262748075746885,0.3039260964979977
RBK2021_1260T Early,,
NJH2024_Sub4_HIIT_Post,,
HS2024_4_I_T1,0.5696115640711266,
YA2020_Reporter_intensity_Cancer_No.5,0.5245921407012836,
HH2022_Reporter intensity 8,0.5184647203844593,
ZQ2022_N2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1b,,
FSO2013_Ratio H/L normalized Rep3___3,,
AH2018_TMTMS3_2_N,0.5165647539521351,
EJN2021_5_Rest_Basal,,
NJH2025_Sub2_HIIT_Post,,
NJH2025_Sub1_MICT_Post,,
HS2024_9_B_T1,0.5819409411992447,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1a,,
JAW2011_Ratio H/L LS2_1,,
JVO2010_Log2 Ratio H/M Normalized aphidicolin,0.528310894556501,0.3536690716094206
NJH2024_Sub6_HIIT_Pre,,
AH2018_SILAC_3_N,0.521716140558211,
YA2020_Reporter_intensity_Normal_No.1,0.524994280706786,
HS2024_3_B_T1,0.5546969632630439,
JJ2018_Ratio H/L normalized___2,,
RM2024_Intensity D0-2,,
MV2014_Ratio M/L normalized B1___2 (5 min),,
RB2022_7_PostStrength,,
RB2022_1_PostEndurance,,
CR2017_Ratio Replicate 3,,
SR2019_Hs578T_Biol_repl_3,,
MV2014_Ratio L/H normalized B3___1 (5 min),,
RBK2021_1244T Early,,
RB2022_3_PostSprint,,
NJH2024_Sub13_MICT_Mid,,
KTGR2014_Ratio-AA 2 mins,0.5221984030418496,
GF2025_P7_Sph,0.5216256517663906,
HS2024_8_I_T3,0.5071366976918147,
CF2017_EOC 3,0.5216849581464652,
LATM2013_Normalized Log2 Ratio (Medium/Light) Forward,,
HS2024_6_PD_T3,0.5510795903928078,
DL2023_12h-2,,
RM2024_Intensity D6-3___1,,
FS2019_Ctr1,,
WZ2023_Pu_010_20min,,
AS2011_Ratio H/L_3,,
CK2022_1 40-1,0.5264104940624186,0.30675830489269057
RNJ2017_Log2_ratio_Tsup:Trest_D1,,
CK2022_8 16-1,0.5225187461924887,
KS2014_Intensity N3,0.5276923507315044,
RB2022_4_RecoveryEndurance,,
RB2022_5_RecoveryEndurance,,
JAW2011_Ratio H/L LS1a_2,,
NJH2024_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_N,0.5218063267585111,
FSO2013_Ratio H/M normalized Rep2,0.5581261745706575,
RAM2015_Log2 A,0.5119128914431299,0.2917454987422106
HS2024_8_PD_T1,0.5041170888967094,
JJ2018_Ratio H/L normalized pP2,0.531675766887694,
CF2017_OSE 27,0.5263459128502607,
KS2014_Intensity E15_2,0.5241541093096181,
BS2014_Log2(Ratio H/L protein),,
PG2020_Intensity 8h_A,0.5235406101757303,
HS2024_7_I_T1,0.4973610199533046,
VOI2024_Veh3 di,,
RKK2015_TNF-α+SC-514/basal,0.5319965701187921,0.3460450002616207
SR2019_JIMT1_Biol_repl_1,0.5187309500836002,
HW2015_Ratio H/L normalized Exp2,,
HS2024_3_I_N1,0.5143961545569395,
AH2018_SILAC_M_3_X,0.5214173664264345,
NJH2024_Sub9_HIIT_Post,,
AS2011_Ratio H/L RNAi_1_3,0.49387085477662807,
GRW2016_Ratio H/L normalized SILAC 1___2,,
NJH2025_Sub1_HIIT_Pre,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-2,0.5093942087610905,
NJH2024_Sub4_HIIT_Mid,,
VOI2024_0.1uM 2 h_1 di,,
KBE2022_Log2_Ex_6_T,,
RM2024_Intensity D4-3___1,,
AH2018_LFQ_4_X,0.5237501012877942,
AS2011_Inhi 2_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),0.5413891784533917,
RB2022_8_PostEndurance,,
NJH2025_Sub4_MICT_Mid,,
YP2020_Intensity C30_R1_mult_log2,,
AST2020_anti-CD3.1,,
NJH2025_Sub4_HIIT_Post,,
EP2017_Untreated R#4 log2 ratio,0.5232391271900425,
HS2024_6_B_N1,0.5637135912332351,
KBE2022_Log2_Ex_27_T,,
CW2012_10 µM Gef/control Experiment 1 Replicate A,,
VOI2024_0.1uM 24 h_1 mono,,
AMK2021_120R_p5,0.525393497796777,
AS2011_Ratio H/L Proteins,0.5056390046064992,
NJH2024_Sub7_HIIT_Post,,
NJH2015_TMT Subject 1 127_N/126 (Exercise/Basal) (normalized),,
AS2011_Ratio H/L RNAi_2_2,,
RB2022_7_RecoveryStrength,,
AH2018_SILAC_IT_3_X,0.5244866071321207,
JAW2011_Ratio H/L,,
PG2020_Intensity 10h_C,0.5141761822098839,
FSO2013_Ratio M/L normalized Rep2,0.5327578666011052,
CP2009_Ratio H/M Normalized (50 nM dasatinib vs 5 nM dasatinib),,
HH2022_Reporter intensity 5,0.5251045036675411,
SR2019_HCC1954_Biol_repl_2,0.5220700118495823,
CK2022_14 40-1,0.518819646980421,0.26637161591360786
RB2022_6_PreSprint,,
NJH2025_Sub12_MICT_Mid,,
PG2020_Intensity 4h_D,0.5204088989861765,
NJH2025_Sub2_MICT_Post,,
AH2018_LFQ_4_C,0.5203131531541505,
DL2023_control-1,,
AR2021_ALG 10 μM,,
JAW2011_Ratio H/L LS2_2,,
AH2018_SILAC_IT_3_N,0.5214126929801118,
EJN2021_4_Rest_Ins,,
RN2012_H05,0.532763324995743,
NJH2024_Sub7_HIIT_Mid,,
GF2025_P2_Adh,0.5348246439897344,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4b,,
RB2022_8_PostSprint,,
EJN2021_1_Rest_Ins,,
HH2022_Reporter intensity 3,0.5238735103303971,0.2883201029363434
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4b,,
AH2018_SILAC_IT_1_C,0.5216402960625229,
JW2021_After_3,,
GF2025_P8_Sph,0.5214717545220079,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4,,
JJ2018_Ratio M/L normalized pP2___1,0.5269090744447912,
AH2018_SILAC_2_N,0.5233251714651103,
CK2022_11 200-1,0.5169201271756289,0.2730622701154905
CK2022_12 200-1,0.51641693025557,0.2755520464224342
AS2011_Ratio H/L Normalized by Protein RNAi_1,,
RM2024_Intensity D2-1___3,,
NJH2024_Sub1_MICT_Pre,,
HH2022_Reporter intensity 9,0.5274575380036904,
WZ2023_Su_010_20min,,
AH2018_TMTMS2_2_N,0.5249592420753706,
NJH2024_Sub13_MICT_Pre,,
KBE2022_Log2_Ex_41_U,,
NJH2015_TMT Subject 3 129_N/128_C (Exercise/Basal) (normalized),,
AH2018_TMTMS3_Pool,0.5176434082844301,
KS2014_Intensity N4,0.5285536115325422,
NJH2024_Sub1_HIIT_Post,,
MM2018_Ratio H/L replicate2,0.5211574638441407,
RM2024_Intensity D4-2___2,,
NJH2024_Sub13_HIIT_Pre,,
CF2017_OSE 26,0.5303084964385567,
CK2022_14 200-1,0.5151746421017381,0.2741303001120116
SR2019_Hs578T_Biol_repl_1,,
RB2022_7_PostSprint,,
TM2022_mock.4h.A,0.5267922011168404,
NJH2025_Sub12_HIIT_Pre,,
AH2018_TMTMS3_1_N,0.5169409172916825,
AST2020_anti-CD3+PDL2.2,,
PG2020_Intensity Mock_10h_A,0.5158836553412994,
JW2021_After_2,,
NJH2024_Sub2_MICT_Post,,
EJN2021_2_Rest_Ins,,
SR2019_LM2_Biol_repl_4,,
CP2009_Ratio H/M,,
JAW2011_Ratio H/L HS,,
CK2022_13 16-1,0.5214585667039039,
GF2025_P1_Adh,0.5263316677323515,
GF2025_P1_Sph,0.5181392935589799,
EJN2021_5_Ex_Basal,,
HS2024_7_I_T3,0.519904697960117,
JJ2018_Ratio H/L normalized pP2___2,,
WZ2023_Pe_010_10min,,
CF2017_EOC 1,0.5283602580088474,
CK2022_3 200-1,0.5357633010689459,0.2966000714692853
AH2018_LFQ_IT_3_C,0.523323191587128,
SR2019_Hs578T_Biol_repl_2,,
NJH2024_Sub12_HIIT_Post,,
JJ2018_Ratio H/L normalized pP1___2,,
MV2014_Ratio H/L normalized A1___2 (10 min),,
NJH2024_Sub10_MICT_Mid,,
NJH2024_Sub13_MICT_Post,,
BS2014_Log2(Ratio H/L normalized Rep_1),,
RB2022_3_RecoverySprint,,
NJH2025_Sub1_HIIT_Mid,,
RCJD2014_20min_2,0.5232785576558896,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2,,
HS2024_6_PD_T2,0.5435166760148831,
HS2024_5_B_T1,0.5144329985311697,
CW2012_10 µM Gef/control Experiment 2 Replicate A,,
DL2023_12h-3,,
SR2019_MDAMB231_Biol_repl_2,0.5240019916026696,
HS2024_3_B_T2,0.5432595701067406,
RB2022_6_PreStrength,,
CK2022_2 40-1,0.5263503660108713,0.3078757254525033
RB2022_1_PostSprint,,
CK2022_4 200-1,0.5363306621359526,0.2972297702702666
JW2021_Before_2,,
TM2022_S2.12h.A,0.524543328955147,
MV2014_Ratio L/M normalized B2___2 (30 min),,
CK2022_5 16-1,0.5229087832191653,
AR2021_ALG 1 μM,,
HS2024_4_B_T1,0.5130089498246262,
MV2014_Ratio M/H normalized A3___1 (10 min),,
SR2019_BT549_Biol_repl_4,,
EJN2021_1_Rest_Basal,,
NJH2025_Sub8_MICT_Post,,
RCJD2014_5min_3,0.5267970097494897,
CR2017_Ratio Replicate 3.2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as3a,,
GF2025_P7_Adh,0.5220740965789622,
CK2022_9 16-1,0.5232091294871958,
NJH2024_Sub6_HIIT_Post,,
AMK2021_30R_p3,0.5407266661422221,
AS2011_Ratio H/L Normalized RNAi_2,0.5422404734647018,
RM2024_Intensity D0-2___2,,
KS2014_Intensity pY_N4,,
CK2022_13 200-1,0.5147088371175758,0.27555896079802
AS2011_Ratio H/L Normalized_2,0.5234831269401241,
PG2020_Intensity 6h_D,0.535739836462026,
CK2022_16 16-1,0.5216392955296081,
FS2019_db/db3,,
CK2022_15 40-1,0.518334736947802,0.26777744251905494
NJH2024_Sub9_MICT_Pre,,
