DatasetName,COPA_S(1193) COPA_S(170) COPA_S(173) COPA_S(402) COPA_S(434) COPA_S(824) COPA_S(895) COPA_T(821),COPA_S(179) COPA_S(68) COPA_T(286) COPA_T(591)
RM2024_Intensity D4-1___3,,
RB2022_4_PostEndurance,,
FSO2013_Ratio M/L normalized Rep3,,
SR2019_MCF7_Biol_repl_3,0.5038010537147667,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),,
SR2019_LM2_Biol_repl_1,,
RCJD2014_15min_1,0.5305650229648649,
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,
CK2022_7 16-1,0.5311718626694659,
NJH2025_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_C,0.5267256744525145,
RKK2015_TNF-α/basal,,
JJ2018_Ratio H/M normalized pP2,0.5478978209356552,
NJH2025_Sub12_MICT_Pre,,
NJH2025_Sub7_MICT_Post,,
DL2023_control-3,,
ZX2022_Control Replicate 2,0.5215026227638052,
HS2024_6_B_T3,,
JW2015_Intensity pre1,,
IMM2018_normalised rep. int. Empty-3,,
AMK2021_30R_p5,,
FSO2013_Ratio M/L normalized Rep1,,
SR2019_MDAMB231_Biol_repl_4,,
GF2025_P2_Sph,0.5295739932126593,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,
NJH2025_Sub13_HIIT_Mid,,
CP2009_Ratio M/L,,
NJH2025_Sub7_HIIT_Post,,
KBE2022_Log2_Ex_44_T,0.537613984845513,
DB2022_Intensity L2,,
TM2022_mock.4h.C,,
AST2020_anti-CD3.2,,
CW2012_10 µM Erl/control Experiment 1 Replicate B,,
HS2024_7_B_N1,,
FSO2013_Ratio M/L normalized Rep1___1,,
SAS2015_AZD/DMSO_Exp3,,
RM2024_Intensity D0-2___3,,
RM2024_Intensity D6-1,,
RB2022_8_RecoverySprint,,
RB2022_5_PreEndurance,,
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,0.5138415089330871,
EP2017_Untreated R#4 normalized log2 ratio,0.5350220608371126,
WZ2023_Pu_010_30min,0.5542977630632643,0.4078212518323443
AS2011_Ratio H/L Proteins RNAi_2,,
RB2022_4_PreStrength,,
NJH2024_Sub4_MICT_Post,,
AH2018_LFQ_M_1_X,0.5469442547924974,
RB2022_8_RecoveryEndurance,,
KBE2022_Log2_Ex_14_U,,0.40265296735937633
FSO2013_Ratio M/L normalized Rep3___3,,
AH2018_TMTMS3_1_C,0.5431831476584478,
JJ2018_Ratio H/L normalized___1,0.5394146689463079,
ZQ2022_C2,0.5517257152314374,
RB2022_5_PreSprint,,
PG2020_Intensity 8h_C,0.5315851827148541,
AH2018_SILAC_MR_2_N,0.5491798988359189,
MV2014_Ratio M/L normalized A1___2 (2 min),,
TM2022_S2.8h.B,,
MV2014_Ratio M/H normalized B3___1 (30 min),,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,,
RM2024_Intensity D6-1___2,,
NJH2025_Sub7_MICT_Mid,,
LY2019_P1+,0.5811269682850025,
AS2011_Ratio H/L Proteins Inhi_2,,
BS2014_Log2(Ratio H/L normalized),0.539945387009797,
UK2020_HCM_2,,
FSO2013_Ratio H/L normalized Rep2___2,,
EP2017_Pervanadate R#3 normalized log2 ratio,0.5596938207836819,
RM2024_Intensity D4-3___3,,
RB2022_5_PreStrength,,
NJH2024_Sub4_MICT_Mid,,
TM2022_S2.4h.A,,
RB2022_5_PostStrength,,
GF2025_P6_Sph,0.5658624858814764,
RB2022_2_PreSprint,,
ZX2022_CB treated Replicate 3,0.5225981872860684,
RM2024_Intensity D6-2___3,,
WZ2023_Pe_025_10min,0.5529495286870917,0.38931928901361945
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,
AST2020_anti-CD3+PDL2.1,,
KBE2022_Log2_Ex_34_U,0.5347491205358323,
WZ2023_Pu_005_10min,0.5487758852742818,0.42236175505607887
AS2011_Ratio H/L RNAi_2_1,,
NJH2024_Sub9_HIIT_Mid,,
CK2022_9 40-1,0.5387244759100492,
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,,
LG2023_GSK3α-1_intensity,,
WZ2023_Pu_025_30min,0.5484048660533352,0.42071491221321455
AH2018_SILAC_MR_2_X,0.5402032104768137,
HS2024_4_PD_T2,,
NJH2024_Sub4_HIIT_Pre,,
RB2022_2_RecoverySprint,,
AS2011_Ratio H/L Protein RNAi_1,,
RM2024_Intensity D2-1___2,,
CR2017_Ratio Replicate 1.4,0.5003814114372247,
FR2021_Norm.Intensity.B,,
RM2024_Intensity D6-2___1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,,
RB2022_5_PostSprint,,
EJN2021_3_Rest_Basal,,
CR2017_Ratio Replicate 1.3,0.5315105189780037,
AS2011_Ratio H/L Normalized by Protein RNAi_2,,
KTGR2014_Ratio-Rapa 7 mins,,
AMK2021_120R_p1,,
AH2018_SILAC_3_X,0.531349850495915,
JJ2018_Ratio M/L normalized pP3,0.532589645084502,0.3326212869960832
AH2018_SILAC_M_2_N,0.5344803435917572,
HS2024_7_PD_T2,,
FSO2013_Ratio H/L normalized Rep1___1,,
AH2018_LFQ_1_C,0.5434091828693646,
AS2011_Ratio H/L Normalized Inhi_1_3,,
KBE2022_Log2_Ex_28_T,0.5347314282174117,
HS2024_3_B_N1,,
RM2024_Intensity D4-2___3,,
WZ2023_Pe_025_30min,0.549303671878694,0.38060686346764333
CK2022_11 40-1,0.538518207964358,
CW2012_10 µM Erl/control Experiment 3 Replicate B,,
AH2018_SILAC_2_X,0.5331755147710037,
MV2014_Ratio H/M normalized A2___2 (2 min),,
AS2011_Ratio H/L RNAi_1_2,,
KS2014_Intensity E15_1,0.5595376984499657,
FSO2013_Ratio H/L normalized Rep2,,
WZ2023_Pu_005_20min,0.552177166728602,0.41827728434493017
NJH2024_Sub10_MICT_Post,,
RM2024_Intensity D2-3___1,,
CR2017_Ratio Replicate 1.5,0.5331794804568056,
CW2012_10 µM Gef/control Experiment 2 Replicate B,,
HS2024_7_B_T3,,
CKC2017_log2 normalized phosphoproteomics_60min_rep#1,0.512752918148857,
AS2011_Ratio H/L RNAi_1,,
JC2019_Normalised_intensity_A_TiOx_Testis_sample_URO0059,,
AH2018_LFQ_M_1_C,0.5461560710350555,
NJH2025_Sub7_MICT_Pre,,
SR2019_SKBR3_Biol_repl_2,0.5193731602477747,
HS2024_9_B_T2,,
KTGR2014_Ratio-AA 7 mins,,
MV2014_Ratio L/H normalized B3___3 (5 min),,
HS2024_3_PD_T1,,
FSO2013_Ratio M/L normalized Rep3___2,,
SR2019_BT549_Biol_repl_3,,
RCJD2014_20min_mean,0.5581393800750182,
FR2021_Norm.Intensity.H,,
RB2022_2_PreStrength,,
DB2022_LFQ intensity L1.2,,
HS2024_4_B_N1,,
KTGR2014_Ratio H M Normalized Rep2_Rapamycin_0_15,,
CK2022_1 16-1,0.5343380229798687,
CK2022_1 200-1,0.5304351697339611,
PG2020_Intensity Mock_10h_D,0.5221381328903266,
SR2019_MCF10A_Biol_repl_2,,
JJ2018_Ratio M/L normalized pP2___2,,
HS2024_6_PD_T1,,
JVO2010_Ratio M/L Normalized by Protein ThymON - Log2 G1/S,,
RB2022_6_RecoveryEndurance,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3b,,
EP2017_Mitotic R#2 normalized log2 ratio,0.5652507445630814,
RCJD2014_5min_1,0.5127437878252525,
RM2024_Intensity D4-1___1,,
DL2023_24h-1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2b,,
TM2022_S2.4h.C,,
SAS2015_PLX/AZD_Exp2,,
CR2017_Ratio Replicate 3.3,0.5416118029788705,
PG2020_Intensity 2h_C,0.5066014125145957,
VOI2024_Veh2 di,,
ZX2022_CB treated Replicate 2,0.5200193899493873,
KBE2022_Log2_Ex_8_T,,0.4097748164524295
NJH2025_Sub10_MICT_Post,,
HS2024_6_I_T3,,
RN2012_L11,0.5256937381029332,
AS2011_Ratio H/L Normalized Inhi_2_2,,
IMM2018_normalised rep. int. Empty-1,,
HS2024_5_PD_T1,,
AH2018_LFQ_M_2_C,0.5493722147197969,
CK2022_3 40-1,0.5427772753183866,
RBK2021_1260T Early,,
NJH2024_Sub4_HIIT_Post,,
HS2024_4_I_T1,,
YA2020_Reporter_intensity_Cancer_No.5,0.5520296068664559,
HH2022_Reporter intensity 8,,
ZQ2022_N2,0.5224787889211946,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1b,,
FSO2013_Ratio H/L normalized Rep3___3,,
AH2018_TMTMS3_2_N,0.5517563251682571,
EJN2021_5_Rest_Basal,,
NJH2025_Sub2_HIIT_Post,,
NJH2025_Sub1_MICT_Post,,
HS2024_9_B_T1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1a,,
JAW2011_Ratio H/L LS2_1,,
JVO2010_Log2 Ratio H/M Normalized aphidicolin,,
NJH2024_Sub6_HIIT_Pre,,
AH2018_SILAC_3_N,0.5316676448835204,
YA2020_Reporter_intensity_Normal_No.1,0.5454063583237909,
HS2024_3_B_T1,,
JJ2018_Ratio H/L normalized___2,,0.3787303507476675
RM2024_Intensity D0-2,,
MV2014_Ratio M/L normalized B1___2 (5 min),,
RB2022_7_PostStrength,,
RB2022_1_PostEndurance,,
CR2017_Ratio Replicate 3,0.5792334598955485,
SR2019_Hs578T_Biol_repl_3,,
MV2014_Ratio L/H normalized B3___1 (5 min),,
RBK2021_1244T Early,,
RB2022_3_PostSprint,,
NJH2024_Sub13_MICT_Mid,,
KTGR2014_Ratio-AA 2 mins,,
GF2025_P7_Sph,0.5693233894349017,
HS2024_8_I_T3,,
CF2017_EOC 3,0.5067234936999581,
LATM2013_Normalized Log2 Ratio (Medium/Light) Forward,,
HS2024_6_PD_T3,,
DL2023_12h-2,,
RM2024_Intensity D6-3___1,,
FS2019_Ctr1,0.5758817507702602,
WZ2023_Pu_010_20min,0.5495577440286286,0.41511059467208145
AS2011_Ratio H/L_3,,
CK2022_1 40-1,0.5426596610889884,
RNJ2017_Log2_ratio_Tsup:Trest_D1,,
CK2022_8 16-1,0.5287400146902462,
KS2014_Intensity N3,0.5724312446877909,
RB2022_4_RecoveryEndurance,,
RB2022_5_RecoveryEndurance,,
JAW2011_Ratio H/L LS1a_2,,
NJH2024_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_N,0.5287158137097023,
FSO2013_Ratio H/M normalized Rep2,,
RAM2015_Log2 A,0.5561467205786167,
HS2024_8_PD_T1,,
JJ2018_Ratio H/L normalized pP2,0.5395234524367263,
CF2017_OSE 27,0.5463656487588147,
KS2014_Intensity E15_2,0.5621222342374341,
BS2014_Log2(Ratio H/L protein),,
PG2020_Intensity 8h_A,0.5168433635669571,
HS2024_7_I_T1,,
VOI2024_Veh3 di,,
RKK2015_TNF-α+SC-514/basal,,
SR2019_JIMT1_Biol_repl_1,0.5212007306793327,
HW2015_Ratio H/L normalized Exp2,,
HS2024_3_I_N1,,
AH2018_SILAC_M_3_X,0.5319811046429768,
NJH2024_Sub9_HIIT_Post,,
AS2011_Ratio H/L RNAi_1_3,,
GRW2016_Ratio H/L normalized SILAC 1___2,,
NJH2025_Sub1_HIIT_Pre,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-2,,
NJH2024_Sub4_HIIT_Mid,,
VOI2024_0.1uM 2 h_1 di,,
KBE2022_Log2_Ex_6_T,0.5316678682897685,
RM2024_Intensity D4-3___1,,
AH2018_LFQ_4_X,0.5452516202044432,
AS2011_Inhi 2_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,
RB2022_8_PostEndurance,,
NJH2025_Sub4_MICT_Mid,,
YP2020_Intensity C30_R1_mult_log2,,
AST2020_anti-CD3.1,,
NJH2025_Sub4_HIIT_Post,,
EP2017_Untreated R#4 log2 ratio,0.5358505303116587,
HS2024_6_B_N1,,
KBE2022_Log2_Ex_27_T,0.5364137962393887,
CW2012_10 µM Gef/control Experiment 1 Replicate A,,
VOI2024_0.1uM 24 h_1 mono,,
AMK2021_120R_p5,,
AS2011_Ratio H/L Proteins,,
NJH2024_Sub7_HIIT_Post,,
NJH2015_TMT Subject 1 127_N/126 (Exercise/Basal) (normalized),,
AS2011_Ratio H/L RNAi_2_2,,
RB2022_7_RecoveryStrength,,
AH2018_SILAC_IT_3_X,0.5285247904860042,
JAW2011_Ratio H/L,,
PG2020_Intensity 10h_C,0.5372806327929306,
FSO2013_Ratio M/L normalized Rep2,,
CP2009_Ratio H/M Normalized (50 nM dasatinib vs 5 nM dasatinib),,
HH2022_Reporter intensity 5,,
SR2019_HCC1954_Biol_repl_2,0.5288297940616938,
CK2022_14 40-1,0.5371500937475421,
RB2022_6_PreSprint,,
NJH2025_Sub12_MICT_Mid,,
PG2020_Intensity 4h_D,0.5303073060374189,
NJH2025_Sub2_MICT_Post,,
AH2018_LFQ_4_C,0.5431324557610484,
DL2023_control-1,,
AR2021_ALG 10 μM,0.539970822920872,
JAW2011_Ratio H/L LS2_2,,
AH2018_SILAC_IT_3_N,0.528610664565611,
EJN2021_4_Rest_Ins,,
RN2012_H05,,
NJH2024_Sub7_HIIT_Mid,,
GF2025_P2_Adh,0.5153372074549781,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4b,,
RB2022_8_PostSprint,,
EJN2021_1_Rest_Ins,,
HH2022_Reporter intensity 3,0.5373808664888332,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4b,,
AH2018_SILAC_IT_1_C,0.5258329681458039,
JW2021_After_3,0.5404683674520236,
GF2025_P8_Sph,0.5430759892303961,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4,,
JJ2018_Ratio M/L normalized pP2___1,0.5299340693497707,
AH2018_SILAC_2_N,0.5338611554718187,
CK2022_11 200-1,0.5383370729927672,
CK2022_12 200-1,0.5389350056303531,
AS2011_Ratio H/L Normalized by Protein RNAi_1,,
RM2024_Intensity D2-1___3,,
NJH2024_Sub1_MICT_Pre,,
HH2022_Reporter intensity 9,,
WZ2023_Su_010_20min,0.5498099627670295,0.4207088742853316
AH2018_TMTMS2_2_N,0.5489631822531422,
NJH2024_Sub13_MICT_Pre,,
KBE2022_Log2_Ex_41_U,0.5351856007629624,
NJH2015_TMT Subject 3 129_N/128_C (Exercise/Basal) (normalized),,
AH2018_TMTMS3_Pool,0.5540831726026616,
KS2014_Intensity N4,0.5803543655227413,
NJH2024_Sub1_HIIT_Post,,
MM2018_Ratio H/L replicate2,,
RM2024_Intensity D4-2___2,,
NJH2024_Sub13_HIIT_Pre,,
CF2017_OSE 26,0.5243989275017013,
CK2022_14 200-1,0.528707908021177,
SR2019_Hs578T_Biol_repl_1,0.5285788584829564,
RB2022_7_PostSprint,,
TM2022_mock.4h.A,,
NJH2025_Sub12_HIIT_Pre,,
AH2018_TMTMS3_1_N,0.5538881600809673,
AST2020_anti-CD3+PDL2.2,,
PG2020_Intensity Mock_10h_A,0.5233849758760087,
JW2021_After_2,0.5457378899406745,
NJH2024_Sub2_MICT_Post,,
EJN2021_2_Rest_Ins,,
SR2019_LM2_Biol_repl_4,,
CP2009_Ratio H/M,,
JAW2011_Ratio H/L HS,,
CK2022_13 16-1,0.5242679332714452,
GF2025_P1_Adh,0.5223500090986721,
GF2025_P1_Sph,0.5373047352690201,
EJN2021_5_Ex_Basal,,
HS2024_7_I_T3,,
JJ2018_Ratio H/L normalized pP2___2,,
WZ2023_Pe_010_10min,0.5441204184475807,0.4003349208471557
CF2017_EOC 1,0.5397840002859297,
CK2022_3 200-1,0.531370552531142,
AH2018_LFQ_IT_3_C,0.5324441289167905,
SR2019_Hs578T_Biol_repl_2,0.5143260951368088,
NJH2024_Sub12_HIIT_Post,,
JJ2018_Ratio H/L normalized pP1___2,,
MV2014_Ratio H/L normalized A1___2 (10 min),,
NJH2024_Sub10_MICT_Mid,,
NJH2024_Sub13_MICT_Post,,
BS2014_Log2(Ratio H/L normalized Rep_1),0.538107120393209,
RB2022_3_RecoverySprint,,
NJH2025_Sub1_HIIT_Mid,,
RCJD2014_20min_2,0.5261443683043008,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2,,
HS2024_6_PD_T2,,
HS2024_5_B_T1,,
CW2012_10 µM Gef/control Experiment 2 Replicate A,,
DL2023_12h-3,,
SR2019_MDAMB231_Biol_repl_2,,
HS2024_3_B_T2,,
RB2022_6_PreStrength,,
CK2022_2 40-1,0.5425759598351798,
RB2022_1_PostSprint,,
CK2022_4 200-1,0.5287464087918015,
JW2021_Before_2,0.5415330108469054,
TM2022_S2.12h.A,,
MV2014_Ratio L/M normalized B2___2 (30 min),,
CK2022_5 16-1,0.5308567089437645,
AR2021_ALG 1 μM,0.5158901579734888,
HS2024_4_B_T1,,
MV2014_Ratio M/H normalized A3___1 (10 min),,
SR2019_BT549_Biol_repl_4,,
EJN2021_1_Rest_Basal,,
NJH2025_Sub8_MICT_Post,,
RCJD2014_5min_3,0.5569022062467796,
CR2017_Ratio Replicate 3.2,0.5890948455346815,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as3a,,
GF2025_P7_Adh,0.5274804654542765,
CK2022_9 16-1,0.5246027132725337,
NJH2024_Sub6_HIIT_Post,,
AMK2021_30R_p3,,
AS2011_Ratio H/L Normalized RNAi_2,,
RM2024_Intensity D0-2___2,,
KS2014_Intensity pY_N4,0.5459036677257356,
CK2022_13 200-1,0.5301233731862521,
AS2011_Ratio H/L Normalized_2,,
PG2020_Intensity 6h_D,0.5352183908115778,
CK2022_16 16-1,0.5242972780068413,
FS2019_db/db3,0.5844389748712756,
CK2022_15 40-1,0.5372920975073339,
NJH2024_Sub9_MICT_Pre,,
BS2014_Log2(Ratio H/L unmodified peptide),,
WZ2023_Su_005_10min,0.5518121296805929,0.4087432392669139
RM2009_Ratio M/L (M:15 min timepoint;L:0 min. timepoint),,
KBE2022_Log2_Ex_41_T,0.5370075630489445,
AMK2021_Ctrl_p1,,
AH2018_LFQ_IT_3_X,0.5331319580398808,
HS2024_5_PD_T3,,
AH2018_TMTMS3_3_X,0.5517181998203299,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2,,
KBE2022_Log2_Ex_40_U,,0.411552386679576
AH2018_LFQ_M_1_N,0.5461627164808922,
KBE2022_Log2_Ex_27_U,0.5370470768956062,
HW2015_Ratio M/L normalized Exp3,,
RKK2015_TNF-α/IKKb(K44M),,
AH2018_SILAC_M_1_N,0.538343848696252,
HW2015_Ratio M/L normalized Exp1,,
RB2022_5_RecoveryStrength,,
YP2020_Intensity P10_R1_mult_log2,,
RB2022_7_PreStrength,,
YA2020_Reporter_intensity_Normal_No.4,0.5484123234897192,
NJH2025_Sub13_HIIT_Pre,,
PG2020_Intensity CT_D,0.5293298935384327,
NJH2025_Sub9_MICT_Post,,
VOI2024_Veh1 mono,,
CK2022_12 16-1,0.5204561954446658,
RN2012_L13,,
LG2023_Control-1_intensity,,
RM2024_Intensity D6-3___2,,
KBE2022_Log2_Ex_8_U,,0.4170942590721046
SR2019_SKBR3_Biol_repl_3,0.5159847695326731,
NJH2024_Sub1_MICT_Post,,
HS2024_3_I_T2,,
KTGR2014_Ratio M L Normalized Rep2_Rapamycin_0_15,,
RM2024_Intensity D0-3___3,,
HS2024_6_I_T2,,
CW2012_10 µM Erl/control Experiment 2 Replicate B,,
AS2011_Ratio H/L Protein Inhi_1,,
