DatasetName,RRAS2_S(10) RRAS2_S(109) RRAS2_S(177) RRAS2_S(192) RRAS2_S(68) RRAS2_S(9),RRAS2_C(186) RRAS2_C(190) RRAS2_S(176) RRAS2_S(186)
RM2024_Intensity D4-1___3,,
RB2022_4_PostEndurance,0.537509519013219,
FSO2013_Ratio M/L normalized Rep3,,0.6357010698368841
SR2019_MCF7_Biol_repl_3,0.5159668289070724,0.7104452998716323
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),,
SR2019_LM2_Biol_repl_1,0.5333293902342213,0.7165321673483696
RCJD2014_15min_1,,
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,
CK2022_7 16-1,,0.6205212710432005
NJH2025_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_C,,0.6816610208269152
RKK2015_TNF-α/basal,,
JJ2018_Ratio H/M normalized pP2,,0.6805728938535706
NJH2025_Sub12_MICT_Pre,,
NJH2025_Sub7_MICT_Post,,
DL2023_control-3,,
ZX2022_Control Replicate 2,,0.7119942550565601
HS2024_6_B_T3,,
JW2015_Intensity pre1,,
IMM2018_normalised rep. int. Empty-3,,
AMK2021_30R_p5,,
FSO2013_Ratio M/L normalized Rep1,,0.656168326483319
SR2019_MDAMB231_Biol_repl_4,0.5363013087372864,0.7392985834690806
GF2025_P2_Sph,,0.612133825497277
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,
NJH2025_Sub13_HIIT_Mid,,
CP2009_Ratio M/L,,
NJH2025_Sub7_HIIT_Post,,
KBE2022_Log2_Ex_44_T,,
DB2022_Intensity L2,,
TM2022_mock.4h.C,,
AST2020_anti-CD3.2,,
CW2012_10 µM Erl/control Experiment 1 Replicate B,,
HS2024_7_B_N1,,
FSO2013_Ratio M/L normalized Rep1___1,,0.6560234617117524
SAS2015_AZD/DMSO_Exp3,,
RM2024_Intensity D0-2___3,,
RM2024_Intensity D6-1,,
RB2022_8_RecoverySprint,0.508057586437327,
RB2022_5_PreEndurance,0.5153028585936336,
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,,
EP2017_Untreated R#4 normalized log2 ratio,0.5222735406321716,
WZ2023_Pu_010_30min,,0.6756587567461296
AS2011_Ratio H/L Proteins RNAi_2,,
RB2022_4_PreStrength,0.5083629630724007,
NJH2024_Sub4_MICT_Post,,
AH2018_LFQ_M_1_X,,0.7085299763220779
RB2022_8_RecoveryEndurance,0.5152793109441997,
KBE2022_Log2_Ex_14_U,,
FSO2013_Ratio M/L normalized Rep3___3,,
AH2018_TMTMS3_1_C,,0.6947640151844574
JJ2018_Ratio H/L normalized___1,,0.6247447736438424
ZQ2022_C2,,0.6157845538755968
RB2022_5_PreSprint,0.48256503068003664,
PG2020_Intensity 8h_C,,0.6348936023764836
AH2018_SILAC_MR_2_N,0.5425861306174915,0.6978291976113816
MV2014_Ratio M/L normalized A1___2 (2 min),,
TM2022_S2.8h.B,,
MV2014_Ratio M/H normalized B3___1 (30 min),,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,,
RM2024_Intensity D6-1___2,,
NJH2025_Sub7_MICT_Mid,,
LY2019_P1+,,0.6841149529459141
AS2011_Ratio H/L Proteins Inhi_2,,
BS2014_Log2(Ratio H/L normalized),,
UK2020_HCM_2,,0.7266744878876323
FSO2013_Ratio H/L normalized Rep2___2,,
EP2017_Pervanadate R#3 normalized log2 ratio,0.5240470958170936,
RM2024_Intensity D4-3___3,,
RB2022_5_PreStrength,0.5144813908544367,
NJH2024_Sub4_MICT_Mid,,
TM2022_S2.4h.A,,
RB2022_5_PostStrength,0.5016753714155905,
GF2025_P6_Sph,,0.5998726053214387
RB2022_2_PreSprint,,
ZX2022_CB treated Replicate 3,,0.7086472640035493
RM2024_Intensity D6-2___3,,
WZ2023_Pe_025_10min,,0.6657314655163278
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,
AST2020_anti-CD3+PDL2.1,,
KBE2022_Log2_Ex_34_U,,
WZ2023_Pu_005_10min,,0.6626785811529743
AS2011_Ratio H/L RNAi_2_1,,
NJH2024_Sub9_HIIT_Mid,,
CK2022_9 40-1,,0.6627141134627816
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,,
LG2023_GSK3α-1_intensity,,
WZ2023_Pu_025_30min,,0.6695185563330919
AH2018_SILAC_MR_2_X,0.5197822695736561,0.7038747616738072
HS2024_4_PD_T2,,
NJH2024_Sub4_HIIT_Pre,,
RB2022_2_RecoverySprint,,
AS2011_Ratio H/L Protein RNAi_1,,
RM2024_Intensity D2-1___2,,
CR2017_Ratio Replicate 1.4,,
FR2021_Norm.Intensity.B,,
RM2024_Intensity D6-2___1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,,
RB2022_5_PostSprint,0.47805443681061854,
EJN2021_3_Rest_Basal,0.5597968101695106,
CR2017_Ratio Replicate 1.3,,0.6320839427903906
AS2011_Ratio H/L Normalized by Protein RNAi_2,,
KTGR2014_Ratio-Rapa 7 mins,,
AMK2021_120R_p1,,
AH2018_SILAC_3_X,,0.6795761878380018
JJ2018_Ratio M/L normalized pP3,,0.6357623149194426
AH2018_SILAC_M_2_N,,0.6838508638636955
HS2024_7_PD_T2,,
FSO2013_Ratio H/L normalized Rep1___1,,0.6411954953331239
AH2018_LFQ_1_C,,0.7051786184272586
AS2011_Ratio H/L Normalized Inhi_1_3,,
KBE2022_Log2_Ex_28_T,,
HS2024_3_B_N1,,
RM2024_Intensity D4-2___3,,
WZ2023_Pe_025_30min,,0.6705797589581688
CK2022_11 40-1,,0.6612557283855722
CW2012_10 µM Erl/control Experiment 3 Replicate B,,
AH2018_SILAC_2_X,,0.6834301111728929
MV2014_Ratio H/M normalized A2___2 (2 min),,
AS2011_Ratio H/L RNAi_1_2,,
KS2014_Intensity E15_1,,0.6492012336105768
FSO2013_Ratio H/L normalized Rep2,,0.6455800871876056
WZ2023_Pu_005_20min,,0.6819810672896965
NJH2024_Sub10_MICT_Post,,
RM2024_Intensity D2-3___1,,
CR2017_Ratio Replicate 1.5,,
CW2012_10 µM Gef/control Experiment 2 Replicate B,,
HS2024_7_B_T3,,
CKC2017_log2 normalized phosphoproteomics_60min_rep#1,,
AS2011_Ratio H/L RNAi_1,,
JC2019_Normalised_intensity_A_TiOx_Testis_sample_URO0059,,
AH2018_LFQ_M_1_C,,0.7094692376425231
NJH2025_Sub7_MICT_Pre,,
SR2019_SKBR3_Biol_repl_2,0.5329481092174447,0.7253047959717686
HS2024_9_B_T2,,
KTGR2014_Ratio-AA 7 mins,,
MV2014_Ratio L/H normalized B3___3 (5 min),,
HS2024_3_PD_T1,,
FSO2013_Ratio M/L normalized Rep3___2,,
SR2019_BT549_Biol_repl_3,0.5297202267093032,0.7196917370914172
RCJD2014_20min_mean,,
FR2021_Norm.Intensity.H,,
RB2022_2_PreStrength,,
DB2022_LFQ intensity L1.2,,
HS2024_4_B_N1,,
KTGR2014_Ratio H M Normalized Rep2_Rapamycin_0_15,,
CK2022_1 16-1,,0.6282640323478677
CK2022_1 200-1,,0.6939511150228505
PG2020_Intensity Mock_10h_D,,0.6334972223892135
SR2019_MCF10A_Biol_repl_2,0.5300576472237823,0.7178660892301778
JJ2018_Ratio M/L normalized pP2___2,,
HS2024_6_PD_T1,,
JVO2010_Ratio M/L Normalized by Protein ThymON - Log2 G1/S,0.5278012042750752,
RB2022_6_RecoveryEndurance,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3b,,
EP2017_Mitotic R#2 normalized log2 ratio,0.5210626101538598,
RCJD2014_5min_1,,
RM2024_Intensity D4-1___1,,
DL2023_24h-1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2b,,
TM2022_S2.4h.C,,
SAS2015_PLX/AZD_Exp2,,
CR2017_Ratio Replicate 3.3,,0.6341702376411691
PG2020_Intensity 2h_C,,0.6151596556639152
VOI2024_Veh2 di,,
ZX2022_CB treated Replicate 2,,0.7120522077738428
KBE2022_Log2_Ex_8_T,,
NJH2025_Sub10_MICT_Post,,
HS2024_6_I_T3,,
RN2012_L11,0.5334351462861865,
AS2011_Ratio H/L Normalized Inhi_2_2,,
IMM2018_normalised rep. int. Empty-1,,
HS2024_5_PD_T1,,
AH2018_LFQ_M_2_C,0.5276463788973357,0.7111782542639279
CK2022_3 40-1,,0.6791382263719045
RBK2021_1260T Early,,
NJH2024_Sub4_HIIT_Post,,
HS2024_4_I_T1,,
YA2020_Reporter_intensity_Cancer_No.5,,0.6972569474783102
HH2022_Reporter intensity 8,,0.6527646814550306
ZQ2022_N2,,0.6664468307451911
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1b,,
FSO2013_Ratio H/L normalized Rep3___3,,
AH2018_TMTMS3_2_N,,0.7010389423535024
EJN2021_5_Rest_Basal,0.5590814851468425,
NJH2025_Sub2_HIIT_Post,,
NJH2025_Sub1_MICT_Post,,
HS2024_9_B_T1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1a,,
JAW2011_Ratio H/L LS2_1,,
JVO2010_Log2 Ratio H/M Normalized aphidicolin,0.5480559728399264,
NJH2024_Sub6_HIIT_Pre,,
AH2018_SILAC_3_N,,0.680644330918404
YA2020_Reporter_intensity_Normal_No.1,,0.6994212654246061
HS2024_3_B_T1,,
JJ2018_Ratio H/L normalized___2,,
RM2024_Intensity D0-2,,
MV2014_Ratio M/L normalized B1___2 (5 min),,
RB2022_7_PostStrength,0.515727031967549,
RB2022_1_PostEndurance,,
CR2017_Ratio Replicate 3,,0.6481448632449187
SR2019_Hs578T_Biol_repl_3,0.5179242637584948,0.7156849183704033
