DatasetName,HDAC1_C(409) HDAC1_M(393) HDAC1_S(393) HDAC1_S(403) HDAC1_S(406) HDAC1_S(409) HDAC1_S(410) HDAC1_S(413) HDAC1_S(421) HDAC1_S(423) HDAC1_S(434),HDAC1_C(410) HDAC1_C(421) HDAC1_S(408)
RM2024_Intensity D4-1___3,,
RB2022_4_PostEndurance,,
FSO2013_Ratio M/L normalized Rep3,0.539381650276182,
SR2019_MCF7_Biol_repl_3,0.5895452860579177,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),,
SR2019_LM2_Biol_repl_1,0.5657204031356455,
RCJD2014_15min_1,,
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,
CK2022_7 16-1,0.5688077188041556,
NJH2025_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_C,,
RKK2015_TNF-α/basal,,
JJ2018_Ratio H/M normalized pP2,0.5623719471350128,
NJH2025_Sub12_MICT_Pre,,
NJH2025_Sub7_MICT_Post,,
DL2023_control-3,,
ZX2022_Control Replicate 2,0.5571015694059348,
HS2024_6_B_T3,0.5863038901104223,
JW2015_Intensity pre1,,
IMM2018_normalised rep. int. Empty-3,0.5716752980198301,
AMK2021_30R_p5,,
FSO2013_Ratio M/L normalized Rep1,0.529911968069663,
SR2019_MDAMB231_Biol_repl_4,0.5676505670313895,
GF2025_P2_Sph,0.5511660859184208,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,
NJH2025_Sub13_HIIT_Mid,,
CP2009_Ratio M/L,,
NJH2025_Sub7_HIIT_Post,,
KBE2022_Log2_Ex_44_T,0.5755604919085511,
DB2022_Intensity L2,,
TM2022_mock.4h.C,0.5756087896655186,
AST2020_anti-CD3.2,0.578481449060303,
CW2012_10 µM Erl/control Experiment 1 Replicate B,,
HS2024_7_B_N1,0.5808597900048088,
FSO2013_Ratio M/L normalized Rep1___1,0.5415606603146917,
SAS2015_AZD/DMSO_Exp3,,
RM2024_Intensity D0-2___3,,
RM2024_Intensity D6-1,,
RB2022_8_RecoverySprint,0.5699174872223705,
RB2022_5_PreEndurance,0.5671736295854765,
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,,
EP2017_Untreated R#4 normalized log2 ratio,0.5798810142975941,
WZ2023_Pu_010_30min,0.5744092291959126,0.36856603285149864
AS2011_Ratio H/L Proteins RNAi_2,,
RB2022_4_PreStrength,,
NJH2024_Sub4_MICT_Post,,
AH2018_LFQ_M_1_X,0.5626818771961895,
RB2022_8_RecoveryEndurance,0.5708308159554691,
KBE2022_Log2_Ex_14_U,0.5502114814305132,
FSO2013_Ratio M/L normalized Rep3___3,,
AH2018_TMTMS3_1_C,0.5619142137145812,
JJ2018_Ratio H/L normalized___1,0.5617522675032286,
ZQ2022_C2,,
RB2022_5_PreSprint,0.5746817488945982,
PG2020_Intensity 8h_C,0.5767742188465989,
AH2018_SILAC_MR_2_N,,
MV2014_Ratio M/L normalized A1___2 (2 min),,
TM2022_S2.8h.B,0.5756145744552019,
MV2014_Ratio M/H normalized B3___1 (30 min),,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,0.5638893804826652,
RM2024_Intensity D6-1___2,,
NJH2025_Sub7_MICT_Mid,,
LY2019_P1+,0.5487689107641169,
AS2011_Ratio H/L Proteins Inhi_2,,
BS2014_Log2(Ratio H/L normalized),,
UK2020_HCM_2,0.5614237016925884,
FSO2013_Ratio H/L normalized Rep2___2,0.512794069693164,
EP2017_Pervanadate R#3 normalized log2 ratio,0.555968243400026,
RM2024_Intensity D4-3___3,,
RB2022_5_PreStrength,0.5704257772609327,
NJH2024_Sub4_MICT_Mid,,
TM2022_S2.4h.A,0.5748589173483872,
RB2022_5_PostStrength,0.5751155227714921,
GF2025_P6_Sph,0.5661178489793037,
RB2022_2_PreSprint,,
ZX2022_CB treated Replicate 3,0.5565292776951755,
RM2024_Intensity D6-2___3,,
WZ2023_Pe_025_10min,0.5901359286216983,0.37260326038974495
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,
AST2020_anti-CD3+PDL2.1,0.578646852764336,
KBE2022_Log2_Ex_34_U,0.5699385684502879,
WZ2023_Pu_005_10min,0.5931265624074755,0.3525016460732158
AS2011_Ratio H/L RNAi_2_1,,
NJH2024_Sub9_HIIT_Mid,,
CK2022_9 40-1,,
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,,
LG2023_GSK3α-1_intensity,,
WZ2023_Pu_025_30min,0.5879973290048235,0.3339802373253949
AH2018_SILAC_MR_2_X,,
HS2024_4_PD_T2,0.6003107250560614,
NJH2024_Sub4_HIIT_Pre,,
RB2022_2_RecoverySprint,,
AS2011_Ratio H/L Protein RNAi_1,,
RM2024_Intensity D2-1___2,,
CR2017_Ratio Replicate 1.4,0.5696568849017509,
FR2021_Norm.Intensity.B,0.5898416410428214,
RM2024_Intensity D6-2___1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,0.575564853267694,
RB2022_5_PostSprint,0.5691165494984655,
EJN2021_3_Rest_Basal,0.5647563821988013,
CR2017_Ratio Replicate 1.3,0.5654698745641062,
AS2011_Ratio H/L Normalized by Protein RNAi_2,,
KTGR2014_Ratio-Rapa 7 mins,,
AMK2021_120R_p1,,
AH2018_SILAC_3_X,0.5670997007524595,
JJ2018_Ratio M/L normalized pP3,0.5656394253087579,
AH2018_SILAC_M_2_N,0.566664045233659,
HS2024_7_PD_T2,0.5607669013696477,
FSO2013_Ratio H/L normalized Rep1___1,0.5648206338412035,
AH2018_LFQ_1_C,,
AS2011_Ratio H/L Normalized Inhi_1_3,,
KBE2022_Log2_Ex_28_T,0.6245243279024119,
HS2024_3_B_N1,0.5784440919506569,
RM2024_Intensity D4-2___3,,
WZ2023_Pe_025_30min,0.5845187110118052,0.38302000807831743
CK2022_11 40-1,,
CW2012_10 µM Erl/control Experiment 3 Replicate B,,
AH2018_SILAC_2_X,0.5657496905808598,
MV2014_Ratio H/M normalized A2___2 (2 min),,
AS2011_Ratio H/L RNAi_1_2,,
KS2014_Intensity E15_1,0.5682128884447515,
FSO2013_Ratio H/L normalized Rep2,0.522994284470155,
WZ2023_Pu_005_20min,0.5734163912017584,0.3533512606016271
NJH2024_Sub10_MICT_Post,,
RM2024_Intensity D2-3___1,,
CR2017_Ratio Replicate 1.5,0.5351532706903366,
CW2012_10 µM Gef/control Experiment 2 Replicate B,,
HS2024_7_B_T3,0.5669363082375988,
CKC2017_log2 normalized phosphoproteomics_60min_rep#1,,
AS2011_Ratio H/L RNAi_1,,
JC2019_Normalised_intensity_A_TiOx_Testis_sample_URO0059,,
AH2018_LFQ_M_1_C,0.5601776081449998,
NJH2025_Sub7_MICT_Pre,,
SR2019_SKBR3_Biol_repl_2,0.5863455699790573,
HS2024_9_B_T2,0.5970052736109275,
KTGR2014_Ratio-AA 7 mins,,
MV2014_Ratio L/H normalized B3___3 (5 min),,
HS2024_3_PD_T1,0.5981756965282248,
FSO2013_Ratio M/L normalized Rep3___2,0.5738503970686392,
SR2019_BT549_Biol_repl_3,0.5673452387827389,
RCJD2014_20min_mean,,
FR2021_Norm.Intensity.H,0.5829706764531228,
RB2022_2_PreStrength,,
DB2022_LFQ intensity L1.2,,
HS2024_4_B_N1,0.5739731490277202,
KTGR2014_Ratio H M Normalized Rep2_Rapamycin_0_15,,
CK2022_1 16-1,0.56955881042716,
CK2022_1 200-1,0.5901071094210633,
PG2020_Intensity Mock_10h_D,0.5061991572304491,
SR2019_MCF10A_Biol_repl_2,0.5820751906976357,
JJ2018_Ratio M/L normalized pP2___2,,
HS2024_6_PD_T1,0.5733679026061587,
JVO2010_Ratio M/L Normalized by Protein ThymON - Log2 G1/S,,
RB2022_6_RecoveryEndurance,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3b,,
EP2017_Mitotic R#2 normalized log2 ratio,0.5673565281442906,
RCJD2014_5min_1,,
RM2024_Intensity D4-1___1,,
DL2023_24h-1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-1,0.5686559082387356,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2b,,
TM2022_S2.4h.C,0.5754978806664294,
SAS2015_PLX/AZD_Exp2,,
CR2017_Ratio Replicate 3.3,0.5846883215963424,
PG2020_Intensity 2h_C,0.5563625833751241,
VOI2024_Veh2 di,,
ZX2022_CB treated Replicate 2,0.5547060893228353,
KBE2022_Log2_Ex_8_T,0.5523426470887141,
NJH2025_Sub10_MICT_Post,,
HS2024_6_I_T3,0.5917175806448672,
RN2012_L11,0.5600208223006032,
AS2011_Ratio H/L Normalized Inhi_2_2,,
IMM2018_normalised rep. int. Empty-1,0.5723896696044827,
HS2024_5_PD_T1,0.5539327183653688,
AH2018_LFQ_M_2_C,0.5625823426950293,
CK2022_3 40-1,,
RBK2021_1260T Early,,
NJH2024_Sub4_HIIT_Post,,
HS2024_4_I_T1,0.6004512514214219,
YA2020_Reporter_intensity_Cancer_No.5,,
HH2022_Reporter intensity 8,0.5634804885163492,
ZQ2022_N2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1b,,
FSO2013_Ratio H/L normalized Rep3___3,,
AH2018_TMTMS3_2_N,0.5811595088829352,
EJN2021_5_Rest_Basal,0.5625814828752824,
NJH2025_Sub2_HIIT_Post,0.5414858116630789,
NJH2025_Sub1_MICT_Post,,
HS2024_9_B_T1,0.5450440244994535,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1a,,
JAW2011_Ratio H/L LS2_1,,
JVO2010_Log2 Ratio H/M Normalized aphidicolin,,
NJH2024_Sub6_HIIT_Pre,,
AH2018_SILAC_3_N,0.5668292158137566,
YA2020_Reporter_intensity_Normal_No.1,,
HS2024_3_B_T1,0.5895632798040197,
JJ2018_Ratio H/L normalized___2,,
RM2024_Intensity D0-2,,
MV2014_Ratio M/L normalized B1___2 (5 min),,
RB2022_7_PostStrength,,
RB2022_1_PostEndurance,0.5707074909645721,
CR2017_Ratio Replicate 3,0.5682610135534104,
SR2019_Hs578T_Biol_repl_3,0.5661939214015396,
MV2014_Ratio L/H normalized B3___1 (5 min),,
RBK2021_1244T Early,,
RB2022_3_PostSprint,,
NJH2024_Sub13_MICT_Mid,,
KTGR2014_Ratio-AA 2 mins,,
GF2025_P7_Sph,0.5540670413936536,
HS2024_8_I_T3,0.5685692351871782,
CF2017_EOC 3,,
LATM2013_Normalized Log2 Ratio (Medium/Light) Forward,,
HS2024_6_PD_T3,0.5818992386463987,
DL2023_12h-2,,
RM2024_Intensity D6-3___1,,
FS2019_Ctr1,,
WZ2023_Pu_010_20min,0.5864823984280847,0.3578474684146757
AS2011_Ratio H/L_3,,
CK2022_1 40-1,,
RNJ2017_Log2_ratio_Tsup:Trest_D1,0.5642922990637683,
CK2022_8 16-1,0.5689795547321974,
KS2014_Intensity N3,0.5913118516774554,
RB2022_4_RecoveryEndurance,,
RB2022_5_RecoveryEndurance,0.5714308390845332,
JAW2011_Ratio H/L LS1a_2,,
NJH2024_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_N,,
FSO2013_Ratio H/M normalized Rep2,0.5376996897543993,
RAM2015_Log2 A,0.588318102518305,
HS2024_8_PD_T1,0.5622261693244599,
JJ2018_Ratio H/L normalized pP2,0.5614732300782981,
CF2017_OSE 27,,
KS2014_Intensity E15_2,0.5679191823307903,
BS2014_Log2(Ratio H/L protein),,
PG2020_Intensity 8h_A,0.5697985937235528,
HS2024_7_I_T1,0.5651512594962215,
VOI2024_Veh3 di,,
RKK2015_TNF-α+SC-514/basal,,
SR2019_JIMT1_Biol_repl_1,0.5909777146942181,
HW2015_Ratio H/L normalized Exp2,,
HS2024_3_I_N1,0.5752903716219658,
AH2018_SILAC_M_3_X,0.5673234154189186,
NJH2024_Sub9_HIIT_Post,,
AS2011_Ratio H/L RNAi_1_3,,
GRW2016_Ratio H/L normalized SILAC 1___2,,
NJH2025_Sub1_HIIT_Pre,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-2,0.5671715762102341,
NJH2024_Sub4_HIIT_Mid,,
VOI2024_0.1uM 2 h_1 di,,
KBE2022_Log2_Ex_6_T,0.6189990221711604,
RM2024_Intensity D4-3___1,,
AH2018_LFQ_4_X,,
AS2011_Inhi 2_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,
RB2022_8_PostEndurance,0.5729773091742835,
NJH2025_Sub4_MICT_Mid,,
YP2020_Intensity C30_R1_mult_log2,0.5848095204809592,
AST2020_anti-CD3.1,0.5790312632312232,
NJH2025_Sub4_HIIT_Post,,
EP2017_Untreated R#4 log2 ratio,0.5813662235063706,
HS2024_6_B_N1,0.578481281972682,
KBE2022_Log2_Ex_27_T,,
CW2012_10 µM Gef/control Experiment 1 Replicate A,,
VOI2024_0.1uM 24 h_1 mono,,
AMK2021_120R_p5,,
AS2011_Ratio H/L Proteins,,
NJH2024_Sub7_HIIT_Post,,
NJH2015_TMT Subject 1 127_N/126 (Exercise/Basal) (normalized),,
AS2011_Ratio H/L RNAi_2_2,,
RB2022_7_RecoveryStrength,0.5675772142190703,
AH2018_SILAC_IT_3_X,0.5623170480348588,
JAW2011_Ratio H/L,,
PG2020_Intensity 10h_C,0.5712970900550659,
FSO2013_Ratio M/L normalized Rep2,0.514593416541986,
CP2009_Ratio H/M Normalized (50 nM dasatinib vs 5 nM dasatinib),,
HH2022_Reporter intensity 5,0.5726715946417764,
SR2019_HCC1954_Biol_repl_2,0.5825836893595538,
CK2022_14 40-1,,
RB2022_6_PreSprint,,
NJH2025_Sub12_MICT_Mid,,
PG2020_Intensity 4h_D,0.5486304354904822,
NJH2025_Sub2_MICT_Post,0.5522607424437432,
AH2018_LFQ_4_C,,
DL2023_control-1,,
AR2021_ALG 10 μM,0.5406950835351575,
JAW2011_Ratio H/L LS2_2,,
AH2018_SILAC_IT_3_N,0.5642389077961717,
EJN2021_4_Rest_Ins,0.5589404355684292,
RN2012_H05,0.5767199970957471,
NJH2024_Sub7_HIIT_Mid,,
GF2025_P2_Adh,0.5684703035820997,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4b,,
RB2022_8_PostSprint,0.5663977264422001,
EJN2021_1_Rest_Ins,0.5627344392818124,
HH2022_Reporter intensity 3,0.5613979152250559,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4b,,
AH2018_SILAC_IT_1_C,0.5614348202107723,
JW2021_After_3,,
GF2025_P8_Sph,0.568905620872341,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4,,
JJ2018_Ratio M/L normalized pP2___1,0.5564777519545911,
AH2018_SILAC_2_N,0.5662506613011408,
CK2022_11 200-1,0.5851912867934188,
CK2022_12 200-1,0.5735706564493135,
AS2011_Ratio H/L Normalized by Protein RNAi_1,,
RM2024_Intensity D2-1___3,,
NJH2024_Sub1_MICT_Pre,,
HH2022_Reporter intensity 9,0.5733982569637671,
WZ2023_Su_010_20min,0.5758350895334549,0.364361226774708
AH2018_TMTMS2_2_N,0.5633991494971938,
NJH2024_Sub13_MICT_Pre,,
KBE2022_Log2_Ex_41_U,0.5668787745541524,
NJH2015_TMT Subject 3 129_N/128_C (Exercise/Basal) (normalized),,
AH2018_TMTMS3_Pool,0.5675885587427248,
KS2014_Intensity N4,0.5754678024023744,
NJH2024_Sub1_HIIT_Post,,
MM2018_Ratio H/L replicate2,0.5558707543936798,
RM2024_Intensity D4-2___2,,
NJH2024_Sub13_HIIT_Pre,,
CF2017_OSE 26,0.5823173315054928,
CK2022_14 200-1,0.583160761832479,
SR2019_Hs578T_Biol_repl_1,0.5737095178742527,
RB2022_7_PostSprint,0.5615311468145902,
TM2022_mock.4h.A,0.5747736222171881,
NJH2025_Sub12_HIIT_Pre,,
AH2018_TMTMS3_1_N,0.5802647864844456,
AST2020_anti-CD3+PDL2.2,0.5790910939358327,
PG2020_Intensity Mock_10h_A,0.5618331535423204,
JW2021_After_2,,
NJH2024_Sub2_MICT_Post,0.5522607424437432,
EJN2021_2_Rest_Ins,0.563446231559529,
SR2019_LM2_Biol_repl_4,0.5674628844037811,
CP2009_Ratio H/M,,
JAW2011_Ratio H/L HS,,
CK2022_13 16-1,0.5583098598469997,
GF2025_P1_Adh,0.5459541098531197,
GF2025_P1_Sph,0.5416783339400424,
EJN2021_5_Ex_Basal,0.5595503365421348,
HS2024_7_I_T3,0.5946481212262158,
JJ2018_Ratio H/L normalized pP2___2,,
WZ2023_Pe_010_10min,0.5903534950411234,0.35991457329523824
CF2017_EOC 1,0.5796907204536456,
CK2022_3 200-1,0.5881319677776955,
AH2018_LFQ_IT_3_C,0.5645872856451017,
SR2019_Hs578T_Biol_repl_2,0.5728152149802048,
NJH2024_Sub12_HIIT_Post,,
JJ2018_Ratio H/L normalized pP1___2,,
MV2014_Ratio H/L normalized A1___2 (10 min),,
NJH2024_Sub10_MICT_Mid,,
NJH2024_Sub13_MICT_Post,,
BS2014_Log2(Ratio H/L normalized Rep_1),,
RB2022_3_RecoverySprint,,
NJH2025_Sub1_HIIT_Mid,,
RCJD2014_20min_2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2,,
HS2024_6_PD_T2,0.6081290451659646,
HS2024_5_B_T1,0.5946806664759752,
CW2012_10 µM Gef/control Experiment 2 Replicate A,,
DL2023_12h-3,,
SR2019_MDAMB231_Biol_repl_2,0.5730422998333383,
HS2024_3_B_T2,0.5787218543387435,
RB2022_6_PreStrength,,
CK2022_2 40-1,,
RB2022_1_PostSprint,0.5691638388772948,
CK2022_4 200-1,0.5859177365101224,
JW2021_Before_2,,
TM2022_S2.12h.A,0.5761766434007916,
MV2014_Ratio L/M normalized B2___2 (30 min),,
CK2022_5 16-1,0.5667588221274592,
AR2021_ALG 1 μM,0.5367555919010131,
HS2024_4_B_T1,0.5940351355568233,
MV2014_Ratio M/H normalized A3___1 (10 min),,
SR2019_BT549_Biol_repl_4,0.565903183201394,
EJN2021_1_Rest_Basal,0.5638947738505382,
NJH2025_Sub8_MICT_Post,,
RCJD2014_5min_3,,
CR2017_Ratio Replicate 3.2,0.5601019146939252,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as3a,,
GF2025_P7_Adh,0.54288695199985,
CK2022_9 16-1,0.5631247526738634,
NJH2024_Sub6_HIIT_Post,,
AMK2021_30R_p3,,
AS2011_Ratio H/L Normalized RNAi_2,,
RM2024_Intensity D0-2___2,,
KS2014_Intensity pY_N4,,
CK2022_13 200-1,0.5819322656690941,
AS2011_Ratio H/L Normalized_2,,
PG2020_Intensity 6h_D,0.5498529819645288,
CK2022_16 16-1,0.5564060740232984,
FS2019_db/db3,,
CK2022_15 40-1,,
NJH2024_Sub9_MICT_Pre,,
BS2014_Log2(Ratio H/L unmodified peptide),,
WZ2023_Su_005_10min,0.5719587813631789,0.3446283372047601
RM2009_Ratio M/L (M:15 min timepoint;L:0 min. timepoint),,
KBE2022_Log2_Ex_41_T,0.5709878344905364,
AMK2021_Ctrl_p1,,
AH2018_LFQ_IT_3_X,0.5657186002806717,
HS2024_5_PD_T3,0.5627134559286451,
AH2018_TMTMS3_3_X,0.5798491483816224,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2,,
KBE2022_Log2_Ex_40_U,0.5496647970863034,
AH2018_LFQ_M_1_N,0.5606605119127144,
KBE2022_Log2_Ex_27_U,,
HW2015_Ratio M/L normalized Exp3,,
RKK2015_TNF-α/IKKb(K44M),,
AH2018_SILAC_M_1_N,,
