DatasetName,MMTAG2_S(155) MMTAG2_S(170) MMTAG2_S(178) MMTAG2_S(233),MMTAG2_S(11) MMTAG2_S(123) MMTAG2_S(125) MMTAG2_S(127) MMTAG2_S(164) MMTAG2_S(177) MMTAG2_S(209) MMTAG2_S(216) MMTAG2_S(217) MMTAG2_S(220) MMTAG2_S(225) MMTAG2_S(231) MMTAG2_S(235) MMTAG2_S(246) MMTAG2_S(261) MMTAG2_T(175) MMTAG2_T(215) MMTAG2_T(219)
RM2024_Intensity D4-1___3,,
RB2022_4_PostEndurance,,
FSO2013_Ratio M/L normalized Rep3,,0.5527826119896322
SR2019_MCF7_Biol_repl_3,,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),,0.5298635024058147
SR2019_LM2_Biol_repl_1,,
RCJD2014_15min_1,,0.5379672230957451
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,
CK2022_7 16-1,,0.5311523122885755
NJH2025_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_C,,
RKK2015_TNF-α/basal,,0.5141842840580353
JJ2018_Ratio H/M normalized pP2,,
NJH2025_Sub12_MICT_Pre,,
NJH2025_Sub7_MICT_Post,,
DL2023_control-3,,
ZX2022_Control Replicate 2,,0.5507850655247695
HS2024_6_B_T3,,0.5027324388674964
JW2015_Intensity pre1,,
IMM2018_normalised rep. int. Empty-3,,0.5482077161766951
AMK2021_30R_p5,,
FSO2013_Ratio M/L normalized Rep1,,0.5525336137948655
SR2019_MDAMB231_Biol_repl_4,,
GF2025_P2_Sph,,0.5430537801031571
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,
NJH2025_Sub13_HIIT_Mid,,
CP2009_Ratio M/L,,
NJH2025_Sub7_HIIT_Post,,
KBE2022_Log2_Ex_44_T,,0.5450714967739293
DB2022_Intensity L2,,
TM2022_mock.4h.C,,
AST2020_anti-CD3.2,,0.5386115981921598
CW2012_10 µM Erl/control Experiment 1 Replicate B,,
HS2024_7_B_N1,,0.5316642888080784
FSO2013_Ratio M/L normalized Rep1___1,,0.5400568870861453
SAS2015_AZD/DMSO_Exp3,,0.5362154330394464
RM2024_Intensity D0-2___3,,
RM2024_Intensity D6-1,,
RB2022_8_RecoverySprint,,
RB2022_5_PreEndurance,,
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,,
EP2017_Untreated R#4 normalized log2 ratio,,0.5206953804738036
WZ2023_Pu_010_30min,,0.549896714293736
AS2011_Ratio H/L Proteins RNAi_2,,
RB2022_4_PreStrength,,
NJH2024_Sub4_MICT_Post,,
AH2018_LFQ_M_1_X,,
RB2022_8_RecoveryEndurance,,
KBE2022_Log2_Ex_14_U,,0.5497709961078089
FSO2013_Ratio M/L normalized Rep3___3,,0.5318292401344098
AH2018_TMTMS3_1_C,,
JJ2018_Ratio H/L normalized___1,,
ZQ2022_C2,,0.5567262514101778
RB2022_5_PreSprint,,
PG2020_Intensity 8h_C,,0.560164969727966
AH2018_SILAC_MR_2_N,,
MV2014_Ratio M/L normalized A1___2 (2 min),,
TM2022_S2.8h.B,,
MV2014_Ratio M/H normalized B3___1 (30 min),,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,,
RM2024_Intensity D6-1___2,,
NJH2025_Sub7_MICT_Mid,,
LY2019_P1+,,0.5509585642599507
AS2011_Ratio H/L Proteins Inhi_2,,
BS2014_Log2(Ratio H/L normalized),,0.5437845699867234
UK2020_HCM_2,,
FSO2013_Ratio H/L normalized Rep2___2,,0.542137173724189
EP2017_Pervanadate R#3 normalized log2 ratio,,0.5296682061950099
RM2024_Intensity D4-3___3,,
RB2022_5_PreStrength,,
NJH2024_Sub4_MICT_Mid,,
TM2022_S2.4h.A,,
RB2022_5_PostStrength,,
GF2025_P6_Sph,,0.539062997025415
RB2022_2_PreSprint,,
ZX2022_CB treated Replicate 3,,0.5492084103815519
RM2024_Intensity D6-2___3,,
WZ2023_Pe_025_10min,,0.5504801237846249
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,
AST2020_anti-CD3+PDL2.1,,0.5379795324966752
KBE2022_Log2_Ex_34_U,,0.5434346800661635
WZ2023_Pu_005_10min,,0.5487915131751427
AS2011_Ratio H/L RNAi_2_1,,
NJH2024_Sub9_HIIT_Mid,,
CK2022_9 40-1,,0.5267522709238791
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,,
LG2023_GSK3α-1_intensity,,
WZ2023_Pu_025_30min,,0.5503311813698051
AH2018_SILAC_MR_2_X,,
HS2024_4_PD_T2,,0.5893965341886552
NJH2024_Sub4_HIIT_Pre,,
RB2022_2_RecoverySprint,,
AS2011_Ratio H/L Protein RNAi_1,,
RM2024_Intensity D2-1___2,,
CR2017_Ratio Replicate 1.4,,0.5468617955464674
FR2021_Norm.Intensity.B,,0.5515226934545718
RM2024_Intensity D6-2___1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,,
RB2022_5_PostSprint,,
EJN2021_3_Rest_Basal,,
CR2017_Ratio Replicate 1.3,,0.5429633330100034
AS2011_Ratio H/L Normalized by Protein RNAi_2,,
KTGR2014_Ratio-Rapa 7 mins,,
AMK2021_120R_p1,,
AH2018_SILAC_3_X,,
JJ2018_Ratio M/L normalized pP3,,
AH2018_SILAC_M_2_N,,
HS2024_7_PD_T2,,0.5333481584747366
FSO2013_Ratio H/L normalized Rep1___1,,0.5444336316282209
AH2018_LFQ_1_C,,
AS2011_Ratio H/L Normalized Inhi_1_3,,
KBE2022_Log2_Ex_28_T,,0.5447583813612931
HS2024_3_B_N1,,0.543938663115593
RM2024_Intensity D4-2___3,,
WZ2023_Pe_025_30min,,0.5500135715535162
CK2022_11 40-1,,0.5277761305025587
CW2012_10 µM Erl/control Experiment 3 Replicate B,,
AH2018_SILAC_2_X,,
MV2014_Ratio H/M normalized A2___2 (2 min),,0.5369180508759134
AS2011_Ratio H/L RNAi_1_2,,
KS2014_Intensity E15_1,,0.5387641210534828
FSO2013_Ratio H/L normalized Rep2,,0.5409115490839094
WZ2023_Pu_005_20min,,0.5499474846298296
NJH2024_Sub10_MICT_Post,,
RM2024_Intensity D2-3___1,,
CR2017_Ratio Replicate 1.5,,0.5574279866257037
CW2012_10 µM Gef/control Experiment 2 Replicate B,,
HS2024_7_B_T3,,0.5687448056105696
CKC2017_log2 normalized phosphoproteomics_60min_rep#1,,
AS2011_Ratio H/L RNAi_1,,
JC2019_Normalised_intensity_A_TiOx_Testis_sample_URO0059,,
AH2018_LFQ_M_1_C,,
NJH2025_Sub7_MICT_Pre,,
SR2019_SKBR3_Biol_repl_2,,
HS2024_9_B_T2,,0.5123691107687827
KTGR2014_Ratio-AA 7 mins,,
MV2014_Ratio L/H normalized B3___3 (5 min),,
HS2024_3_PD_T1,,0.5483795384214072
FSO2013_Ratio M/L normalized Rep3___2,,0.5519738304289104
SR2019_BT549_Biol_repl_3,,
RCJD2014_20min_mean,,0.5523793033664292
FR2021_Norm.Intensity.H,,0.5487691161015682
RB2022_2_PreStrength,,
DB2022_LFQ intensity L1.2,,
HS2024_4_B_N1,,0.5741999702937592
KTGR2014_Ratio H M Normalized Rep2_Rapamycin_0_15,,
CK2022_1 16-1,,0.5328492078204743
CK2022_1 200-1,0.33011024165602476,0.5174400396982779
PG2020_Intensity Mock_10h_D,,0.5656173786755049
SR2019_MCF10A_Biol_repl_2,,
JJ2018_Ratio M/L normalized pP2___2,,
HS2024_6_PD_T1,,0.5656600566818893
JVO2010_Ratio M/L Normalized by Protein ThymON - Log2 G1/S,,
RB2022_6_RecoveryEndurance,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3b,,
EP2017_Mitotic R#2 normalized log2 ratio,,0.5263129960216633
RCJD2014_5min_1,,0.5249390227040087
RM2024_Intensity D4-1___1,,
DL2023_24h-1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2b,,
TM2022_S2.4h.C,,
SAS2015_PLX/AZD_Exp2,,0.544788018334583
CR2017_Ratio Replicate 3.3,,0.5422976755869238
PG2020_Intensity 2h_C,,0.5616742950567732
VOI2024_Veh2 di,,
ZX2022_CB treated Replicate 2,,0.55000039923079
KBE2022_Log2_Ex_8_T,,0.5459984768356894
NJH2025_Sub10_MICT_Post,,
HS2024_6_I_T3,,0.5367960602873615
RN2012_L11,,0.5369648510421978
AS2011_Ratio H/L Normalized Inhi_2_2,,
IMM2018_normalised rep. int. Empty-1,,0.5485682483842012
HS2024_5_PD_T1,,0.5487052918839467
AH2018_LFQ_M_2_C,,
CK2022_3 40-1,,0.5315687834491245
RBK2021_1260T Early,,
NJH2024_Sub4_HIIT_Post,,
HS2024_4_I_T1,,0.5579127756217344
YA2020_Reporter_intensity_Cancer_No.5,,
HH2022_Reporter intensity 8,,
ZQ2022_N2,,0.525188108965797
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1b,,
FSO2013_Ratio H/L normalized Rep3___3,,0.580450207732181
AH2018_TMTMS3_2_N,,
EJN2021_5_Rest_Basal,,
NJH2025_Sub2_HIIT_Post,,
NJH2025_Sub1_MICT_Post,,
HS2024_9_B_T1,,0.5263918028332335
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1a,,
JAW2011_Ratio H/L LS2_1,,
JVO2010_Log2 Ratio H/M Normalized aphidicolin,,
NJH2024_Sub6_HIIT_Pre,,
AH2018_SILAC_3_N,,
YA2020_Reporter_intensity_Normal_No.1,,
HS2024_3_B_T1,,0.5612132417422636
JJ2018_Ratio H/L normalized___2,,
RM2024_Intensity D0-2,,
MV2014_Ratio M/L normalized B1___2 (5 min),,
RB2022_7_PostStrength,,
RB2022_1_PostEndurance,,
CR2017_Ratio Replicate 3,,0.5336467033536952
SR2019_Hs578T_Biol_repl_3,,
MV2014_Ratio L/H normalized B3___1 (5 min),,
RBK2021_1244T Early,,
RB2022_3_PostSprint,,
NJH2024_Sub13_MICT_Mid,,
KTGR2014_Ratio-AA 2 mins,,
GF2025_P7_Sph,,0.53873482080524
HS2024_8_I_T3,,0.535578429395112
CF2017_EOC 3,,0.5383817437827854
LATM2013_Normalized Log2 Ratio (Medium/Light) Forward,,
HS2024_6_PD_T3,,0.554941748149985
DL2023_12h-2,,
RM2024_Intensity D6-3___1,,
FS2019_Ctr1,,
WZ2023_Pu_010_20min,,0.5510076297027321
AS2011_Ratio H/L_3,,
CK2022_1 40-1,,0.5319804181087526
RNJ2017_Log2_ratio_Tsup:Trest_D1,,
CK2022_8 16-1,,0.5312926698210387
KS2014_Intensity N3,0.33483164284159517,0.5446544170825675
RB2022_4_RecoveryEndurance,,
RB2022_5_RecoveryEndurance,,
JAW2011_Ratio H/L LS1a_2,,
NJH2024_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_N,,
FSO2013_Ratio H/M normalized Rep2,,0.5392561603589756
RAM2015_Log2 A,,0.5442446785051022
HS2024_8_PD_T1,,0.5241006668835964
JJ2018_Ratio H/L normalized pP2,,
CF2017_OSE 27,,0.5394132648560159
KS2014_Intensity E15_2,,
BS2014_Log2(Ratio H/L protein),,
PG2020_Intensity 8h_A,,0.5620250813751395
HS2024_7_I_T1,,0.5736548985746984
VOI2024_Veh3 di,,
RKK2015_TNF-α+SC-514/basal,,0.5249505136429364
SR2019_JIMT1_Biol_repl_1,,
HW2015_Ratio H/L normalized Exp2,,
HS2024_3_I_N1,,0.5482835667481276
AH2018_SILAC_M_3_X,,
NJH2024_Sub9_HIIT_Post,,
AS2011_Ratio H/L RNAi_1_3,,
GRW2016_Ratio H/L normalized SILAC 1___2,,
NJH2025_Sub1_HIIT_Pre,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-2,,0.5228444814074372
NJH2024_Sub4_HIIT_Mid,,
VOI2024_0.1uM 2 h_1 di,,
KBE2022_Log2_Ex_6_T,,0.5454739304251214
RM2024_Intensity D4-3___1,,
AH2018_LFQ_4_X,,
AS2011_Inhi 2_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,
RB2022_8_PostEndurance,,
NJH2025_Sub4_MICT_Mid,,
YP2020_Intensity C30_R1_mult_log2,,0.5502789641868138
AST2020_anti-CD3.1,,0.5368567686294328
NJH2025_Sub4_HIIT_Post,,
EP2017_Untreated R#4 log2 ratio,,0.5213498306639335
HS2024_6_B_N1,,0.5510195688830525
KBE2022_Log2_Ex_27_T,0.325078604079499,0.5449386052886345
CW2012_10 µM Gef/control Experiment 1 Replicate A,,
VOI2024_0.1uM 24 h_1 mono,,
AMK2021_120R_p5,,
AS2011_Ratio H/L Proteins,,
NJH2024_Sub7_HIIT_Post,,
NJH2015_TMT Subject 1 127_N/126 (Exercise/Basal) (normalized),,0.5454857022850097
AS2011_Ratio H/L RNAi_2_2,,
RB2022_7_RecoveryStrength,,
AH2018_SILAC_IT_3_X,,
JAW2011_Ratio H/L,,
PG2020_Intensity 10h_C,,0.5451341756341295
FSO2013_Ratio M/L normalized Rep2,,0.5406693843678473
CP2009_Ratio H/M Normalized (50 nM dasatinib vs 5 nM dasatinib),,
HH2022_Reporter intensity 5,,
SR2019_HCC1954_Biol_repl_2,,
CK2022_14 40-1,,0.5395705038074838
RB2022_6_PreSprint,,
NJH2025_Sub12_MICT_Mid,,
PG2020_Intensity 4h_D,,0.5545069723425203
NJH2025_Sub2_MICT_Post,,
AH2018_LFQ_4_C,,
DL2023_control-1,,
AR2021_ALG 10 μM,,0.5480464252201247
JAW2011_Ratio H/L LS2_2,,
AH2018_SILAC_IT_3_N,,
EJN2021_4_Rest_Ins,,
RN2012_H05,,0.5488879053745646
NJH2024_Sub7_HIIT_Mid,,
GF2025_P2_Adh,,0.5435084445787808
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4b,,
RB2022_8_PostSprint,,
EJN2021_1_Rest_Ins,,
HH2022_Reporter intensity 3,0.33074046510826116,0.5450330286935461
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4b,,
AH2018_SILAC_IT_1_C,,
JW2021_After_3,,
GF2025_P8_Sph,,0.5385358115178138
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4,,
JJ2018_Ratio M/L normalized pP2___1,,
AH2018_SILAC_2_N,,
CK2022_11 200-1,0.3142386805847923,0.5150269372004079
CK2022_12 200-1,,0.5175779240702656
AS2011_Ratio H/L Normalized by Protein RNAi_1,,
RM2024_Intensity D2-1___3,,
NJH2024_Sub1_MICT_Pre,,
HH2022_Reporter intensity 9,,
WZ2023_Su_010_20min,,0.5492505145757389
AH2018_TMTMS2_2_N,,
NJH2024_Sub13_MICT_Pre,,
KBE2022_Log2_Ex_41_U,,0.5442243987981903
NJH2015_TMT Subject 3 129_N/128_C (Exercise/Basal) (normalized),,0.5454812786229344
AH2018_TMTMS3_Pool,,
KS2014_Intensity N4,0.32439426500835866,0.5455065039505685
NJH2024_Sub1_HIIT_Post,,
MM2018_Ratio H/L replicate2,,0.5445955723942594
RM2024_Intensity D4-2___2,,
NJH2024_Sub13_HIIT_Pre,,
CF2017_OSE 26,,
CK2022_14 200-1,0.341269174481425,0.5297206633216468
SR2019_Hs578T_Biol_repl_1,,
RB2022_7_PostSprint,,
TM2022_mock.4h.A,,
NJH2025_Sub12_HIIT_Pre,,
AH2018_TMTMS3_1_N,,
AST2020_anti-CD3+PDL2.2,,0.5380905125188523
PG2020_Intensity Mock_10h_A,,0.5590949407260813
JW2021_After_2,,
NJH2024_Sub2_MICT_Post,,
EJN2021_2_Rest_Ins,,
SR2019_LM2_Biol_repl_4,,
CP2009_Ratio H/M,,
JAW2011_Ratio H/L HS,,
CK2022_13 16-1,,0.538889065790998
GF2025_P1_Adh,,0.5452952813362291
GF2025_P1_Sph,,0.5455049745081285
EJN2021_5_Ex_Basal,,
HS2024_7_I_T3,,0.5318444181690578
JJ2018_Ratio H/L normalized pP2___2,,
WZ2023_Pe_010_10min,,0.5495731688455785
CF2017_EOC 1,,0.5490065868027698
CK2022_3 200-1,0.32592116302661556,0.517462584002045
AH2018_LFQ_IT_3_C,,
SR2019_Hs578T_Biol_repl_2,,
NJH2024_Sub12_HIIT_Post,,
JJ2018_Ratio H/L normalized pP1___2,,
MV2014_Ratio H/L normalized A1___2 (10 min),,
NJH2024_Sub10_MICT_Mid,,
NJH2024_Sub13_MICT_Post,,
BS2014_Log2(Ratio H/L normalized Rep_1),,0.5415263118514866
RB2022_3_RecoverySprint,,
NJH2025_Sub1_HIIT_Mid,,
RCJD2014_20min_2,,0.5316252398707607
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2,,
HS2024_6_PD_T2,,0.5602880869097087
HS2024_5_B_T1,,0.5590952117026936
CW2012_10 µM Gef/control Experiment 2 Replicate A,,
DL2023_12h-3,,
SR2019_MDAMB231_Biol_repl_2,,
HS2024_3_B_T2,,0.5559905199306281
RB2022_6_PreStrength,,
CK2022_2 40-1,,0.5309222218569397
RB2022_1_PostSprint,,
CK2022_4 200-1,0.3264720835773409,0.5153646827725755
JW2021_Before_2,,
TM2022_S2.12h.A,,
MV2014_Ratio L/M normalized B2___2 (30 min),,0.543456600683064
CK2022_5 16-1,,0.5312749861348784
AR2021_ALG 1 μM,,0.53983615699735
HS2024_4_B_T1,,0.5328157137487264
MV2014_Ratio M/H normalized A3___1 (10 min),,
SR2019_BT549_Biol_repl_4,,
EJN2021_1_Rest_Basal,,
NJH2025_Sub8_MICT_Post,,
RCJD2014_5min_3,,0.5536864747745505
CR2017_Ratio Replicate 3.2,,0.5486744810957763
FSO2012_Ratio -/+ 3-MB-PP1 exp. as3a,,
GF2025_P7_Adh,,0.5388469161576008
CK2022_9 16-1,,0.5224864678566373
NJH2024_Sub6_HIIT_Post,,
AMK2021_30R_p3,,
AS2011_Ratio H/L Normalized RNAi_2,,
RM2024_Intensity D0-2___2,,
KS2014_Intensity pY_N4,,
CK2022_13 200-1,0.34609611627574655,0.5316545343894883
AS2011_Ratio H/L Normalized_2,,
PG2020_Intensity 6h_D,,0.5590547836429833
CK2022_16 16-1,,0.5370588742780859
FS2019_db/db3,,
CK2022_15 40-1,,0.5385481374833458
NJH2024_Sub9_MICT_Pre,,
BS2014_Log2(Ratio H/L unmodified peptide),,
WZ2023_Su_005_10min,,0.5497852161260157
RM2009_Ratio M/L (M:15 min timepoint;L:0 min. timepoint),,
KBE2022_Log2_Ex_41_T,,0.54697028656066
AMK2021_Ctrl_p1,,
AH2018_LFQ_IT_3_X,,
HS2024_5_PD_T3,,0.5380489972271187
AH2018_TMTMS3_3_X,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2,,
KBE2022_Log2_Ex_40_U,,0.5474321331403597
AH2018_LFQ_M_1_N,,
KBE2022_Log2_Ex_27_U,0.33056454977260363,0.5442210026206881
HW2015_Ratio M/L normalized Exp3,,0.5351172085021074
RKK2015_TNF-α/IKKb(K44M),,0.5181465361877794
AH2018_SILAC_M_1_N,,
HW2015_Ratio M/L normalized Exp1,,
RB2022_5_RecoveryStrength,,
YP2020_Intensity P10_R1_mult_log2,,0.5503087506130333
RB2022_7_PreStrength,,
YA2020_Reporter_intensity_Normal_No.4,,
NJH2025_Sub13_HIIT_Pre,,
PG2020_Intensity CT_D,,0.5566469363644652
NJH2025_Sub9_MICT_Post,,
VOI2024_Veh1 mono,,
CK2022_12 16-1,,0.5246141919515384
RN2012_L13,,0.5534281387263364
LG2023_Control-1_intensity,,
RM2024_Intensity D6-3___2,,
