DatasetName,DTD1_S(193),DTD1_S(12) DTD1_S(179) DTD1_S(182) DTD1_S(194) DTD1_S(196) DTD1_S(197) DTD1_S(204) DTD1_S(205) DTD1_S(4)
RM2024_Intensity D4-1___3,,
RB2022_4_PostEndurance,,
FSO2013_Ratio M/L normalized Rep3,,
SR2019_MCF7_Biol_repl_3,,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),,0.5531493285343755
SR2019_LM2_Biol_repl_1,,
RCJD2014_15min_1,,0.5403030520681746
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,
CK2022_7 16-1,,0.5392486677206273
NJH2025_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_C,,0.5492825272399057
RKK2015_TNF-α/basal,,0.5036177019243877
JJ2018_Ratio H/M normalized pP2,,0.533256343345169
NJH2025_Sub12_MICT_Pre,,
NJH2025_Sub7_MICT_Post,,
DL2023_control-3,,0.5346739237011653
ZX2022_Control Replicate 2,,0.5271706522997197
HS2024_6_B_T3,,0.5788267480752466
JW2015_Intensity pre1,,
IMM2018_normalised rep. int. Empty-3,,
AMK2021_30R_p5,,
FSO2013_Ratio M/L normalized Rep1,,
SR2019_MDAMB231_Biol_repl_4,,
GF2025_P2_Sph,,0.5321569956006115
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,
NJH2025_Sub13_HIIT_Mid,,
CP2009_Ratio M/L,,
NJH2025_Sub7_HIIT_Post,,
KBE2022_Log2_Ex_44_T,,0.5445922513277165
DB2022_Intensity L2,,
TM2022_mock.4h.C,,
AST2020_anti-CD3.2,,
CW2012_10 µM Erl/control Experiment 1 Replicate B,,
HS2024_7_B_N1,,0.5589860910200147
FSO2013_Ratio M/L normalized Rep1___1,,
SAS2015_AZD/DMSO_Exp3,,0.5623933398116618
RM2024_Intensity D0-2___3,,
RM2024_Intensity D6-1,,
RB2022_8_RecoverySprint,,
RB2022_5_PreEndurance,,
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,,0.5312031636819914
EP2017_Untreated R#4 normalized log2 ratio,,0.5747675487324709
WZ2023_Pu_010_30min,,0.587026115311196
AS2011_Ratio H/L Proteins RNAi_2,,
RB2022_4_PreStrength,,
NJH2024_Sub4_MICT_Post,,
AH2018_LFQ_M_1_X,,0.5717265047224799
RB2022_8_RecoveryEndurance,,
KBE2022_Log2_Ex_14_U,,0.5501424378312133
FSO2013_Ratio M/L normalized Rep3___3,,
AH2018_TMTMS3_1_C,,0.5110207599583331
JJ2018_Ratio H/L normalized___1,,0.522631740502789
ZQ2022_C2,,
RB2022_5_PreSprint,,
PG2020_Intensity 8h_C,,0.5193114402707059
AH2018_SILAC_MR_2_N,,0.5740340109179729
MV2014_Ratio M/L normalized A1___2 (2 min),,
TM2022_S2.8h.B,,
MV2014_Ratio M/H normalized B3___1 (30 min),,0.5266915395130968
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,,
RM2024_Intensity D6-1___2,,
NJH2025_Sub7_MICT_Mid,,
LY2019_P1+,,0.5037356195094274
AS2011_Ratio H/L Proteins Inhi_2,,
BS2014_Log2(Ratio H/L normalized),,0.5500060559383496
UK2020_HCM_2,,0.5343691286068905
FSO2013_Ratio H/L normalized Rep2___2,,
EP2017_Pervanadate R#3 normalized log2 ratio,,0.5392973634974363
RM2024_Intensity D4-3___3,,
RB2022_5_PreStrength,,
NJH2024_Sub4_MICT_Mid,,
TM2022_S2.4h.A,,
RB2022_5_PostStrength,,
GF2025_P6_Sph,,0.5455389039533876
RB2022_2_PreSprint,,
ZX2022_CB treated Replicate 3,,0.5290824113575735
RM2024_Intensity D6-2___3,,
WZ2023_Pe_025_10min,,0.5727881723494979
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,
AST2020_anti-CD3+PDL2.1,,
KBE2022_Log2_Ex_34_U,,0.5504931701649284
WZ2023_Pu_005_10min,,0.5822871480332305
AS2011_Ratio H/L RNAi_2_1,,
NJH2024_Sub9_HIIT_Mid,,
CK2022_9 40-1,,0.5206959010541005
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,,
LG2023_GSK3α-1_intensity,,
WZ2023_Pu_025_30min,,0.5864560420631646
AH2018_SILAC_MR_2_X,,0.5707284157886645
HS2024_4_PD_T2,,0.5285660428842776
NJH2024_Sub4_HIIT_Pre,,
RB2022_2_RecoverySprint,,
AS2011_Ratio H/L Protein RNAi_1,,
RM2024_Intensity D2-1___2,,
CR2017_Ratio Replicate 1.4,,0.5354246754853277
FR2021_Norm.Intensity.B,,
RM2024_Intensity D6-2___1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,,0.5335994170392948
RB2022_5_PostSprint,,
EJN2021_3_Rest_Basal,,0.5622910453144295
CR2017_Ratio Replicate 1.3,,0.532823249526931
AS2011_Ratio H/L Normalized by Protein RNAi_2,,
KTGR2014_Ratio-Rapa 7 mins,,
AMK2021_120R_p1,,
AH2018_SILAC_3_X,,0.5555171577927414
JJ2018_Ratio M/L normalized pP3,,0.5390735806034621
AH2018_SILAC_M_2_N,,0.5383596398119768
HS2024_7_PD_T2,,0.5605646125176832
FSO2013_Ratio H/L normalized Rep1___1,,
AH2018_LFQ_1_C,,0.5675311841866316
AS2011_Ratio H/L Normalized Inhi_1_3,,
KBE2022_Log2_Ex_28_T,,0.5462126304000765
HS2024_3_B_N1,,0.5306036261352326
RM2024_Intensity D4-2___3,,
WZ2023_Pe_025_30min,,0.5819587821561029
CK2022_11 40-1,,0.5242715641641676
CW2012_10 µM Erl/control Experiment 3 Replicate B,,
AH2018_SILAC_2_X,,0.554578752603069
MV2014_Ratio H/M normalized A2___2 (2 min),,0.52796930241758
AS2011_Ratio H/L RNAi_1_2,,
KS2014_Intensity E15_1,,0.5342139462134576
FSO2013_Ratio H/L normalized Rep2,,
WZ2023_Pu_005_20min,,0.5875200634980182
NJH2024_Sub10_MICT_Post,,
RM2024_Intensity D2-3___1,,
CR2017_Ratio Replicate 1.5,,0.54709625861921
CW2012_10 µM Gef/control Experiment 2 Replicate B,,
HS2024_7_B_T3,,0.5374788977800586
CKC2017_log2 normalized phosphoproteomics_60min_rep#1,,0.5290116001592486
AS2011_Ratio H/L RNAi_1,,
JC2019_Normalised_intensity_A_TiOx_Testis_sample_URO0059,,0.5295186901403426
AH2018_LFQ_M_1_C,,0.5718150507742873
NJH2025_Sub7_MICT_Pre,,
SR2019_SKBR3_Biol_repl_2,,
HS2024_9_B_T2,,0.56115284802858
KTGR2014_Ratio-AA 7 mins,,
MV2014_Ratio L/H normalized B3___3 (5 min),,
HS2024_3_PD_T1,,0.5377278588382988
FSO2013_Ratio M/L normalized Rep3___2,,
SR2019_BT549_Biol_repl_3,,
RCJD2014_20min_mean,,0.5555346466672783
FR2021_Norm.Intensity.H,,
RB2022_2_PreStrength,,
DB2022_LFQ intensity L1.2,,
HS2024_4_B_N1,,0.5478110529950349
KTGR2014_Ratio H M Normalized Rep2_Rapamycin_0_15,,
CK2022_1 16-1,,0.5291063874482052
CK2022_1 200-1,,0.5395617616007686
PG2020_Intensity Mock_10h_D,,0.5493364749548596
SR2019_MCF10A_Biol_repl_2,,
JJ2018_Ratio M/L normalized pP2___2,,
HS2024_6_PD_T1,,0.5551310044694416
JVO2010_Ratio M/L Normalized by Protein ThymON - Log2 G1/S,,
RB2022_6_RecoveryEndurance,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3b,,
EP2017_Mitotic R#2 normalized log2 ratio,,0.5180362879189138
RCJD2014_5min_1,,0.5082136387416032
RM2024_Intensity D4-1___1,,
DL2023_24h-1,,0.5308297917311466
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-1,,0.5423732199793228
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2b,,
TM2022_S2.4h.C,,
SAS2015_PLX/AZD_Exp2,,0.5090153437434849
CR2017_Ratio Replicate 3.3,,0.5548143939925286
PG2020_Intensity 2h_C,,0.5435239320827887
VOI2024_Veh2 di,,
ZX2022_CB treated Replicate 2,,0.5294256510656499
KBE2022_Log2_Ex_8_T,,0.553246183860221
NJH2025_Sub10_MICT_Post,,
HS2024_6_I_T3,,0.5377430632510173
RN2012_L11,,
AS2011_Ratio H/L Normalized Inhi_2_2,,
IMM2018_normalised rep. int. Empty-1,,
HS2024_5_PD_T1,,0.5090120522233117
AH2018_LFQ_M_2_C,,0.5752384838322865
CK2022_3 40-1,,0.5242500736538899
RBK2021_1260T Early,,
NJH2024_Sub4_HIIT_Post,,
HS2024_4_I_T1,,0.5230543863216377
YA2020_Reporter_intensity_Cancer_No.5,,0.5021862692177519
HH2022_Reporter intensity 8,0.4945350058101999,
ZQ2022_N2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1b,,
FSO2013_Ratio H/L normalized Rep3___3,,
AH2018_TMTMS3_2_N,,0.5358743898986282
EJN2021_5_Rest_Basal,,0.5631380630160894
NJH2025_Sub2_HIIT_Post,,
NJH2025_Sub1_MICT_Post,,
HS2024_9_B_T1,,0.5819558407938744
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1a,,
JAW2011_Ratio H/L LS2_1,,
JVO2010_Log2 Ratio H/M Normalized aphidicolin,,
NJH2024_Sub6_HIIT_Pre,,
AH2018_SILAC_3_N,,0.5552098534923698
YA2020_Reporter_intensity_Normal_No.1,,0.524262097817528
HS2024_3_B_T1,,0.5317040678514618
JJ2018_Ratio H/L normalized___2,,
RM2024_Intensity D0-2,,
MV2014_Ratio M/L normalized B1___2 (5 min),,0.5275134452481116
RB2022_7_PostStrength,,
RB2022_1_PostEndurance,,
CR2017_Ratio Replicate 3,,0.5656680596090669
SR2019_Hs578T_Biol_repl_3,,
MV2014_Ratio L/H normalized B3___1 (5 min),,0.5524443443707056
RBK2021_1244T Early,,
RB2022_3_PostSprint,,
NJH2024_Sub13_MICT_Mid,,
KTGR2014_Ratio-AA 2 mins,,
GF2025_P7_Sph,,0.5519726354193365
HS2024_8_I_T3,,0.5278949545635921
CF2017_EOC 3,,0.5488039481421759
LATM2013_Normalized Log2 Ratio (Medium/Light) Forward,,
HS2024_6_PD_T3,,0.534645457648169
DL2023_12h-2,,0.539679441288317
RM2024_Intensity D6-3___1,,
FS2019_Ctr1,,0.5267843603449253
WZ2023_Pu_010_20min,,0.5809538823516845
AS2011_Ratio H/L_3,,
CK2022_1 40-1,,0.5238140246853958
RNJ2017_Log2_ratio_Tsup:Trest_D1,,
CK2022_8 16-1,,0.536363162734449
KS2014_Intensity N3,,0.5459494921059901
RB2022_4_RecoveryEndurance,,
RB2022_5_RecoveryEndurance,,
JAW2011_Ratio H/L LS1a_2,,
NJH2024_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_N,,0.5510797273468293
FSO2013_Ratio H/M normalized Rep2,,
RAM2015_Log2 A,,0.5632467119693825
HS2024_8_PD_T1,,0.5362412145267209
JJ2018_Ratio H/L normalized pP2,,0.5268870849581029
CF2017_OSE 27,,0.5580755512611904
KS2014_Intensity E15_2,,0.5383009597691178
BS2014_Log2(Ratio H/L protein),,
PG2020_Intensity 8h_A,,0.5084867527473719
HS2024_7_I_T1,,0.5631349838713083
VOI2024_Veh3 di,,
RKK2015_TNF-α+SC-514/basal,,0.5448801168724873
SR2019_JIMT1_Biol_repl_1,,
HW2015_Ratio H/L normalized Exp2,,
HS2024_3_I_N1,,0.5173516115104893
AH2018_SILAC_M_3_X,,0.5507069240259471
NJH2024_Sub9_HIIT_Post,,
AS2011_Ratio H/L RNAi_1_3,,
GRW2016_Ratio H/L normalized SILAC 1___2,,
NJH2025_Sub1_HIIT_Pre,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-2,,0.5259479018097095
NJH2024_Sub4_HIIT_Mid,,
VOI2024_0.1uM 2 h_1 di,,
KBE2022_Log2_Ex_6_T,,0.5560619421206002
RM2024_Intensity D4-3___1,,
AH2018_LFQ_4_X,,0.5682464225727006
AS2011_Inhi 2_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,
RB2022_8_PostEndurance,,
NJH2025_Sub4_MICT_Mid,,
YP2020_Intensity C30_R1_mult_log2,,0.5468819281312286
AST2020_anti-CD3.1,,
NJH2025_Sub4_HIIT_Post,,
EP2017_Untreated R#4 log2 ratio,,0.5738978384110444
HS2024_6_B_N1,,0.531016810774425
KBE2022_Log2_Ex_27_T,,0.5733472062715408
CW2012_10 µM Gef/control Experiment 1 Replicate A,,
VOI2024_0.1uM 24 h_1 mono,,0.5193543776073021
AMK2021_120R_p5,,
AS2011_Ratio H/L Proteins,,
NJH2024_Sub7_HIIT_Post,,
NJH2015_TMT Subject 1 127_N/126 (Exercise/Basal) (normalized),,0.5315352802341267
AS2011_Ratio H/L RNAi_2_2,,
RB2022_7_RecoveryStrength,,
AH2018_SILAC_IT_3_X,,0.5560116437052157
JAW2011_Ratio H/L,,
PG2020_Intensity 10h_C,,
FSO2013_Ratio M/L normalized Rep2,,
CP2009_Ratio H/M Normalized (50 nM dasatinib vs 5 nM dasatinib),,
HH2022_Reporter intensity 5,0.5544028304686676,
SR2019_HCC1954_Biol_repl_2,,
CK2022_14 40-1,,0.5129186649071711
RB2022_6_PreSprint,,
NJH2025_Sub12_MICT_Mid,,
PG2020_Intensity 4h_D,,0.5363210519258631
NJH2025_Sub2_MICT_Post,,
AH2018_LFQ_4_C,,0.5734160671790808
DL2023_control-1,,0.5246105848275454
AR2021_ALG 10 μM,,0.5047439843818948
JAW2011_Ratio H/L LS2_2,,
AH2018_SILAC_IT_3_N,,0.5577247255443543
EJN2021_4_Rest_Ins,,0.5592613615632275
RN2012_H05,,0.5396852634882083
NJH2024_Sub7_HIIT_Mid,,
GF2025_P2_Adh,,0.534619769374563
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4b,,
RB2022_8_PostSprint,,
EJN2021_1_Rest_Ins,,0.5577588095897101
HH2022_Reporter intensity 3,0.1837099569495591,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4b,,
AH2018_SILAC_IT_1_C,,0.5530421849426966
JW2021_After_3,,
GF2025_P8_Sph,,0.5450241523361061
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4,,
JJ2018_Ratio M/L normalized pP2___1,,0.5349604371490133
AH2018_SILAC_2_N,,0.5537909272470469
CK2022_11 200-1,,0.5467566743305696
CK2022_12 200-1,,0.5476103577478919
AS2011_Ratio H/L Normalized by Protein RNAi_1,,
RM2024_Intensity D2-1___3,,
NJH2024_Sub1_MICT_Pre,,
HH2022_Reporter intensity 9,0.4581415269524511,
WZ2023_Su_010_20min,,0.5864806300537634
AH2018_TMTMS2_2_N,,0.491025550202901
NJH2024_Sub13_MICT_Pre,,
KBE2022_Log2_Ex_41_U,,0.5479032060650291
NJH2015_TMT Subject 3 129_N/128_C (Exercise/Basal) (normalized),,0.5554568833039477
AH2018_TMTMS3_Pool,,0.5309576272958265
KS2014_Intensity N4,,0.5636868180488795
NJH2024_Sub1_HIIT_Post,,
MM2018_Ratio H/L replicate2,,0.5307168050829583
RM2024_Intensity D4-2___2,,
NJH2024_Sub13_HIIT_Pre,,
CF2017_OSE 26,,0.5480337405107292
CK2022_14 200-1,,0.5404992325030579
SR2019_Hs578T_Biol_repl_1,,
RB2022_7_PostSprint,,
TM2022_mock.4h.A,,
NJH2025_Sub12_HIIT_Pre,,
AH2018_TMTMS3_1_N,,0.532815347201351
AST2020_anti-CD3+PDL2.2,,
PG2020_Intensity Mock_10h_A,,0.5468504562302214
JW2021_After_2,,
NJH2024_Sub2_MICT_Post,,
EJN2021_2_Rest_Ins,,0.5667619903141083
SR2019_LM2_Biol_repl_4,,
CP2009_Ratio H/M,,
JAW2011_Ratio H/L HS,,
CK2022_13 16-1,,0.5287149539227565
GF2025_P1_Adh,,0.5529498473390578
GF2025_P1_Sph,,0.5428710253856752
EJN2021_5_Ex_Basal,,0.5490639646294811
HS2024_7_I_T3,,0.5620629439108513
JJ2018_Ratio H/L normalized pP2___2,,
WZ2023_Pe_010_10min,,0.5797355952234677
CF2017_EOC 1,,0.5608443808617968
CK2022_3 200-1,,0.5400502117469643
AH2018_LFQ_IT_3_C,,0.5538405314901702
SR2019_Hs578T_Biol_repl_2,,
NJH2024_Sub12_HIIT_Post,,
JJ2018_Ratio H/L normalized pP1___2,,
MV2014_Ratio H/L normalized A1___2 (10 min),,
NJH2024_Sub10_MICT_Mid,,
NJH2024_Sub13_MICT_Post,,
BS2014_Log2(Ratio H/L normalized Rep_1),,0.5533211284587952
RB2022_3_RecoverySprint,,
NJH2025_Sub1_HIIT_Mid,,
RCJD2014_20min_2,,0.5500795017784278
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2,,
HS2024_6_PD_T2,,0.5156684010470344
HS2024_5_B_T1,,0.5185428935662074
CW2012_10 µM Gef/control Experiment 2 Replicate A,,
DL2023_12h-3,,0.5405313033272842
SR2019_MDAMB231_Biol_repl_2,,
HS2024_3_B_T2,,0.5368228185407524
RB2022_6_PreStrength,,
CK2022_2 40-1,,0.5232777424610082
RB2022_1_PostSprint,,
CK2022_4 200-1,,0.5398167507551549
JW2021_Before_2,,
TM2022_S2.12h.A,,
MV2014_Ratio L/M normalized B2___2 (30 min),,0.535687547732111
CK2022_5 16-1,,0.5372966874676687
AR2021_ALG 1 μM,,0.5426614319210503
HS2024_4_B_T1,,0.5352630102755944
MV2014_Ratio M/H normalized A3___1 (10 min),,0.528463290255734
SR2019_BT549_Biol_repl_4,,
EJN2021_1_Rest_Basal,,0.5623398393841653
NJH2025_Sub8_MICT_Post,,
RCJD2014_5min_3,,0.5453435806775644
CR2017_Ratio Replicate 3.2,,0.5551633992210626
FSO2012_Ratio -/+ 3-MB-PP1 exp. as3a,,
GF2025_P7_Adh,,0.5474983478387305
CK2022_9 16-1,,0.5443711424096833
NJH2024_Sub6_HIIT_Post,,
AMK2021_30R_p3,,
AS2011_Ratio H/L Normalized RNAi_2,,
RM2024_Intensity D0-2___2,,
KS2014_Intensity pY_N4,,
CK2022_13 200-1,,0.5390849646755738
AS2011_Ratio H/L Normalized_2,,
PG2020_Intensity 6h_D,,0.5438214668766381
CK2022_16 16-1,,0.529981925122145
FS2019_db/db3,,0.540047360285844
CK2022_15 40-1,,0.5152728251870135
NJH2024_Sub9_MICT_Pre,,
BS2014_Log2(Ratio H/L unmodified peptide),,
WZ2023_Su_005_10min,,0.5892592972371693
RM2009_Ratio M/L (M:15 min timepoint;L:0 min. timepoint),,
KBE2022_Log2_Ex_41_T,,0.5479991614741344
AMK2021_Ctrl_p1,,
AH2018_LFQ_IT_3_X,,0.5545329972021239
HS2024_5_PD_T3,,0.5654155602714243
AH2018_TMTMS3_3_X,,0.537931875287895
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2,,
KBE2022_Log2_Ex_40_U,,0.5478421295078714
AH2018_LFQ_M_1_N,,0.5731349441012638
KBE2022_Log2_Ex_27_U,,0.5690847538823882
HW2015_Ratio M/L normalized Exp3,,
RKK2015_TNF-α/IKKb(K44M),,0.5264337596079173
AH2018_SILAC_M_1_N,,0.5515492888314528
HW2015_Ratio M/L normalized Exp1,,
RB2022_5_RecoveryStrength,,
YP2020_Intensity P10_R1_mult_log2,,
RB2022_7_PreStrength,,
YA2020_Reporter_intensity_Normal_No.4,,0.5153448360066868
NJH2025_Sub13_HIIT_Pre,,
PG2020_Intensity CT_D,,0.5500293752237705
