DatasetName,LRBA_S(10) LRBA_S(1015) LRBA_S(1100) LRBA_S(1118) LRBA_S(1133) LRBA_S(1135) LRBA_S(1139) LRBA_S(1231) LRBA_S(1247) LRBA_S(1261) LRBA_S(1299) LRBA_S(1477) LRBA_S(1488) LRBA_S(1498) LRBA_S(1669) LRBA_S(1767) LRBA_S(1787) LRBA_S(2053) LRBA_S(2054) LRBA_S(2064) LRBA_S(2201) LRBA_S(2496) LRBA_S(2809) LRBA_S(3) LRBA_S(7) LRBA_S(968) LRBA_S(979) LRBA_T(1120) LRBA_T(14) LRBA_T(1667) LRBA_T(1962) LRBA_T(2051),LRBA_S(2065),LRBA_S(173)
RM2024_Intensity D4-1___3,,,
RB2022_4_PostEndurance,0.5163347118238999,,
FSO2013_Ratio M/L normalized Rep3,0.5219595155285353,,
SR2019_MCF7_Biol_repl_3,,,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),,,
SR2019_LM2_Biol_repl_1,,,
RCJD2014_15min_1,,,
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,,
CK2022_7 16-1,0.5158616234832496,,
NJH2025_Sub12_HIIT_Mid,,,
AH2018_LFQ_IT_1_C,,,
RKK2015_TNF-α/basal,,,
JJ2018_Ratio H/M normalized pP2,,,
NJH2025_Sub12_MICT_Pre,,,
NJH2025_Sub7_MICT_Post,,,
DL2023_control-3,,,
ZX2022_Control Replicate 2,0.5115670901552122,,
HS2024_6_B_T3,,,
JW2015_Intensity pre1,,,
IMM2018_normalised rep. int. Empty-3,,,
AMK2021_30R_p5,,,
FSO2013_Ratio M/L normalized Rep1,0.518164758847419,,
SR2019_MDAMB231_Biol_repl_4,,,
GF2025_P2_Sph,0.5230730609146681,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,,
NJH2025_Sub13_HIIT_Mid,,,
CP2009_Ratio M/L,,,
NJH2025_Sub7_HIIT_Post,,,
KBE2022_Log2_Ex_44_T,,,
DB2022_Intensity L2,,,
TM2022_mock.4h.C,,,
AST2020_anti-CD3.2,,,
CW2012_10 µM Erl/control Experiment 1 Replicate B,,,
HS2024_7_B_N1,,,
FSO2013_Ratio M/L normalized Rep1___1,0.5182990093230079,,
SAS2015_AZD/DMSO_Exp3,,,
RM2024_Intensity D0-2___3,,,
RM2024_Intensity D6-1,,,
RB2022_8_RecoverySprint,0.5152455424169828,,
RB2022_5_PreEndurance,0.5124175185082839,,
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,,,
EP2017_Untreated R#4 normalized log2 ratio,0.5082891460500369,,
WZ2023_Pu_010_30min,0.524475951488223,,
AS2011_Ratio H/L Proteins RNAi_2,,,
RB2022_4_PreStrength,0.5147149139715839,,
NJH2024_Sub4_MICT_Post,,,
AH2018_LFQ_M_1_X,,,
RB2022_8_RecoveryEndurance,,,
KBE2022_Log2_Ex_14_U,,,
FSO2013_Ratio M/L normalized Rep3___3,,,
AH2018_TMTMS3_1_C,0.5167195160404947,,
JJ2018_Ratio H/L normalized___1,,,
ZQ2022_C2,0.5289471762199245,,
RB2022_5_PreSprint,0.5205937883396987,,
PG2020_Intensity 8h_C,0.5165884815666264,,
AH2018_SILAC_MR_2_N,,,
MV2014_Ratio M/L normalized A1___2 (2 min),,,
TM2022_S2.8h.B,,,
MV2014_Ratio M/H normalized B3___1 (30 min),,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,,,
RM2024_Intensity D6-1___2,,,
NJH2025_Sub7_MICT_Mid,,,
LY2019_P1+,0.5425420147952186,,
AS2011_Ratio H/L Proteins Inhi_2,,,
BS2014_Log2(Ratio H/L normalized),,,
UK2020_HCM_2,,,
FSO2013_Ratio H/L normalized Rep2___2,,,
EP2017_Pervanadate R#3 normalized log2 ratio,0.5096784003864181,,
RM2024_Intensity D4-3___3,,,
RB2022_5_PreStrength,0.5179653344337827,,
NJH2024_Sub4_MICT_Mid,,,
TM2022_S2.4h.A,,,
RB2022_5_PostStrength,0.514601017263545,,
GF2025_P6_Sph,,,
RB2022_2_PreSprint,0.5198798049550662,,
ZX2022_CB treated Replicate 3,0.5121160891570746,,
RM2024_Intensity D6-2___3,,,
WZ2023_Pe_025_10min,0.5222226397461965,,
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,,
AST2020_anti-CD3+PDL2.1,,,
KBE2022_Log2_Ex_34_U,,,
WZ2023_Pu_005_10min,0.5206171151750033,,
AS2011_Ratio H/L RNAi_2_1,,,
NJH2024_Sub9_HIIT_Mid,,,
CK2022_9 40-1,,,
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,,,
LG2023_GSK3α-1_intensity,,,
WZ2023_Pu_025_30min,0.5212472419392639,,
AH2018_SILAC_MR_2_X,,,
HS2024_4_PD_T2,,,
NJH2024_Sub4_HIIT_Pre,,,
RB2022_2_RecoverySprint,,,
AS2011_Ratio H/L Protein RNAi_1,,,
RM2024_Intensity D2-1___2,,,
CR2017_Ratio Replicate 1.4,,,
FR2021_Norm.Intensity.B,,,
RM2024_Intensity D6-2___1,,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,,,
RB2022_5_PostSprint,0.5148622528686324,,
EJN2021_3_Rest_Basal,,,
CR2017_Ratio Replicate 1.3,,,
AS2011_Ratio H/L Normalized by Protein RNAi_2,,,
KTGR2014_Ratio-Rapa 7 mins,,,
AMK2021_120R_p1,,,
AH2018_SILAC_3_X,,,
JJ2018_Ratio M/L normalized pP3,,,
AH2018_SILAC_M_2_N,,,
HS2024_7_PD_T2,,,
