DatasetName,PHF2_S(1053) PHF2_S(1056) PHF2_S(1058) PHF2_S(1059) PHF2_S(3) PHF2_S(447) PHF2_S(458) PHF2_S(459) PHF2_S(463) PHF2_S(467) PHF2_S(469) PHF2_S(474) PHF2_S(533) PHF2_S(534) PHF2_S(537) PHF2_S(539) PHF2_S(612) PHF2_S(625) PHF2_S(638) PHF2_S(640) PHF2_S(655) PHF2_S(671) PHF2_S(674) PHF2_S(681) PHF2_S(705) PHF2_S(730) PHF2_S(733) PHF2_S(734) PHF2_S(738) PHF2_S(740) PHF2_S(853) PHF2_S(879) PHF2_S(882) PHF2_S(896) PHF2_S(897) PHF2_S(899) PHF2_S(905) PHF2_T(479) PHF2_T(535) PHF2_T(541) PHF2_T(6) PHF2_T(654) PHF2_Y(877),PHF2_T(907)
RM2024_Intensity D4-1___3,,
RB2022_4_PostEndurance,0.5136904318177711,
FSO2013_Ratio M/L normalized Rep3,0.5314946209901577,
SR2019_MCF7_Biol_repl_3,,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),0.4854591484866206,
SR2019_LM2_Biol_repl_1,,
RCJD2014_15min_1,0.531456767118836,
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,
CK2022_7 16-1,0.5148639437033743,
NJH2025_Sub12_HIIT_Mid,0.5070464444616918,
AH2018_LFQ_IT_1_C,0.5155189831368369,
RKK2015_TNF-α/basal,0.5241661182250018,
JJ2018_Ratio H/M normalized pP2,,
NJH2025_Sub12_MICT_Pre,0.5094521013288643,
NJH2025_Sub7_MICT_Post,0.5172711771909004,
DL2023_control-3,,
ZX2022_Control Replicate 2,0.540192313810138,
HS2024_6_B_T3,0.4972401559408707,
JW2015_Intensity pre1,,
IMM2018_normalised rep. int. Empty-3,0.5122258287524684,
AMK2021_30R_p5,,
FSO2013_Ratio M/L normalized Rep1,0.5073154153920005,
SR2019_MDAMB231_Biol_repl_4,,
GF2025_P2_Sph,0.5170206273363988,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,
NJH2025_Sub13_HIIT_Mid,,
CP2009_Ratio M/L,,
NJH2025_Sub7_HIIT_Post,0.5177526030943937,
KBE2022_Log2_Ex_44_T,0.5188001515176299,
DB2022_Intensity L2,,
TM2022_mock.4h.C,0.5158817947059552,
AST2020_anti-CD3.2,0.5169564943375847,
CW2012_10 µM Erl/control Experiment 1 Replicate B,,
HS2024_7_B_N1,0.5177248478129103,
FSO2013_Ratio M/L normalized Rep1___1,0.511709487507877,
SAS2015_AZD/DMSO_Exp3,0.5114357320257826,
RM2024_Intensity D0-2___3,,
RM2024_Intensity D6-1,,
RB2022_8_RecoverySprint,0.5223931395450812,
RB2022_5_PreEndurance,0.5166755658774171,
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,,
EP2017_Untreated R#4 normalized log2 ratio,0.5302456357955164,
WZ2023_Pu_010_30min,0.5260290614739636,
AS2011_Ratio H/L Proteins RNAi_2,,
RB2022_4_PreStrength,0.5187530263569685,
NJH2024_Sub4_MICT_Post,0.5162225823742177,
AH2018_LFQ_M_1_X,,
RB2022_8_RecoveryEndurance,0.5122787468603629,
KBE2022_Log2_Ex_14_U,0.5184430933265177,
FSO2013_Ratio M/L normalized Rep3___3,,
AH2018_TMTMS3_1_C,0.514840462184132,
JJ2018_Ratio H/L normalized___1,,
ZQ2022_C2,,
RB2022_5_PreSprint,0.5173696703045408,
PG2020_Intensity 8h_C,0.5157189024218888,
AH2018_SILAC_MR_2_N,0.5155816111631687,
MV2014_Ratio M/L normalized A1___2 (2 min),,
TM2022_S2.8h.B,0.5162357572323861,
MV2014_Ratio M/H normalized B3___1 (30 min),0.5086196967518143,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,0.5160254838108036,
RM2024_Intensity D6-1___2,,
NJH2025_Sub7_MICT_Mid,0.5173745574452877,
LY2019_P1+,0.5114597829363142,
AS2011_Ratio H/L Proteins Inhi_2,,
BS2014_Log2(Ratio H/L normalized),0.5236153497900901,
UK2020_HCM_2,,
FSO2013_Ratio H/L normalized Rep2___2,0.5098934943252429,
EP2017_Pervanadate R#3 normalized log2 ratio,0.5254767569542244,
RM2024_Intensity D4-3___3,,
RB2022_5_PreStrength,0.5069020017735565,
NJH2024_Sub4_MICT_Mid,0.5162260401717366,
TM2022_S2.4h.A,0.5147719581712308,
RB2022_5_PostStrength,0.5153903553953167,
GF2025_P6_Sph,0.5219569917214031,
RB2022_2_PreSprint,0.5207922719482716,
ZX2022_CB treated Replicate 3,0.5408833598626284,
RM2024_Intensity D6-2___3,,
WZ2023_Pe_025_10min,0.5263764054842436,
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,
AST2020_anti-CD3+PDL2.1,0.5168030008616582,
KBE2022_Log2_Ex_34_U,0.5176512588212292,
WZ2023_Pu_005_10min,0.5290185562138446,
AS2011_Ratio H/L RNAi_2_1,,
NJH2024_Sub9_HIIT_Mid,,
CK2022_9 40-1,,
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,,
LG2023_GSK3α-1_intensity,0.5199863850222387,
WZ2023_Pu_025_30min,0.5282879735830359,
AH2018_SILAC_MR_2_X,0.5191851731173834,
HS2024_4_PD_T2,0.5299149202058683,
NJH2024_Sub4_HIIT_Pre,0.5163848102620663,
RB2022_2_RecoverySprint,0.5114021825451472,
AS2011_Ratio H/L Protein RNAi_1,,
RM2024_Intensity D2-1___2,,
CR2017_Ratio Replicate 1.4,0.5110610039689556,
FR2021_Norm.Intensity.B,0.5164273417397923,
RM2024_Intensity D6-2___1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,,
RB2022_5_PostSprint,0.520368475938043,
EJN2021_3_Rest_Basal,0.5104801573703517,
CR2017_Ratio Replicate 1.3,0.49819337003722025,
AS2011_Ratio H/L Normalized by Protein RNAi_2,,
KTGR2014_Ratio-Rapa 7 mins,,
AMK2021_120R_p1,,
AH2018_SILAC_3_X,0.5122060681328858,
JJ2018_Ratio M/L normalized pP3,,
AH2018_SILAC_M_2_N,,
HS2024_7_PD_T2,0.513141148338692,
FSO2013_Ratio H/L normalized Rep1___1,0.5159739541691336,
AH2018_LFQ_1_C,0.5136777894658291,
AS2011_Ratio H/L Normalized Inhi_1_3,,
KBE2022_Log2_Ex_28_T,0.5169144215345505,
HS2024_3_B_N1,0.530433055525006,
RM2024_Intensity D4-2___3,,
WZ2023_Pe_025_30min,0.526434307455559,
CK2022_11 40-1,,
CW2012_10 µM Erl/control Experiment 3 Replicate B,,
AH2018_SILAC_2_X,,
MV2014_Ratio H/M normalized A2___2 (2 min),,
AS2011_Ratio H/L RNAi_1_2,,
KS2014_Intensity E15_1,0.5160368404941921,
FSO2013_Ratio H/L normalized Rep2,0.5134594210177574,
WZ2023_Pu_005_20min,0.5286249622394271,
