DatasetName,PGRMC2_S(104) PGRMC2_S(114) PGRMC2_S(12) PGRMC2_S(128) PGRMC2_S(208) PGRMC2_S(78) PGRMC2_S(90) PGRMC2_T(12) PGRMC2_T(175) PGRMC2_T(199) PGRMC2_T(202) PGRMC2_T(211) PGRMC2_T(216) PGRMC2_T(235) PGRMC2_T(93) PGRMC2_Y(210),PGRMC2_S(77)
RM2024_Intensity D4-1___3,,
RB2022_4_PostEndurance,0.5332888362014032,
FSO2013_Ratio M/L normalized Rep3,0.5207661890132328,
SR2019_MCF7_Biol_repl_3,0.5361153005256394,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),,
SR2019_LM2_Biol_repl_1,0.5273385960106479,
RCJD2014_15min_1,0.5365357196079293,
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,
CK2022_7 16-1,0.549235779151317,
NJH2025_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_C,0.5448022241707047,
RKK2015_TNF-α/basal,,
JJ2018_Ratio H/M normalized pP2,,
NJH2025_Sub12_MICT_Pre,,
NJH2025_Sub7_MICT_Post,,
DL2023_control-3,0.5442136878008422,
ZX2022_Control Replicate 2,0.5399487085146358,
HS2024_6_B_T3,,
JW2015_Intensity pre1,,
IMM2018_normalised rep. int. Empty-3,,
AMK2021_30R_p5,,
FSO2013_Ratio M/L normalized Rep1,0.5310923979000687,
SR2019_MDAMB231_Biol_repl_4,0.5325696669397817,
GF2025_P2_Sph,0.528766486187219,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,
NJH2025_Sub13_HIIT_Mid,,
CP2009_Ratio M/L,,
NJH2025_Sub7_HIIT_Post,,
KBE2022_Log2_Ex_44_T,0.5169471073259544,
DB2022_Intensity L2,,
TM2022_mock.4h.C,,
AST2020_anti-CD3.2,,
CW2012_10 µM Erl/control Experiment 1 Replicate B,,
HS2024_7_B_N1,,
FSO2013_Ratio M/L normalized Rep1___1,0.5352899875091007,
SAS2015_AZD/DMSO_Exp3,,
RM2024_Intensity D0-2___3,,
RM2024_Intensity D6-1,,
RB2022_8_RecoverySprint,0.5268578893546024,
RB2022_5_PreEndurance,0.5339098345697729,
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,,
EP2017_Untreated R#4 normalized log2 ratio,0.5430617066302257,
WZ2023_Pu_010_30min,0.5610317546695276,
AS2011_Ratio H/L Proteins RNAi_2,,
RB2022_4_PreStrength,0.5413519269854034,
NJH2024_Sub4_MICT_Post,,
AH2018_LFQ_M_1_X,0.5491521707270169,
RB2022_8_RecoveryEndurance,0.5403713090458467,
KBE2022_Log2_Ex_14_U,0.535489308874917,
FSO2013_Ratio M/L normalized Rep3___3,,
AH2018_TMTMS3_1_C,0.5495550080544723,
JJ2018_Ratio H/L normalized___1,,
ZQ2022_C2,0.5491107923490282,
RB2022_5_PreSprint,0.552084230290134,
PG2020_Intensity 8h_C,0.5132470997223485,
AH2018_SILAC_MR_2_N,0.5476338475521679,
MV2014_Ratio M/L normalized A1___2 (2 min),,
TM2022_S2.8h.B,,
MV2014_Ratio M/H normalized B3___1 (30 min),0.5266035952916803,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,0.5206801447908915,
RM2024_Intensity D6-1___2,,
NJH2025_Sub7_MICT_Mid,,
LY2019_P1+,0.5402208742328997,
AS2011_Ratio H/L Proteins Inhi_2,,
BS2014_Log2(Ratio H/L normalized),0.5434580280785459,
UK2020_HCM_2,0.5404600645044577,
FSO2013_Ratio H/L normalized Rep2___2,,
EP2017_Pervanadate R#3 normalized log2 ratio,0.5323919587156029,
RM2024_Intensity D4-3___3,,
RB2022_5_PreStrength,0.5377851645959242,
NJH2024_Sub4_MICT_Mid,,
TM2022_S2.4h.A,,
RB2022_5_PostStrength,0.5357434423031353,
GF2025_P6_Sph,0.5353486506061137,
RB2022_2_PreSprint,0.5454704819339818,
ZX2022_CB treated Replicate 3,0.5407634133954086,
RM2024_Intensity D6-2___3,,
WZ2023_Pe_025_10min,0.5253370940073938,
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,
AST2020_anti-CD3+PDL2.1,,
KBE2022_Log2_Ex_34_U,0.5137802420958831,
WZ2023_Pu_005_10min,0.5291641045321828,
AS2011_Ratio H/L RNAi_2_1,,
NJH2024_Sub9_HIIT_Mid,,
CK2022_9 40-1,0.5397812118421907,
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,,
LG2023_GSK3α-1_intensity,,
WZ2023_Pu_025_30min,0.5469688622171708,
AH2018_SILAC_MR_2_X,0.547485680210936,
HS2024_4_PD_T2,,
NJH2024_Sub4_HIIT_Pre,,
RB2022_2_RecoverySprint,0.5180967824094505,
AS2011_Ratio H/L Protein RNAi_1,,
RM2024_Intensity D2-1___2,,
CR2017_Ratio Replicate 1.4,0.5249070310554167,
FR2021_Norm.Intensity.B,,
RM2024_Intensity D6-2___1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,,
RB2022_5_PostSprint,0.5290476641604089,
EJN2021_3_Rest_Basal,0.5483400206543703,
CR2017_Ratio Replicate 1.3,0.5253559890384538,
AS2011_Ratio H/L Normalized by Protein RNAi_2,,
KTGR2014_Ratio-Rapa 7 mins,,
AMK2021_120R_p1,,
AH2018_SILAC_3_X,0.5394048078018894,
JJ2018_Ratio M/L normalized pP3,,
AH2018_SILAC_M_2_N,0.5387960242757647,
HS2024_7_PD_T2,,
FSO2013_Ratio H/L normalized Rep1___1,0.5279028042689825,
AH2018_LFQ_1_C,0.5475905818456435,
AS2011_Ratio H/L Normalized Inhi_1_3,,
KBE2022_Log2_Ex_28_T,0.5263149370961383,
HS2024_3_B_N1,,
RM2024_Intensity D4-2___3,,
WZ2023_Pe_025_30min,0.5409708885784261,
CK2022_11 40-1,0.5393110899509497,
CW2012_10 µM Erl/control Experiment 3 Replicate B,,
AH2018_SILAC_2_X,0.5388888336346661,
MV2014_Ratio H/M normalized A2___2 (2 min),,
AS2011_Ratio H/L RNAi_1_2,,
KS2014_Intensity E15_1,0.5437102578569033,
FSO2013_Ratio H/L normalized Rep2,0.5325975304539997,
WZ2023_Pu_005_20min,0.5574705302714185,
NJH2024_Sub10_MICT_Post,,
RM2024_Intensity D2-3___1,,
CR2017_Ratio Replicate 1.5,0.5257609629740869,
CW2012_10 µM Gef/control Experiment 2 Replicate B,,
HS2024_7_B_T3,,
CKC2017_log2 normalized phosphoproteomics_60min_rep#1,,
AS2011_Ratio H/L RNAi_1,,
