DatasetName,EAF1_S(21) EAF1_S(247),EAF1_S(158) EAF1_S(254) EAF1_S(29),EAF1_S(165),EAF1_S(118) EAF1_S(57) EAF1_S(64) EAF1_T(157)
RM2024_Intensity D4-1___3,,,,
RB2022_4_PostEndurance,,,,0.5381537483089042
FSO2013_Ratio M/L normalized Rep3,,0.5197813517145282,0.5751362228635027,
SR2019_MCF7_Biol_repl_3,,,,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),,,,
SR2019_LM2_Biol_repl_1,,,,
RCJD2014_15min_1,,,,
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,,,
CK2022_7 16-1,,,0.597578507448372,
NJH2025_Sub12_HIIT_Mid,,,,
AH2018_LFQ_IT_1_C,,,,
RKK2015_TNF-α/basal,,,,
JJ2018_Ratio H/M normalized pP2,,,0.5592015270439149,
NJH2025_Sub12_MICT_Pre,,,,
NJH2025_Sub7_MICT_Post,,,,
DL2023_control-3,,,,
ZX2022_Control Replicate 2,,,,
HS2024_6_B_T3,,,,
JW2015_Intensity pre1,,,,
IMM2018_normalised rep. int. Empty-3,,,,
AMK2021_30R_p5,,,,
FSO2013_Ratio M/L normalized Rep1,,0.5365956518479877,0.3381971885528767,
SR2019_MDAMB231_Biol_repl_4,,,,
GF2025_P2_Sph,,,0.4500155893245632,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,,,
NJH2025_Sub13_HIIT_Mid,,,,
CP2009_Ratio M/L,,,,
NJH2025_Sub7_HIIT_Post,,,,
KBE2022_Log2_Ex_44_T,,0.45764858525955726,0.4487591338396872,
DB2022_Intensity L2,,,,
TM2022_mock.4h.C,,,,
AST2020_anti-CD3.2,,,,0.5499002697504434
CW2012_10 µM Erl/control Experiment 1 Replicate B,,,,
HS2024_7_B_N1,,0.5031631724536789,,
FSO2013_Ratio M/L normalized Rep1___1,,0.5364442969968658,0.3387169675779256,
SAS2015_AZD/DMSO_Exp3,,,,
RM2024_Intensity D0-2___3,,,,
RM2024_Intensity D6-1,,,,
RB2022_8_RecoverySprint,,,,0.5470840544017436
RB2022_5_PreEndurance,,,,0.5572188228113859
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,,,,
EP2017_Untreated R#4 normalized log2 ratio,,,,0.5762895619325763
WZ2023_Pu_010_30min,,,0.6426578047090253,
AS2011_Ratio H/L Proteins RNAi_2,,,,
RB2022_4_PreStrength,,,,0.5421408531678238
NJH2024_Sub4_MICT_Post,,,,
AH2018_LFQ_M_1_X,,,0.6516629738336276,
RB2022_8_RecoveryEndurance,,,,0.5310553874062915
KBE2022_Log2_Ex_14_U,,,0.507068754708098,
FSO2013_Ratio M/L normalized Rep3___3,,,,
AH2018_TMTMS3_1_C,,,0.5628437172295506,
JJ2018_Ratio H/L normalized___1,,,0.5061155543205125,
ZQ2022_C2,,,,
RB2022_5_PreSprint,,,,0.5459911996985055
PG2020_Intensity 8h_C,,0.4954852262941345,0.376041091610172,0.5209693840615376
AH2018_SILAC_MR_2_N,,,0.6070376785179046,
MV2014_Ratio M/L normalized A1___2 (2 min),,,,
TM2022_S2.8h.B,,,,
MV2014_Ratio M/H normalized B3___1 (30 min),,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,,,,
RM2024_Intensity D6-1___2,,,,
NJH2025_Sub7_MICT_Mid,,,,
LY2019_P1+,,,0.5748186565999089,
AS2011_Ratio H/L Proteins Inhi_2,,,,
BS2014_Log2(Ratio H/L normalized),,,,
UK2020_HCM_2,,,,
FSO2013_Ratio H/L normalized Rep2___2,,0.4809532588947083,0.4543358306205798,
EP2017_Pervanadate R#3 normalized log2 ratio,,,,0.4965997237452689
RM2024_Intensity D4-3___3,,,,
RB2022_5_PreStrength,,,,0.5504428250187756
NJH2024_Sub4_MICT_Mid,,,,
TM2022_S2.4h.A,,,,
RB2022_5_PostStrength,,,,0.5151119907611743
GF2025_P6_Sph,,,0.5044736975354286,
RB2022_2_PreSprint,,,,
ZX2022_CB treated Replicate 3,,,,
RM2024_Intensity D6-2___3,,,,
WZ2023_Pe_025_10min,,,0.5787569092124019,
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,,,
AST2020_anti-CD3+PDL2.1,,,,0.5500647351954188
