DatasetName,DTX3L_C(221) DTX3L_S(198) DTX3L_S(202) DTX3L_S(204) DTX3L_S(216) DTX3L_S(221) DTX3L_S(256) DTX3L_S(397) DTX3L_S(4) DTX3L_S(532) DTX3L_S(535) DTX3L_S(539) DTX3L_S(545) DTX3L_S(551) DTX3L_S(9) DTX3L_T(390),DTX3L_M(532) DTX3L_S(205) DTX3L_S(3) DTX3L_S(547) DTX3L_T(526)
RM2024_Intensity D4-1___3,,
RB2022_4_PostEndurance,,
FSO2013_Ratio M/L normalized Rep3,0.5250211891732157,
SR2019_MCF7_Biol_repl_3,,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),0.5460764392499028,
SR2019_LM2_Biol_repl_1,0.5215344465753226,
RCJD2014_15min_1,0.5022906744804195,
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,
CK2022_7 16-1,,0.3806765814338066
NJH2025_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_C,0.5221510358363359,
RKK2015_TNF-α/basal,0.532283588569046,
JJ2018_Ratio H/M normalized pP2,0.5341815032527135,
NJH2025_Sub12_MICT_Pre,,
NJH2025_Sub7_MICT_Post,,
DL2023_control-3,,
ZX2022_Control Replicate 2,0.5539414309094395,
HS2024_6_B_T3,0.5332543775773373,
JW2015_Intensity pre1,,
IMM2018_normalised rep. int. Empty-3,0.5375269638887774,
AMK2021_30R_p5,,
FSO2013_Ratio M/L normalized Rep1,0.526871765611221,
SR2019_MDAMB231_Biol_repl_4,0.5155153506356085,
GF2025_P2_Sph,0.5526914175654521,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,
NJH2025_Sub13_HIIT_Mid,0.5145377379711346,
CP2009_Ratio M/L,,
NJH2025_Sub7_HIIT_Post,,
KBE2022_Log2_Ex_44_T,,0.35995494807651296
DB2022_Intensity L2,,
TM2022_mock.4h.C,0.5369343015386898,
AST2020_anti-CD3.2,,
CW2012_10 µM Erl/control Experiment 1 Replicate B,,
HS2024_7_B_N1,0.5386322928750641,
FSO2013_Ratio M/L normalized Rep1___1,0.5270405282996732,
SAS2015_AZD/DMSO_Exp3,0.5308631914729074,
RM2024_Intensity D0-2___3,,
RM2024_Intensity D6-1,0.5294988893129966,
RB2022_8_RecoverySprint,,
RB2022_5_PreEndurance,,
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,0.5386527393907636,
EP2017_Untreated R#4 normalized log2 ratio,0.548387269701278,
WZ2023_Pu_010_30min,0.5578215746959024,0.395053823409523
AS2011_Ratio H/L Proteins RNAi_2,,
RB2022_4_PreStrength,,
NJH2024_Sub4_MICT_Post,,
AH2018_LFQ_M_1_X,0.537283727288247,
RB2022_8_RecoveryEndurance,,
KBE2022_Log2_Ex_14_U,0.5279189040336444,0.3562954826965862
FSO2013_Ratio M/L normalized Rep3___3,,
AH2018_TMTMS3_1_C,0.541964837126552,
JJ2018_Ratio H/L normalized___1,0.533006332322525,
ZQ2022_C2,0.5406646905357607,
RB2022_5_PreSprint,,
PG2020_Intensity 8h_C,0.5217187821910771,
AH2018_SILAC_MR_2_N,0.5394647956462708,
MV2014_Ratio M/L normalized A1___2 (2 min),,
TM2022_S2.8h.B,0.5367452749882884,
MV2014_Ratio M/H normalized B3___1 (30 min),0.5298133831027025,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,0.5204069904768361,
RM2024_Intensity D6-1___2,0.531854576583991,
NJH2025_Sub7_MICT_Mid,,
LY2019_P1+,0.5710824039800968,
AS2011_Ratio H/L Proteins Inhi_2,,
BS2014_Log2(Ratio H/L normalized),0.5278727951731829,
UK2020_HCM_2,,
FSO2013_Ratio H/L normalized Rep2___2,,
EP2017_Pervanadate R#3 normalized log2 ratio,0.5370467382719086,
RM2024_Intensity D4-3___3,,
RB2022_5_PreStrength,,
NJH2024_Sub4_MICT_Mid,,
TM2022_S2.4h.A,0.5163658345732317,
RB2022_5_PostStrength,,
GF2025_P6_Sph,0.5028063020063348,
RB2022_2_PreSprint,,
ZX2022_CB treated Replicate 3,0.5570086865782035,
RM2024_Intensity D6-2___3,,
WZ2023_Pe_025_10min,0.5610142487652128,0.3688450554399876
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,
AST2020_anti-CD3+PDL2.1,,
KBE2022_Log2_Ex_34_U,,0.35798727207664305
WZ2023_Pu_005_10min,0.5588148335993331,0.40693459228088635
AS2011_Ratio H/L RNAi_2_1,,
NJH2024_Sub9_HIIT_Mid,,
CK2022_9 40-1,,0.3772427827854353
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,,
LG2023_GSK3α-1_intensity,,
WZ2023_Pu_025_30min,0.5574105241227277,0.3691132397294485
AH2018_SILAC_MR_2_X,0.5272416194214985,
HS2024_4_PD_T2,0.543407682484382,
NJH2024_Sub4_HIIT_Pre,,
RB2022_2_RecoverySprint,,
AS2011_Ratio H/L Protein RNAi_1,,
RM2024_Intensity D2-1___2,0.5310729386490218,
CR2017_Ratio Replicate 1.4,0.5237670351025054,
FR2021_Norm.Intensity.B,0.5191080891041834,
RM2024_Intensity D6-2___1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,,
RB2022_5_PostSprint,,
EJN2021_3_Rest_Basal,,
CR2017_Ratio Replicate 1.3,0.5262316846089894,
AS2011_Ratio H/L Normalized by Protein RNAi_2,,
KTGR2014_Ratio-Rapa 7 mins,,
AMK2021_120R_p1,,
AH2018_SILAC_3_X,0.530863659007913,
JJ2018_Ratio M/L normalized pP3,0.5212167077474212,
AH2018_SILAC_M_2_N,0.5352508577439037,
HS2024_7_PD_T2,0.5224908763582021,
FSO2013_Ratio H/L normalized Rep1___1,0.5240155818955932,
AH2018_LFQ_1_C,0.53405876894358,
AS2011_Ratio H/L Normalized Inhi_1_3,,
KBE2022_Log2_Ex_28_T,,0.36001083857800154
HS2024_3_B_N1,0.5499481167763229,
RM2024_Intensity D4-2___3,,
WZ2023_Pe_025_30min,0.5619061254190263,0.3982092764568398
CK2022_11 40-1,,0.37911282729281404
CW2012_10 µM Erl/control Experiment 3 Replicate B,,
AH2018_SILAC_2_X,0.5287312504521468,
MV2014_Ratio H/M normalized A2___2 (2 min),,
AS2011_Ratio H/L RNAi_1_2,,
KS2014_Intensity E15_1,0.530067797938743,
FSO2013_Ratio H/L normalized Rep2,0.52865073256187,
WZ2023_Pu_005_20min,0.5592082666226296,0.36853639101288116
NJH2024_Sub10_MICT_Post,,
RM2024_Intensity D2-3___1,,
CR2017_Ratio Replicate 1.5,0.5391764436952795,
CW2012_10 µM Gef/control Experiment 2 Replicate B,,
HS2024_7_B_T3,0.5201907319879154,
CKC2017_log2 normalized phosphoproteomics_60min_rep#1,0.5383114446555639,
AS2011_Ratio H/L RNAi_1,,
JC2019_Normalised_intensity_A_TiOx_Testis_sample_URO0059,,
AH2018_LFQ_M_1_C,0.5365467124888981,
NJH2025_Sub7_MICT_Pre,,
SR2019_SKBR3_Biol_repl_2,,
HS2024_9_B_T2,0.5544371046986435,
KTGR2014_Ratio-AA 7 mins,,
MV2014_Ratio L/H normalized B3___3 (5 min),,
HS2024_3_PD_T1,0.5400427655578007,
FSO2013_Ratio M/L normalized Rep3___2,,
SR2019_BT549_Biol_repl_3,0.5434044641490398,
RCJD2014_20min_mean,0.5372963108640999,
FR2021_Norm.Intensity.H,0.5200729390263797,
RB2022_2_PreStrength,,
DB2022_LFQ intensity L1.2,,
HS2024_4_B_N1,0.5407030360062628,
KTGR2014_Ratio H M Normalized Rep2_Rapamycin_0_15,,
CK2022_1 16-1,,0.3830627557616995
CK2022_1 200-1,0.5355984241439169,0.39095763897246816
PG2020_Intensity Mock_10h_D,,
SR2019_MCF10A_Biol_repl_2,,
JJ2018_Ratio M/L normalized pP2___2,,
HS2024_6_PD_T1,0.5307809705495526,
JVO2010_Ratio M/L Normalized by Protein ThymON - Log2 G1/S,,
RB2022_6_RecoveryEndurance,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3b,,
EP2017_Mitotic R#2 normalized log2 ratio,0.5383579119277303,
RCJD2014_5min_1,0.5102838854417681,
RM2024_Intensity D4-1___1,,
DL2023_24h-1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2b,,
TM2022_S2.4h.C,0.539096302893721,
SAS2015_PLX/AZD_Exp2,0.5445800530458823,
CR2017_Ratio Replicate 3.3,0.532224750681054,
PG2020_Intensity 2h_C,0.5230923940504277,
VOI2024_Veh2 di,,
ZX2022_CB treated Replicate 2,0.5538194036405514,
KBE2022_Log2_Ex_8_T,0.5272778637573332,0.34914365727728014
NJH2025_Sub10_MICT_Post,,
HS2024_6_I_T3,0.5304038715659363,
RN2012_L11,0.5288976175386315,
AS2011_Ratio H/L Normalized Inhi_2_2,,
IMM2018_normalised rep. int. Empty-1,0.5371328062044055,
HS2024_5_PD_T1,0.5378145870182511,
AH2018_LFQ_M_2_C,0.5371716636382539,
CK2022_3 40-1,,0.37621616308516637
RBK2021_1260T Early,0.5264326364177901,
NJH2024_Sub4_HIIT_Post,,
HS2024_4_I_T1,0.5439454573550722,
YA2020_Reporter_intensity_Cancer_No.5,0.5307717494474558,
HH2022_Reporter intensity 8,0.5279265971073697,
ZQ2022_N2,0.5262792063057289,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1b,,
FSO2013_Ratio H/L normalized Rep3___3,,
AH2018_TMTMS3_2_N,0.537858396120537,
EJN2021_5_Rest_Basal,,
NJH2025_Sub2_HIIT_Post,0.5206968639492813,
NJH2025_Sub1_MICT_Post,,
HS2024_9_B_T1,0.5522574205849905,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1a,,
JAW2011_Ratio H/L LS2_1,,
JVO2010_Log2 Ratio H/M Normalized aphidicolin,,
NJH2024_Sub6_HIIT_Pre,,
AH2018_SILAC_3_N,0.5322011361477967,
YA2020_Reporter_intensity_Normal_No.1,0.5163232661473978,
HS2024_3_B_T1,0.5352228192512649,
JJ2018_Ratio H/L normalized___2,,
RM2024_Intensity D0-2,0.5237795024091096,
MV2014_Ratio M/L normalized B1___2 (5 min),,
RB2022_7_PostStrength,,
RB2022_1_PostEndurance,,
CR2017_Ratio Replicate 3,0.5541592089086413,
SR2019_Hs578T_Biol_repl_3,,
MV2014_Ratio L/H normalized B3___1 (5 min),0.5295130688091061,
RBK2021_1244T Early,0.5264534255249005,
RB2022_3_PostSprint,,
NJH2024_Sub13_MICT_Mid,0.5193383789731152,
KTGR2014_Ratio-AA 2 mins,,
GF2025_P7_Sph,0.5229796145304184,
HS2024_8_I_T3,0.5250155494052292,
CF2017_EOC 3,0.553930428924326,
LATM2013_Normalized Log2 Ratio (Medium/Light) Forward,,
HS2024_6_PD_T3,0.5360753291899516,
DL2023_12h-2,,
RM2024_Intensity D6-3___1,,
FS2019_Ctr1,,
WZ2023_Pu_010_20min,0.5575382497616469,0.4048603943722652
AS2011_Ratio H/L_3,,
CK2022_1 40-1,,0.3783887074074559
RNJ2017_Log2_ratio_Tsup:Trest_D1,,
CK2022_8 16-1,,0.38087631286092505
KS2014_Intensity N3,0.527176630904045,
RB2022_4_RecoveryEndurance,,
RB2022_5_RecoveryEndurance,,
JAW2011_Ratio H/L LS1a_2,,
NJH2024_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_N,0.5247630394572639,
FSO2013_Ratio H/M normalized Rep2,0.5155944602488219,
RAM2015_Log2 A,0.5466203783106808,
HS2024_8_PD_T1,0.5205658670602795,
JJ2018_Ratio H/L normalized pP2,0.534810188443797,
CF2017_OSE 27,0.535810269951638,
KS2014_Intensity E15_2,0.5307328299185443,
BS2014_Log2(Ratio H/L protein),,
PG2020_Intensity 8h_A,0.5288203332245835,
HS2024_7_I_T1,0.5198716031591863,
VOI2024_Veh3 di,,
RKK2015_TNF-α+SC-514/basal,0.529798143933939,
SR2019_JIMT1_Biol_repl_1,0.5146861181963741,
HW2015_Ratio H/L normalized Exp2,,
HS2024_3_I_N1,0.5355414542517869,
AH2018_SILAC_M_3_X,0.5317066844818581,
NJH2024_Sub9_HIIT_Post,,
AS2011_Ratio H/L RNAi_1_3,,
GRW2016_Ratio H/L normalized SILAC 1___2,,
NJH2025_Sub1_HIIT_Pre,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-2,,
NJH2024_Sub4_HIIT_Mid,,
VOI2024_0.1uM 2 h_1 di,,
KBE2022_Log2_Ex_6_T,,0.3633039783828865
RM2024_Intensity D4-3___1,,
AH2018_LFQ_4_X,0.5345857756677572,
AS2011_Inhi 2_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,
RB2022_8_PostEndurance,,
NJH2025_Sub4_MICT_Mid,,
YP2020_Intensity C30_R1_mult_log2,,
AST2020_anti-CD3.1,,
NJH2025_Sub4_HIIT_Post,,
EP2017_Untreated R#4 log2 ratio,0.5472694368874913,
HS2024_6_B_N1,0.5283561899052981,
KBE2022_Log2_Ex_27_T,0.5329392512867926,0.35381408901017236
CW2012_10 µM Gef/control Experiment 1 Replicate A,,
VOI2024_0.1uM 24 h_1 mono,0.5369166869904375,
AMK2021_120R_p5,,
AS2011_Ratio H/L Proteins,,
NJH2024_Sub7_HIIT_Post,,
NJH2015_TMT Subject 1 127_N/126 (Exercise/Basal) (normalized),0.5314229596625598,
AS2011_Ratio H/L RNAi_2_2,,
RB2022_7_RecoveryStrength,,
AH2018_SILAC_IT_3_X,0.5260213411098119,
JAW2011_Ratio H/L,,
PG2020_Intensity 10h_C,0.5284074098747978,
FSO2013_Ratio M/L normalized Rep2,0.5186148954087946,
CP2009_Ratio H/M Normalized (50 nM dasatinib vs 5 nM dasatinib),,
HH2022_Reporter intensity 5,0.5375556787075998,
SR2019_HCC1954_Biol_repl_2,0.5235782301255439,
CK2022_14 40-1,,0.3795185346075433
RB2022_6_PreSprint,,
NJH2025_Sub12_MICT_Mid,,
PG2020_Intensity 4h_D,,
NJH2025_Sub2_MICT_Post,0.5261057608001627,
AH2018_LFQ_4_C,0.5377409650504907,
DL2023_control-1,,
AR2021_ALG 10 μM,0.49552458941633076,
JAW2011_Ratio H/L LS2_2,,
AH2018_SILAC_IT_3_N,0.5375672658873861,
EJN2021_4_Rest_Ins,,
RN2012_H05,0.537917954294727,
NJH2024_Sub7_HIIT_Mid,,
GF2025_P2_Adh,0.5344501635091947,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4b,,
RB2022_8_PostSprint,,
EJN2021_1_Rest_Ins,,
HH2022_Reporter intensity 3,0.5296221015041969,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4b,,
AH2018_SILAC_IT_1_C,0.5232189083536701,
JW2021_After_3,0.5247486757223823,
GF2025_P8_Sph,0.5063269179581344,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4,,
JJ2018_Ratio M/L normalized pP2___1,0.529596159441495,
AH2018_SILAC_2_N,0.5287076555782996,
CK2022_11 200-1,0.5345322721387242,0.3954364793430626
CK2022_12 200-1,0.5318593820655197,0.3936101600804749
AS2011_Ratio H/L Normalized by Protein RNAi_1,,
RM2024_Intensity D2-1___3,,
NJH2024_Sub1_MICT_Pre,,
HH2022_Reporter intensity 9,0.5401090507825663,
WZ2023_Su_010_20min,0.5611608235998594,0.3684444658554604
AH2018_TMTMS2_2_N,0.5447634922157434,
NJH2024_Sub13_MICT_Pre,0.5215145143249006,
KBE2022_Log2_Ex_41_U,,0.367306401595544
NJH2015_TMT Subject 3 129_N/128_C (Exercise/Basal) (normalized),0.533828397006086,
AH2018_TMTMS3_Pool,0.5385318520799148,
KS2014_Intensity N4,0.5257889567424618,
NJH2024_Sub1_HIIT_Post,,
MM2018_Ratio H/L replicate2,,
RM2024_Intensity D4-2___2,0.5322435268549945,
NJH2024_Sub13_HIIT_Pre,0.5210698981758799,
CF2017_OSE 26,0.5319174056160789,
CK2022_14 200-1,0.5336191128335495,0.40562211449062974
SR2019_Hs578T_Biol_repl_1,0.529732963445815,
RB2022_7_PostSprint,,
TM2022_mock.4h.A,0.5361998490787884,
NJH2025_Sub12_HIIT_Pre,,
AH2018_TMTMS3_1_N,0.5412603129654773,
AST2020_anti-CD3+PDL2.2,,
PG2020_Intensity Mock_10h_A,0.5176213597226362,
JW2021_After_2,0.5397976296316642,
NJH2024_Sub2_MICT_Post,0.5261057608001627,
EJN2021_2_Rest_Ins,,
SR2019_LM2_Biol_repl_4,0.5232984595465786,
CP2009_Ratio H/M,,
JAW2011_Ratio H/L HS,,
CK2022_13 16-1,,0.3880795795451122
GF2025_P1_Adh,0.5233440937465613,
GF2025_P1_Sph,0.523960372209434,
EJN2021_5_Ex_Basal,,
HS2024_7_I_T3,0.517673001252678,
JJ2018_Ratio H/L normalized pP2___2,,
WZ2023_Pe_010_10min,0.5605207398541382,0.3912291890963286
CF2017_EOC 1,0.5477712858662456,
CK2022_3 200-1,0.5360674405879425,0.39001929309578154
AH2018_LFQ_IT_3_C,0.5307714112288389,
SR2019_Hs578T_Biol_repl_2,,
NJH2024_Sub12_HIIT_Post,,
JJ2018_Ratio H/L normalized pP1___2,,
MV2014_Ratio H/L normalized A1___2 (10 min),,
NJH2024_Sub10_MICT_Mid,,
NJH2024_Sub13_MICT_Post,0.5196215606938211,
BS2014_Log2(Ratio H/L normalized Rep_1),0.5264845409424156,
RB2022_3_RecoverySprint,,
NJH2025_Sub1_HIIT_Mid,,
RCJD2014_20min_2,0.5311703613938545,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2,,
HS2024_6_PD_T2,0.5374584519144796,
HS2024_5_B_T1,0.5586755263435649,
CW2012_10 µM Gef/control Experiment 2 Replicate A,,
DL2023_12h-3,,
SR2019_MDAMB231_Biol_repl_2,0.5215194599484404,
HS2024_3_B_T2,0.5360886871989424,
RB2022_6_PreStrength,,
CK2022_2 40-1,,0.3779035695861636
RB2022_1_PostSprint,,
CK2022_4 200-1,0.5344155453620025,0.39039807055249
JW2021_Before_2,0.5233541044006051,
TM2022_S2.12h.A,0.5371500639716942,
MV2014_Ratio L/M normalized B2___2 (30 min),,
CK2022_5 16-1,,0.3817691821555703
AR2021_ALG 1 μM,0.5104297635016445,
HS2024_4_B_T1,0.563011065927703,
MV2014_Ratio M/H normalized A3___1 (10 min),0.5324750841221286,
SR2019_BT549_Biol_repl_4,0.5377719724954447,
EJN2021_1_Rest_Basal,,
NJH2025_Sub8_MICT_Post,,
RCJD2014_5min_3,0.540149425716506,
CR2017_Ratio Replicate 3.2,0.5377541225849025,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as3a,,
GF2025_P7_Adh,0.5211753013959458,
CK2022_9 16-1,,0.38607997320098547
NJH2024_Sub6_HIIT_Post,,
AMK2021_30R_p3,,
AS2011_Ratio H/L Normalized RNAi_2,,
RM2024_Intensity D0-2___2,0.5281779538390542,
KS2014_Intensity pY_N4,,
CK2022_13 200-1,0.5347251449648138,0.40413979729667027
AS2011_Ratio H/L Normalized_2,,
PG2020_Intensity 6h_D,,
CK2022_16 16-1,,0.3873308369074876
FS2019_db/db3,,
CK2022_15 40-1,,0.37646781072100804
NJH2024_Sub9_MICT_Pre,,
BS2014_Log2(Ratio H/L unmodified peptide),,
WZ2023_Su_005_10min,0.557733908400149,0.37215505908634017
RM2009_Ratio M/L (M:15 min timepoint;L:0 min. timepoint),,
KBE2022_Log2_Ex_41_T,,0.3568298902369014
