DatasetName,GEMIN5_S(1311) GEMIN5_S(3) GEMIN5_S(624) GEMIN5_S(7) GEMIN5_S(754) GEMIN5_S(756) GEMIN5_S(757) GEMIN5_S(765) GEMIN5_S(770) GEMIN5_S(778) GEMIN5_S(793) GEMIN5_S(810) GEMIN5_S(847) GEMIN5_T(51) GEMIN5_T(807),GEMIN5_S(1267) GEMIN5_S(1322) GEMIN5_S(48) GEMIN5_S(657) GEMIN5_S(767) GEMIN5_S(854) GEMIN5_T(1195) GEMIN5_T(1270) GEMIN5_T(1326) GEMIN5_T(748) GEMIN5_T(751)
RM2024_Intensity D4-1___3,,
RB2022_4_PostEndurance,,
FSO2013_Ratio M/L normalized Rep3,0.5573608488670533,
SR2019_MCF7_Biol_repl_3,,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),0.5418556306881984,
SR2019_LM2_Biol_repl_1,,
RCJD2014_15min_1,0.5541149578692647,
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,
CK2022_7 16-1,0.5333807857531627,
NJH2025_Sub12_HIIT_Mid,0.5457321776075886,
AH2018_LFQ_IT_1_C,,0.36447714469789166
RKK2015_TNF-α/basal,0.5290947418850487,
JJ2018_Ratio H/M normalized pP2,,
NJH2025_Sub12_MICT_Pre,0.5494878496519475,
NJH2025_Sub7_MICT_Post,0.5430338711561667,
DL2023_control-3,,
ZX2022_Control Replicate 2,0.5403658073088753,
HS2024_6_B_T3,0.546583543417879,
JW2015_Intensity pre1,,
IMM2018_normalised rep. int. Empty-3,0.545171902080028,
AMK2021_30R_p5,,
FSO2013_Ratio M/L normalized Rep1,0.5355438058605916,
SR2019_MDAMB231_Biol_repl_4,,
GF2025_P2_Sph,0.5617414508219807,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,
NJH2025_Sub13_HIIT_Mid,0.5354664845105966,
CP2009_Ratio M/L,,
NJH2025_Sub7_HIIT_Post,0.5440536338334614,
KBE2022_Log2_Ex_44_T,,
DB2022_Intensity L2,,
TM2022_mock.4h.C,0.5503084160073446,
AST2020_anti-CD3.2,,
CW2012_10 µM Erl/control Experiment 1 Replicate B,,
HS2024_7_B_N1,,
FSO2013_Ratio M/L normalized Rep1___1,0.5358406095319814,
SAS2015_AZD/DMSO_Exp3,0.5481317483287999,
RM2024_Intensity D0-2___3,,
RM2024_Intensity D6-1,,
RB2022_8_RecoverySprint,0.5339549507807607,
RB2022_5_PreEndurance,,
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,,
EP2017_Untreated R#4 normalized log2 ratio,0.5578212515606136,0.38418199810284404
WZ2023_Pu_010_30min,0.553527882634499,
AS2011_Ratio H/L Proteins RNAi_2,,
RB2022_4_PreStrength,,
NJH2024_Sub4_MICT_Post,0.5517075863981652,
AH2018_LFQ_M_1_X,,
RB2022_8_RecoveryEndurance,0.5496653844329046,
KBE2022_Log2_Ex_14_U,,
FSO2013_Ratio M/L normalized Rep3___3,,
AH2018_TMTMS3_1_C,,0.34058155021344333
JJ2018_Ratio H/L normalized___1,,
ZQ2022_C2,,
RB2022_5_PreSprint,,
PG2020_Intensity 8h_C,0.536616957851063,0.37958227216220436
AH2018_SILAC_MR_2_N,,0.39349671301454076
MV2014_Ratio M/L normalized A1___2 (2 min),,
TM2022_S2.8h.B,0.5506952124061745,
MV2014_Ratio M/H normalized B3___1 (30 min),,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,,
RM2024_Intensity D6-1___2,,
NJH2025_Sub7_MICT_Mid,0.5420352102127853,
LY2019_P1+,,
AS2011_Ratio H/L Proteins Inhi_2,,
BS2014_Log2(Ratio H/L normalized),,
UK2020_HCM_2,,
FSO2013_Ratio H/L normalized Rep2___2,,
EP2017_Pervanadate R#3 normalized log2 ratio,0.5286967061138147,0.3896192993400753
RM2024_Intensity D4-3___3,,
RB2022_5_PreStrength,,
NJH2024_Sub4_MICT_Mid,0.5517404084683724,
TM2022_S2.4h.A,0.5497239850678997,
RB2022_5_PostStrength,,
GF2025_P6_Sph,0.5311864048490972,
RB2022_2_PreSprint,0.5463893013857871,
ZX2022_CB treated Replicate 3,0.5374841182972839,
RM2024_Intensity D6-2___3,,
WZ2023_Pe_025_10min,0.5538003602881366,
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,
AST2020_anti-CD3+PDL2.1,,
KBE2022_Log2_Ex_34_U,,
WZ2023_Pu_005_10min,0.5501223725982217,
AS2011_Ratio H/L RNAi_2_1,,
NJH2024_Sub9_HIIT_Mid,0.5466705303742372,
CK2022_9 40-1,0.5458995356931097,
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,,
LG2023_GSK3α-1_intensity,,
WZ2023_Pu_025_30min,0.5559475304957554,
AH2018_SILAC_MR_2_X,,0.34192926643709554
HS2024_4_PD_T2,,
NJH2024_Sub4_HIIT_Pre,0.5499559318934025,
RB2022_2_RecoverySprint,0.5361655937184139,
AS2011_Ratio H/L Protein RNAi_1,,
RM2024_Intensity D2-1___2,,
CR2017_Ratio Replicate 1.4,0.5096693012827677,
FR2021_Norm.Intensity.B,,
RM2024_Intensity D6-2___1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,,
RB2022_5_PostSprint,,
EJN2021_3_Rest_Basal,0.5474891841723802,
CR2017_Ratio Replicate 1.3,0.5541008547507416,
AS2011_Ratio H/L Normalized by Protein RNAi_2,,
KTGR2014_Ratio-Rapa 7 mins,,
AMK2021_120R_p1,,
AH2018_SILAC_3_X,,
JJ2018_Ratio M/L normalized pP3,,
AH2018_SILAC_M_2_N,,0.37006457325450376
HS2024_7_PD_T2,0.542496512846817,
FSO2013_Ratio H/L normalized Rep1___1,0.5232737180426199,
AH2018_LFQ_1_C,,
AS2011_Ratio H/L Normalized Inhi_1_3,,
KBE2022_Log2_Ex_28_T,,
HS2024_3_B_N1,0.5398397079799205,
RM2024_Intensity D4-2___3,,
WZ2023_Pe_025_30min,0.5511322176354068,
CK2022_11 40-1,0.5464929330770408,
CW2012_10 µM Erl/control Experiment 3 Replicate B,,
AH2018_SILAC_2_X,,0.3692586142786755
MV2014_Ratio H/M normalized A2___2 (2 min),,
AS2011_Ratio H/L RNAi_1_2,,
KS2014_Intensity E15_1,0.5449963310172896,0.3634686737707813
FSO2013_Ratio H/L normalized Rep2,0.5326833857688604,
WZ2023_Pu_005_20min,0.5518061027598199,
NJH2024_Sub10_MICT_Post,0.5433837042856781,
RM2024_Intensity D2-3___1,,
CR2017_Ratio Replicate 1.5,0.523374271319066,
CW2012_10 µM Gef/control Experiment 2 Replicate B,,
HS2024_7_B_T3,,
CKC2017_log2 normalized phosphoproteomics_60min_rep#1,,
AS2011_Ratio H/L RNAi_1,,
JC2019_Normalised_intensity_A_TiOx_Testis_sample_URO0059,,
AH2018_LFQ_M_1_C,,0.36378677139745386
NJH2025_Sub7_MICT_Pre,0.5408036819380743,
SR2019_SKBR3_Biol_repl_2,,
HS2024_9_B_T2,0.5440111057529606,
KTGR2014_Ratio-AA 7 mins,,
MV2014_Ratio L/H normalized B3___3 (5 min),,
HS2024_3_PD_T1,0.5398385463609565,
FSO2013_Ratio M/L normalized Rep3___2,,
SR2019_BT549_Biol_repl_3,,
RCJD2014_20min_mean,0.549945846334546,
FR2021_Norm.Intensity.H,,
RB2022_2_PreStrength,0.5398677558649653,
DB2022_LFQ intensity L1.2,,
HS2024_4_B_N1,,
KTGR2014_Ratio H M Normalized Rep2_Rapamycin_0_15,,
CK2022_1 16-1,0.5345978926522957,
CK2022_1 200-1,0.5538418415845019,
PG2020_Intensity Mock_10h_D,0.5519455716731213,0.38614608349906
SR2019_MCF10A_Biol_repl_2,,
JJ2018_Ratio M/L normalized pP2___2,,
HS2024_6_PD_T1,0.5453611945843228,
JVO2010_Ratio M/L Normalized by Protein ThymON - Log2 G1/S,0.5459639670183364,
RB2022_6_RecoveryEndurance,0.5389738378521919,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3b,,
EP2017_Mitotic R#2 normalized log2 ratio,0.5524478403022186,0.3800680634285326
RCJD2014_5min_1,0.5407583041164981,
RM2024_Intensity D4-1___1,,
DL2023_24h-1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2b,,
TM2022_S2.4h.C,0.5493592734836142,
SAS2015_PLX/AZD_Exp2,0.5389978985748555,
CR2017_Ratio Replicate 3.3,0.5371464368714669,
PG2020_Intensity 2h_C,0.540074536585387,
VOI2024_Veh2 di,,
ZX2022_CB treated Replicate 2,0.5384593801013232,
KBE2022_Log2_Ex_8_T,,
NJH2025_Sub10_MICT_Post,0.5433837042856781,
HS2024_6_I_T3,0.5373983168785043,
RN2012_L11,,
AS2011_Ratio H/L Normalized Inhi_2_2,,
IMM2018_normalised rep. int. Empty-1,0.5451722126157234,
HS2024_5_PD_T1,0.5592742916758588,
AH2018_LFQ_M_2_C,,0.36178810904039954
CK2022_3 40-1,0.5493908234488508,
RBK2021_1260T Early,,
NJH2024_Sub4_HIIT_Post,0.55420270303482,
HS2024_4_I_T1,,
YA2020_Reporter_intensity_Cancer_No.5,,
HH2022_Reporter intensity 8,0.5532582711388986,0.3827257767863065
ZQ2022_N2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1b,,
FSO2013_Ratio H/L normalized Rep3___3,,
AH2018_TMTMS3_2_N,,0.38319418131981264
EJN2021_5_Rest_Basal,0.5450372796922422,
NJH2025_Sub2_HIIT_Post,0.539462445758176,
NJH2025_Sub1_MICT_Post,0.5444325457451209,
HS2024_9_B_T1,0.5473811512690533,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1a,,
JAW2011_Ratio H/L LS2_1,,
JVO2010_Log2 Ratio H/M Normalized aphidicolin,0.5537922059805865,
NJH2024_Sub6_HIIT_Pre,0.5420452215008545,
AH2018_SILAC_3_N,,
YA2020_Reporter_intensity_Normal_No.1,,
HS2024_3_B_T1,0.5460935262139107,
JJ2018_Ratio H/L normalized___2,,
RM2024_Intensity D0-2,,
MV2014_Ratio M/L normalized B1___2 (5 min),,
RB2022_7_PostStrength,0.5449761463527227,
RB2022_1_PostEndurance,,
CR2017_Ratio Replicate 3,0.5473630352732552,
SR2019_Hs578T_Biol_repl_3,,
MV2014_Ratio L/H normalized B3___1 (5 min),,
RBK2021_1244T Early,,
RB2022_3_PostSprint,0.5395386128807976,
NJH2024_Sub13_MICT_Mid,0.5460105500587377,
KTGR2014_Ratio-AA 2 mins,,
GF2025_P7_Sph,0.5439430572915881,
HS2024_8_I_T3,0.5501857524995409,
CF2017_EOC 3,0.5467514642307711,
LATM2013_Normalized Log2 Ratio (Medium/Light) Forward,,
HS2024_6_PD_T3,0.5464151701893023,
DL2023_12h-2,,
RM2024_Intensity D6-3___1,,
FS2019_Ctr1,,
WZ2023_Pu_010_20min,0.550158041070423,
AS2011_Ratio H/L_3,,
CK2022_1 40-1,0.549799463666074,
RNJ2017_Log2_ratio_Tsup:Trest_D1,,
CK2022_8 16-1,0.5337133220432736,
KS2014_Intensity N3,0.5428883708109694,0.3856030149537324
RB2022_4_RecoveryEndurance,,
RB2022_5_RecoveryEndurance,,
JAW2011_Ratio H/L LS1a_2,,
NJH2024_Sub12_HIIT_Mid,0.5457321776075886,
AH2018_LFQ_IT_1_N,,0.3647284188035899
FSO2013_Ratio H/M normalized Rep2,0.5402920602587233,
RAM2015_Log2 A,,
HS2024_8_PD_T1,0.5526191230325233,
JJ2018_Ratio H/L normalized pP2,,
CF2017_OSE 27,0.5402523336007073,
KS2014_Intensity E15_2,0.5453944716299655,0.36208188542957714
BS2014_Log2(Ratio H/L protein),,
PG2020_Intensity 8h_A,0.5429848366006241,
HS2024_7_I_T1,,
VOI2024_Veh3 di,,
RKK2015_TNF-α+SC-514/basal,0.5537534440827734,
SR2019_JIMT1_Biol_repl_1,,
HW2015_Ratio H/L normalized Exp2,,
HS2024_3_I_N1,0.5352495744472274,
AH2018_SILAC_M_3_X,,
NJH2024_Sub9_HIIT_Post,0.5487957973560722,
AS2011_Ratio H/L RNAi_1_3,,
GRW2016_Ratio H/L normalized SILAC 1___2,,
NJH2025_Sub1_HIIT_Pre,0.5439575293861039,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-2,,
NJH2024_Sub4_HIIT_Mid,0.5480746019022038,
VOI2024_0.1uM 2 h_1 di,,
KBE2022_Log2_Ex_6_T,,
RM2024_Intensity D4-3___1,,
AH2018_LFQ_4_X,,
AS2011_Inhi 2_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,
RB2022_8_PostEndurance,0.5447428955315224,
NJH2025_Sub4_MICT_Mid,0.5517404084683724,
YP2020_Intensity C30_R1_mult_log2,,
AST2020_anti-CD3.1,,
NJH2025_Sub4_HIIT_Post,0.55420270303482,
EP2017_Untreated R#4 log2 ratio,0.55857347666241,0.38446575954542966
HS2024_6_B_N1,0.5397115778150859,
KBE2022_Log2_Ex_27_T,,
CW2012_10 µM Gef/control Experiment 1 Replicate A,,
VOI2024_0.1uM 24 h_1 mono,,
AMK2021_120R_p5,,
AS2011_Ratio H/L Proteins,,
NJH2024_Sub7_HIIT_Post,0.5440536338334614,
NJH2015_TMT Subject 1 127_N/126 (Exercise/Basal) (normalized),0.5505617725735826,
AS2011_Ratio H/L RNAi_2_2,,
RB2022_7_RecoveryStrength,0.5372560668989099,
AH2018_SILAC_IT_3_X,,0.36639067701191047
JAW2011_Ratio H/L,,
PG2020_Intensity 10h_C,,0.361527798501885
FSO2013_Ratio M/L normalized Rep2,0.5501202198624846,
CP2009_Ratio H/M Normalized (50 nM dasatinib vs 5 nM dasatinib),,
HH2022_Reporter intensity 5,0.5512224041715709,0.38350404019434464
SR2019_HCC1954_Biol_repl_2,,
CK2022_14 40-1,0.5473534488014453,
RB2022_6_PreSprint,0.5490073481122989,
NJH2025_Sub12_MICT_Mid,0.5483798142510969,
PG2020_Intensity 4h_D,0.5405834986555923,
NJH2025_Sub2_MICT_Post,0.543052007444,
AH2018_LFQ_4_C,,
DL2023_control-1,,
AR2021_ALG 10 μM,0.5590745190207851,
JAW2011_Ratio H/L LS2_2,,
AH2018_SILAC_IT_3_N,,0.3626138626782433
EJN2021_4_Rest_Ins,0.5506577223884646,
RN2012_H05,,
NJH2024_Sub7_HIIT_Mid,0.5377678645629321,
GF2025_P2_Adh,0.5327720621161979,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4b,,
RB2022_8_PostSprint,0.5312699962055384,
EJN2021_1_Rest_Ins,0.5484577623271725,
HH2022_Reporter intensity 3,0.5357743043518949,0.35676542505360875
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4b,,
AH2018_SILAC_IT_1_C,,0.36485477081713874
JW2021_After_3,,
GF2025_P8_Sph,0.5586947776847856,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4,,
JJ2018_Ratio M/L normalized pP2___1,,
AH2018_SILAC_2_N,,0.3681313819073895
CK2022_11 200-1,0.5494438769695094,
CK2022_12 200-1,0.5471484409860856,
AS2011_Ratio H/L Normalized by Protein RNAi_1,,
RM2024_Intensity D2-1___3,,
NJH2024_Sub1_MICT_Pre,0.5431296224198311,
HH2022_Reporter intensity 9,0.5478355294638971,0.3758485708626273
WZ2023_Su_010_20min,0.5523571086965585,
AH2018_TMTMS2_2_N,,0.3435886813732734
NJH2024_Sub13_MICT_Pre,0.544123774724429,
KBE2022_Log2_Ex_41_U,,
NJH2015_TMT Subject 3 129_N/128_C (Exercise/Basal) (normalized),0.539715930211888,
AH2018_TMTMS3_Pool,,0.38030903878873396
KS2014_Intensity N4,0.5490227997879682,0.40533839722665893
NJH2024_Sub1_HIIT_Post,0.5468732214629981,
MM2018_Ratio H/L replicate2,,
RM2024_Intensity D4-2___2,,
NJH2024_Sub13_HIIT_Pre,0.5435458667059876,
CF2017_OSE 26,0.5498436765134526,
CK2022_14 200-1,0.550033805717787,
SR2019_Hs578T_Biol_repl_1,,
RB2022_7_PostSprint,0.5496224130856435,
TM2022_mock.4h.A,0.5491147329306632,
NJH2025_Sub12_HIIT_Pre,0.5497692387943803,
AH2018_TMTMS3_1_N,,0.38620253065100396
AST2020_anti-CD3+PDL2.2,,
PG2020_Intensity Mock_10h_A,,0.38321520638023077
JW2021_After_2,,
NJH2024_Sub2_MICT_Post,0.543052007444,
EJN2021_2_Rest_Ins,0.5491609539570542,
SR2019_LM2_Biol_repl_4,,
CP2009_Ratio H/M,,
JAW2011_Ratio H/L HS,,
CK2022_13 16-1,0.5317329071564091,
GF2025_P1_Adh,0.5361435469257793,
GF2025_P1_Sph,0.5475143432294227,
EJN2021_5_Ex_Basal,0.5502854291432477,
HS2024_7_I_T3,0.5446737378478802,
JJ2018_Ratio H/L normalized pP2___2,,
WZ2023_Pe_010_10min,0.5517996092219541,
CF2017_EOC 1,0.5486581384890193,
CK2022_3 200-1,0.5536213846666312,
AH2018_LFQ_IT_3_C,,0.37162694714999794
SR2019_Hs578T_Biol_repl_2,,
NJH2024_Sub12_HIIT_Post,0.5514234069695408,
JJ2018_Ratio H/L normalized pP1___2,,
MV2014_Ratio H/L normalized A1___2 (10 min),,
NJH2024_Sub10_MICT_Mid,0.5435375557575416,
NJH2024_Sub13_MICT_Post,0.5431475995083328,
BS2014_Log2(Ratio H/L normalized Rep_1),,
RB2022_3_RecoverySprint,0.542162602902076,
NJH2025_Sub1_HIIT_Mid,0.5465304910284946,
RCJD2014_20min_2,0.5472993337897848,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2,,
HS2024_6_PD_T2,0.541121803283948,
HS2024_5_B_T1,,
CW2012_10 µM Gef/control Experiment 2 Replicate A,,
DL2023_12h-3,,
SR2019_MDAMB231_Biol_repl_2,,
HS2024_3_B_T2,0.5386682273975301,
RB2022_6_PreStrength,0.5338765487822409,
CK2022_2 40-1,0.5500953341341439,
RB2022_1_PostSprint,,
CK2022_4 200-1,0.5544338487479188,
JW2021_Before_2,,
TM2022_S2.12h.A,0.5490474437877536,
MV2014_Ratio L/M normalized B2___2 (30 min),,
CK2022_5 16-1,0.5344386047665494,
AR2021_ALG 1 μM,0.5493991294279443,
HS2024_4_B_T1,,
MV2014_Ratio M/H normalized A3___1 (10 min),,
SR2019_BT549_Biol_repl_4,,
EJN2021_1_Rest_Basal,0.5483292905091471,
NJH2025_Sub8_MICT_Post,0.54705260954316,
RCJD2014_5min_3,0.5387339280186019,
CR2017_Ratio Replicate 3.2,0.5305816248123038,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as3a,,
GF2025_P7_Adh,0.5590300382922808,
CK2022_9 16-1,0.5309691163183354,
NJH2024_Sub6_HIIT_Post,0.5488678260813082,
AMK2021_30R_p3,,
AS2011_Ratio H/L Normalized RNAi_2,,
RM2024_Intensity D0-2___2,,
KS2014_Intensity pY_N4,,
CK2022_13 200-1,0.5501611318089145,
AS2011_Ratio H/L Normalized_2,,
PG2020_Intensity 6h_D,0.5405016524828745,0.3755532599462594
CK2022_16 16-1,0.5272660641721814,
FS2019_db/db3,,
CK2022_15 40-1,0.5471781217688451,
NJH2024_Sub9_MICT_Pre,0.5457327273069346,
BS2014_Log2(Ratio H/L unmodified peptide),,
WZ2023_Su_005_10min,0.5523080747335136,
RM2009_Ratio M/L (M:15 min timepoint;L:0 min. timepoint),0.5488564597663469,
KBE2022_Log2_Ex_41_T,,
