DatasetName,PARP4_C(1507) PARP4_S(1048) PARP4_S(1186) PARP4_S(1236) PARP4_S(1288) PARP4_S(1335) PARP4_S(1338) PARP4_S(1349) PARP4_S(1434) PARP4_S(1710) PARP4_S(1713) PARP4_S(1722) PARP4_S(223) PARP4_T(101) PARP4_T(1443) PARP4_T(1499) PARP4_T(333) PARP4_T(768),PARP4_S(122) PARP4_S(1223) PARP4_S(1306) PARP4_S(1507) PARP4_T(124)
RM2024_Intensity D4-1___3,,
RB2022_4_PostEndurance,,
FSO2013_Ratio M/L normalized Rep3,0.5165311630512056,
SR2019_MCF7_Biol_repl_3,,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),0.5220944751857677,
SR2019_LM2_Biol_repl_1,0.5110731104785363,
RCJD2014_15min_1,0.5127219740800795,
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,
CK2022_7 16-1,,
NJH2025_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_C,,
RKK2015_TNF-α/basal,0.5229409112501294,
JJ2018_Ratio H/M normalized pP2,,
NJH2025_Sub12_MICT_Pre,,
NJH2025_Sub7_MICT_Post,,
DL2023_control-3,,
ZX2022_Control Replicate 2,0.5083209704556358,0.3528283858937017
HS2024_6_B_T3,0.47394317057741364,0.3723947019788558
JW2015_Intensity pre1,,
IMM2018_normalised rep. int. Empty-3,,
AMK2021_30R_p5,,
FSO2013_Ratio M/L normalized Rep1,0.5116339984379236,
SR2019_MDAMB231_Biol_repl_4,0.5208809763948111,
GF2025_P2_Sph,0.5237716177927904,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,
NJH2025_Sub13_HIIT_Mid,,
CP2009_Ratio M/L,,
NJH2025_Sub7_HIIT_Post,,
KBE2022_Log2_Ex_44_T,0.5084303819746362,
DB2022_Intensity L2,,
TM2022_mock.4h.C,0.5152716465311691,
AST2020_anti-CD3.2,,
CW2012_10 µM Erl/control Experiment 1 Replicate B,,
HS2024_7_B_N1,0.5433810008348904,
FSO2013_Ratio M/L normalized Rep1___1,0.511748369007438,
SAS2015_AZD/DMSO_Exp3,,
RM2024_Intensity D0-2___3,,
RM2024_Intensity D6-1,0.5103460955781833,
RB2022_8_RecoverySprint,,
RB2022_5_PreEndurance,,
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,0.4910525935026349,
EP2017_Untreated R#4 normalized log2 ratio,0.5238908174197997,
WZ2023_Pu_010_30min,0.5200741818699607,0.36963593483363816
AS2011_Ratio H/L Proteins RNAi_2,,
RB2022_4_PreStrength,,
NJH2024_Sub4_MICT_Post,,
AH2018_LFQ_M_1_X,,
RB2022_8_RecoveryEndurance,,
KBE2022_Log2_Ex_14_U,0.507840883015057,
FSO2013_Ratio M/L normalized Rep3___3,,
AH2018_TMTMS3_1_C,0.5064519411596761,
JJ2018_Ratio H/L normalized___1,,
ZQ2022_C2,0.5451831839222122,
RB2022_5_PreSprint,,
PG2020_Intensity 8h_C,,
AH2018_SILAC_MR_2_N,0.4999806062627237,
MV2014_Ratio M/L normalized A1___2 (2 min),,
TM2022_S2.8h.B,0.5158699886220894,
MV2014_Ratio M/H normalized B3___1 (30 min),0.5214262487727667,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,,
RM2024_Intensity D6-1___2,0.5148567692541843,
NJH2025_Sub7_MICT_Mid,,
LY2019_P1+,0.5299909199079778,
AS2011_Ratio H/L Proteins Inhi_2,,
BS2014_Log2(Ratio H/L normalized),,
UK2020_HCM_2,,
FSO2013_Ratio H/L normalized Rep2___2,,
EP2017_Pervanadate R#3 normalized log2 ratio,0.5188035545488598,
RM2024_Intensity D4-3___3,,
RB2022_5_PreStrength,,
NJH2024_Sub4_MICT_Mid,,
TM2022_S2.4h.A,0.5153155688859671,
RB2022_5_PostStrength,,
GF2025_P6_Sph,0.5195522429830917,
RB2022_2_PreSprint,,
ZX2022_CB treated Replicate 3,0.5110468696912078,0.35612337784546966
RM2024_Intensity D6-2___3,,
WZ2023_Pe_025_10min,0.5156823412516093,0.39366662125084273
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,
AST2020_anti-CD3+PDL2.1,,
KBE2022_Log2_Ex_34_U,0.5103211859198818,
WZ2023_Pu_005_10min,0.5123078910768949,0.3774215591521465
AS2011_Ratio H/L RNAi_2_1,,
NJH2024_Sub9_HIIT_Mid,,
CK2022_9 40-1,,
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,,
LG2023_GSK3α-1_intensity,,
WZ2023_Pu_025_30min,0.5186875901575143,0.36127786296070513
AH2018_SILAC_MR_2_X,0.49861271944397395,
HS2024_4_PD_T2,0.5048171594101096,
NJH2024_Sub4_HIIT_Pre,,
RB2022_2_RecoverySprint,,
AS2011_Ratio H/L Protein RNAi_1,,
RM2024_Intensity D2-1___2,0.5125463951879725,
CR2017_Ratio Replicate 1.4,0.534487696091907,
FR2021_Norm.Intensity.B,0.5090573240141377,
RM2024_Intensity D6-2___1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,,
RB2022_5_PostSprint,,
EJN2021_3_Rest_Basal,,
CR2017_Ratio Replicate 1.3,0.5094012527094041,0.38436720865600243
AS2011_Ratio H/L Normalized by Protein RNAi_2,,
KTGR2014_Ratio-Rapa 7 mins,,
AMK2021_120R_p1,,
AH2018_SILAC_3_X,0.5079775078475778,
JJ2018_Ratio M/L normalized pP3,,
AH2018_SILAC_M_2_N,0.5115007177134228,
HS2024_7_PD_T2,0.5014385181743012,
FSO2013_Ratio H/L normalized Rep1___1,0.49983370368363644,
AH2018_LFQ_1_C,0.5002967324753743,
AS2011_Ratio H/L Normalized Inhi_1_3,,
KBE2022_Log2_Ex_28_T,0.508399585740077,
HS2024_3_B_N1,0.5325569949047718,
RM2024_Intensity D4-2___3,,
WZ2023_Pe_025_30min,0.5113153074467299,0.3877415015525873
CK2022_11 40-1,,
CW2012_10 µM Erl/control Experiment 3 Replicate B,,
AH2018_SILAC_2_X,0.5129843371437917,
MV2014_Ratio H/M normalized A2___2 (2 min),,
AS2011_Ratio H/L RNAi_1_2,,
KS2014_Intensity E15_1,0.5120461537881964,
FSO2013_Ratio H/L normalized Rep2,0.5107245547075737,
WZ2023_Pu_005_20min,0.5191157227113877,0.379285355481126
NJH2024_Sub10_MICT_Post,,
RM2024_Intensity D2-3___1,,
CR2017_Ratio Replicate 1.5,0.5334930167667564,
CW2012_10 µM Gef/control Experiment 2 Replicate B,,
HS2024_7_B_T3,0.5107632580603654,
CKC2017_log2 normalized phosphoproteomics_60min_rep#1,0.5048565087974579,
AS2011_Ratio H/L RNAi_1,,
JC2019_Normalised_intensity_A_TiOx_Testis_sample_URO0059,,
AH2018_LFQ_M_1_C,0.5053641120918525,
NJH2025_Sub7_MICT_Pre,,
SR2019_SKBR3_Biol_repl_2,0.5269495793756566,
HS2024_9_B_T2,0.5453006567615649,0.4425320749830829
KTGR2014_Ratio-AA 7 mins,,
MV2014_Ratio L/H normalized B3___3 (5 min),,
HS2024_3_PD_T1,0.503099333149321,
FSO2013_Ratio M/L normalized Rep3___2,,
SR2019_BT549_Biol_repl_3,0.5219025267368412,
RCJD2014_20min_mean,0.5112542746020436,
FR2021_Norm.Intensity.H,0.5092670512992633,
RB2022_2_PreStrength,,
DB2022_LFQ intensity L1.2,,
HS2024_4_B_N1,0.49267398506091037,
KTGR2014_Ratio H M Normalized Rep2_Rapamycin_0_15,,
CK2022_1 16-1,,
CK2022_1 200-1,,
PG2020_Intensity Mock_10h_D,,
SR2019_MCF10A_Biol_repl_2,0.5389244843456138,
JJ2018_Ratio M/L normalized pP2___2,,
HS2024_6_PD_T1,0.4856307260194982,
JVO2010_Ratio M/L Normalized by Protein ThymON - Log2 G1/S,,
RB2022_6_RecoveryEndurance,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3b,,
EP2017_Mitotic R#2 normalized log2 ratio,0.525280850964688,
RCJD2014_5min_1,0.5218028111718238,
RM2024_Intensity D4-1___1,,
DL2023_24h-1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2b,,
TM2022_S2.4h.C,0.5160080289361342,
SAS2015_PLX/AZD_Exp2,0.5020211065256589,
CR2017_Ratio Replicate 3.3,0.5205811091872474,
PG2020_Intensity 2h_C,,
VOI2024_Veh2 di,,
ZX2022_CB treated Replicate 2,0.5114589037836678,0.35897370838955284
KBE2022_Log2_Ex_8_T,0.5108199254109533,
NJH2025_Sub10_MICT_Post,,
HS2024_6_I_T3,0.48404511653243176,
RN2012_L11,,
AS2011_Ratio H/L Normalized Inhi_2_2,,
IMM2018_normalised rep. int. Empty-1,,
HS2024_5_PD_T1,0.512109541630083,
AH2018_LFQ_M_2_C,0.5065734211960979,
CK2022_3 40-1,,
RBK2021_1260T Early,,0.4482210058220909
NJH2024_Sub4_HIIT_Post,,
HS2024_4_I_T1,0.5352834587129559,
YA2020_Reporter_intensity_Cancer_No.5,0.508312816597049,0.3742503326352097
HH2022_Reporter intensity 8,,
ZQ2022_N2,0.4916082496455822,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1b,,
FSO2013_Ratio H/L normalized Rep3___3,,
AH2018_TMTMS3_2_N,0.511973513797849,
EJN2021_5_Rest_Basal,,
NJH2025_Sub2_HIIT_Post,,
NJH2025_Sub1_MICT_Post,,
HS2024_9_B_T1,0.5227349653587035,0.4308636023713026
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1a,,
JAW2011_Ratio H/L LS2_1,,
JVO2010_Log2 Ratio H/M Normalized aphidicolin,,
NJH2024_Sub6_HIIT_Pre,,
AH2018_SILAC_3_N,0.5044460061501947,
YA2020_Reporter_intensity_Normal_No.1,0.508086854976912,0.3828884412237271
HS2024_3_B_T1,0.4967064548693407,
JJ2018_Ratio H/L normalized___2,,
RM2024_Intensity D0-2,0.510255506896204,
MV2014_Ratio M/L normalized B1___2 (5 min),,
RB2022_7_PostStrength,,
RB2022_1_PostEndurance,,
CR2017_Ratio Replicate 3,0.5302125711055309,
SR2019_Hs578T_Biol_repl_3,0.5209946428417906,
MV2014_Ratio L/H normalized B3___1 (5 min),0.5169261033270023,
RBK2021_1244T Early,,0.3940385888783794
RB2022_3_PostSprint,,
NJH2024_Sub13_MICT_Mid,,
KTGR2014_Ratio-AA 2 mins,,
GF2025_P7_Sph,0.5483261486736258,
HS2024_8_I_T3,0.5734107434147837,
CF2017_EOC 3,0.49826468219308395,
LATM2013_Normalized Log2 Ratio (Medium/Light) Forward,,
HS2024_6_PD_T3,0.51470263068689,
DL2023_12h-2,,
RM2024_Intensity D6-3___1,,
FS2019_Ctr1,,
WZ2023_Pu_010_20min,0.5144706962636018,0.3736397022089647
AS2011_Ratio H/L_3,,
CK2022_1 40-1,,
RNJ2017_Log2_ratio_Tsup:Trest_D1,,
CK2022_8 16-1,,
KS2014_Intensity N3,0.5117666730301891,
RB2022_4_RecoveryEndurance,,
RB2022_5_RecoveryEndurance,,
JAW2011_Ratio H/L LS1a_2,,
NJH2024_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_N,,
FSO2013_Ratio H/M normalized Rep2,0.5071742382028256,
RAM2015_Log2 A,0.5133403943667005,
HS2024_8_PD_T1,0.5428058009837465,
JJ2018_Ratio H/L normalized pP2,,
CF2017_OSE 27,0.5108544352411226,
KS2014_Intensity E15_2,0.5108506531563078,
BS2014_Log2(Ratio H/L protein),,
PG2020_Intensity 8h_A,,
HS2024_7_I_T1,0.5033275327596916,
VOI2024_Veh3 di,,
RKK2015_TNF-α+SC-514/basal,0.5153911965247001,
SR2019_JIMT1_Biol_repl_1,0.5245549455117264,
HW2015_Ratio H/L normalized Exp2,,
HS2024_3_I_N1,0.4980086437228483,
AH2018_SILAC_M_3_X,0.5083891549752798,
NJH2024_Sub9_HIIT_Post,,
AS2011_Ratio H/L RNAi_1_3,,
GRW2016_Ratio H/L normalized SILAC 1___2,,
NJH2025_Sub1_HIIT_Pre,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-2,,
NJH2024_Sub4_HIIT_Mid,,
VOI2024_0.1uM 2 h_1 di,,
KBE2022_Log2_Ex_6_T,0.5080724669520851,
RM2024_Intensity D4-3___1,,
AH2018_LFQ_4_X,,
AS2011_Inhi 2_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,
RB2022_8_PostEndurance,,
NJH2025_Sub4_MICT_Mid,,
YP2020_Intensity C30_R1_mult_log2,,
AST2020_anti-CD3.1,,
NJH2025_Sub4_HIIT_Post,,
EP2017_Untreated R#4 log2 ratio,0.5243353552132096,
HS2024_6_B_N1,0.53146567258352,
KBE2022_Log2_Ex_27_T,,
CW2012_10 µM Gef/control Experiment 1 Replicate A,,
VOI2024_0.1uM 24 h_1 mono,0.5119565494049004,0.38357880284858664
AMK2021_120R_p5,,
AS2011_Ratio H/L Proteins,,
NJH2024_Sub7_HIIT_Post,,
NJH2015_TMT Subject 1 127_N/126 (Exercise/Basal) (normalized),,
AS2011_Ratio H/L RNAi_2_2,,
RB2022_7_RecoveryStrength,,
AH2018_SILAC_IT_3_X,0.5091023961307006,
JAW2011_Ratio H/L,,
PG2020_Intensity 10h_C,0.495851934667358,
FSO2013_Ratio M/L normalized Rep2,0.5173187893061227,
CP2009_Ratio H/M Normalized (50 nM dasatinib vs 5 nM dasatinib),,
HH2022_Reporter intensity 5,,
SR2019_HCC1954_Biol_repl_2,0.5154988968582619,
CK2022_14 40-1,,
RB2022_6_PreSprint,,
NJH2025_Sub12_MICT_Mid,,
PG2020_Intensity 4h_D,,
NJH2025_Sub2_MICT_Post,,
AH2018_LFQ_4_C,,
DL2023_control-1,,
AR2021_ALG 10 μM,,
JAW2011_Ratio H/L LS2_2,,
AH2018_SILAC_IT_3_N,0.5034595619773676,
EJN2021_4_Rest_Ins,,
RN2012_H05,0.5071536552026727,
NJH2024_Sub7_HIIT_Mid,,
GF2025_P2_Adh,0.5165761165007376,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4b,,
RB2022_8_PostSprint,,
EJN2021_1_Rest_Ins,,
HH2022_Reporter intensity 3,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4b,,
AH2018_SILAC_IT_1_C,0.5126133833607106,
JW2021_After_3,,
GF2025_P8_Sph,0.5151315001650602,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4,,
JJ2018_Ratio M/L normalized pP2___1,,
AH2018_SILAC_2_N,0.5111602692422579,
CK2022_11 200-1,,
CK2022_12 200-1,,
AS2011_Ratio H/L Normalized by Protein RNAi_1,,
RM2024_Intensity D2-1___3,,
NJH2024_Sub1_MICT_Pre,,
HH2022_Reporter intensity 9,,
WZ2023_Su_010_20min,0.5209743046677158,0.37741615384213584
AH2018_TMTMS2_2_N,0.5065429018764286,
NJH2024_Sub13_MICT_Pre,,
KBE2022_Log2_Ex_41_U,0.5104143622561251,
NJH2015_TMT Subject 3 129_N/128_C (Exercise/Basal) (normalized),,
AH2018_TMTMS3_Pool,0.5071969940082837,
KS2014_Intensity N4,0.5177982799977776,
NJH2024_Sub1_HIIT_Post,,
MM2018_Ratio H/L replicate2,,
RM2024_Intensity D4-2___2,0.5129851768030403,
NJH2024_Sub13_HIIT_Pre,,
CF2017_OSE 26,0.509286034028633,
CK2022_14 200-1,,
SR2019_Hs578T_Biol_repl_1,0.5339887328894095,
RB2022_7_PostSprint,,
TM2022_mock.4h.A,0.5160769112427037,
NJH2025_Sub12_HIIT_Pre,,
AH2018_TMTMS3_1_N,0.5131104857313246,
AST2020_anti-CD3+PDL2.2,,
PG2020_Intensity Mock_10h_A,,
JW2021_After_2,,
NJH2024_Sub2_MICT_Post,,
EJN2021_2_Rest_Ins,,
SR2019_LM2_Biol_repl_4,0.5095466177418335,
CP2009_Ratio H/M,,
JAW2011_Ratio H/L HS,,
CK2022_13 16-1,,
GF2025_P1_Adh,0.5235307492838573,
GF2025_P1_Sph,0.5211615068926282,
EJN2021_5_Ex_Basal,,
HS2024_7_I_T3,0.5220956794079018,
JJ2018_Ratio H/L normalized pP2___2,,
WZ2023_Pe_010_10min,0.5207386442682819,0.3844213902659905
CF2017_EOC 1,0.5147687590104978,
CK2022_3 200-1,,
AH2018_LFQ_IT_3_C,0.5122862664289285,
SR2019_Hs578T_Biol_repl_2,0.519329110046455,
NJH2024_Sub12_HIIT_Post,,
JJ2018_Ratio H/L normalized pP1___2,,
MV2014_Ratio H/L normalized A1___2 (10 min),,
NJH2024_Sub10_MICT_Mid,,
NJH2024_Sub13_MICT_Post,,
BS2014_Log2(Ratio H/L normalized Rep_1),,
RB2022_3_RecoverySprint,,
NJH2025_Sub1_HIIT_Mid,,
RCJD2014_20min_2,0.5055856281549285,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2,,
HS2024_6_PD_T2,0.5151631531626935,
HS2024_5_B_T1,0.5510386659613505,
CW2012_10 µM Gef/control Experiment 2 Replicate A,,
DL2023_12h-3,,
SR2019_MDAMB231_Biol_repl_2,0.5219322730897571,
HS2024_3_B_T2,0.517879995378799,
RB2022_6_PreStrength,,
CK2022_2 40-1,,
RB2022_1_PostSprint,,
CK2022_4 200-1,,
JW2021_Before_2,,
TM2022_S2.12h.A,0.5150711349426595,
MV2014_Ratio L/M normalized B2___2 (30 min),,
CK2022_5 16-1,,
AR2021_ALG 1 μM,0.5352377227313618,0.37187988566085145
HS2024_4_B_T1,0.5241835913830207,
MV2014_Ratio M/H normalized A3___1 (10 min),,
SR2019_BT549_Biol_repl_4,0.5182391165552462,
EJN2021_1_Rest_Basal,,
NJH2025_Sub8_MICT_Post,,
RCJD2014_5min_3,0.5163063670787765,
CR2017_Ratio Replicate 3.2,0.5069599999782565,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as3a,,
GF2025_P7_Adh,0.5061994559488517,
CK2022_9 16-1,,
NJH2024_Sub6_HIIT_Post,,
AMK2021_30R_p3,,
AS2011_Ratio H/L Normalized RNAi_2,,
RM2024_Intensity D0-2___2,0.513420176005596,
KS2014_Intensity pY_N4,,
CK2022_13 200-1,,
AS2011_Ratio H/L Normalized_2,,
PG2020_Intensity 6h_D,,
CK2022_16 16-1,,
FS2019_db/db3,,
CK2022_15 40-1,,
NJH2024_Sub9_MICT_Pre,,
BS2014_Log2(Ratio H/L unmodified peptide),,
WZ2023_Su_005_10min,0.51634229862996,0.3748762081619435
RM2009_Ratio M/L (M:15 min timepoint;L:0 min. timepoint),,
KBE2022_Log2_Ex_41_T,0.510789711836106,
AMK2021_Ctrl_p1,,
AH2018_LFQ_IT_3_X,0.5129699055282474,
HS2024_5_PD_T3,0.47613241929647554,
AH2018_TMTMS3_3_X,0.5142586257249768,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2,,
KBE2022_Log2_Ex_40_U,0.5081642131260354,
AH2018_LFQ_M_1_N,0.5086649569561547,
KBE2022_Log2_Ex_27_U,,
HW2015_Ratio M/L normalized Exp3,,
RKK2015_TNF-α/IKKb(K44M),0.5068573075077989,
AH2018_SILAC_M_1_N,0.5015582707556189,
HW2015_Ratio M/L normalized Exp1,,
RB2022_5_RecoveryStrength,,
YP2020_Intensity P10_R1_mult_log2,,
RB2022_7_PreStrength,,
YA2020_Reporter_intensity_Normal_No.4,0.506398514242705,0.37530480535266164
NJH2025_Sub13_HIIT_Pre,,
PG2020_Intensity CT_D,,
