DatasetName,KGD4_S(60) KGD4_S(90) KGD4_Y(57),KGD4_S(12) KGD4_S(4) KGD4_S(59) KGD4_S(61) KGD4_S(8) KGD4_Y(67)
RM2024_Intensity D4-1___3,,
RB2022_4_PostEndurance,,0.5648177371000496
FSO2013_Ratio M/L normalized Rep3,,
SR2019_MCF7_Biol_repl_3,,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),,
SR2019_LM2_Biol_repl_1,,
RCJD2014_15min_1,,0.5554122269496823
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,
CK2022_7 16-1,,
NJH2025_Sub12_HIIT_Mid,,0.5490374740832621
AH2018_LFQ_IT_1_C,,
RKK2015_TNF-α/basal,,
JJ2018_Ratio H/M normalized pP2,,
NJH2025_Sub12_MICT_Pre,,0.5548424849648325
NJH2025_Sub7_MICT_Post,,0.555101095611503
DL2023_control-3,,
ZX2022_Control Replicate 2,,
HS2024_6_B_T3,,0.5246097086803321
JW2015_Intensity pre1,,
IMM2018_normalised rep. int. Empty-3,,
AMK2021_30R_p5,,
FSO2013_Ratio M/L normalized Rep1,,
SR2019_MDAMB231_Biol_repl_4,,
GF2025_P2_Sph,,0.5705554168985829
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,
NJH2025_Sub13_HIIT_Mid,,0.5527999020868279
CP2009_Ratio M/L,,
NJH2025_Sub7_HIIT_Post,,0.5541240285195445
KBE2022_Log2_Ex_44_T,,
DB2022_Intensity L2,,
TM2022_mock.4h.C,,
AST2020_anti-CD3.2,,
CW2012_10 µM Erl/control Experiment 1 Replicate B,,
HS2024_7_B_N1,,0.5740091534631392
FSO2013_Ratio M/L normalized Rep1___1,,
SAS2015_AZD/DMSO_Exp3,,
RM2024_Intensity D0-2___3,,
RM2024_Intensity D6-1,,
RB2022_8_RecoverySprint,,
RB2022_5_PreEndurance,,0.5602064774109837
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,,
EP2017_Untreated R#4 normalized log2 ratio,,0.5780242552398763
WZ2023_Pu_010_30min,,0.5432327745062805
AS2011_Ratio H/L Proteins RNAi_2,,
RB2022_4_PreStrength,,0.5787343241733668
NJH2024_Sub4_MICT_Post,,0.564340810351714
AH2018_LFQ_M_1_X,,
RB2022_8_RecoveryEndurance,,
KBE2022_Log2_Ex_14_U,,
FSO2013_Ratio M/L normalized Rep3___3,,
AH2018_TMTMS3_1_C,,
JJ2018_Ratio H/L normalized___1,,
ZQ2022_C2,,
RB2022_5_PreSprint,,0.5699490539266853
PG2020_Intensity 8h_C,0.3285886529438012,0.5630287196831903
AH2018_SILAC_MR_2_N,,
MV2014_Ratio M/L normalized A1___2 (2 min),,
TM2022_S2.8h.B,,
MV2014_Ratio M/H normalized B3___1 (30 min),,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,,
RM2024_Intensity D6-1___2,,
NJH2025_Sub7_MICT_Mid,,0.5565523579802393
LY2019_P1+,,0.555072995347779
AS2011_Ratio H/L Proteins Inhi_2,,
BS2014_Log2(Ratio H/L normalized),,
UK2020_HCM_2,,
FSO2013_Ratio H/L normalized Rep2___2,,
EP2017_Pervanadate R#3 normalized log2 ratio,,0.5557234435147115
RM2024_Intensity D4-3___3,,
RB2022_5_PreStrength,,0.5648341587484995
NJH2024_Sub4_MICT_Mid,,0.5636904593757858
TM2022_S2.4h.A,,
RB2022_5_PostStrength,,0.5538641636761967
GF2025_P6_Sph,,0.5481592932541995
RB2022_2_PreSprint,,
ZX2022_CB treated Replicate 3,,
RM2024_Intensity D6-2___3,,
WZ2023_Pe_025_10min,,0.575416184680965
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,
AST2020_anti-CD3+PDL2.1,,
KBE2022_Log2_Ex_34_U,,
WZ2023_Pu_005_10min,,0.567366177311798
AS2011_Ratio H/L RNAi_2_1,,
NJH2024_Sub9_HIIT_Mid,,0.5538037677834103
CK2022_9 40-1,,
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,,
LG2023_GSK3α-1_intensity,,
WZ2023_Pu_025_30min,,0.5583617622671819
AH2018_SILAC_MR_2_X,,
HS2024_4_PD_T2,,0.5671248542096515
NJH2024_Sub4_HIIT_Pre,,0.5667174489622114
RB2022_2_RecoverySprint,,
AS2011_Ratio H/L Protein RNAi_1,,
RM2024_Intensity D2-1___2,,
CR2017_Ratio Replicate 1.4,,0.5540395340471024
FR2021_Norm.Intensity.B,,
RM2024_Intensity D6-2___1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,,
RB2022_5_PostSprint,,0.5788833216998958
EJN2021_3_Rest_Basal,,0.5622535633921979
CR2017_Ratio Replicate 1.3,,0.5538024631860666
AS2011_Ratio H/L Normalized by Protein RNAi_2,,
KTGR2014_Ratio-Rapa 7 mins,,
AMK2021_120R_p1,,
AH2018_SILAC_3_X,,
JJ2018_Ratio M/L normalized pP3,,
AH2018_SILAC_M_2_N,,
HS2024_7_PD_T2,,0.5867024978015639
FSO2013_Ratio H/L normalized Rep1___1,,
AH2018_LFQ_1_C,,
AS2011_Ratio H/L Normalized Inhi_1_3,,
KBE2022_Log2_Ex_28_T,,
HS2024_3_B_N1,,0.5220031883742572
RM2024_Intensity D4-2___3,,
WZ2023_Pe_025_30min,,0.5718530979378715
CK2022_11 40-1,,
CW2012_10 µM Erl/control Experiment 3 Replicate B,,
AH2018_SILAC_2_X,,
MV2014_Ratio H/M normalized A2___2 (2 min),,
AS2011_Ratio H/L RNAi_1_2,,
KS2014_Intensity E15_1,0.3637698300584722,
FSO2013_Ratio H/L normalized Rep2,,
WZ2023_Pu_005_20min,,0.5410757278905013
NJH2024_Sub10_MICT_Post,,0.5555679251270363
RM2024_Intensity D2-3___1,,
CR2017_Ratio Replicate 1.5,,0.5622030323776045
CW2012_10 µM Gef/control Experiment 2 Replicate B,,
HS2024_7_B_T3,,0.5943092132081813
CKC2017_log2 normalized phosphoproteomics_60min_rep#1,,
AS2011_Ratio H/L RNAi_1,,
JC2019_Normalised_intensity_A_TiOx_Testis_sample_URO0059,,
AH2018_LFQ_M_1_C,,
