DatasetName,HNRNPL_S(101) HNRNPL_S(151) HNRNPL_S(178) HNRNPL_S(185) HNRNPL_S(188) HNRNPL_S(29) HNRNPL_S(291) HNRNPL_S(298) HNRNPL_S(36) HNRNPL_S(52) HNRNPL_S(530) HNRNPL_S(531) HNRNPL_S(544) HNRNPL_S(589) HNRNPL_T(484) HNRNPL_T(487) HNRNPL_T(577) HNRNPL_T(98) HNRNPL_Y(92),HNRNPL_S(486)
RM2024_Intensity D4-1___3,,
RB2022_4_PostEndurance,0.5270650063211418,
FSO2013_Ratio M/L normalized Rep3,0.5198425851793379,
SR2019_MCF7_Biol_repl_3,,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),0.5326762609204104,
SR2019_LM2_Biol_repl_1,,
RCJD2014_15min_1,0.5360346102351753,
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,
CK2022_7 16-1,0.5206544686329204,
NJH2025_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_C,,
RKK2015_TNF-α/basal,0.5226942423470146,
JJ2018_Ratio H/M normalized pP2,,
NJH2025_Sub12_MICT_Pre,,
NJH2025_Sub7_MICT_Post,,
DL2023_control-3,,
ZX2022_Control Replicate 2,0.5206702625050277,
HS2024_6_B_T3,0.5449983107507479,
JW2015_Intensity pre1,,
IMM2018_normalised rep. int. Empty-3,,
AMK2021_30R_p5,,
FSO2013_Ratio M/L normalized Rep1,0.5324604991872901,
SR2019_MDAMB231_Biol_repl_4,,
GF2025_P2_Sph,0.5360602359260589,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,
NJH2025_Sub13_HIIT_Mid,,
CP2009_Ratio M/L,,
NJH2025_Sub7_HIIT_Post,,
KBE2022_Log2_Ex_44_T,0.5291940764478644,
DB2022_Intensity L2,,
TM2022_mock.4h.C,0.5203576634571037,
AST2020_anti-CD3.2,,
CW2012_10 µM Erl/control Experiment 1 Replicate B,,
HS2024_7_B_N1,0.5216421361861806,
FSO2013_Ratio M/L normalized Rep1___1,0.5323400462803933,
SAS2015_AZD/DMSO_Exp3,0.527214150120003,
RM2024_Intensity D0-2___3,,
RM2024_Intensity D6-1,,
RB2022_8_RecoverySprint,,
RB2022_5_PreEndurance,,
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,,
EP2017_Untreated R#4 normalized log2 ratio,0.5193710815110626,
WZ2023_Pu_010_30min,0.5289265535176191,
AS2011_Ratio H/L Proteins RNAi_2,,
RB2022_4_PreStrength,0.5190994940440788,
NJH2024_Sub4_MICT_Post,,
AH2018_LFQ_M_1_X,0.5213665986818944,
RB2022_8_RecoveryEndurance,,
KBE2022_Log2_Ex_14_U,0.5284407077192986,
FSO2013_Ratio M/L normalized Rep3___3,,
AH2018_TMTMS3_1_C,,
JJ2018_Ratio H/L normalized___1,0.5214429440151379,
ZQ2022_C2,0.5363162090575638,
RB2022_5_PreSprint,,
PG2020_Intensity 8h_C,,
AH2018_SILAC_MR_2_N,0.5271257258234259,
MV2014_Ratio M/L normalized A1___2 (2 min),,
TM2022_S2.8h.B,0.510756115228982,
