DatasetName,HS1BP3_S(138) HS1BP3_S(139) HS1BP3_S(194) HS1BP3_S(207) HS1BP3_S(225) HS1BP3_S(246) HS1BP3_S(249) HS1BP3_S(254) HS1BP3_S(280) HS1BP3_S(289) HS1BP3_S(3) HS1BP3_S(302) HS1BP3_S(68),HS1BP3_T(146)
RM2024_Intensity D4-1___3,,
RB2022_4_PostEndurance,,
FSO2013_Ratio M/L normalized Rep3,0.5092954658243434,
SR2019_MCF7_Biol_repl_3,,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),,
SR2019_LM2_Biol_repl_1,,
RCJD2014_15min_1,,
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,
CK2022_7 16-1,0.5102878652808546,
NJH2025_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_C,0.5154611706574947,
RKK2015_TNF-α/basal,,
JJ2018_Ratio H/M normalized pP2,,
NJH2025_Sub12_MICT_Pre,,
NJH2025_Sub7_MICT_Post,,
DL2023_control-3,,
ZX2022_Control Replicate 2,0.5248326239025783,
HS2024_6_B_T3,0.5103332989982081,
JW2015_Intensity pre1,,
IMM2018_normalised rep. int. Empty-3,0.5177934613724875,
AMK2021_30R_p5,0.4992697200168616,
FSO2013_Ratio M/L normalized Rep1,0.5125387215509943,
SR2019_MDAMB231_Biol_repl_4,,
GF2025_P2_Sph,0.5298518694745075,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,
NJH2025_Sub13_HIIT_Mid,,
CP2009_Ratio M/L,,
NJH2025_Sub7_HIIT_Post,,
KBE2022_Log2_Ex_44_T,,
DB2022_Intensity L2,,
TM2022_mock.4h.C,,
AST2020_anti-CD3.2,,
CW2012_10 µM Erl/control Experiment 1 Replicate B,0.5147594115091875,
HS2024_7_B_N1,0.5180348772937332,
FSO2013_Ratio M/L normalized Rep1___1,0.512597819268739,
SAS2015_AZD/DMSO_Exp3,,
RM2024_Intensity D0-2___3,,
RM2024_Intensity D6-1,,
RB2022_8_RecoverySprint,0.5081736885695979,
RB2022_5_PreEndurance,,
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,,
EP2017_Untreated R#4 normalized log2 ratio,0.5307075502036847,
WZ2023_Pu_010_30min,0.538268125337011,0.1977881529126048
AS2011_Ratio H/L Proteins RNAi_2,,
RB2022_4_PreStrength,,
NJH2024_Sub4_MICT_Post,,
AH2018_LFQ_M_1_X,,
RB2022_8_RecoveryEndurance,0.5202322327689463,
KBE2022_Log2_Ex_14_U,,
FSO2013_Ratio M/L normalized Rep3___3,,
AH2018_TMTMS3_1_C,0.5207740395673801,
JJ2018_Ratio H/L normalized___1,,
ZQ2022_C2,0.5048348291580983,
RB2022_5_PreSprint,,
PG2020_Intensity 8h_C,,
AH2018_SILAC_MR_2_N,0.5112744528757218,
MV2014_Ratio M/L normalized A1___2 (2 min),,
TM2022_S2.8h.B,,
MV2014_Ratio M/H normalized B3___1 (30 min),,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,,
RM2024_Intensity D6-1___2,,
NJH2025_Sub7_MICT_Mid,,
LY2019_P1+,0.5274065918012867,
AS2011_Ratio H/L Proteins Inhi_2,,
BS2014_Log2(Ratio H/L normalized),,
UK2020_HCM_2,,
FSO2013_Ratio H/L normalized Rep2___2,,
EP2017_Pervanadate R#3 normalized log2 ratio,0.5084965983919641,
RM2024_Intensity D4-3___3,,
RB2022_5_PreStrength,,
NJH2024_Sub4_MICT_Mid,,
TM2022_S2.4h.A,,
RB2022_5_PostStrength,,
GF2025_P6_Sph,0.5568518582190831,
RB2022_2_PreSprint,0.5137240378367675,
ZX2022_CB treated Replicate 3,0.5247273598578359,
RM2024_Intensity D6-2___3,,
WZ2023_Pe_025_10min,0.5440540517388125,0.35968411964124
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,
AST2020_anti-CD3+PDL2.1,,
KBE2022_Log2_Ex_34_U,,
WZ2023_Pu_005_10min,0.5373812839516374,0.2685256260383719
AS2011_Ratio H/L RNAi_2_1,,
NJH2024_Sub9_HIIT_Mid,,
CK2022_9 40-1,,
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,,
LG2023_GSK3α-1_intensity,,
WZ2023_Pu_025_30min,0.5337808207462991,0.2135901545172555
AH2018_SILAC_MR_2_X,0.5112773637050294,
HS2024_4_PD_T2,0.5224116893389308,
NJH2024_Sub4_HIIT_Pre,,
RB2022_2_RecoverySprint,,
AS2011_Ratio H/L Protein RNAi_1,,
RM2024_Intensity D2-1___2,,
CR2017_Ratio Replicate 1.4,0.5084941589638375,
FR2021_Norm.Intensity.B,0.4913692152930484,
RM2024_Intensity D6-2___1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,,
RB2022_5_PostSprint,,
EJN2021_3_Rest_Basal,,
CR2017_Ratio Replicate 1.3,0.5117933100506913,
AS2011_Ratio H/L Normalized by Protein RNAi_2,,
KTGR2014_Ratio-Rapa 7 mins,,
AMK2021_120R_p1,0.5091070424823325,
AH2018_SILAC_3_X,0.500917173269807,
JJ2018_Ratio M/L normalized pP3,,
AH2018_SILAC_M_2_N,0.5075086888841203,
HS2024_7_PD_T2,0.5150569174157841,
FSO2013_Ratio H/L normalized Rep1___1,0.5135261543403996,
AH2018_LFQ_1_C,0.5159372114389853,
AS2011_Ratio H/L Normalized Inhi_1_3,,
KBE2022_Log2_Ex_28_T,,
HS2024_3_B_N1,0.499612301368878,
RM2024_Intensity D4-2___3,,
WZ2023_Pe_025_30min,0.5443483038761436,0.3463476163848162
CK2022_11 40-1,,
CW2012_10 µM Erl/control Experiment 3 Replicate B,,
AH2018_SILAC_2_X,0.5082950333577414,
MV2014_Ratio H/M normalized A2___2 (2 min),,
AS2011_Ratio H/L RNAi_1_2,,
KS2014_Intensity E15_1,,
FSO2013_Ratio H/L normalized Rep2,0.5112815148656574,
WZ2023_Pu_005_20min,0.5383755483028202,0.2479755455427711
NJH2024_Sub10_MICT_Post,,
RM2024_Intensity D2-3___1,,
CR2017_Ratio Replicate 1.5,0.5212530506938934,
CW2012_10 µM Gef/control Experiment 2 Replicate B,0.5169466665025064,
HS2024_7_B_T3,0.5142357629900524,
CKC2017_log2 normalized phosphoproteomics_60min_rep#1,,
AS2011_Ratio H/L RNAi_1,,
JC2019_Normalised_intensity_A_TiOx_Testis_sample_URO0059,0.5140776402711186,
AH2018_LFQ_M_1_C,0.5176266422896567,
NJH2025_Sub7_MICT_Pre,,
SR2019_SKBR3_Biol_repl_2,,
HS2024_9_B_T2,0.5125937324008556,
KTGR2014_Ratio-AA 7 mins,,
MV2014_Ratio L/H normalized B3___3 (5 min),,
HS2024_3_PD_T1,0.508192835960022,
FSO2013_Ratio M/L normalized Rep3___2,,
SR2019_BT549_Biol_repl_3,,
RCJD2014_20min_mean,,
FR2021_Norm.Intensity.H,0.49177794840864786,
RB2022_2_PreStrength,0.5119619262437544,
DB2022_LFQ intensity L1.2,,
HS2024_4_B_N1,0.520260032648445,
KTGR2014_Ratio H M Normalized Rep2_Rapamycin_0_15,,
CK2022_1 16-1,0.5056231277884446,
CK2022_1 200-1,0.5075702429303937,
PG2020_Intensity Mock_10h_D,,
SR2019_MCF10A_Biol_repl_2,,
JJ2018_Ratio M/L normalized pP2___2,,
HS2024_6_PD_T1,0.4984264347456972,
JVO2010_Ratio M/L Normalized by Protein ThymON - Log2 G1/S,,
RB2022_6_RecoveryEndurance,0.5163853690439949,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3b,,
EP2017_Mitotic R#2 normalized log2 ratio,0.5187261663802417,
RCJD2014_5min_1,,
RM2024_Intensity D4-1___1,,
DL2023_24h-1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-1,0.5009832636465317,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2b,,
TM2022_S2.4h.C,,
SAS2015_PLX/AZD_Exp2,,
CR2017_Ratio Replicate 3.3,0.5163327888509973,
PG2020_Intensity 2h_C,,
VOI2024_Veh2 di,,
ZX2022_CB treated Replicate 2,0.523881785293609,
KBE2022_Log2_Ex_8_T,,
NJH2025_Sub10_MICT_Post,,
HS2024_6_I_T3,0.5072113236146056,
RN2012_L11,0.5223422167699019,
AS2011_Ratio H/L Normalized Inhi_2_2,,
IMM2018_normalised rep. int. Empty-1,0.5196364083165463,
HS2024_5_PD_T1,0.5286161081879647,
AH2018_LFQ_M_2_C,0.5168720847078699,
CK2022_3 40-1,,
RBK2021_1260T Early,,
NJH2024_Sub4_HIIT_Post,,
HS2024_4_I_T1,0.5413252293734055,
YA2020_Reporter_intensity_Cancer_No.5,0.510769279499488,
HH2022_Reporter intensity 8,0.5182382698212332,
ZQ2022_N2,0.5164482108515764,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1b,,
FSO2013_Ratio H/L normalized Rep3___3,,
AH2018_TMTMS3_2_N,0.4907736766464866,
EJN2021_5_Rest_Basal,,
NJH2025_Sub2_HIIT_Post,,
NJH2025_Sub1_MICT_Post,,
HS2024_9_B_T1,0.5072913489235752,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1a,,
JAW2011_Ratio H/L LS2_1,,
JVO2010_Log2 Ratio H/M Normalized aphidicolin,,
NJH2024_Sub6_HIIT_Pre,,
AH2018_SILAC_3_N,0.5011226044165425,
YA2020_Reporter_intensity_Normal_No.1,0.5123177417451863,
HS2024_3_B_T1,0.5082839423811281,
JJ2018_Ratio H/L normalized___2,,
RM2024_Intensity D0-2,,
MV2014_Ratio M/L normalized B1___2 (5 min),,
RB2022_7_PostStrength,0.5139852313871365,
RB2022_1_PostEndurance,,
CR2017_Ratio Replicate 3,0.49367718738980493,
SR2019_Hs578T_Biol_repl_3,,
MV2014_Ratio L/H normalized B3___1 (5 min),,
RBK2021_1244T Early,,
RB2022_3_PostSprint,,
NJH2024_Sub13_MICT_Mid,,
KTGR2014_Ratio-AA 2 mins,,
GF2025_P7_Sph,0.5466560837939093,
HS2024_8_I_T3,0.5039738660862897,
CF2017_EOC 3,0.5116442067795101,
LATM2013_Normalized Log2 Ratio (Medium/Light) Forward,0.525700885420844,
HS2024_6_PD_T3,0.5077607340344129,
DL2023_12h-2,,
RM2024_Intensity D6-3___1,,
FS2019_Ctr1,,
WZ2023_Pu_010_20min,0.5420338141151992,0.2632668641661755
AS2011_Ratio H/L_3,,
CK2022_1 40-1,,
RNJ2017_Log2_ratio_Tsup:Trest_D1,,
CK2022_8 16-1,0.5112992694514318,
KS2014_Intensity N3,0.522941964629702,
RB2022_4_RecoveryEndurance,,
RB2022_5_RecoveryEndurance,,
JAW2011_Ratio H/L LS1a_2,,
NJH2024_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_N,0.5169083109152955,
FSO2013_Ratio H/M normalized Rep2,0.5076929528793153,
RAM2015_Log2 A,0.5232340751658737,
HS2024_8_PD_T1,0.5243166532914556,
JJ2018_Ratio H/L normalized pP2,,
CF2017_OSE 27,,
KS2014_Intensity E15_2,0.5191223205724693,
BS2014_Log2(Ratio H/L protein),,
PG2020_Intensity 8h_A,,
HS2024_7_I_T1,0.5120724368423548,
VOI2024_Veh3 di,,
RKK2015_TNF-α+SC-514/basal,,
SR2019_JIMT1_Biol_repl_1,,
HW2015_Ratio H/L normalized Exp2,,
HS2024_3_I_N1,0.4963835065144225,
AH2018_SILAC_M_3_X,0.5041982277827153,
NJH2024_Sub9_HIIT_Post,,
AS2011_Ratio H/L RNAi_1_3,,
GRW2016_Ratio H/L normalized SILAC 1___2,,
NJH2025_Sub1_HIIT_Pre,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-2,0.502545390151216,
NJH2024_Sub4_HIIT_Mid,,
VOI2024_0.1uM 2 h_1 di,,
KBE2022_Log2_Ex_6_T,,
RM2024_Intensity D4-3___1,,
AH2018_LFQ_4_X,0.5139788841652005,
AS2011_Inhi 2_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,
RB2022_8_PostEndurance,0.5010063617293558,
NJH2025_Sub4_MICT_Mid,,
YP2020_Intensity C30_R1_mult_log2,,
AST2020_anti-CD3.1,,
NJH2025_Sub4_HIIT_Post,,
EP2017_Untreated R#4 log2 ratio,0.5301884324288637,
HS2024_6_B_N1,0.4969310301413295,
KBE2022_Log2_Ex_27_T,,
CW2012_10 µM Gef/control Experiment 1 Replicate A,0.5019547040203979,
VOI2024_0.1uM 24 h_1 mono,,
AMK2021_120R_p5,0.5087292556742224,
AS2011_Ratio H/L Proteins,,
NJH2024_Sub7_HIIT_Post,,
NJH2015_TMT Subject 1 127_N/126 (Exercise/Basal) (normalized),,
AS2011_Ratio H/L RNAi_2_2,,
RB2022_7_RecoveryStrength,0.5163168639793647,
AH2018_SILAC_IT_3_X,0.5022669631990311,
JAW2011_Ratio H/L,,
PG2020_Intensity 10h_C,,
FSO2013_Ratio M/L normalized Rep2,0.5099528820419476,
CP2009_Ratio H/M Normalized (50 nM dasatinib vs 5 nM dasatinib),,
HH2022_Reporter intensity 5,0.5158147049142707,
SR2019_HCC1954_Biol_repl_2,,
CK2022_14 40-1,,
RB2022_6_PreSprint,0.5224505108660432,
NJH2025_Sub12_MICT_Mid,,
PG2020_Intensity 4h_D,,
NJH2025_Sub2_MICT_Post,,
AH2018_LFQ_4_C,0.513868448510204,
DL2023_control-1,,
AR2021_ALG 10 μM,0.5223886610181665,
JAW2011_Ratio H/L LS2_2,,
AH2018_SILAC_IT_3_N,0.49746930284724883,
EJN2021_4_Rest_Ins,,
RN2012_H05,0.5229450885389204,
NJH2024_Sub7_HIIT_Mid,,
GF2025_P2_Adh,0.5004484278394854,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4b,,
RB2022_8_PostSprint,0.5083179167948066,
EJN2021_1_Rest_Ins,,
HH2022_Reporter intensity 3,0.5146191793830927,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4b,,
AH2018_SILAC_IT_1_C,0.5160785713026643,
JW2021_After_3,,
GF2025_P8_Sph,0.5063329151051061,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4,,
JJ2018_Ratio M/L normalized pP2___1,,
AH2018_SILAC_2_N,0.5066810409940938,
CK2022_11 200-1,0.5123743884185862,
CK2022_12 200-1,0.5126256657189352,
AS2011_Ratio H/L Normalized by Protein RNAi_1,,
RM2024_Intensity D2-1___3,,
NJH2024_Sub1_MICT_Pre,,
HH2022_Reporter intensity 9,0.5064788402997924,
WZ2023_Su_010_20min,0.5365829134792203,0.30796257491549
AH2018_TMTMS2_2_N,0.5228807144550337,
NJH2024_Sub13_MICT_Pre,,
KBE2022_Log2_Ex_41_U,,
NJH2015_TMT Subject 3 129_N/128_C (Exercise/Basal) (normalized),,
AH2018_TMTMS3_Pool,0.4960544964948274,
KS2014_Intensity N4,0.5114588122474535,
NJH2024_Sub1_HIIT_Post,,
MM2018_Ratio H/L replicate2,,
RM2024_Intensity D4-2___2,,
NJH2024_Sub13_HIIT_Pre,,
CF2017_OSE 26,,
CK2022_14 200-1,0.5090183274058346,
SR2019_Hs578T_Biol_repl_1,,
RB2022_7_PostSprint,0.5118370468465578,
TM2022_mock.4h.A,,
NJH2025_Sub12_HIIT_Pre,,
AH2018_TMTMS3_1_N,0.5046877252080546,
AST2020_anti-CD3+PDL2.2,,
PG2020_Intensity Mock_10h_A,,
JW2021_After_2,,
NJH2024_Sub2_MICT_Post,,
EJN2021_2_Rest_Ins,,
SR2019_LM2_Biol_repl_4,,
CP2009_Ratio H/M,,
JAW2011_Ratio H/L HS,,
CK2022_13 16-1,0.5088042236994943,
GF2025_P1_Adh,0.4670614261313164,
GF2025_P1_Sph,0.48393155705739954,
EJN2021_5_Ex_Basal,,
HS2024_7_I_T3,0.4955269906259633,
JJ2018_Ratio H/L normalized pP2___2,,
WZ2023_Pe_010_10min,0.5407486550636904,0.339098533865976
CF2017_EOC 1,0.5127212389528094,
CK2022_3 200-1,0.507633843301816,
AH2018_LFQ_IT_3_C,0.5085392588097878,
SR2019_Hs578T_Biol_repl_2,,
NJH2024_Sub12_HIIT_Post,,
JJ2018_Ratio H/L normalized pP1___2,,
MV2014_Ratio H/L normalized A1___2 (10 min),,
NJH2024_Sub10_MICT_Mid,,
NJH2024_Sub13_MICT_Post,,
BS2014_Log2(Ratio H/L normalized Rep_1),,
RB2022_3_RecoverySprint,,
NJH2025_Sub1_HIIT_Mid,,
RCJD2014_20min_2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2,,
HS2024_6_PD_T2,0.5114286368130907,
HS2024_5_B_T1,0.5006958606573324,
CW2012_10 µM Gef/control Experiment 2 Replicate A,0.5049003165408756,
DL2023_12h-3,,
SR2019_MDAMB231_Biol_repl_2,,
HS2024_3_B_T2,0.5105890955542179,
RB2022_6_PreStrength,0.5084045372768224,
CK2022_2 40-1,,
RB2022_1_PostSprint,0.5069990893277793,
CK2022_4 200-1,0.5081064802363692,
JW2021_Before_2,,
TM2022_S2.12h.A,,
MV2014_Ratio L/M normalized B2___2 (30 min),,
CK2022_5 16-1,0.5123532410582143,
AR2021_ALG 1 μM,0.5422316213610758,
HS2024_4_B_T1,0.5197620030957664,
MV2014_Ratio M/H normalized A3___1 (10 min),0.518537105391061,
SR2019_BT549_Biol_repl_4,,
EJN2021_1_Rest_Basal,,
NJH2025_Sub8_MICT_Post,,
RCJD2014_5min_3,,
CR2017_Ratio Replicate 3.2,0.5113542719999471,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as3a,,
GF2025_P7_Adh,0.5157291126047786,
CK2022_9 16-1,0.5102505421816872,
NJH2024_Sub6_HIIT_Post,,
AMK2021_30R_p3,0.510077601592691,
AS2011_Ratio H/L Normalized RNAi_2,,
RM2024_Intensity D0-2___2,,
KS2014_Intensity pY_N4,,
CK2022_13 200-1,0.5095542015459059,
AS2011_Ratio H/L Normalized_2,,
PG2020_Intensity 6h_D,,
CK2022_16 16-1,0.5085742962230638,
FS2019_db/db3,,
CK2022_15 40-1,,
NJH2024_Sub9_MICT_Pre,,
BS2014_Log2(Ratio H/L unmodified peptide),,
WZ2023_Su_005_10min,0.5335955098368073,0.2577229790945259
RM2009_Ratio M/L (M:15 min timepoint;L:0 min. timepoint),,
KBE2022_Log2_Ex_41_T,,
AMK2021_Ctrl_p1,0.5089786757274842,
AH2018_LFQ_IT_3_X,0.50995230892528,
HS2024_5_PD_T3,0.5068125968653912,
AH2018_TMTMS3_3_X,0.4945213550572892,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2,,
KBE2022_Log2_Ex_40_U,,
AH2018_LFQ_M_1_N,0.5164938629114881,
KBE2022_Log2_Ex_27_U,,
HW2015_Ratio M/L normalized Exp3,,
RKK2015_TNF-α/IKKb(K44M),,
AH2018_SILAC_M_1_N,0.5153434757700602,
HW2015_Ratio M/L normalized Exp1,,
RB2022_5_RecoveryStrength,,
YP2020_Intensity P10_R1_mult_log2,,
RB2022_7_PreStrength,0.5109081663239615,
YA2020_Reporter_intensity_Normal_No.4,0.516229266473479,
NJH2025_Sub13_HIIT_Pre,,
PG2020_Intensity CT_D,,
NJH2025_Sub9_MICT_Post,,
VOI2024_Veh1 mono,,
CK2022_12 16-1,0.5123826558829994,
RN2012_L13,0.5075112002472978,
LG2023_Control-1_intensity,,
RM2024_Intensity D6-3___2,,
KBE2022_Log2_Ex_8_U,,
SR2019_SKBR3_Biol_repl_3,,
NJH2024_Sub1_MICT_Post,,
