DatasetName,IRF2BP2_M(404) IRF2BP2_M(406) IRF2BP2_S(131) IRF2BP2_S(175) IRF2BP2_S(240) IRF2BP2_S(244) IRF2BP2_S(318) IRF2BP2_S(343) IRF2BP2_S(344) IRF2BP2_S(360) IRF2BP2_S(396) IRF2BP2_S(406) IRF2BP2_S(423) IRF2BP2_S(439) IRF2BP2_S(455) IRF2BP2_S(457) IRF2BP2_S(460) IRF2BP2_S(70) IRF2BP2_S(71) IRF2BP2_T(376) IRF2BP2_T(404) IRF2BP2_T(412),IRF2BP2_S(11) IRF2BP2_S(236) IRF2BP2_S(242) IRF2BP2_S(290) IRF2BP2_S(293) IRF2BP2_S(3) IRF2BP2_S(383) IRF2BP2_S(390) IRF2BP2_S(399) IRF2BP2_S(4) IRF2BP2_S(407) IRF2BP2_S(421) IRF2BP2_S(441) IRF2BP2_S(444) IRF2BP2_S(453) IRF2BP2_S(462) IRF2BP2_S(464) IRF2BP2_T(147) IRF2BP2_T(197) IRF2BP2_T(388) IRF2BP2_T(392) IRF2BP2_T(397)
RM2024_Intensity D4-1___3,,
RB2022_4_PostEndurance,0.5736364070451822,
FSO2013_Ratio M/L normalized Rep3,0.5757347598924898,
SR2019_MCF7_Biol_repl_3,0.5669914126426975,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),,
SR2019_LM2_Biol_repl_1,,
RCJD2014_15min_1,0.5783897848421106,0.4806311268550672
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,
CK2022_7 16-1,0.5609780453683885,
NJH2025_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_C,0.5854688735686632,
RKK2015_TNF-α/basal,,
JJ2018_Ratio H/M normalized pP2,0.5561440158007055,
NJH2025_Sub12_MICT_Pre,,
NJH2025_Sub7_MICT_Post,,
DL2023_control-3,0.5778456664176527,
ZX2022_Control Replicate 2,0.5814879134353395,
HS2024_6_B_T3,,
JW2015_Intensity pre1,,
IMM2018_normalised rep. int. Empty-3,,
AMK2021_30R_p5,,
FSO2013_Ratio M/L normalized Rep1,0.5568040196215445,
SR2019_MDAMB231_Biol_repl_4,,
GF2025_P2_Sph,0.5831263735618719,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,
NJH2025_Sub13_HIIT_Mid,,
CP2009_Ratio M/L,,
NJH2025_Sub7_HIIT_Post,,
KBE2022_Log2_Ex_44_T,0.5813744508661217,
DB2022_Intensity L2,,
TM2022_mock.4h.C,,
AST2020_anti-CD3.2,0.5789264640675015,
CW2012_10 µM Erl/control Experiment 1 Replicate B,,
HS2024_7_B_N1,,
FSO2013_Ratio M/L normalized Rep1___1,0.561906665910587,
SAS2015_AZD/DMSO_Exp3,,
RM2024_Intensity D0-2___3,,
RM2024_Intensity D6-1,,
RB2022_8_RecoverySprint,0.571786855494547,0.4718667736840144
RB2022_5_PreEndurance,0.5603997257034696,
