DatasetName,PHF8_S(1018) PHF8_S(1021) PHF8_S(1024) PHF8_S(120) PHF8_S(343) PHF8_S(366) PHF8_S(720) PHF8_S(722) PHF8_S(725) PHF8_S(743) PHF8_S(748) PHF8_S(751) PHF8_S(768) PHF8_S(772) PHF8_S(804) PHF8_S(818) PHF8_S(820) PHF8_S(821) PHF8_S(827) PHF8_S(834) PHF8_S(838) PHF8_S(84) PHF8_S(843) PHF8_S(844) PHF8_S(846) PHF8_S(854) PHF8_S(857) PHF8_S(871) PHF8_S(872) PHF8_S(880) PHF8_S(884) PHF8_S(889) PHF8_S(892) PHF8_S(894) PHF8_S(933) PHF8_S(985) PHF8_T(568) PHF8_T(569) PHF8_T(705) PHF8_T(82) PHF8_T(833) PHF8_T(850) PHF8_T(86) PHF8_T(882) PHF8_T(886) PHF8_T(932) PHF8_T(971),PHF8_S(651) PHF8_S(717) PHF8_T(800)
RM2024_Intensity D4-1___3,,
RB2022_4_PostEndurance,,
FSO2013_Ratio M/L normalized Rep3,0.5234361642877096,
SR2019_MCF7_Biol_repl_3,,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),,
SR2019_LM2_Biol_repl_1,,
RCJD2014_15min_1,,
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,
CK2022_7 16-1,0.519499890827973,
NJH2025_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_C,0.5229248884375433,
RKK2015_TNF-α/basal,,
JJ2018_Ratio H/M normalized pP2,,
NJH2025_Sub12_MICT_Pre,,
NJH2025_Sub7_MICT_Post,,
DL2023_control-3,0.5196964528946639,
ZX2022_Control Replicate 2,,
HS2024_6_B_T3,,
JW2015_Intensity pre1,,
IMM2018_normalised rep. int. Empty-3,,
AMK2021_30R_p5,,
FSO2013_Ratio M/L normalized Rep1,0.528235362523889,
SR2019_MDAMB231_Biol_repl_4,,
GF2025_P2_Sph,0.5313234754389876,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,
NJH2025_Sub13_HIIT_Mid,,
CP2009_Ratio M/L,,
NJH2025_Sub7_HIIT_Post,,
KBE2022_Log2_Ex_44_T,,
DB2022_Intensity L2,,
TM2022_mock.4h.C,,
AST2020_anti-CD3.2,0.5240322922293928,
CW2012_10 µM Erl/control Experiment 1 Replicate B,,
HS2024_7_B_N1,,
FSO2013_Ratio M/L normalized Rep1___1,0.5282321147930277,
SAS2015_AZD/DMSO_Exp3,,
RM2024_Intensity D0-2___3,,
RM2024_Intensity D6-1,,
RB2022_8_RecoverySprint,0.523800283006324,
RB2022_5_PreEndurance,,
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,,
EP2017_Untreated R#4 normalized log2 ratio,0.5386268354506641,
WZ2023_Pu_010_30min,0.5254232910367919,
AS2011_Ratio H/L Proteins RNAi_2,,
RB2022_4_PreStrength,,
NJH2024_Sub4_MICT_Post,,
AH2018_LFQ_M_1_X,0.523050186809537,
RB2022_8_RecoveryEndurance,0.5231534132900622,
KBE2022_Log2_Ex_14_U,,
FSO2013_Ratio M/L normalized Rep3___3,,
AH2018_TMTMS3_1_C,0.5237086660030408,
JJ2018_Ratio H/L normalized___1,,
ZQ2022_C2,,
RB2022_5_PreSprint,0.5214692509422932,
PG2020_Intensity 8h_C,0.5223357931588989,
AH2018_SILAC_MR_2_N,0.5209122580748363,
MV2014_Ratio M/L normalized A1___2 (2 min),,
TM2022_S2.8h.B,,
MV2014_Ratio M/H normalized B3___1 (30 min),,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,,
RM2024_Intensity D6-1___2,,
NJH2025_Sub7_MICT_Mid,,
LY2019_P1+,0.5248011203720884,
AS2011_Ratio H/L Proteins Inhi_2,,
BS2014_Log2(Ratio H/L normalized),,
UK2020_HCM_2,,
FSO2013_Ratio H/L normalized Rep2___2,,
EP2017_Pervanadate R#3 normalized log2 ratio,0.522253939824617,
RM2024_Intensity D4-3___3,,
RB2022_5_PreStrength,0.52289936498495,
NJH2024_Sub4_MICT_Mid,,
TM2022_S2.4h.A,,
RB2022_5_PostStrength,0.5230208157482988,
GF2025_P6_Sph,0.525216913380975,
RB2022_2_PreSprint,,
ZX2022_CB treated Replicate 3,,
RM2024_Intensity D6-2___3,,
WZ2023_Pe_025_10min,0.5281478434133254,
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,
AST2020_anti-CD3+PDL2.1,0.5240391869169935,
KBE2022_Log2_Ex_34_U,,
WZ2023_Pu_005_10min,0.5248932354733434,
AS2011_Ratio H/L RNAi_2_1,,
NJH2024_Sub9_HIIT_Mid,,
CK2022_9 40-1,0.5237285956392261,
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,,
LG2023_GSK3α-1_intensity,,
WZ2023_Pu_025_30min,0.5233409448314874,
AH2018_SILAC_MR_2_X,0.5175576994356917,
HS2024_4_PD_T2,,
NJH2024_Sub4_HIIT_Pre,,
RB2022_2_RecoverySprint,,
AS2011_Ratio H/L Protein RNAi_1,,
RM2024_Intensity D2-1___2,,
CR2017_Ratio Replicate 1.4,0.5323021522271518,
FR2021_Norm.Intensity.B,,
RM2024_Intensity D6-2___1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,,
RB2022_5_PostSprint,0.525715883588967,
EJN2021_3_Rest_Basal,,
CR2017_Ratio Replicate 1.3,0.5260463868934817,
AS2011_Ratio H/L Normalized by Protein RNAi_2,,
KTGR2014_Ratio-Rapa 7 mins,,
AMK2021_120R_p1,,
AH2018_SILAC_3_X,,
JJ2018_Ratio M/L normalized pP3,,
AH2018_SILAC_M_2_N,0.5211458646094602,
HS2024_7_PD_T2,,
FSO2013_Ratio H/L normalized Rep1___1,0.5284731739524264,
AH2018_LFQ_1_C,0.5208089844485714,
AS2011_Ratio H/L Normalized Inhi_1_3,,
KBE2022_Log2_Ex_28_T,0.5241923188304642,
HS2024_3_B_N1,,
RM2024_Intensity D4-2___3,,
WZ2023_Pe_025_30min,0.528615728051137,
CK2022_11 40-1,0.523756753820735,
CW2012_10 µM Erl/control Experiment 3 Replicate B,,
AH2018_SILAC_2_X,0.5215093212906736,
MV2014_Ratio H/M normalized A2___2 (2 min),,
AS2011_Ratio H/L RNAi_1_2,,
KS2014_Intensity E15_1,0.5261846970646674,
FSO2013_Ratio H/L normalized Rep2,0.5238880640788837,
WZ2023_Pu_005_20min,0.5269430908745871,
NJH2024_Sub10_MICT_Post,,
RM2024_Intensity D2-3___1,,
CR2017_Ratio Replicate 1.5,0.5267081547436169,
CW2012_10 µM Gef/control Experiment 2 Replicate B,,
HS2024_7_B_T3,,
CKC2017_log2 normalized phosphoproteomics_60min_rep#1,,
AS2011_Ratio H/L RNAi_1,,
JC2019_Normalised_intensity_A_TiOx_Testis_sample_URO0059,,
AH2018_LFQ_M_1_C,0.5236709854515947,
NJH2025_Sub7_MICT_Pre,,
SR2019_SKBR3_Biol_repl_2,0.5246097867524799,
HS2024_9_B_T2,,
KTGR2014_Ratio-AA 7 mins,,
MV2014_Ratio L/H normalized B3___3 (5 min),,
HS2024_3_PD_T1,,
FSO2013_Ratio M/L normalized Rep3___2,,
SR2019_BT549_Biol_repl_3,,
RCJD2014_20min_mean,,
FR2021_Norm.Intensity.H,,
RB2022_2_PreStrength,,
DB2022_LFQ intensity L1.2,,
HS2024_4_B_N1,,
KTGR2014_Ratio H M Normalized Rep2_Rapamycin_0_15,,
CK2022_1 16-1,0.5231195599519693,
CK2022_1 200-1,0.5296870527620219,
PG2020_Intensity Mock_10h_D,0.5237508227844041,
SR2019_MCF10A_Biol_repl_2,,
JJ2018_Ratio M/L normalized pP2___2,,
HS2024_6_PD_T1,,
JVO2010_Ratio M/L Normalized by Protein ThymON - Log2 G1/S,,
RB2022_6_RecoveryEndurance,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3b,,
EP2017_Mitotic R#2 normalized log2 ratio,0.5204112639890478,
RCJD2014_5min_1,,
RM2024_Intensity D4-1___1,,
DL2023_24h-1,0.5210570227648856,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2b,,
TM2022_S2.4h.C,,
SAS2015_PLX/AZD_Exp2,,
CR2017_Ratio Replicate 3.3,0.5267932891358666,
PG2020_Intensity 2h_C,0.5215304341920025,
VOI2024_Veh2 di,,
ZX2022_CB treated Replicate 2,,
KBE2022_Log2_Ex_8_T,,
NJH2025_Sub10_MICT_Post,,
HS2024_6_I_T3,,
RN2012_L11,,
AS2011_Ratio H/L Normalized Inhi_2_2,,
IMM2018_normalised rep. int. Empty-1,,
HS2024_5_PD_T1,,
AH2018_LFQ_M_2_C,0.5238355514480438,
CK2022_3 40-1,0.5230435804322495,
RBK2021_1260T Early,,
NJH2024_Sub4_HIIT_Post,,
HS2024_4_I_T1,,
YA2020_Reporter_intensity_Cancer_No.5,0.5217847902077726,
HH2022_Reporter intensity 8,0.5231288867074385,
ZQ2022_N2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1b,,
FSO2013_Ratio H/L normalized Rep3___3,,
AH2018_TMTMS3_2_N,0.5298137963345217,
EJN2021_5_Rest_Basal,,
NJH2025_Sub2_HIIT_Post,,
NJH2025_Sub1_MICT_Post,,
HS2024_9_B_T1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1a,,
JAW2011_Ratio H/L LS2_1,,
JVO2010_Log2 Ratio H/M Normalized aphidicolin,,
NJH2024_Sub6_HIIT_Pre,,
AH2018_SILAC_3_N,,
YA2020_Reporter_intensity_Normal_No.1,0.5221744126704727,
HS2024_3_B_T1,,
JJ2018_Ratio H/L normalized___2,,
RM2024_Intensity D0-2,,
MV2014_Ratio M/L normalized B1___2 (5 min),,
RB2022_7_PostStrength,0.5261271653230559,
RB2022_1_PostEndurance,,
CR2017_Ratio Replicate 3,0.5218523887067992,
SR2019_Hs578T_Biol_repl_3,,
MV2014_Ratio L/H normalized B3___1 (5 min),,
RBK2021_1244T Early,,
RB2022_3_PostSprint,,
NJH2024_Sub13_MICT_Mid,,
KTGR2014_Ratio-AA 2 mins,,
GF2025_P7_Sph,0.5258157984300961,
HS2024_8_I_T3,,
CF2017_EOC 3,0.5255611284293299,
LATM2013_Normalized Log2 Ratio (Medium/Light) Forward,,
HS2024_6_PD_T3,,
DL2023_12h-2,0.5213180109867632,
RM2024_Intensity D6-3___1,,
FS2019_Ctr1,0.5251558192569042,
WZ2023_Pu_010_20min,0.524427244490821,
AS2011_Ratio H/L_3,,
CK2022_1 40-1,0.5230600052220032,
RNJ2017_Log2_ratio_Tsup:Trest_D1,,
CK2022_8 16-1,0.5197675394518877,
KS2014_Intensity N3,0.5212977054061356,
RB2022_4_RecoveryEndurance,,
RB2022_5_RecoveryEndurance,,
JAW2011_Ratio H/L LS1a_2,,
NJH2024_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_N,0.5233508732161166,
FSO2013_Ratio H/M normalized Rep2,0.5266036623407493,
RAM2015_Log2 A,0.5349232726898124,
HS2024_8_PD_T1,,
JJ2018_Ratio H/L normalized pP2,,
CF2017_OSE 27,,
KS2014_Intensity E15_2,0.5232551005193466,
BS2014_Log2(Ratio H/L protein),,
PG2020_Intensity 8h_A,0.5246539441478826,
HS2024_7_I_T1,,
VOI2024_Veh3 di,,
RKK2015_TNF-α+SC-514/basal,,
SR2019_JIMT1_Biol_repl_1,0.5234005132005543,
HW2015_Ratio H/L normalized Exp2,,
HS2024_3_I_N1,,
AH2018_SILAC_M_3_X,0.5216091851693715,
NJH2024_Sub9_HIIT_Post,,
AS2011_Ratio H/L RNAi_1_3,,
GRW2016_Ratio H/L normalized SILAC 1___2,,
NJH2025_Sub1_HIIT_Pre,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-2,,
NJH2024_Sub4_HIIT_Mid,,
VOI2024_0.1uM 2 h_1 di,,
KBE2022_Log2_Ex_6_T,0.5230412137549025,
RM2024_Intensity D4-3___1,,
AH2018_LFQ_4_X,0.525005201620357,
AS2011_Inhi 2_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,
RB2022_8_PostEndurance,0.5266458761527423,
NJH2025_Sub4_MICT_Mid,,
YP2020_Intensity C30_R1_mult_log2,,
AST2020_anti-CD3.1,0.5234808639330197,
NJH2025_Sub4_HIIT_Post,,
EP2017_Untreated R#4 log2 ratio,0.5378895269055126,
HS2024_6_B_N1,,
KBE2022_Log2_Ex_27_T,0.523247775083202,
CW2012_10 µM Gef/control Experiment 1 Replicate A,,
VOI2024_0.1uM 24 h_1 mono,,
AMK2021_120R_p5,,
AS2011_Ratio H/L Proteins,,
NJH2024_Sub7_HIIT_Post,,
NJH2015_TMT Subject 1 127_N/126 (Exercise/Basal) (normalized),,
AS2011_Ratio H/L RNAi_2_2,,
RB2022_7_RecoveryStrength,,
AH2018_SILAC_IT_3_X,0.521331724544833,
JAW2011_Ratio H/L,,
PG2020_Intensity 10h_C,0.5222769255523899,
FSO2013_Ratio M/L normalized Rep2,0.5260869792807547,
CP2009_Ratio H/M Normalized (50 nM dasatinib vs 5 nM dasatinib),,
HH2022_Reporter intensity 5,0.5200639907835252,
SR2019_HCC1954_Biol_repl_2,,
CK2022_14 40-1,0.5241530662072181,
RB2022_6_PreSprint,,
NJH2025_Sub12_MICT_Mid,,
PG2020_Intensity 4h_D,0.5229941074003966,
NJH2025_Sub2_MICT_Post,,
AH2018_LFQ_4_C,0.5242559900321699,
DL2023_control-1,0.5189558094562996,
AR2021_ALG 10 μM,0.5245031496068147,
JAW2011_Ratio H/L LS2_2,,
AH2018_SILAC_IT_3_N,0.5213299262765393,
EJN2021_4_Rest_Ins,,
RN2012_H05,0.521046766790045,
NJH2024_Sub7_HIIT_Mid,,
GF2025_P2_Adh,0.5216023409069198,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4b,,
RB2022_8_PostSprint,0.5236668591340827,
EJN2021_1_Rest_Ins,,
HH2022_Reporter intensity 3,0.5290629002495433,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4b,,
AH2018_SILAC_IT_1_C,0.5228965994080613,
JW2021_After_3,0.5227047694962497,
GF2025_P8_Sph,0.5263471277174914,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4,,
JJ2018_Ratio M/L normalized pP2___1,,
AH2018_SILAC_2_N,0.5218163092234143,
CK2022_11 200-1,0.5306447266107106,
CK2022_12 200-1,0.5309538293420331,
AS2011_Ratio H/L Normalized by Protein RNAi_1,,
RM2024_Intensity D2-1___3,,
NJH2024_Sub1_MICT_Pre,,
HH2022_Reporter intensity 9,0.5221317604397119,
WZ2023_Su_010_20min,0.5259253248467574,
AH2018_TMTMS2_2_N,0.5244593007800494,
NJH2024_Sub13_MICT_Pre,,
KBE2022_Log2_Ex_41_U,,
NJH2015_TMT Subject 3 129_N/128_C (Exercise/Basal) (normalized),,
AH2018_TMTMS3_Pool,0.5296957571062032,
KS2014_Intensity N4,0.5272548002460206,
NJH2024_Sub1_HIIT_Post,,
MM2018_Ratio H/L replicate2,,
RM2024_Intensity D4-2___2,,
NJH2024_Sub13_HIIT_Pre,,
CF2017_OSE 26,0.5232534761108961,
CK2022_14 200-1,0.5312608290672995,
SR2019_Hs578T_Biol_repl_1,,
RB2022_7_PostSprint,0.5276853903160459,
TM2022_mock.4h.A,,
NJH2025_Sub12_HIIT_Pre,,
AH2018_TMTMS3_1_N,0.52745371187859,
AST2020_anti-CD3+PDL2.2,0.5239631837294073,
PG2020_Intensity Mock_10h_A,0.5229414093768231,
JW2021_After_2,0.5232359400604593,
NJH2024_Sub2_MICT_Post,,
EJN2021_2_Rest_Ins,,
SR2019_LM2_Biol_repl_4,,
CP2009_Ratio H/M,,
JAW2011_Ratio H/L HS,,
CK2022_13 16-1,0.5247885791674723,
GF2025_P1_Adh,0.5212997528260688,
GF2025_P1_Sph,0.5270502847855751,
EJN2021_5_Ex_Basal,,
HS2024_7_I_T3,,
JJ2018_Ratio H/L normalized pP2___2,,
WZ2023_Pe_010_10min,0.5286096959379513,
CF2017_EOC 1,0.5254755433301138,
CK2022_3 200-1,0.5295842039336961,
AH2018_LFQ_IT_3_C,0.5223278522605297,
SR2019_Hs578T_Biol_repl_2,,
NJH2024_Sub12_HIIT_Post,,
JJ2018_Ratio H/L normalized pP1___2,,
MV2014_Ratio H/L normalized A1___2 (10 min),,
NJH2024_Sub10_MICT_Mid,,
NJH2024_Sub13_MICT_Post,,
BS2014_Log2(Ratio H/L normalized Rep_1),,
RB2022_3_RecoverySprint,,
NJH2025_Sub1_HIIT_Mid,,
RCJD2014_20min_2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2,,
HS2024_6_PD_T2,,
HS2024_5_B_T1,,
CW2012_10 µM Gef/control Experiment 2 Replicate A,,
DL2023_12h-3,0.5212540455325165,
SR2019_MDAMB231_Biol_repl_2,,
HS2024_3_B_T2,,
RB2022_6_PreStrength,,
CK2022_2 40-1,0.5233790989963006,
RB2022_1_PostSprint,,
CK2022_4 200-1,0.5294204687319906,
JW2021_Before_2,0.5244812036955879,
TM2022_S2.12h.A,,
MV2014_Ratio L/M normalized B2___2 (30 min),,
CK2022_5 16-1,0.5196438451269673,
AR2021_ALG 1 μM,0.5243397100272684,
HS2024_4_B_T1,,
MV2014_Ratio M/H normalized A3___1 (10 min),,
SR2019_BT549_Biol_repl_4,,
EJN2021_1_Rest_Basal,,
NJH2025_Sub8_MICT_Post,,
RCJD2014_5min_3,,
CR2017_Ratio Replicate 3.2,0.528002536743307,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as3a,,
GF2025_P7_Adh,0.5222732215569568,
CK2022_9 16-1,0.5245572466775108,
NJH2024_Sub6_HIIT_Post,,
AMK2021_30R_p3,,
AS2011_Ratio H/L Normalized RNAi_2,,
RM2024_Intensity D0-2___2,,
KS2014_Intensity pY_N4,,
CK2022_13 200-1,0.5313300374228717,
AS2011_Ratio H/L Normalized_2,,
PG2020_Intensity 6h_D,0.5187091004807896,
CK2022_16 16-1,0.5256105988893823,
FS2019_db/db3,0.5248854471813189,
CK2022_15 40-1,0.5243161060963183,
NJH2024_Sub9_MICT_Pre,,
BS2014_Log2(Ratio H/L unmodified peptide),,
WZ2023_Su_005_10min,0.5259153351595592,
RM2009_Ratio M/L (M:15 min timepoint;L:0 min. timepoint),,
KBE2022_Log2_Ex_41_T,,
AMK2021_Ctrl_p1,,
AH2018_LFQ_IT_3_X,0.5215183175766831,
HS2024_5_PD_T3,,
AH2018_TMTMS3_3_X,0.5312722474662798,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2,,
KBE2022_Log2_Ex_40_U,,
AH2018_LFQ_M_1_N,0.5251437189933674,
KBE2022_Log2_Ex_27_U,0.5233098966806135,
HW2015_Ratio M/L normalized Exp3,,
RKK2015_TNF-α/IKKb(K44M),,
AH2018_SILAC_M_1_N,0.5235236881332321,
HW2015_Ratio M/L normalized Exp1,,
RB2022_5_RecoveryStrength,0.5256128465980496,
YP2020_Intensity P10_R1_mult_log2,,
RB2022_7_PreStrength,,
YA2020_Reporter_intensity_Normal_No.4,0.5201485864916199,
NJH2025_Sub13_HIIT_Pre,,
PG2020_Intensity CT_D,0.5182774002959312,
NJH2025_Sub9_MICT_Post,,
VOI2024_Veh1 mono,,
CK2022_12 16-1,0.5243365856000645,
RN2012_L13,0.5229409667612429,
LG2023_Control-1_intensity,,
