DatasetName,MLIP_S(1) MLIP_S(10) MLIP_S(11) MLIP_S(13) MLIP_S(135) MLIP_S(14) MLIP_S(17) MLIP_S(18) MLIP_S(21) MLIP_S(27) MLIP_S(3) MLIP_S(331) MLIP_S(337) MLIP_S(349) MLIP_S(361) MLIP_S(363) MLIP_S(365) MLIP_S(376) MLIP_S(4) MLIP_S(421) MLIP_S(432) MLIP_S(496) MLIP_S(505) MLIP_S(506) MLIP_S(577) MLIP_S(578) MLIP_S(608) MLIP_S(664) MLIP_S(686) MLIP_S(693) MLIP_S(696) MLIP_S(76) MLIP_S(805) MLIP_S(807) MLIP_S(811) MLIP_S(9) MLIP_T(10) MLIP_T(2) MLIP_T(3) MLIP_T(5) MLIP_T(515) MLIP_T(687) MLIP_T(697),MLIP_S(108) MLIP_S(163) MLIP_S(188) MLIP_S(347) MLIP_S(456) MLIP_S(459) MLIP_S(464) MLIP_S(498) MLIP_S(517) MLIP_S(584) MLIP_S(6) MLIP_S(67) MLIP_S(7) MLIP_T(4) MLIP_T(447) MLIP_T(450) MLIP_T(519) MLIP_T(688) MLIP_T(70),MLIP_S(327) MLIP_S(351) MLIP_S(436) MLIP_S(5) MLIP_S(97)
RM2024_Intensity D4-1___3,,,
RB2022_4_PostEndurance,0.49193129462141927,0.6217384091745819,
FSO2013_Ratio M/L normalized Rep3,,,
SR2019_MCF7_Biol_repl_3,,,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),,,
SR2019_LM2_Biol_repl_1,,,
RCJD2014_15min_1,,,
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,,
CK2022_7 16-1,,,
NJH2025_Sub12_HIIT_Mid,,,
AH2018_LFQ_IT_1_C,,,
RKK2015_TNF-α/basal,,,
JJ2018_Ratio H/M normalized pP2,,,
NJH2025_Sub12_MICT_Pre,,,
NJH2025_Sub7_MICT_Post,,,
DL2023_control-3,,,
ZX2022_Control Replicate 2,,,
HS2024_6_B_T3,,,
JW2015_Intensity pre1,,,
IMM2018_normalised rep. int. Empty-3,,,
AMK2021_30R_p5,,,
FSO2013_Ratio M/L normalized Rep1,,,
SR2019_MDAMB231_Biol_repl_4,,,
GF2025_P2_Sph,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,,
NJH2025_Sub13_HIIT_Mid,,,
CP2009_Ratio M/L,,,
NJH2025_Sub7_HIIT_Post,,,
KBE2022_Log2_Ex_44_T,,,
DB2022_Intensity L2,,,
TM2022_mock.4h.C,,,
AST2020_anti-CD3.2,,,
CW2012_10 µM Erl/control Experiment 1 Replicate B,,,
HS2024_7_B_N1,,,
FSO2013_Ratio M/L normalized Rep1___1,,,
SAS2015_AZD/DMSO_Exp3,,,
RM2024_Intensity D0-2___3,,,
RM2024_Intensity D6-1,,,
RB2022_8_RecoverySprint,0.4918425449193992,0.62400324539776,
RB2022_5_PreEndurance,0.4883787019733847,0.6232804926680359,
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,,,
EP2017_Untreated R#4 normalized log2 ratio,,,
WZ2023_Pu_010_30min,,,
AS2011_Ratio H/L Proteins RNAi_2,,,
RB2022_4_PreStrength,0.4879294123639991,0.6418558635197251,
NJH2024_Sub4_MICT_Post,,,
AH2018_LFQ_M_1_X,,,
RB2022_8_RecoveryEndurance,0.48802010425941583,0.6336820545381976,
KBE2022_Log2_Ex_14_U,,,
FSO2013_Ratio M/L normalized Rep3___3,,,
AH2018_TMTMS3_1_C,,,
JJ2018_Ratio H/L normalized___1,,,
ZQ2022_C2,,,
RB2022_5_PreSprint,0.48937422448586904,0.6440667357291531,0.2542231165005808
PG2020_Intensity 8h_C,,,
AH2018_SILAC_MR_2_N,,,
MV2014_Ratio M/L normalized A1___2 (2 min),,,
TM2022_S2.8h.B,,,
MV2014_Ratio M/H normalized B3___1 (30 min),,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,,,
RM2024_Intensity D6-1___2,,,
NJH2025_Sub7_MICT_Mid,,,
LY2019_P1+,0.4903934395094213,0.6290135133041648,
AS2011_Ratio H/L Proteins Inhi_2,,,
BS2014_Log2(Ratio H/L normalized),,,
UK2020_HCM_2,0.4971344774395825,0.6405459779316472,
FSO2013_Ratio H/L normalized Rep2___2,,,
EP2017_Pervanadate R#3 normalized log2 ratio,,,
RM2024_Intensity D4-3___3,,,
RB2022_5_PreStrength,0.4919140510653342,0.6189847710647716,
NJH2024_Sub4_MICT_Mid,,,
TM2022_S2.4h.A,,,
RB2022_5_PostStrength,0.4827207631967873,0.6204863386244736,
GF2025_P6_Sph,,,
RB2022_2_PreSprint,0.48234678182764373,0.6231492041877119,
ZX2022_CB treated Replicate 3,,,
RM2024_Intensity D6-2___3,,,
WZ2023_Pe_025_10min,,,
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,,
AST2020_anti-CD3+PDL2.1,,,
KBE2022_Log2_Ex_34_U,,,
WZ2023_Pu_005_10min,,,
AS2011_Ratio H/L RNAi_2_1,,,
NJH2024_Sub9_HIIT_Mid,,,
CK2022_9 40-1,,,
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,,,
LG2023_GSK3α-1_intensity,,,
WZ2023_Pu_025_30min,,,
AH2018_SILAC_MR_2_X,,,
HS2024_4_PD_T2,,,
NJH2024_Sub4_HIIT_Pre,,,
RB2022_2_RecoverySprint,0.4861694871922881,0.6460757841090577,0.24614138353218723
AS2011_Ratio H/L Protein RNAi_1,,,
RM2024_Intensity D2-1___2,,,
CR2017_Ratio Replicate 1.4,,,
FR2021_Norm.Intensity.B,,,
RM2024_Intensity D6-2___1,,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,,,
RB2022_5_PostSprint,0.4814847787994176,0.615196019379211,
EJN2021_3_Rest_Basal,0.4995933204615015,0.654890390368605,
CR2017_Ratio Replicate 1.3,,,
AS2011_Ratio H/L Normalized by Protein RNAi_2,,,
KTGR2014_Ratio-Rapa 7 mins,,,
AMK2021_120R_p1,,,
AH2018_SILAC_3_X,,,
JJ2018_Ratio M/L normalized pP3,,,
AH2018_SILAC_M_2_N,,,
HS2024_7_PD_T2,,,
FSO2013_Ratio H/L normalized Rep1___1,,,
AH2018_LFQ_1_C,,,
AS2011_Ratio H/L Normalized Inhi_1_3,,,
KBE2022_Log2_Ex_28_T,,,
HS2024_3_B_N1,,,
RM2024_Intensity D4-2___3,,,
WZ2023_Pe_025_30min,,,
CK2022_11 40-1,,,
CW2012_10 µM Erl/control Experiment 3 Replicate B,,,
AH2018_SILAC_2_X,,,
MV2014_Ratio H/M normalized A2___2 (2 min),,,
AS2011_Ratio H/L RNAi_1_2,,,
KS2014_Intensity E15_1,,,
FSO2013_Ratio H/L normalized Rep2,,,
WZ2023_Pu_005_20min,,,
NJH2024_Sub10_MICT_Post,,,
RM2024_Intensity D2-3___1,,,
CR2017_Ratio Replicate 1.5,,,
CW2012_10 µM Gef/control Experiment 2 Replicate B,,,
HS2024_7_B_T3,,,
CKC2017_log2 normalized phosphoproteomics_60min_rep#1,,,
AS2011_Ratio H/L RNAi_1,,,
JC2019_Normalised_intensity_A_TiOx_Testis_sample_URO0059,,,
AH2018_LFQ_M_1_C,,,
NJH2025_Sub7_MICT_Pre,,,
SR2019_SKBR3_Biol_repl_2,,,
HS2024_9_B_T2,,,
KTGR2014_Ratio-AA 7 mins,,,
MV2014_Ratio L/H normalized B3___3 (5 min),,,
HS2024_3_PD_T1,,,
FSO2013_Ratio M/L normalized Rep3___2,,,
SR2019_BT549_Biol_repl_3,,,
RCJD2014_20min_mean,,,
FR2021_Norm.Intensity.H,,,
RB2022_2_PreStrength,0.4800449588636328,0.6165559966928801,0.2587009667815413
DB2022_LFQ intensity L1.2,,,
HS2024_4_B_N1,,,
KTGR2014_Ratio H M Normalized Rep2_Rapamycin_0_15,,,
CK2022_1 16-1,,,
CK2022_1 200-1,,,
PG2020_Intensity Mock_10h_D,,,
SR2019_MCF10A_Biol_repl_2,,,
JJ2018_Ratio M/L normalized pP2___2,,,
HS2024_6_PD_T1,,,
JVO2010_Ratio M/L Normalized by Protein ThymON - Log2 G1/S,,,
RB2022_6_RecoveryEndurance,0.4900632800860761,0.6269164881004651,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3b,,,
EP2017_Mitotic R#2 normalized log2 ratio,,,
RCJD2014_5min_1,,,
RM2024_Intensity D4-1___1,,,
DL2023_24h-1,,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-1,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2b,,,
TM2022_S2.4h.C,,,
SAS2015_PLX/AZD_Exp2,,,
CR2017_Ratio Replicate 3.3,,,
PG2020_Intensity 2h_C,,,
VOI2024_Veh2 di,,,
ZX2022_CB treated Replicate 2,,,
KBE2022_Log2_Ex_8_T,,,
NJH2025_Sub10_MICT_Post,,,
HS2024_6_I_T3,,,
RN2012_L11,,,
AS2011_Ratio H/L Normalized Inhi_2_2,,,
IMM2018_normalised rep. int. Empty-1,,,
HS2024_5_PD_T1,,,
AH2018_LFQ_M_2_C,,,
CK2022_3 40-1,,,
RBK2021_1260T Early,,,
NJH2024_Sub4_HIIT_Post,,,
HS2024_4_I_T1,,,
YA2020_Reporter_intensity_Cancer_No.5,,,
HH2022_Reporter intensity 8,,,
ZQ2022_N2,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1b,,,
FSO2013_Ratio H/L normalized Rep3___3,,,
AH2018_TMTMS3_2_N,,,
EJN2021_5_Rest_Basal,0.5007492321788901,0.6562779835581933,
NJH2025_Sub2_HIIT_Post,,,
NJH2025_Sub1_MICT_Post,,,
HS2024_9_B_T1,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1a,,,
JAW2011_Ratio H/L LS2_1,,,
JVO2010_Log2 Ratio H/M Normalized aphidicolin,,,
NJH2024_Sub6_HIIT_Pre,,,
AH2018_SILAC_3_N,,,
YA2020_Reporter_intensity_Normal_No.1,,,
HS2024_3_B_T1,,,
JJ2018_Ratio H/L normalized___2,,,
RM2024_Intensity D0-2,,,
