DatasetName,NRDC_S(106) NRDC_S(381) NRDC_S(58) NRDC_S(61) NRDC_S(86) NRDC_S(92) NRDC_S(96),NRDC_S(14) NRDC_S(3) NRDC_S(91) NRDC_S(94)
RM2024_Intensity D4-1___3,,
RB2022_4_PostEndurance,,0.7023417059904369
FSO2013_Ratio M/L normalized Rep3,0.4995679064157818,0.6313038870592564
SR2019_MCF7_Biol_repl_3,,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),,
SR2019_LM2_Biol_repl_1,,
RCJD2014_15min_1,,
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,
CK2022_7 16-1,,0.6323350727722852
NJH2025_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_C,0.49702934772234386,
RKK2015_TNF-α/basal,,
JJ2018_Ratio H/M normalized pP2,,
NJH2025_Sub12_MICT_Pre,,
NJH2025_Sub7_MICT_Post,,
DL2023_control-3,0.48992632328808877,
ZX2022_Control Replicate 2,0.4936865127202395,0.6260268800639631
HS2024_6_B_T3,,
JW2015_Intensity pre1,0.49785941054243715,
IMM2018_normalised rep. int. Empty-3,,
AMK2021_30R_p5,,
FSO2013_Ratio M/L normalized Rep1,0.5139590030118415,0.6254932379620475
SR2019_MDAMB231_Biol_repl_4,,
GF2025_P2_Sph,,0.59912255715246
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,
NJH2025_Sub13_HIIT_Mid,,
CP2009_Ratio M/L,,
NJH2025_Sub7_HIIT_Post,,
KBE2022_Log2_Ex_44_T,,0.6463827016141167
DB2022_Intensity L2,,
TM2022_mock.4h.C,,
AST2020_anti-CD3.2,,0.6314700595161189
CW2012_10 µM Erl/control Experiment 1 Replicate B,,
HS2024_7_B_N1,,
FSO2013_Ratio M/L normalized Rep1___1,0.5135739733432204,0.6256104207033486
SAS2015_AZD/DMSO_Exp3,,
RM2024_Intensity D0-2___3,,
RM2024_Intensity D6-1,,
RB2022_8_RecoverySprint,,0.6587113258659809
RB2022_5_PreEndurance,,0.6663624028122972
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,,
EP2017_Untreated R#4 normalized log2 ratio,0.5518605099758396,0.628799170193001
WZ2023_Pu_010_30min,0.49676793505904904,0.6714311219571063
AS2011_Ratio H/L Proteins RNAi_2,,
RB2022_4_PreStrength,,0.6906077841939409
NJH2024_Sub4_MICT_Post,,
AH2018_LFQ_M_1_X,0.4946843228607748,
RB2022_8_RecoveryEndurance,,0.6684563748132717
KBE2022_Log2_Ex_14_U,,0.6464646682436053
FSO2013_Ratio M/L normalized Rep3___3,,
AH2018_TMTMS3_1_C,0.5153756860554604,
JJ2018_Ratio H/L normalized___1,,
ZQ2022_C2,,
RB2022_5_PreSprint,,0.663152492863007
PG2020_Intensity 8h_C,0.49420177273783583,0.6355181893110742
AH2018_SILAC_MR_2_N,0.4908374927456557,
MV2014_Ratio M/L normalized A1___2 (2 min),,
TM2022_S2.8h.B,,
MV2014_Ratio M/H normalized B3___1 (30 min),,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,,
RM2024_Intensity D6-1___2,,
NJH2025_Sub7_MICT_Mid,,
LY2019_P1+,,0.6291035806519512
AS2011_Ratio H/L Proteins Inhi_2,,
BS2014_Log2(Ratio H/L normalized),,
UK2020_HCM_2,,0.6384990792913318
FSO2013_Ratio H/L normalized Rep2___2,0.49681204184434324,0.6255798887841473
EP2017_Pervanadate R#3 normalized log2 ratio,0.5215228201688817,0.6469535302215318
RM2024_Intensity D4-3___3,,
RB2022_5_PreStrength,,0.6698115187058089
NJH2024_Sub4_MICT_Mid,,
TM2022_S2.4h.A,,
RB2022_5_PostStrength,,0.6181997962392873
GF2025_P6_Sph,,0.6246975594759221
RB2022_2_PreSprint,,0.6688873284210621
ZX2022_CB treated Replicate 3,0.49197034369468085,0.6246188596818778
RM2024_Intensity D6-2___3,,
WZ2023_Pe_025_10min,0.4953569032569812,0.67315834583558
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,
AST2020_anti-CD3+PDL2.1,,0.6297120544394261
KBE2022_Log2_Ex_34_U,,0.6546063608510686
WZ2023_Pu_005_10min,0.4962942024395453,0.6769206418171752
AS2011_Ratio H/L RNAi_2_1,,
NJH2024_Sub9_HIIT_Mid,,
CK2022_9 40-1,,0.6634972581975146
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,,
LG2023_GSK3α-1_intensity,,
WZ2023_Pu_025_30min,0.49520527293469474,0.6764235489400713
AH2018_SILAC_MR_2_X,0.49242966212368794,
HS2024_4_PD_T2,,
NJH2024_Sub4_HIIT_Pre,,
RB2022_2_RecoverySprint,,0.6659685329348596
AS2011_Ratio H/L Protein RNAi_1,,
RM2024_Intensity D2-1___2,,
CR2017_Ratio Replicate 1.4,0.5069209764663736,0.6402653307724908
FR2021_Norm.Intensity.B,,
RM2024_Intensity D6-2___1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,,
RB2022_5_PostSprint,,0.691592006851402
EJN2021_3_Rest_Basal,0.4748214657117333,0.6771446189286517
CR2017_Ratio Replicate 1.3,0.46095386707872227,0.6220918276471384
AS2011_Ratio H/L Normalized by Protein RNAi_2,,
KTGR2014_Ratio-Rapa 7 mins,,
AMK2021_120R_p1,,
AH2018_SILAC_3_X,0.496427262322018,
JJ2018_Ratio M/L normalized pP3,,
AH2018_SILAC_M_2_N,,
HS2024_7_PD_T2,,
FSO2013_Ratio H/L normalized Rep1___1,0.5092037075812187,0.6325281077422235
AH2018_LFQ_1_C,0.5107094037154694,
AS2011_Ratio H/L Normalized Inhi_1_3,,
KBE2022_Log2_Ex_28_T,0.4856499624418968,0.6571981495461409
HS2024_3_B_N1,,
RM2024_Intensity D4-2___3,,
WZ2023_Pe_025_30min,0.49437081971301894,0.6725764288416188
CK2022_11 40-1,,0.6635401410078993
CW2012_10 µM Erl/control Experiment 3 Replicate B,,
