DatasetName,PBXIP1_S(117) PBXIP1_S(118) PBXIP1_S(119) PBXIP1_S(146) PBXIP1_S(3) PBXIP1_S(326) PBXIP1_S(330) PBXIP1_S(355) PBXIP1_S(378) PBXIP1_S(4) PBXIP1_S(43) PBXIP1_S(469) PBXIP1_S(518) PBXIP1_S(547) PBXIP1_S(550) PBXIP1_S(7) PBXIP1_S(705) PBXIP1_S(8) PBXIP1_T(123) PBXIP1_T(47),PBXIP1_S(14) PBXIP1_S(36) PBXIP1_S(407) PBXIP1_S(440) PBXIP1_S(45) PBXIP1_S(521) PBXIP1_S(522) PBXIP1_S(6) PBXIP1_S(67) PBXIP1_S(9)
RM2024_Intensity D4-1___3,,
RB2022_4_PostEndurance,0.47955884670484117,0.6519021793591572
FSO2013_Ratio M/L normalized Rep3,0.4792474904875813,
SR2019_MCF7_Biol_repl_3,,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),,
SR2019_LM2_Biol_repl_1,0.4797188051601379,
RCJD2014_15min_1,,
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,
CK2022_7 16-1,,
NJH2025_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_C,,
RKK2015_TNF-α/basal,,
JJ2018_Ratio H/M normalized pP2,,
NJH2025_Sub12_MICT_Pre,,
NJH2025_Sub7_MICT_Post,,
DL2023_control-3,,
ZX2022_Control Replicate 2,0.4750982541650708,
HS2024_6_B_T3,,
JW2015_Intensity pre1,,
IMM2018_normalised rep. int. Empty-3,,
AMK2021_30R_p5,0.4783229431725567,
FSO2013_Ratio M/L normalized Rep1,0.47740828746241026,
SR2019_MDAMB231_Biol_repl_4,,
GF2025_P2_Sph,0.47491495814598056,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,
NJH2025_Sub13_HIIT_Mid,,
CP2009_Ratio M/L,,
NJH2025_Sub7_HIIT_Post,,
KBE2022_Log2_Ex_44_T,0.4701340015351262,
DB2022_Intensity L2,,
TM2022_mock.4h.C,,
AST2020_anti-CD3.2,,
CW2012_10 µM Erl/control Experiment 1 Replicate B,,
HS2024_7_B_N1,,
FSO2013_Ratio M/L normalized Rep1___1,0.4774326102472285,
SAS2015_AZD/DMSO_Exp3,,
RM2024_Intensity D0-2___3,,
RM2024_Intensity D6-1,,
RB2022_8_RecoverySprint,0.4810897424680565,0.6072296121621928
