DatasetName,DCAF10_S(176) DCAF10_S(349) DCAF10_S(36) DCAF10_S(367) DCAF10_S(444) DCAF10_S(61) DCAF10_S(8) DCAF10_S(95),DCAF10_S(63) DCAF10_S(67) DCAF10_S(89) DCAF10_S(92)
RM2024_Intensity D4-1___3,,
RB2022_4_PostEndurance,0.5622065819552117,
FSO2013_Ratio M/L normalized Rep3,0.5650584885489982,
SR2019_MCF7_Biol_repl_3,,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),,
SR2019_LM2_Biol_repl_1,,
RCJD2014_15min_1,,
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,
CK2022_7 16-1,,0.418845757142181
NJH2025_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_C,,
RKK2015_TNF-α/basal,0.5511625571905763,
JJ2018_Ratio H/M normalized pP2,,
NJH2025_Sub12_MICT_Pre,,
NJH2025_Sub7_MICT_Post,,
DL2023_control-3,,
ZX2022_Control Replicate 2,,
HS2024_6_B_T3,0.5818825637676872,
JW2015_Intensity pre1,,
IMM2018_normalised rep. int. Empty-3,,
AMK2021_30R_p5,,
FSO2013_Ratio M/L normalized Rep1,0.5340284937047505,
SR2019_MDAMB231_Biol_repl_4,,
GF2025_P2_Sph,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,0.5695457048350039,
NJH2025_Sub13_HIIT_Mid,,
CP2009_Ratio M/L,,
NJH2025_Sub7_HIIT_Post,,
KBE2022_Log2_Ex_44_T,0.548756078571611,
DB2022_Intensity L2,,
TM2022_mock.4h.C,,
AST2020_anti-CD3.2,,
CW2012_10 µM Erl/control Experiment 1 Replicate B,,
HS2024_7_B_N1,,
FSO2013_Ratio M/L normalized Rep1___1,0.5344335967111443,
SAS2015_AZD/DMSO_Exp3,,
RM2024_Intensity D0-2___3,,
RM2024_Intensity D6-1,,
RB2022_8_RecoverySprint,,
RB2022_5_PreEndurance,0.5393832830070088,
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,,
