DatasetName,PPIG_S(128) PPIG_S(173) PPIG_S(2) PPIG_S(354) PPIG_S(487) PPIG_S(489) PPIG_S(5) PPIG_S(535) PPIG_S(549) PPIG_S(577) PPIG_S(616) PPIG_S(630) PPIG_S(631) PPIG_S(636) PPIG_S(7) PPIG_S(701) PPIG_S(80) PPIG_T(3) PPIG_T(356) PPIG_T(579) PPIG_T(611),PPIG_S(254) PPIG_S(256) PPIG_S(257) PPIG_S(259) PPIG_S(3) PPIG_S(319) PPIG_S(341) PPIG_S(356) PPIG_S(358) PPIG_S(371) PPIG_S(375) PPIG_S(376) PPIG_S(386) PPIG_S(397) PPIG_S(4) PPIG_S(410) PPIG_S(413) PPIG_S(415) PPIG_S(433) PPIG_S(442) PPIG_S(506) PPIG_S(527) PPIG_S(533) PPIG_S(544) PPIG_S(545) PPIG_S(546) PPIG_S(560) PPIG_S(585) PPIG_S(587) PPIG_S(6) PPIG_S(658) PPIG_S(672) PPIG_S(673) PPIG_S(677) PPIG_S(690) PPIG_S(693) PPIG_S(695) PPIG_S(696) PPIG_S(716) PPIG_S(717) PPIG_S(730) PPIG_S(744) PPIG_S(745) PPIG_S(753) PPIG_T(343) PPIG_T(355) PPIG_T(358) PPIG_T(4) PPIG_T(407) PPIG_T(552) PPIG_T(733) PPIG_T(748),PPIG_S(1) PPIG_S(275) PPIG_S(290) PPIG_S(315) PPIG_S(382) PPIG_S(398) PPIG_S(400) PPIG_S(431) PPIG_S(531) PPIG_S(681) PPIG_S(684) PPIG_S(687) PPIG_S(691) PPIG_S(702) PPIG_S(713) PPIG_S(729) PPIG_S(738)
RM2024_Intensity D4-1___3,,,
RB2022_4_PostEndurance,,0.538809377444929,0.6635255309055118
FSO2013_Ratio M/L normalized Rep3,,0.5384725477815162,0.6492893619746889
SR2019_MCF7_Biol_repl_3,,0.5421928638026993,0.6688592740294637
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),,,
SR2019_LM2_Biol_repl_1,,0.5345859767590442,0.6621295942785439
RCJD2014_15min_1,,,
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,0.5372821068171582,
CK2022_7 16-1,,0.536886354654741,0.6630463499586882
NJH2025_Sub12_HIIT_Mid,,,
AH2018_LFQ_IT_1_C,,0.5428641203275659,
RKK2015_TNF-α/basal,,,
JJ2018_Ratio H/M normalized pP2,,,
NJH2025_Sub12_MICT_Pre,,,
NJH2025_Sub7_MICT_Post,,,
DL2023_control-3,,0.5412989088043656,
ZX2022_Control Replicate 2,0.4149047153057894,0.5412229001174677,0.6616885231228238
HS2024_6_B_T3,,0.540706641385479,0.6585663710370684
JW2015_Intensity pre1,,,
IMM2018_normalised rep. int. Empty-3,,0.5380410332335861,0.6677322038627359
AMK2021_30R_p5,,,
FSO2013_Ratio M/L normalized Rep1,,0.5362764475147446,0.6607978728862656
SR2019_MDAMB231_Biol_repl_4,,0.5362266441637872,0.6627515626011078
GF2025_P2_Sph,0.41538664809339887,0.5327503457751708,0.6560225301876278
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,,0.6633513974831088
NJH2025_Sub13_HIIT_Mid,,,
CP2009_Ratio M/L,,,
NJH2025_Sub7_HIIT_Post,,,
