DatasetName,PI4K2A_M(5) PI4K2A_S(10) PI4K2A_S(460) PI4K2A_S(464) PI4K2A_S(468) PI4K2A_S(5) PI4K2A_S(7) PI4K2A_S(9) PI4K2A_T(4) PI4K2A_T(466),PI4K2A_S(1099) PI4K2A_S(37) PI4K2A_S(44) PI4K2A_S(459) PI4K2A_S(461) PI4K2A_S(462) PI4K2A_S(47) PI4K2A_S(51)
RM2024_Intensity D4-1___3,,
RB2022_4_PostEndurance,,
FSO2013_Ratio M/L normalized Rep3,,0.5665598443478195
SR2019_MCF7_Biol_repl_3,,0.5676546685705786
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),,0.607690841662341
SR2019_LM2_Biol_repl_1,,
RCJD2014_15min_1,,
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,
CK2022_7 16-1,,0.5811532196360181
NJH2025_Sub12_HIIT_Mid,,0.5770397389383521
AH2018_LFQ_IT_1_C,0.44782506886284124,0.6126824081972345
RKK2015_TNF-α/basal,,0.5932519907348767
JJ2018_Ratio H/M normalized pP2,,
NJH2025_Sub12_MICT_Pre,,0.5798093853648506
NJH2025_Sub7_MICT_Post,,0.5718353902307739
DL2023_control-3,,0.615371561854218
ZX2022_Control Replicate 2,,0.5942789874702976
HS2024_6_B_T3,,0.5745129670323399
JW2015_Intensity pre1,,
IMM2018_normalised rep. int. Empty-3,,0.6192132112605727
AMK2021_30R_p5,,
FSO2013_Ratio M/L normalized Rep1,,0.6075580334432183
SR2019_MDAMB231_Biol_repl_4,,0.5852272368980039
GF2025_P2_Sph,0.4870848813497478,0.5942774292222652
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,0.46810214541895157,0.593331545893905
NJH2025_Sub13_HIIT_Mid,,0.5713386405033004
CP2009_Ratio M/L,,
NJH2025_Sub7_HIIT_Post,,0.5724051626486562
KBE2022_Log2_Ex_44_T,,0.6239746768802998
DB2022_Intensity L2,,
TM2022_mock.4h.C,,
AST2020_anti-CD3.2,,0.6440000597826746
CW2012_10 µM Erl/control Experiment 1 Replicate B,,
HS2024_7_B_N1,,0.5735011139798927
FSO2013_Ratio M/L normalized Rep1___1,,0.6097778447791189
SAS2015_AZD/DMSO_Exp3,,0.5646657597916097
RM2024_Intensity D0-2___3,,0.5902299221135484
RM2024_Intensity D6-1,,0.594634513323994
RB2022_8_RecoverySprint,,0.578489093769374
RB2022_5_PreEndurance,,
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,,0.5971384327049478
EP2017_Untreated R#4 normalized log2 ratio,,0.616752066716945
WZ2023_Pu_010_30min,0.4618493625389961,0.6073276987069173
AS2011_Ratio H/L Proteins RNAi_2,,
RB2022_4_PreStrength,,
NJH2024_Sub4_MICT_Post,,
AH2018_LFQ_M_1_X,0.4778621633593194,0.6195631695774187
RB2022_8_RecoveryEndurance,,0.5491001673619123
KBE2022_Log2_Ex_14_U,,0.6455620512374214
FSO2013_Ratio M/L normalized Rep3___3,,
AH2018_TMTMS3_1_C,,
JJ2018_Ratio H/L normalized___1,,
ZQ2022_C2,0.470142416497359,0.6357674868502483
RB2022_5_PreSprint,,
PG2020_Intensity 8h_C,0.46725547652620925,0.5623455596375152
AH2018_SILAC_MR_2_N,,
MV2014_Ratio M/L normalized A1___2 (2 min),,
TM2022_S2.8h.B,,
MV2014_Ratio M/H normalized B3___1 (30 min),,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,0.46855889844564924,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,,
RM2024_Intensity D6-1___2,,
NJH2025_Sub7_MICT_Mid,,0.5701527739103579
LY2019_P1+,,0.5940913838234958
AS2011_Ratio H/L Proteins Inhi_2,,
BS2014_Log2(Ratio H/L normalized),,0.5718283077127055
UK2020_HCM_2,,0.6139947322133865
FSO2013_Ratio H/L normalized Rep2___2,,0.5791089023259708
EP2017_Pervanadate R#3 normalized log2 ratio,,0.6001602858778537
RM2024_Intensity D4-3___3,,0.591279628510651
RB2022_5_PreStrength,,
NJH2024_Sub4_MICT_Mid,,
TM2022_S2.4h.A,,
RB2022_5_PostStrength,,0.5496455322550383
GF2025_P6_Sph,0.4736170339423832,0.5856761727956412
RB2022_2_PreSprint,,
ZX2022_CB treated Replicate 3,,0.5985053129469439
RM2024_Intensity D6-2___3,,0.5951184966124783
WZ2023_Pe_025_10min,0.47686820285297493,0.6113017571499268
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,
AST2020_anti-CD3+PDL2.1,,0.6436070942399197
KBE2022_Log2_Ex_34_U,,0.599923041452078
WZ2023_Pu_005_10min,0.458678585183314,0.6103364447869198
AS2011_Ratio H/L RNAi_2_1,,
NJH2024_Sub9_HIIT_Mid,,0.5826018708185385
CK2022_9 40-1,,0.5930347248683535
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,,
LG2023_GSK3α-1_intensity,,
WZ2023_Pu_025_30min,0.4573279906397997,0.6101049463474866
AH2018_SILAC_MR_2_X,,
HS2024_4_PD_T2,,0.5912032238700466
NJH2024_Sub4_HIIT_Pre,,
RB2022_2_RecoverySprint,,
AS2011_Ratio H/L Protein RNAi_1,,
RM2024_Intensity D2-1___2,,
CR2017_Ratio Replicate 1.4,0.46649726673250325,0.6215267886742304
FR2021_Norm.Intensity.B,,0.6096453043188118
RM2024_Intensity D6-2___1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,,
RB2022_5_PostSprint,,0.6078198858439513
EJN2021_3_Rest_Basal,,0.5612222063413773
CR2017_Ratio Replicate 1.3,0.46336817109684947,0.5990107546487217
AS2011_Ratio H/L Normalized by Protein RNAi_2,,
KTGR2014_Ratio-Rapa 7 mins,,0.5860326823385463
AMK2021_120R_p1,,
AH2018_SILAC_3_X,,
JJ2018_Ratio M/L normalized pP3,,
AH2018_SILAC_M_2_N,0.4646233263117926,0.6097882159448645
HS2024_7_PD_T2,,0.5955834280546617
FSO2013_Ratio H/L normalized Rep1___1,,0.5836846863558831
AH2018_LFQ_1_C,0.46220069069248043,
AS2011_Ratio H/L Normalized Inhi_1_3,,
KBE2022_Log2_Ex_28_T,,0.5929300992130432
HS2024_3_B_N1,,0.5672557129963584
RM2024_Intensity D4-2___3,,0.5906871475002651
WZ2023_Pe_025_30min,0.47819275042303133,0.5982838028017043
CK2022_11 40-1,,0.5929125173256519
CW2012_10 µM Erl/control Experiment 3 Replicate B,,
AH2018_SILAC_2_X,0.4595241869544092,0.6100864554913186
MV2014_Ratio H/M normalized A2___2 (2 min),,
AS2011_Ratio H/L RNAi_1_2,,
KS2014_Intensity E15_1,,
FSO2013_Ratio H/L normalized Rep2,,0.6038918998178635
WZ2023_Pu_005_20min,0.4571033842306761,0.5711326153635039
NJH2024_Sub10_MICT_Post,,0.5530761070284737
RM2024_Intensity D2-3___1,,
CR2017_Ratio Replicate 1.5,0.4630656345400094,0.6247699194072199
CW2012_10 µM Gef/control Experiment 2 Replicate B,,
HS2024_7_B_T3,,0.6011690473246615
CKC2017_log2 normalized phosphoproteomics_60min_rep#1,,0.607286369481754
AS2011_Ratio H/L RNAi_1,,
JC2019_Normalised_intensity_A_TiOx_Testis_sample_URO0059,,
AH2018_LFQ_M_1_C,0.4660692274224304,
NJH2025_Sub7_MICT_Pre,,0.567995970319056
SR2019_SKBR3_Biol_repl_2,,
HS2024_9_B_T2,,0.566977754261719
KTGR2014_Ratio-AA 7 mins,,0.575896567494561
MV2014_Ratio L/H normalized B3___3 (5 min),,
HS2024_3_PD_T1,,0.608924238889322
FSO2013_Ratio M/L normalized Rep3___2,,0.5934595366210164
SR2019_BT549_Biol_repl_3,,0.5765025544668474
RCJD2014_20min_mean,,
FR2021_Norm.Intensity.H,,0.5886263966130195
RB2022_2_PreStrength,,
DB2022_LFQ intensity L1.2,,
HS2024_4_B_N1,,0.5978898583032226
KTGR2014_Ratio H M Normalized Rep2_Rapamycin_0_15,,
CK2022_1 16-1,,0.5844149437109821
CK2022_1 200-1,,0.6183528540030528
PG2020_Intensity Mock_10h_D,,0.5569327456454269
SR2019_MCF10A_Biol_repl_2,,0.540080471120443
JJ2018_Ratio M/L normalized pP2___2,,
HS2024_6_PD_T1,,0.6062405543895141
JVO2010_Ratio M/L Normalized by Protein ThymON - Log2 G1/S,0.43120362343654317,0.5503406061488055
RB2022_6_RecoveryEndurance,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3b,0.47379723312277455,0.5740095400646915
EP2017_Mitotic R#2 normalized log2 ratio,,0.5586276740916533
RCJD2014_5min_1,,
RM2024_Intensity D4-1___1,,
DL2023_24h-1,0.4627237305438533,0.6153437975490401
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2b,0.4591403079009698,
TM2022_S2.4h.C,,
SAS2015_PLX/AZD_Exp2,,0.5773358210512416
CR2017_Ratio Replicate 3.3,0.46209941851104147,0.589965090453743
PG2020_Intensity 2h_C,,0.5640081656564303
VOI2024_Veh2 di,,
ZX2022_CB treated Replicate 2,,0.596397682745256
KBE2022_Log2_Ex_8_T,,0.634439516748735
NJH2025_Sub10_MICT_Post,,0.5530761070284737
HS2024_6_I_T3,,0.5931842804509968
RN2012_L11,,0.5716750099926443
AS2011_Ratio H/L Normalized Inhi_2_2,,
IMM2018_normalised rep. int. Empty-1,,0.6201866522795382
HS2024_5_PD_T1,,0.5866352724847391
AH2018_LFQ_M_2_C,0.47347355695146626,
CK2022_3 40-1,,0.5879541175071716
RBK2021_1260T Early,,
NJH2024_Sub4_HIIT_Post,,
HS2024_4_I_T1,,0.6197404772231265
YA2020_Reporter_intensity_Cancer_No.5,,0.5706060208889159
HH2022_Reporter intensity 8,,
ZQ2022_N2,0.47083380148324194,0.5583792835577557
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1b,,0.5786877246389612
FSO2013_Ratio H/L normalized Rep3___3,,
AH2018_TMTMS3_2_N,,
EJN2021_5_Rest_Basal,,0.551627116355483
NJH2025_Sub2_HIIT_Post,,0.5682808608575767
NJH2025_Sub1_MICT_Post,,
HS2024_9_B_T1,,0.5794270252436412
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1a,,0.583940451250994
JAW2011_Ratio H/L LS2_1,,
JVO2010_Log2 Ratio H/M Normalized aphidicolin,0.4749875738424768,0.5770172075539494
NJH2024_Sub6_HIIT_Pre,,
AH2018_SILAC_3_N,,
YA2020_Reporter_intensity_Normal_No.1,,0.5779750081188435
HS2024_3_B_T1,,0.5814868004029801
JJ2018_Ratio H/L normalized___2,,
RM2024_Intensity D0-2,,0.5920135224786569
MV2014_Ratio M/L normalized B1___2 (5 min),,
RB2022_7_PostStrength,,
RB2022_1_PostEndurance,,
CR2017_Ratio Replicate 3,0.4692583744471352,0.6135074942882452
SR2019_Hs578T_Biol_repl_3,,
MV2014_Ratio L/H normalized B3___1 (5 min),,0.5849342752288123
RBK2021_1244T Early,,
RB2022_3_PostSprint,,0.5606943626675401
NJH2024_Sub13_MICT_Mid,,0.5842267063641506
KTGR2014_Ratio-AA 2 mins,,0.6157308802034561
GF2025_P7_Sph,0.4831432274006966,0.6057639025344882
HS2024_8_I_T3,,0.5481611112951811
CF2017_EOC 3,,0.6030501620729192
LATM2013_Normalized Log2 Ratio (Medium/Light) Forward,,0.5711290711245978
HS2024_6_PD_T3,,0.5852303713621152
DL2023_12h-2,0.46036289484453946,0.615632876921539
RM2024_Intensity D6-3___1,,
FS2019_Ctr1,,
WZ2023_Pu_010_20min,0.45712891314309284,0.609603178114867
AS2011_Ratio H/L_3,,
CK2022_1 40-1,,0.5887701870456814
RNJ2017_Log2_ratio_Tsup:Trest_D1,,
CK2022_8 16-1,,0.5820401025589589
KS2014_Intensity N3,0.46933675909576855,
RB2022_4_RecoveryEndurance,,
RB2022_5_RecoveryEndurance,,
JAW2011_Ratio H/L LS1a_2,,
NJH2024_Sub12_HIIT_Mid,,0.5770397389383521
AH2018_LFQ_IT_1_N,0.4467385242096612,0.6088210525417701
FSO2013_Ratio H/M normalized Rep2,,0.567135278912972
RAM2015_Log2 A,0.4992763590111104,0.6158399078380314
HS2024_8_PD_T1,,0.51967305581213
JJ2018_Ratio H/L normalized pP2,,
CF2017_OSE 27,0.4810891004797376,0.5969509705093341
KS2014_Intensity E15_2,,
BS2014_Log2(Ratio H/L protein),,
PG2020_Intensity 8h_A,0.4602358362134636,0.5824404461710614
HS2024_7_I_T1,,0.6001441521353864
VOI2024_Veh3 di,,
RKK2015_TNF-α+SC-514/basal,,0.6200738597297714
SR2019_JIMT1_Biol_repl_1,,0.5932680788975605
HW2015_Ratio H/L normalized Exp2,,0.6137209394654409
HS2024_3_I_N1,,0.5888536593721253
AH2018_SILAC_M_3_X,,
NJH2024_Sub9_HIIT_Post,,0.5811358874859588
AS2011_Ratio H/L RNAi_1_3,,
GRW2016_Ratio H/L normalized SILAC 1___2,,
NJH2025_Sub1_HIIT_Pre,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-2,,
NJH2024_Sub4_HIIT_Mid,,
VOI2024_0.1uM 2 h_1 di,,
KBE2022_Log2_Ex_6_T,,0.6142438278988125
RM2024_Intensity D4-3___1,,
AH2018_LFQ_4_X,0.4738733521967635,
AS2011_Inhi 2_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,
RB2022_8_PostEndurance,,0.5930209205447534
NJH2025_Sub4_MICT_Mid,,
YP2020_Intensity C30_R1_mult_log2,,0.5797722641469737
AST2020_anti-CD3.1,,0.6416333509889997
NJH2025_Sub4_HIIT_Post,,
EP2017_Untreated R#4 log2 ratio,,0.6166320655975881
HS2024_6_B_N1,,0.5468786784918289
KBE2022_Log2_Ex_27_T,,0.6382823357879281
CW2012_10 µM Gef/control Experiment 1 Replicate A,,
VOI2024_0.1uM 24 h_1 mono,,
AMK2021_120R_p5,,
AS2011_Ratio H/L Proteins,,
NJH2024_Sub7_HIIT_Post,,0.5724051626486562
NJH2015_TMT Subject 1 127_N/126 (Exercise/Basal) (normalized),0.4692419078009394,
AS2011_Ratio H/L RNAi_2_2,,
RB2022_7_RecoveryStrength,,
AH2018_SILAC_IT_3_X,0.4610864995701395,
JAW2011_Ratio H/L,,
PG2020_Intensity 10h_C,0.47464625877338873,0.5806403792380821
FSO2013_Ratio M/L normalized Rep2,,0.5866239942074826
CP2009_Ratio H/M Normalized (50 nM dasatinib vs 5 nM dasatinib),,
HH2022_Reporter intensity 5,,0.586151639726003
SR2019_HCC1954_Biol_repl_2,,
CK2022_14 40-1,,0.5890540073387769
RB2022_6_PreSprint,,
NJH2025_Sub12_MICT_Mid,,0.5849369785649483
PG2020_Intensity 4h_D,,0.5745779686396196
NJH2025_Sub2_MICT_Post,,0.5805702273123652
AH2018_LFQ_4_C,0.4704056951663424,
DL2023_control-1,0.45079138737342445,0.6151752899379704
AR2021_ALG 10 μM,0.5009481186842509,0.5602211943266597
JAW2011_Ratio H/L LS2_2,,
AH2018_SILAC_IT_3_N,0.46266918476267566,
EJN2021_4_Rest_Ins,,0.5528305552760884
RN2012_H05,,0.6092081200280651
NJH2024_Sub7_HIIT_Mid,,0.5769324136167638
GF2025_P2_Adh,0.45758737611557265,0.5437860804151161
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4b,0.47649115921523605,0.5768364374382688
RB2022_8_PostSprint,,
EJN2021_1_Rest_Ins,,0.5549566366683572
HH2022_Reporter intensity 3,,0.6005515990841227
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4b,,0.594079526560301
AH2018_SILAC_IT_1_C,0.45837688401997384,
JW2021_After_3,,
GF2025_P8_Sph,0.4732036211428384,0.5513422997042208
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4,0.46463056127541147,0.5874104521788881
JJ2018_Ratio M/L normalized pP2___1,,
AH2018_SILAC_2_N,0.46333938049880696,0.6094600322045992
CK2022_11 200-1,,0.6312473005597597
CK2022_12 200-1,,0.6335688471390574
AS2011_Ratio H/L Normalized by Protein RNAi_1,,
RM2024_Intensity D2-1___3,,0.5776469396339181
NJH2024_Sub1_MICT_Pre,,
HH2022_Reporter intensity 9,,0.5747898023104404
WZ2023_Su_010_20min,0.45525578415345647,0.6103868679844257
AH2018_TMTMS2_2_N,,
NJH2024_Sub13_MICT_Pre,,0.5827945330622644
KBE2022_Log2_Ex_41_U,,0.6101272999326647
NJH2015_TMT Subject 3 129_N/128_C (Exercise/Basal) (normalized),0.4804774779415572,
AH2018_TMTMS3_Pool,,0.5816082847094823
KS2014_Intensity N4,0.468796584599681,
NJH2024_Sub1_HIIT_Post,,
MM2018_Ratio H/L replicate2,,
RM2024_Intensity D4-2___2,,
NJH2024_Sub13_HIIT_Pre,,0.5875902629356387
CF2017_OSE 26,,0.5975670689907144
CK2022_14 200-1,,0.6258279826733049
SR2019_Hs578T_Biol_repl_1,,
RB2022_7_PostSprint,,0.5545300937054192
TM2022_mock.4h.A,,
NJH2025_Sub12_HIIT_Pre,,0.5839299457495223
AH2018_TMTMS3_1_N,,
AST2020_anti-CD3+PDL2.2,,0.6449724009879443
PG2020_Intensity Mock_10h_A,,0.5477980088088396
JW2021_After_2,,
NJH2024_Sub2_MICT_Post,,0.5805702273123652
EJN2021_2_Rest_Ins,,0.5485605437754376
SR2019_LM2_Biol_repl_4,,0.5719698223779427
CP2009_Ratio H/M,,
JAW2011_Ratio H/L HS,,
CK2022_13 16-1,,0.5885549879542611
GF2025_P1_Adh,0.463758666397843,0.564982557118462
GF2025_P1_Sph,0.49519342737683597,0.6067361869653676
EJN2021_5_Ex_Basal,,0.5768617494080182
HS2024_7_I_T3,,0.5573289248384699
JJ2018_Ratio H/L normalized pP2___2,,
WZ2023_Pe_010_10min,0.47447111720744894,0.6100609797590374
CF2017_EOC 1,0.4632580878483024,0.5892550146443933
CK2022_3 200-1,,0.6189030041039035
AH2018_LFQ_IT_3_C,0.46064634153284406,0.6124642892327985
SR2019_Hs578T_Biol_repl_2,,0.5748953519926008
NJH2024_Sub12_HIIT_Post,,0.5851242092989736
JJ2018_Ratio H/L normalized pP1___2,,
MV2014_Ratio H/L normalized A1___2 (10 min),,
NJH2024_Sub10_MICT_Mid,,0.5649355981191249
NJH2024_Sub13_MICT_Post,,0.5880320484089288
BS2014_Log2(Ratio H/L normalized Rep_1),,0.5798911477174475
RB2022_3_RecoverySprint,,0.588180787903768
NJH2025_Sub1_HIIT_Mid,,
RCJD2014_20min_2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2,0.46788842945845666,0.5889286212937844
HS2024_6_PD_T2,,0.5851433775073014
HS2024_5_B_T1,0.48179983181083774,0.6040963394806836
CW2012_10 µM Gef/control Experiment 2 Replicate A,,
DL2023_12h-3,0.4540853814853887,0.6175274651599812
SR2019_MDAMB231_Biol_repl_2,,0.5849778491592679
HS2024_3_B_T2,,0.5639386788631381
RB2022_6_PreStrength,,
CK2022_2 40-1,,0.5883567065346602
RB2022_1_PostSprint,,
CK2022_4 200-1,,0.618435165977733
JW2021_Before_2,,
TM2022_S2.12h.A,,
MV2014_Ratio L/M normalized B2___2 (30 min),,0.5700261573798758
CK2022_5 16-1,,0.580846842641969
AR2021_ALG 1 μM,0.4822156848216113,0.5626402691585624
HS2024_4_B_T1,,0.5998945099858469
MV2014_Ratio M/H normalized A3___1 (10 min),,
SR2019_BT549_Biol_repl_4,,0.5802035892735606
EJN2021_1_Rest_Basal,,0.5559584026697166
NJH2025_Sub8_MICT_Post,,0.5664400883685492
