DatasetName,IARS1_S(1038) IARS1_S(1047) IARS1_S(1049) IARS1_S(1051) IARS1_S(1063) IARS1_S(346),IARS1_S(100) IARS1_T(187)
RM2024_Intensity D4-1___3,,
RB2022_4_PostEndurance,,
FSO2013_Ratio M/L normalized Rep3,0.5355157311863764,
SR2019_MCF7_Biol_repl_3,0.5426854488937004,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),,
SR2019_LM2_Biol_repl_1,,
RCJD2014_15min_1,,
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,
CK2022_7 16-1,,
NJH2025_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_C,0.5626031499310208,
RKK2015_TNF-α/basal,,
JJ2018_Ratio H/M normalized pP2,,
NJH2025_Sub12_MICT_Pre,,
NJH2025_Sub7_MICT_Post,,
DL2023_control-3,,
ZX2022_Control Replicate 2,0.5426533806641739,
HS2024_6_B_T3,0.5297778721576215,
JW2015_Intensity pre1,0.558602573434546,
IMM2018_normalised rep. int. Empty-3,0.5557897053693465,
AMK2021_30R_p5,,
FSO2013_Ratio M/L normalized Rep1,0.5483965532346411,
SR2019_MDAMB231_Biol_repl_4,0.5629134680693967,
GF2025_P2_Sph,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,
NJH2025_Sub13_HIIT_Mid,,
CP2009_Ratio M/L,,
NJH2025_Sub7_HIIT_Post,,
KBE2022_Log2_Ex_44_T,,
DB2022_Intensity L2,,
TM2022_mock.4h.C,,
AST2020_anti-CD3.2,,
CW2012_10 µM Erl/control Experiment 1 Replicate B,,
HS2024_7_B_N1,0.5676036292473444,
FSO2013_Ratio M/L normalized Rep1___1,0.5485099354136326,
SAS2015_AZD/DMSO_Exp3,,
RM2024_Intensity D0-2___3,,
RM2024_Intensity D6-1,,
RB2022_8_RecoverySprint,,
RB2022_5_PreEndurance,,
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,,
EP2017_Untreated R#4 normalized log2 ratio,0.5395298655575806,
WZ2023_Pu_010_30min,0.5733633573624993,
AS2011_Ratio H/L Proteins RNAi_2,,
RB2022_4_PreStrength,,
NJH2024_Sub4_MICT_Post,,
AH2018_LFQ_M_1_X,0.5693950272964022,
RB2022_8_RecoveryEndurance,,0.5384901622837108
KBE2022_Log2_Ex_14_U,,
FSO2013_Ratio M/L normalized Rep3___3,,
AH2018_TMTMS3_1_C,0.5676096645095187,
JJ2018_Ratio H/L normalized___1,,
ZQ2022_C2,,
RB2022_5_PreSprint,,0.4356948913519404
PG2020_Intensity 8h_C,0.5514214984049485,
AH2018_SILAC_MR_2_N,0.5612490014731505,
MV2014_Ratio M/L normalized A1___2 (2 min),,
TM2022_S2.8h.B,,
MV2014_Ratio M/H normalized B3___1 (30 min),,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,,
RM2024_Intensity D6-1___2,,
NJH2025_Sub7_MICT_Mid,,
LY2019_P1+,0.5831584196687328,
AS2011_Ratio H/L Proteins Inhi_2,,
BS2014_Log2(Ratio H/L normalized),,
UK2020_HCM_2,,
FSO2013_Ratio H/L normalized Rep2___2,,
EP2017_Pervanadate R#3 normalized log2 ratio,0.5442443949781569,
RM2024_Intensity D4-3___3,,
RB2022_5_PreStrength,,
NJH2024_Sub4_MICT_Mid,,
TM2022_S2.4h.A,,
RB2022_5_PostStrength,,0.5252504355179703
GF2025_P6_Sph,,
RB2022_2_PreSprint,,
ZX2022_CB treated Replicate 3,0.5424471716494169,
RM2024_Intensity D6-2___3,,
WZ2023_Pe_025_10min,0.5721437791250698,
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,
AST2020_anti-CD3+PDL2.1,,
KBE2022_Log2_Ex_34_U,,
WZ2023_Pu_005_10min,0.5703772369490566,
AS2011_Ratio H/L RNAi_2_1,,
NJH2024_Sub9_HIIT_Mid,,
CK2022_9 40-1,0.5432160288154417,
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,,
LG2023_GSK3α-1_intensity,0.5561680992295085,
WZ2023_Pu_025_30min,0.569377800961138,
AH2018_SILAC_MR_2_X,0.5677866792841272,
HS2024_4_PD_T2,0.5481557032236205,
NJH2024_Sub4_HIIT_Pre,,
RB2022_2_RecoverySprint,,
AS2011_Ratio H/L Protein RNAi_1,,
RM2024_Intensity D2-1___2,,
CR2017_Ratio Replicate 1.4,0.5333638440364354,
FR2021_Norm.Intensity.B,0.5611758614033512,
RM2024_Intensity D6-2___1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,0.5569740717885642,
RB2022_5_PostSprint,,
EJN2021_3_Rest_Basal,,
CR2017_Ratio Replicate 1.3,0.5622332481653117,
AS2011_Ratio H/L Normalized by Protein RNAi_2,,
KTGR2014_Ratio-Rapa 7 mins,,
AMK2021_120R_p1,,
AH2018_SILAC_3_X,0.5613285768504145,
JJ2018_Ratio M/L normalized pP3,,
AH2018_SILAC_M_2_N,0.5555235883097617,
HS2024_7_PD_T2,0.5504038521094043,
FSO2013_Ratio H/L normalized Rep1___1,0.5534840123427551,
AH2018_LFQ_1_C,0.5664136886178103,
AS2011_Ratio H/L Normalized Inhi_1_3,,
KBE2022_Log2_Ex_28_T,,
HS2024_3_B_N1,0.5552299700953992,
RM2024_Intensity D4-2___3,,
WZ2023_Pe_025_30min,0.5724575186791266,
CK2022_11 40-1,0.5428516425816683,
CW2012_10 µM Erl/control Experiment 3 Replicate B,,
AH2018_SILAC_2_X,0.5493159150322336,
MV2014_Ratio H/M normalized A2___2 (2 min),,
AS2011_Ratio H/L RNAi_1_2,,
KS2014_Intensity E15_1,0.5822865509345264,
FSO2013_Ratio H/L normalized Rep2,0.5445249088767249,
WZ2023_Pu_005_20min,0.573484529289472,
NJH2024_Sub10_MICT_Post,,
RM2024_Intensity D2-3___1,,
CR2017_Ratio Replicate 1.5,0.532107647192497,
CW2012_10 µM Gef/control Experiment 2 Replicate B,,
HS2024_7_B_T3,0.5159067769360176,
CKC2017_log2 normalized phosphoproteomics_60min_rep#1,,
AS2011_Ratio H/L RNAi_1,,
JC2019_Normalised_intensity_A_TiOx_Testis_sample_URO0059,,
AH2018_LFQ_M_1_C,0.5696903257244331,
NJH2025_Sub7_MICT_Pre,,
SR2019_SKBR3_Biol_repl_2,0.5559392312377643,
HS2024_9_B_T2,0.5452212750063512,
KTGR2014_Ratio-AA 7 mins,,
MV2014_Ratio L/H normalized B3___3 (5 min),,
HS2024_3_PD_T1,0.5401857197940007,
FSO2013_Ratio M/L normalized Rep3___2,,
SR2019_BT549_Biol_repl_3,0.5499129970126319,
RCJD2014_20min_mean,,
FR2021_Norm.Intensity.H,0.5592210397161036,
RB2022_2_PreStrength,,
DB2022_LFQ intensity L1.2,,
HS2024_4_B_N1,0.5504612921267334,
KTGR2014_Ratio H M Normalized Rep2_Rapamycin_0_15,,
CK2022_1 16-1,,
CK2022_1 200-1,0.541792108488952,
PG2020_Intensity Mock_10h_D,0.5496918883299529,
SR2019_MCF10A_Biol_repl_2,0.545849716312015,
JJ2018_Ratio M/L normalized pP2___2,,
HS2024_6_PD_T1,0.5258771052025663,
JVO2010_Ratio M/L Normalized by Protein ThymON - Log2 G1/S,,
RB2022_6_RecoveryEndurance,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3b,,
EP2017_Mitotic R#2 normalized log2 ratio,0.5666908309656097,
RCJD2014_5min_1,,
RM2024_Intensity D4-1___1,,
DL2023_24h-1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-1,0.5517460729199788,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2b,,
TM2022_S2.4h.C,,
SAS2015_PLX/AZD_Exp2,,
CR2017_Ratio Replicate 3.3,0.5736262621035028,
PG2020_Intensity 2h_C,0.537802318643552,
VOI2024_Veh2 di,,
ZX2022_CB treated Replicate 2,0.5414802939655016,
KBE2022_Log2_Ex_8_T,,
NJH2025_Sub10_MICT_Post,,
HS2024_6_I_T3,0.5343025654290974,
RN2012_L11,0.5370863902379949,
AS2011_Ratio H/L Normalized Inhi_2_2,,
IMM2018_normalised rep. int. Empty-1,0.5561469136931955,
HS2024_5_PD_T1,0.5236799454848381,
AH2018_LFQ_M_2_C,0.5645611615003571,
CK2022_3 40-1,0.5403211273305918,
RBK2021_1260T Early,,
NJH2024_Sub4_HIIT_Post,,
HS2024_4_I_T1,0.5596901198332144,
YA2020_Reporter_intensity_Cancer_No.5,,
HH2022_Reporter intensity 8,,
ZQ2022_N2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1b,,
FSO2013_Ratio H/L normalized Rep3___3,,
AH2018_TMTMS3_2_N,0.5419414546689619,
EJN2021_5_Rest_Basal,,
NJH2025_Sub2_HIIT_Post,,
NJH2025_Sub1_MICT_Post,,
HS2024_9_B_T1,0.554895795703872,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1a,,
JAW2011_Ratio H/L LS2_1,,
JVO2010_Log2 Ratio H/M Normalized aphidicolin,,
NJH2024_Sub6_HIIT_Pre,,
AH2018_SILAC_3_N,0.5612892470172633,
YA2020_Reporter_intensity_Normal_No.1,,
HS2024_3_B_T1,0.5553995321769699,
JJ2018_Ratio H/L normalized___2,,
RM2024_Intensity D0-2,,
MV2014_Ratio M/L normalized B1___2 (5 min),,
RB2022_7_PostStrength,,0.3743823665439764
RB2022_1_PostEndurance,,
CR2017_Ratio Replicate 3,0.5054776258096924,
SR2019_Hs578T_Biol_repl_3,0.5618425468330085,
MV2014_Ratio L/H normalized B3___1 (5 min),,
RBK2021_1244T Early,,
RB2022_3_PostSprint,,
NJH2024_Sub13_MICT_Mid,,
KTGR2014_Ratio-AA 2 mins,,
GF2025_P7_Sph,,
HS2024_8_I_T3,0.5566601902887153,
CF2017_EOC 3,0.5552693288547104,
LATM2013_Normalized Log2 Ratio (Medium/Light) Forward,0.5516286222451902,
HS2024_6_PD_T3,0.5375487398866733,
DL2023_12h-2,,
RM2024_Intensity D6-3___1,,
FS2019_Ctr1,,
WZ2023_Pu_010_20min,0.5741543887428149,
AS2011_Ratio H/L_3,,
CK2022_1 40-1,0.5400667946554842,
RNJ2017_Log2_ratio_Tsup:Trest_D1,,
CK2022_8 16-1,,
KS2014_Intensity N3,0.5828363566544491,
RB2022_4_RecoveryEndurance,,
RB2022_5_RecoveryEndurance,,0.4555506707204456
JAW2011_Ratio H/L LS1a_2,,
NJH2024_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_N,0.5615214106591907,
FSO2013_Ratio H/M normalized Rep2,0.5394732813819545,
RAM2015_Log2 A,0.5567867833340953,
HS2024_8_PD_T1,,
JJ2018_Ratio H/L normalized pP2,,
CF2017_OSE 27,0.5554097752016988,
KS2014_Intensity E15_2,0.578912153436805,
BS2014_Log2(Ratio H/L protein),,
PG2020_Intensity 8h_A,0.526030949241045,
HS2024_7_I_T1,0.5148672146764314,
VOI2024_Veh3 di,,
RKK2015_TNF-α+SC-514/basal,,
SR2019_JIMT1_Biol_repl_1,0.5788457491240202,
HW2015_Ratio H/L normalized Exp2,,
HS2024_3_I_N1,0.5433802242504612,
AH2018_SILAC_M_3_X,0.5615332161134289,
NJH2024_Sub9_HIIT_Post,,
AS2011_Ratio H/L RNAi_1_3,,
GRW2016_Ratio H/L normalized SILAC 1___2,,
NJH2025_Sub1_HIIT_Pre,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-2,0.565351090226654,
NJH2024_Sub4_HIIT_Mid,,
VOI2024_0.1uM 2 h_1 di,,
KBE2022_Log2_Ex_6_T,,
RM2024_Intensity D4-3___1,,
AH2018_LFQ_4_X,0.555780781411983,
AS2011_Inhi 2_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,
RB2022_8_PostEndurance,,
NJH2025_Sub4_MICT_Mid,,
YP2020_Intensity C30_R1_mult_log2,,
AST2020_anti-CD3.1,,
NJH2025_Sub4_HIIT_Post,,
EP2017_Untreated R#4 log2 ratio,0.5400048618901138,
HS2024_6_B_N1,0.5385375670763711,
KBE2022_Log2_Ex_27_T,,
CW2012_10 µM Gef/control Experiment 1 Replicate A,,
VOI2024_0.1uM 24 h_1 mono,,
AMK2021_120R_p5,,
AS2011_Ratio H/L Proteins,,
NJH2024_Sub7_HIIT_Post,,
NJH2015_TMT Subject 1 127_N/126 (Exercise/Basal) (normalized),,
AS2011_Ratio H/L RNAi_2_2,,
RB2022_7_RecoveryStrength,,0.49850056137486826
AH2018_SILAC_IT_3_X,0.5407456204945716,
JAW2011_Ratio H/L,,
PG2020_Intensity 10h_C,0.5603541458726411,
FSO2013_Ratio M/L normalized Rep2,0.5373837632344981,
CP2009_Ratio H/M Normalized (50 nM dasatinib vs 5 nM dasatinib),,
HH2022_Reporter intensity 5,0.5418045197595409,
SR2019_HCC1954_Biol_repl_2,0.5516151996474106,
CK2022_14 40-1,0.5403157973847822,
RB2022_6_PreSprint,,0.4899237178894891
NJH2025_Sub12_MICT_Mid,,
PG2020_Intensity 4h_D,0.5514902157720376,
NJH2025_Sub2_MICT_Post,,
AH2018_LFQ_4_C,0.557841553881048,
DL2023_control-1,,
AR2021_ALG 10 μM,,
JAW2011_Ratio H/L LS2_2,,
AH2018_SILAC_IT_3_N,0.565611348873118,
EJN2021_4_Rest_Ins,,
RN2012_H05,0.5433644407706589,
NJH2024_Sub7_HIIT_Mid,,
GF2025_P2_Adh,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4b,,
RB2022_8_PostSprint,,0.46045620719922403
EJN2021_1_Rest_Ins,,
HH2022_Reporter intensity 3,0.5633012765567493,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4b,,
AH2018_SILAC_IT_1_C,0.5646687099152791,
JW2021_After_3,0.5669757816888392,
GF2025_P8_Sph,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4,,
JJ2018_Ratio M/L normalized pP2___1,,
AH2018_SILAC_2_N,0.549342946626915,
CK2022_11 200-1,0.5444253666985605,
CK2022_12 200-1,0.5497074916983343,
AS2011_Ratio H/L Normalized by Protein RNAi_1,,
RM2024_Intensity D2-1___3,,
NJH2024_Sub1_MICT_Pre,,
HH2022_Reporter intensity 9,0.5528598139586451,
WZ2023_Su_010_20min,0.5713536434029854,
AH2018_TMTMS2_2_N,0.5686635145073143,
NJH2024_Sub13_MICT_Pre,,
KBE2022_Log2_Ex_41_U,,
NJH2015_TMT Subject 3 129_N/128_C (Exercise/Basal) (normalized),,
AH2018_TMTMS3_Pool,0.5430450523069256,
KS2014_Intensity N4,0.5842627299041071,0.4575305793713036
NJH2024_Sub1_HIIT_Post,,
MM2018_Ratio H/L replicate2,0.5458824138807636,
RM2024_Intensity D4-2___2,,
NJH2024_Sub13_HIIT_Pre,,
CF2017_OSE 26,0.5558587087054171,
CK2022_14 200-1,0.5401310389802236,
SR2019_Hs578T_Biol_repl_1,0.557117614382325,
RB2022_7_PostSprint,,0.43074296282246416
TM2022_mock.4h.A,,
NJH2025_Sub12_HIIT_Pre,,
AH2018_TMTMS3_1_N,0.5451612366345793,
AST2020_anti-CD3+PDL2.2,,
PG2020_Intensity Mock_10h_A,0.5495504597313012,
JW2021_After_2,0.5770023871797357,
NJH2024_Sub2_MICT_Post,,
EJN2021_2_Rest_Ins,,
SR2019_LM2_Biol_repl_4,0.5427369134897777,
CP2009_Ratio H/M,,
JAW2011_Ratio H/L HS,,
CK2022_13 16-1,,
GF2025_P1_Adh,,
GF2025_P1_Sph,,
EJN2021_5_Ex_Basal,,
HS2024_7_I_T3,0.5359383489457407,
JJ2018_Ratio H/L normalized pP2___2,,
WZ2023_Pe_010_10min,0.5715266494056669,
CF2017_EOC 1,0.5384451084199676,
CK2022_3 200-1,0.541128962830015,
AH2018_LFQ_IT_3_C,0.5497356324757389,
SR2019_Hs578T_Biol_repl_2,0.5554847008650066,
NJH2024_Sub12_HIIT_Post,,
JJ2018_Ratio H/L normalized pP1___2,,
MV2014_Ratio H/L normalized A1___2 (10 min),,
NJH2024_Sub10_MICT_Mid,,
NJH2024_Sub13_MICT_Post,,
BS2014_Log2(Ratio H/L normalized Rep_1),,
RB2022_3_RecoverySprint,,
NJH2025_Sub1_HIIT_Mid,,
RCJD2014_20min_2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2,,
HS2024_6_PD_T2,0.5404634712202206,
HS2024_5_B_T1,,
CW2012_10 µM Gef/control Experiment 2 Replicate A,,
DL2023_12h-3,,
SR2019_MDAMB231_Biol_repl_2,0.5594576356520284,
HS2024_3_B_T2,0.543721293821278,
RB2022_6_PreStrength,,
CK2022_2 40-1,0.5380046399169656,
RB2022_1_PostSprint,,
CK2022_4 200-1,0.5399967770249445,
JW2021_Before_2,0.529389445911213,
TM2022_S2.12h.A,,
MV2014_Ratio L/M normalized B2___2 (30 min),,
CK2022_5 16-1,,
AR2021_ALG 1 μM,,
HS2024_4_B_T1,0.5477277112303419,
MV2014_Ratio M/H normalized A3___1 (10 min),,
SR2019_BT549_Biol_repl_4,0.5517921238110121,
EJN2021_1_Rest_Basal,,
NJH2025_Sub8_MICT_Post,,
RCJD2014_5min_3,,
CR2017_Ratio Replicate 3.2,0.5215147656192619,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as3a,,
GF2025_P7_Adh,,
CK2022_9 16-1,,
NJH2024_Sub6_HIIT_Post,,
AMK2021_30R_p3,,
AS2011_Ratio H/L Normalized RNAi_2,,
RM2024_Intensity D0-2___2,,
KS2014_Intensity pY_N4,0.555742004721072,
CK2022_13 200-1,0.5409261654897876,
AS2011_Ratio H/L Normalized_2,,
PG2020_Intensity 6h_D,0.555793567352943,
CK2022_16 16-1,,
FS2019_db/db3,,
CK2022_15 40-1,0.5407090229219887,
NJH2024_Sub9_MICT_Pre,,
BS2014_Log2(Ratio H/L unmodified peptide),,
WZ2023_Su_005_10min,0.5709990200262007,
RM2009_Ratio M/L (M:15 min timepoint;L:0 min. timepoint),,
KBE2022_Log2_Ex_41_T,,
AMK2021_Ctrl_p1,,
AH2018_LFQ_IT_3_X,0.5491865146329163,
HS2024_5_PD_T3,0.5454479143137491,
AH2018_TMTMS3_3_X,0.5404810403705235,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2,,
KBE2022_Log2_Ex_40_U,,
AH2018_LFQ_M_1_N,0.5688922732258331,
KBE2022_Log2_Ex_27_U,,
HW2015_Ratio M/L normalized Exp3,,
RKK2015_TNF-α/IKKb(K44M),,
AH2018_SILAC_M_1_N,0.5617447675895803,
HW2015_Ratio M/L normalized Exp1,,
RB2022_5_RecoveryStrength,,0.5407020621716382
YP2020_Intensity P10_R1_mult_log2,,
RB2022_7_PreStrength,,0.46774629898441067
YA2020_Reporter_intensity_Normal_No.4,,
NJH2025_Sub13_HIIT_Pre,,
PG2020_Intensity CT_D,0.5533703907451822,
NJH2025_Sub9_MICT_Post,,
VOI2024_Veh1 mono,,
CK2022_12 16-1,,
RN2012_L13,0.5547862515316434,
LG2023_Control-1_intensity,0.5548833550704052,
RM2024_Intensity D6-3___2,,
KBE2022_Log2_Ex_8_U,,
SR2019_SKBR3_Biol_repl_3,0.559698272517872,
NJH2024_Sub1_MICT_Post,,
HS2024_3_I_T2,0.5484900799763526,
KTGR2014_Ratio M L Normalized Rep2_Rapamycin_0_15,,
RM2024_Intensity D0-3___3,,
HS2024_6_I_T2,0.5314592431806049,
CW2012_10 µM Erl/control Experiment 2 Replicate B,,
