DatasetName,NSRP1_S(146) NSRP1_S(214) NSRP1_S(248) NSRP1_S(253) NSRP1_S(254) NSRP1_S(255) NSRP1_S(275) NSRP1_S(291) NSRP1_S(33) NSRP1_S(446) NSRP1_S(457) NSRP1_S(846) NSRP1_T(223) NSRP1_T(275) NSRP1_T(503) NSRP1_Y(103),NSRP1_S(1104) NSRP1_S(27) NSRP1_S(289) NSRP1_S(293) NSRP1_T(1088) NSRP1_T(39) NSRP1_Y(8)
RM2024_Intensity D4-1___3,,
RB2022_4_PostEndurance,,
FSO2013_Ratio M/L normalized Rep3,0.4988359288552828,
SR2019_MCF7_Biol_repl_3,,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),0.4930394254898355,
SR2019_LM2_Biol_repl_1,,
RCJD2014_15min_1,0.49387815957106607,
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,
CK2022_7 16-1,0.4912864084040034,
NJH2025_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_C,,
RKK2015_TNF-α/basal,0.5097231106300263,
JJ2018_Ratio H/M normalized pP2,,
NJH2025_Sub12_MICT_Pre,,
NJH2025_Sub7_MICT_Post,,
DL2023_control-3,0.4938348063388364,
ZX2022_Control Replicate 2,0.48315646854921845,
HS2024_6_B_T3,0.49302242250205475,
JW2015_Intensity pre1,,
IMM2018_normalised rep. int. Empty-3,0.5026311305691256,
AMK2021_30R_p5,,
FSO2013_Ratio M/L normalized Rep1,0.49404306322945746,
SR2019_MDAMB231_Biol_repl_4,,
GF2025_P2_Sph,0.4912123154194139,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,
NJH2025_Sub13_HIIT_Mid,0.4805867057772103,
CP2009_Ratio M/L,,
NJH2025_Sub7_HIIT_Post,,
KBE2022_Log2_Ex_44_T,0.4810448836506369,
DB2022_Intensity L2,,
TM2022_mock.4h.C,,
AST2020_anti-CD3.2,0.48372192715566675,
CW2012_10 µM Erl/control Experiment 1 Replicate B,0.4901476906914808,0.6644807958816056
HS2024_7_B_N1,0.50056334888592,
FSO2013_Ratio M/L normalized Rep1___1,0.49589230286451086,
SAS2015_AZD/DMSO_Exp3,0.49870012271347675,
RM2024_Intensity D0-2___3,,
RM2024_Intensity D6-1,,
RB2022_8_RecoverySprint,,
RB2022_5_PreEndurance,,
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,,
EP2017_Untreated R#4 normalized log2 ratio,0.5060408639733889,0.6261169325475925
WZ2023_Pu_010_30min,0.5209902992017829,0.6456569182865044
AS2011_Ratio H/L Proteins RNAi_2,,
RB2022_4_PreStrength,,
NJH2024_Sub4_MICT_Post,0.4839083485630514,
AH2018_LFQ_M_1_X,,0.6550893921374504
RB2022_8_RecoveryEndurance,,
KBE2022_Log2_Ex_14_U,,
FSO2013_Ratio M/L normalized Rep3___3,0.5029094636380737,
AH2018_TMTMS3_1_C,,
JJ2018_Ratio H/L normalized___1,,
ZQ2022_C2,,
RB2022_5_PreSprint,,
PG2020_Intensity 8h_C,0.4906552681439228,
AH2018_SILAC_MR_2_N,,0.6426409978029992
MV2014_Ratio M/L normalized A1___2 (2 min),,
TM2022_S2.8h.B,,
MV2014_Ratio M/H normalized B3___1 (30 min),0.48396529080355755,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,,
RM2024_Intensity D6-1___2,,
NJH2025_Sub7_MICT_Mid,,
LY2019_P1+,0.48164637670300753,
AS2011_Ratio H/L Proteins Inhi_2,,
BS2014_Log2(Ratio H/L normalized),0.4952646637864378,
UK2020_HCM_2,,
FSO2013_Ratio H/L normalized Rep2___2,,
EP2017_Pervanadate R#3 normalized log2 ratio,0.47610417972497965,0.6797602186407017
RM2024_Intensity D4-3___3,,
RB2022_5_PreStrength,,
NJH2024_Sub4_MICT_Mid,0.484522381740224,
TM2022_S2.4h.A,,
RB2022_5_PostStrength,,
GF2025_P6_Sph,0.49319814261299477,
RB2022_2_PreSprint,,
ZX2022_CB treated Replicate 3,0.48655553173369115,
RM2024_Intensity D6-2___3,,
WZ2023_Pe_025_10min,0.518059233621466,0.6493234075806447
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,
AST2020_anti-CD3+PDL2.1,0.48410463682587856,
KBE2022_Log2_Ex_34_U,0.48117789214864326,
WZ2023_Pu_005_10min,0.5159288038381663,0.6514333116450769
AS2011_Ratio H/L RNAi_2_1,,
NJH2024_Sub9_HIIT_Mid,0.4836030016889682,
CK2022_9 40-1,0.4932924432191772,
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,,
LG2023_GSK3α-1_intensity,,
WZ2023_Pu_025_30min,0.5173789877184194,0.6522777773038041
AH2018_SILAC_MR_2_X,,0.6166506799137474
HS2024_4_PD_T2,0.4902603247602877,
NJH2024_Sub4_HIIT_Pre,0.48395798407469565,
RB2022_2_RecoverySprint,,
AS2011_Ratio H/L Protein RNAi_1,,
RM2024_Intensity D2-1___2,,
CR2017_Ratio Replicate 1.4,0.4759759694079227,
FR2021_Norm.Intensity.B,0.49121160198985586,
RM2024_Intensity D6-2___1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,0.491748340988097,
RB2022_5_PostSprint,,
EJN2021_3_Rest_Basal,,
CR2017_Ratio Replicate 1.3,0.49893773567457483,
AS2011_Ratio H/L Normalized by Protein RNAi_2,,
KTGR2014_Ratio-Rapa 7 mins,0.4943670406739644,
AMK2021_120R_p1,,
AH2018_SILAC_3_X,,
JJ2018_Ratio M/L normalized pP3,,
AH2018_SILAC_M_2_N,,
HS2024_7_PD_T2,0.49735205473891936,
FSO2013_Ratio H/L normalized Rep1___1,0.497213821447264,
AH2018_LFQ_1_C,,
AS2011_Ratio H/L Normalized Inhi_1_3,,
KBE2022_Log2_Ex_28_T,,
HS2024_3_B_N1,0.5028033809455442,
RM2024_Intensity D4-2___3,,
WZ2023_Pe_025_30min,0.5201439723272945,0.6489254006641593
CK2022_11 40-1,0.4926668715605614,
CW2012_10 µM Erl/control Experiment 3 Replicate B,0.4951427767118095,
AH2018_SILAC_2_X,,
MV2014_Ratio H/M normalized A2___2 (2 min),,
AS2011_Ratio H/L RNAi_1_2,,
KS2014_Intensity E15_1,0.489136637474716,
FSO2013_Ratio H/L normalized Rep2,0.4935549614182796,
WZ2023_Pu_005_20min,0.5204047574418942,0.6450117940346181
NJH2024_Sub10_MICT_Post,0.4815779383675878,
RM2024_Intensity D2-3___1,,
CR2017_Ratio Replicate 1.5,0.49763350201336504,
CW2012_10 µM Gef/control Experiment 2 Replicate B,0.4877564290829985,0.6668269580403487
HS2024_7_B_T3,0.4779197139870145,
CKC2017_log2 normalized phosphoproteomics_60min_rep#1,,
AS2011_Ratio H/L RNAi_1,,
JC2019_Normalised_intensity_A_TiOx_Testis_sample_URO0059,,
AH2018_LFQ_M_1_C,,0.6703689418629984
NJH2025_Sub7_MICT_Pre,,
SR2019_SKBR3_Biol_repl_2,,
HS2024_9_B_T2,0.4783286712911781,
KTGR2014_Ratio-AA 7 mins,0.496439948942705,
MV2014_Ratio L/H normalized B3___3 (5 min),,
HS2024_3_PD_T1,0.4526042940854325,
FSO2013_Ratio M/L normalized Rep3___2,,
SR2019_BT549_Biol_repl_3,,
RCJD2014_20min_mean,0.48936235618673796,
FR2021_Norm.Intensity.H,0.48320623466578116,
RB2022_2_PreStrength,,
DB2022_LFQ intensity L1.2,,
HS2024_4_B_N1,0.4796971644245217,
KTGR2014_Ratio H M Normalized Rep2_Rapamycin_0_15,,
CK2022_1 16-1,0.4935430284239301,
CK2022_1 200-1,0.4945501725013916,
PG2020_Intensity Mock_10h_D,0.4942328760628064,
SR2019_MCF10A_Biol_repl_2,,
JJ2018_Ratio M/L normalized pP2___2,,
HS2024_6_PD_T1,0.475609583694839,
JVO2010_Ratio M/L Normalized by Protein ThymON - Log2 G1/S,0.48122280471435985,0.6546987091963058
RB2022_6_RecoveryEndurance,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3b,,
EP2017_Mitotic R#2 normalized log2 ratio,0.4721183179470226,0.6366617325994243
RCJD2014_5min_1,0.48728515421806007,
RM2024_Intensity D4-1___1,,
DL2023_24h-1,0.49125110828525187,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-1,0.49472987503000665,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2b,,
TM2022_S2.4h.C,,
SAS2015_PLX/AZD_Exp2,0.5085800958684158,
CR2017_Ratio Replicate 3.3,0.5072640749792772,
PG2020_Intensity 2h_C,0.49492309994029865,
VOI2024_Veh2 di,,
ZX2022_CB treated Replicate 2,0.4815007479898683,
KBE2022_Log2_Ex_8_T,,
NJH2025_Sub10_MICT_Post,0.4815779383675878,
HS2024_6_I_T3,0.4535337887907144,
RN2012_L11,0.47773436948263615,
AS2011_Ratio H/L Normalized Inhi_2_2,,
IMM2018_normalised rep. int. Empty-1,0.5030000525927656,
HS2024_5_PD_T1,0.44943384104745815,
AH2018_LFQ_M_2_C,,0.6557652436400858
CK2022_3 40-1,0.49586929655495515,
RBK2021_1260T Early,,
NJH2024_Sub4_HIIT_Post,0.48269878748704126,
HS2024_4_I_T1,0.5199985370054506,
YA2020_Reporter_intensity_Cancer_No.5,,
HH2022_Reporter intensity 8,,
ZQ2022_N2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1b,,
FSO2013_Ratio H/L normalized Rep3___3,,
AH2018_TMTMS3_2_N,,
EJN2021_5_Rest_Basal,,
NJH2025_Sub2_HIIT_Post,0.4804200087766908,
NJH2025_Sub1_MICT_Post,,
HS2024_9_B_T1,0.47640010136065825,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1a,,
JAW2011_Ratio H/L LS2_1,,
JVO2010_Log2 Ratio H/M Normalized aphidicolin,,
NJH2024_Sub6_HIIT_Pre,0.48379335791079525,
AH2018_SILAC_3_N,,
YA2020_Reporter_intensity_Normal_No.1,,
HS2024_3_B_T1,0.47817085015439426,
JJ2018_Ratio H/L normalized___2,,
RM2024_Intensity D0-2,,
MV2014_Ratio M/L normalized B1___2 (5 min),,
RB2022_7_PostStrength,,
RB2022_1_PostEndurance,,
CR2017_Ratio Replicate 3,0.48940866108063047,
SR2019_Hs578T_Biol_repl_3,,
MV2014_Ratio L/H normalized B3___1 (5 min),0.4786581180409957,
RBK2021_1244T Early,,
RB2022_3_PostSprint,,
NJH2024_Sub13_MICT_Mid,0.48572673562623336,
KTGR2014_Ratio-AA 2 mins,0.5069219476376223,
GF2025_P7_Sph,0.4912740618948214,
HS2024_8_I_T3,0.4649552262688077,
CF2017_EOC 3,0.49367936093559084,
LATM2013_Normalized Log2 Ratio (Medium/Light) Forward,,
HS2024_6_PD_T3,0.4729862347452572,
DL2023_12h-2,0.4931302799799483,
RM2024_Intensity D6-3___1,,
FS2019_Ctr1,,
WZ2023_Pu_010_20min,0.518646226907195,0.6513813712231148
AS2011_Ratio H/L_3,,
CK2022_1 40-1,0.4959871312499112,
RNJ2017_Log2_ratio_Tsup:Trest_D1,,
CK2022_8 16-1,0.4931354016600269,
KS2014_Intensity N3,0.49718418757888094,
RB2022_4_RecoveryEndurance,,
RB2022_5_RecoveryEndurance,,
JAW2011_Ratio H/L LS1a_2,,
NJH2024_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_N,,
FSO2013_Ratio H/M normalized Rep2,0.4817427982917818,
RAM2015_Log2 A,0.4966974476640251,
HS2024_8_PD_T1,0.4849155726189394,
JJ2018_Ratio H/L normalized pP2,,
CF2017_OSE 27,0.4849580300761748,
KS2014_Intensity E15_2,0.4819850942934375,
BS2014_Log2(Ratio H/L protein),,
PG2020_Intensity 8h_A,0.490600068800752,
HS2024_7_I_T1,0.48097387314075,
VOI2024_Veh3 di,,
RKK2015_TNF-α+SC-514/basal,0.49232849475393947,
SR2019_JIMT1_Biol_repl_1,0.4829261220048074,
HW2015_Ratio H/L normalized Exp2,,
HS2024_3_I_N1,0.5131858718041015,
AH2018_SILAC_M_3_X,,
NJH2024_Sub9_HIIT_Post,0.48368563963182837,
AS2011_Ratio H/L RNAi_1_3,,
GRW2016_Ratio H/L normalized SILAC 1___2,,
NJH2025_Sub1_HIIT_Pre,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-2,0.4910393520273972,
NJH2024_Sub4_HIIT_Mid,0.4789070178468504,
VOI2024_0.1uM 2 h_1 di,,
KBE2022_Log2_Ex_6_T,,
RM2024_Intensity D4-3___1,,
AH2018_LFQ_4_X,,0.6555679402476912
AS2011_Inhi 2_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,
RB2022_8_PostEndurance,,
NJH2025_Sub4_MICT_Mid,0.484522381740224,
YP2020_Intensity C30_R1_mult_log2,0.49778361689456707,
AST2020_anti-CD3.1,0.4841916670755376,
NJH2025_Sub4_HIIT_Post,0.48269878748704126,
EP2017_Untreated R#4 log2 ratio,0.5090754920955325,0.6274685226823621
HS2024_6_B_N1,0.5103689381412764,
KBE2022_Log2_Ex_27_T,,
CW2012_10 µM Gef/control Experiment 1 Replicate A,0.4918857705157158,0.6588613091976709
VOI2024_0.1uM 24 h_1 mono,,
AMK2021_120R_p5,,
AS2011_Ratio H/L Proteins,,
NJH2024_Sub7_HIIT_Post,,
NJH2015_TMT Subject 1 127_N/126 (Exercise/Basal) (normalized),,
AS2011_Ratio H/L RNAi_2_2,,
RB2022_7_RecoveryStrength,,
AH2018_SILAC_IT_3_X,,
JAW2011_Ratio H/L,,
PG2020_Intensity 10h_C,0.473952202885114,
FSO2013_Ratio M/L normalized Rep2,0.4963241226628216,
CP2009_Ratio H/M Normalized (50 nM dasatinib vs 5 nM dasatinib),,
HH2022_Reporter intensity 5,,
SR2019_HCC1954_Biol_repl_2,,
CK2022_14 40-1,0.49110883863307064,
RB2022_6_PreSprint,,
NJH2025_Sub12_MICT_Mid,,
PG2020_Intensity 4h_D,0.4717217959176527,
NJH2025_Sub2_MICT_Post,0.4864966306342693,
AH2018_LFQ_4_C,,0.6759602960902197
DL2023_control-1,0.4944134751544376,
AR2021_ALG 10 μM,0.4966751277859467,
JAW2011_Ratio H/L LS2_2,,
AH2018_SILAC_IT_3_N,,
EJN2021_4_Rest_Ins,,
RN2012_H05,0.5035212966869093,
NJH2024_Sub7_HIIT_Mid,,
GF2025_P2_Adh,0.4948159746228442,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4b,,
RB2022_8_PostSprint,,
EJN2021_1_Rest_Ins,,
HH2022_Reporter intensity 3,0.4903978082453968,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4b,,
AH2018_SILAC_IT_1_C,,
JW2021_After_3,,
GF2025_P8_Sph,0.4870836993696236,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4,,
JJ2018_Ratio M/L normalized pP2___1,,
AH2018_SILAC_2_N,,
CK2022_11 200-1,0.4917420829987294,
CK2022_12 200-1,0.4852066632392277,
AS2011_Ratio H/L Normalized by Protein RNAi_1,,
RM2024_Intensity D2-1___3,,
NJH2024_Sub1_MICT_Pre,,
HH2022_Reporter intensity 9,0.4901125290910011,
WZ2023_Su_010_20min,0.5203129540729785,0.6464595333233937
AH2018_TMTMS2_2_N,,
NJH2024_Sub13_MICT_Pre,0.4860735934666378,
KBE2022_Log2_Ex_41_U,0.482050941848555,
NJH2015_TMT Subject 3 129_N/128_C (Exercise/Basal) (normalized),,
AH2018_TMTMS3_Pool,0.47159116168387377,
KS2014_Intensity N4,0.49194974713800643,
NJH2024_Sub1_HIIT_Post,,
MM2018_Ratio H/L replicate2,,
RM2024_Intensity D4-2___2,,
NJH2024_Sub13_HIIT_Pre,0.48533401460337594,
CF2017_OSE 26,0.5017666745502767,
CK2022_14 200-1,0.4801897523631756,
SR2019_Hs578T_Biol_repl_1,,
RB2022_7_PostSprint,,
TM2022_mock.4h.A,,
NJH2025_Sub12_HIIT_Pre,,
AH2018_TMTMS3_1_N,,
AST2020_anti-CD3+PDL2.2,0.483292158135244,
PG2020_Intensity Mock_10h_A,0.48463474527312245,
JW2021_After_2,,
NJH2024_Sub2_MICT_Post,0.4864966306342693,
EJN2021_2_Rest_Ins,,
SR2019_LM2_Biol_repl_4,,
CP2009_Ratio H/M,,
JAW2011_Ratio H/L HS,,
CK2022_13 16-1,0.48384977533459905,
GF2025_P1_Adh,0.48802364312882857,
GF2025_P1_Sph,0.4952326559482523,
EJN2021_5_Ex_Basal,,
HS2024_7_I_T3,0.4879748273143061,
JJ2018_Ratio H/L normalized pP2___2,,
WZ2023_Pe_010_10min,0.5192078830541325,0.65322326514595
CF2017_EOC 1,0.49778688484748274,
CK2022_3 200-1,0.4950353777619993,
AH2018_LFQ_IT_3_C,,
SR2019_Hs578T_Biol_repl_2,,
NJH2024_Sub12_HIIT_Post,,
JJ2018_Ratio H/L normalized pP1___2,,
MV2014_Ratio H/L normalized A1___2 (10 min),,
NJH2024_Sub10_MICT_Mid,0.48503405892174645,
NJH2024_Sub13_MICT_Post,0.48427649744487966,
BS2014_Log2(Ratio H/L normalized Rep_1),0.4982815274311875,
RB2022_3_RecoverySprint,,
NJH2025_Sub1_HIIT_Mid,,
RCJD2014_20min_2,0.5107907085858945,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2,,
HS2024_6_PD_T2,0.4795844479666743,
HS2024_5_B_T1,0.4962727102082541,
CW2012_10 µM Gef/control Experiment 2 Replicate A,0.49361321942961955,0.6197108016816805
DL2023_12h-3,0.5013576966168867,
SR2019_MDAMB231_Biol_repl_2,,
HS2024_3_B_T2,0.49985422004858904,
RB2022_6_PreStrength,,
CK2022_2 40-1,0.49528001022266327,
RB2022_1_PostSprint,,
CK2022_4 200-1,0.49321291100048736,
JW2021_Before_2,,
TM2022_S2.12h.A,,
MV2014_Ratio L/M normalized B2___2 (30 min),,
CK2022_5 16-1,0.49036360662942124,
AR2021_ALG 1 μM,0.4924060883754967,
HS2024_4_B_T1,0.48651275508207603,
MV2014_Ratio M/H normalized A3___1 (10 min),0.47986150906130376,
SR2019_BT549_Biol_repl_4,,
EJN2021_1_Rest_Basal,,
NJH2025_Sub8_MICT_Post,0.4839398700190986,
RCJD2014_5min_3,0.49191624395786654,
CR2017_Ratio Replicate 3.2,0.5013753408610654,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as3a,,
GF2025_P7_Adh,0.5017907955649554,
CK2022_9 16-1,0.490289655621058,
NJH2024_Sub6_HIIT_Post,0.4855009253607688,
AMK2021_30R_p3,,
AS2011_Ratio H/L Normalized RNAi_2,,
RM2024_Intensity D0-2___2,,
KS2014_Intensity pY_N4,,
CK2022_13 200-1,0.4811449430638514,
AS2011_Ratio H/L Normalized_2,,
PG2020_Intensity 6h_D,0.4756280135768169,
CK2022_16 16-1,0.48170265992567596,
FS2019_db/db3,,
CK2022_15 40-1,0.49111855669626636,
NJH2024_Sub9_MICT_Pre,0.4842950144860649,
BS2014_Log2(Ratio H/L unmodified peptide),,
WZ2023_Su_005_10min,0.5217756151912458,0.6447813961180955
RM2009_Ratio M/L (M:15 min timepoint;L:0 min. timepoint),,
KBE2022_Log2_Ex_41_T,0.4823865088396695,
AMK2021_Ctrl_p1,,
AH2018_LFQ_IT_3_X,,
HS2024_5_PD_T3,0.4918128886357328,
AH2018_TMTMS3_3_X,0.47850277272162756,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2,,
KBE2022_Log2_Ex_40_U,,
