DatasetName,INTS12_S(119) INTS12_S(127) INTS12_S(128) INTS12_S(375) INTS12_S(378) INTS12_T(125) INTS12_T(355),INTS12_S(379) INTS12_S(389) INTS12_S(427) INTS12_S(429) INTS12_S(437)
RM2024_Intensity D4-1___3,,
RB2022_4_PostEndurance,,
FSO2013_Ratio M/L normalized Rep3,0.5604936675569462,
SR2019_MCF7_Biol_repl_3,,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),0.5598026489517062,0.406073534936976
SR2019_LM2_Biol_repl_1,,
RCJD2014_15min_1,0.5273352376060055,
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,
CK2022_7 16-1,0.5475952963456924,
NJH2025_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_C,0.5687241376808265,
RKK2015_TNF-α/basal,0.5780298688455485,0.4011237212792077
JJ2018_Ratio H/M normalized pP2,,
NJH2025_Sub12_MICT_Pre,,
NJH2025_Sub7_MICT_Post,,
DL2023_control-3,,
ZX2022_Control Replicate 2,0.5613926029666609,
HS2024_6_B_T3,0.5701540872977927,
JW2015_Intensity pre1,,
IMM2018_normalised rep. int. Empty-3,,
AMK2021_30R_p5,,
FSO2013_Ratio M/L normalized Rep1,0.5630527966802775,
SR2019_MDAMB231_Biol_repl_4,,
GF2025_P2_Sph,0.5702616426019028,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,
NJH2025_Sub13_HIIT_Mid,,
CP2009_Ratio M/L,,
NJH2025_Sub7_HIIT_Post,,
KBE2022_Log2_Ex_44_T,0.5725701900094206,
DB2022_Intensity L2,,
TM2022_mock.4h.C,,
AST2020_anti-CD3.2,0.5613827656563546,
CW2012_10 µM Erl/control Experiment 1 Replicate B,,
HS2024_7_B_N1,0.5691231644251358,0.4286862454559371
FSO2013_Ratio M/L normalized Rep1___1,0.5631272207772579,
SAS2015_AZD/DMSO_Exp3,,
RM2024_Intensity D0-2___3,,
RM2024_Intensity D6-1,,
RB2022_8_RecoverySprint,,
RB2022_5_PreEndurance,,
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,,
EP2017_Untreated R#4 normalized log2 ratio,,
WZ2023_Pu_010_30min,0.5655800358105749,0.4310941563829672
AS2011_Ratio H/L Proteins RNAi_2,,
RB2022_4_PreStrength,,
NJH2024_Sub4_MICT_Post,,
AH2018_LFQ_M_1_X,0.5765696162134841,
RB2022_8_RecoveryEndurance,,
KBE2022_Log2_Ex_14_U,0.5707325794430174,
FSO2013_Ratio M/L normalized Rep3___3,,
AH2018_TMTMS3_1_C,0.5720271546056948,0.4667242878013777
JJ2018_Ratio H/L normalized___1,,
ZQ2022_C2,,
RB2022_5_PreSprint,,
PG2020_Intensity 8h_C,0.5138293499169474,
AH2018_SILAC_MR_2_N,,
MV2014_Ratio M/L normalized A1___2 (2 min),,
TM2022_S2.8h.B,,
MV2014_Ratio M/H normalized B3___1 (30 min),,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,,
RM2024_Intensity D6-1___2,,
NJH2025_Sub7_MICT_Mid,,
LY2019_P1+,0.5630171883271695,
AS2011_Ratio H/L Proteins Inhi_2,,
BS2014_Log2(Ratio H/L normalized),,
UK2020_HCM_2,,
FSO2013_Ratio H/L normalized Rep2___2,,
EP2017_Pervanadate R#3 normalized log2 ratio,,
RM2024_Intensity D4-3___3,,
RB2022_5_PreStrength,,
NJH2024_Sub4_MICT_Mid,,
TM2022_S2.4h.A,,
RB2022_5_PostStrength,,
GF2025_P6_Sph,0.5804321268371159,
RB2022_2_PreSprint,,
ZX2022_CB treated Replicate 3,0.5629561982629993,
RM2024_Intensity D6-2___3,,
WZ2023_Pe_025_10min,0.5656290961889263,0.45414121625889603
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,
AST2020_anti-CD3+PDL2.1,0.5611863943938337,
KBE2022_Log2_Ex_34_U,0.5823507919368206,
WZ2023_Pu_005_10min,0.5642139058041317,0.43382473433961294
AS2011_Ratio H/L RNAi_2_1,,
NJH2024_Sub9_HIIT_Mid,,
CK2022_9 40-1,0.567025698120639,
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,,
LG2023_GSK3α-1_intensity,,
WZ2023_Pu_025_30min,0.5646258031408168,0.4289169997512127
AH2018_SILAC_MR_2_X,,
HS2024_4_PD_T2,0.562443536255242,0.4504381302073024
NJH2024_Sub4_HIIT_Pre,,
RB2022_2_RecoverySprint,,
AS2011_Ratio H/L Protein RNAi_1,,
RM2024_Intensity D2-1___2,,
CR2017_Ratio Replicate 1.4,0.5674802566576554,
FR2021_Norm.Intensity.B,0.5656263656718921,
RM2024_Intensity D6-2___1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,,
RB2022_5_PostSprint,,
EJN2021_3_Rest_Basal,,
CR2017_Ratio Replicate 1.3,0.5714923836380947,
AS2011_Ratio H/L Normalized by Protein RNAi_2,,
KTGR2014_Ratio-Rapa 7 mins,,
AMK2021_120R_p1,,
AH2018_SILAC_3_X,,
JJ2018_Ratio M/L normalized pP3,,
AH2018_SILAC_M_2_N,0.560935377046686,
HS2024_7_PD_T2,0.5573773971769065,
FSO2013_Ratio H/L normalized Rep1___1,0.5582439439251868,
AH2018_LFQ_1_C,0.5735200400544083,
AS2011_Ratio H/L Normalized Inhi_1_3,,
KBE2022_Log2_Ex_28_T,0.5735866645831834,
HS2024_3_B_N1,0.5503639265974444,
RM2024_Intensity D4-2___3,,
WZ2023_Pe_025_30min,0.5656708118826309,0.4294189098542027
CK2022_11 40-1,0.5682921309078345,
CW2012_10 µM Erl/control Experiment 3 Replicate B,,
AH2018_SILAC_2_X,,
MV2014_Ratio H/M normalized A2___2 (2 min),,
AS2011_Ratio H/L RNAi_1_2,,
KS2014_Intensity E15_1,0.5677033509436832,
FSO2013_Ratio H/L normalized Rep2,0.5571328941404118,
WZ2023_Pu_005_20min,0.567160182907775,0.42850007084005937
NJH2024_Sub10_MICT_Post,,
RM2024_Intensity D2-3___1,,
CR2017_Ratio Replicate 1.5,0.562521026581255,
CW2012_10 µM Gef/control Experiment 2 Replicate B,,
HS2024_7_B_T3,0.5743272477610438,
CKC2017_log2 normalized phosphoproteomics_60min_rep#1,,
AS2011_Ratio H/L RNAi_1,,
JC2019_Normalised_intensity_A_TiOx_Testis_sample_URO0059,,
AH2018_LFQ_M_1_C,0.5766599191477698,
NJH2025_Sub7_MICT_Pre,,
SR2019_SKBR3_Biol_repl_2,,
HS2024_9_B_T2,0.5502829193559335,
KTGR2014_Ratio-AA 7 mins,,
MV2014_Ratio L/H normalized B3___3 (5 min),,
HS2024_3_PD_T1,0.5717416404978481,
FSO2013_Ratio M/L normalized Rep3___2,,
SR2019_BT549_Biol_repl_3,,
RCJD2014_20min_mean,0.5664512875062281,
FR2021_Norm.Intensity.H,,
RB2022_2_PreStrength,,
DB2022_LFQ intensity L1.2,,
HS2024_4_B_N1,0.5667208106513953,0.46061673333936726
KTGR2014_Ratio H M Normalized Rep2_Rapamycin_0_15,,
CK2022_1 16-1,0.5524857683633145,
CK2022_1 200-1,0.5767314755829543,0.4348753412135412
PG2020_Intensity Mock_10h_D,0.5512336077606572,
SR2019_MCF10A_Biol_repl_2,,
JJ2018_Ratio M/L normalized pP2___2,,
HS2024_6_PD_T1,0.5931113651372989,
JVO2010_Ratio M/L Normalized by Protein ThymON - Log2 G1/S,,
RB2022_6_RecoveryEndurance,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3b,,
EP2017_Mitotic R#2 normalized log2 ratio,,
RCJD2014_5min_1,0.5502895438693066,
RM2024_Intensity D4-1___1,,
DL2023_24h-1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2b,,
TM2022_S2.4h.C,,
SAS2015_PLX/AZD_Exp2,,
CR2017_Ratio Replicate 3.3,0.5955559816776901,
PG2020_Intensity 2h_C,0.5395364727159616,
VOI2024_Veh2 di,,
ZX2022_CB treated Replicate 2,0.5605392237946861,
KBE2022_Log2_Ex_8_T,0.5740316436805282,
NJH2025_Sub10_MICT_Post,,
HS2024_6_I_T3,0.5878506620468735,
RN2012_L11,0.5588111852880431,
AS2011_Ratio H/L Normalized Inhi_2_2,,
IMM2018_normalised rep. int. Empty-1,,
HS2024_5_PD_T1,0.6018411796539914,
AH2018_LFQ_M_2_C,0.5744975850168005,
CK2022_3 40-1,0.5671373221052994,
RBK2021_1260T Early,,
NJH2024_Sub4_HIIT_Post,,
HS2024_4_I_T1,0.5642772894827769,
YA2020_Reporter_intensity_Cancer_No.5,0.5828323580124712,
HH2022_Reporter intensity 8,0.5578918143697312,
ZQ2022_N2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1b,,
FSO2013_Ratio H/L normalized Rep3___3,,
AH2018_TMTMS3_2_N,0.5637606399136148,0.4054418563194385
EJN2021_5_Rest_Basal,,
NJH2025_Sub2_HIIT_Post,,
NJH2025_Sub1_MICT_Post,,
HS2024_9_B_T1,0.5489371630709226,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1a,,
JAW2011_Ratio H/L LS2_1,,
JVO2010_Log2 Ratio H/M Normalized aphidicolin,,
NJH2024_Sub6_HIIT_Pre,,
AH2018_SILAC_3_N,,
YA2020_Reporter_intensity_Normal_No.1,0.5818226841570471,
HS2024_3_B_T1,0.5761608805106767,
JJ2018_Ratio H/L normalized___2,,
RM2024_Intensity D0-2,,
MV2014_Ratio M/L normalized B1___2 (5 min),,
RB2022_7_PostStrength,,
RB2022_1_PostEndurance,,
CR2017_Ratio Replicate 3,0.5668570626787249,
SR2019_Hs578T_Biol_repl_3,,
MV2014_Ratio L/H normalized B3___1 (5 min),,
RBK2021_1244T Early,,
RB2022_3_PostSprint,,
NJH2024_Sub13_MICT_Mid,,
KTGR2014_Ratio-AA 2 mins,,
GF2025_P7_Sph,0.5721455704201622,
HS2024_8_I_T3,0.5729874259069412,
CF2017_EOC 3,,
LATM2013_Normalized Log2 Ratio (Medium/Light) Forward,,
HS2024_6_PD_T3,0.57088791034919,
DL2023_12h-2,,
RM2024_Intensity D6-3___1,,
FS2019_Ctr1,,
WZ2023_Pu_010_20min,0.5635039165743108,0.4220125568204326
AS2011_Ratio H/L_3,,
CK2022_1 40-1,0.5681245091195298,
RNJ2017_Log2_ratio_Tsup:Trest_D1,,
CK2022_8 16-1,0.5463687670433298,
KS2014_Intensity N3,0.5864699839625392,
RB2022_4_RecoveryEndurance,,
RB2022_5_RecoveryEndurance,,
JAW2011_Ratio H/L LS1a_2,,
NJH2024_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_N,0.5701488973063278,
FSO2013_Ratio H/M normalized Rep2,0.5547055812924068,
RAM2015_Log2 A,0.5542064345594184,
HS2024_8_PD_T1,0.5801674941990951,
JJ2018_Ratio H/L normalized pP2,,
CF2017_OSE 27,,
KS2014_Intensity E15_2,0.5638575965473744,
BS2014_Log2(Ratio H/L protein),,
PG2020_Intensity 8h_A,,
HS2024_7_I_T1,0.56405620980139,
VOI2024_Veh3 di,,
RKK2015_TNF-α+SC-514/basal,0.5608032207945165,0.4146479705457362
SR2019_JIMT1_Biol_repl_1,,
HW2015_Ratio H/L normalized Exp2,,
HS2024_3_I_N1,0.5587676623598246,
AH2018_SILAC_M_3_X,0.5590103890765138,
NJH2024_Sub9_HIIT_Post,,
AS2011_Ratio H/L RNAi_1_3,,
GRW2016_Ratio H/L normalized SILAC 1___2,,
NJH2025_Sub1_HIIT_Pre,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-2,,
NJH2024_Sub4_HIIT_Mid,,
VOI2024_0.1uM 2 h_1 di,,
KBE2022_Log2_Ex_6_T,0.5745504442916608,
RM2024_Intensity D4-3___1,,
AH2018_LFQ_4_X,0.5607862403168992,
AS2011_Inhi 2_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,
RB2022_8_PostEndurance,,
NJH2025_Sub4_MICT_Mid,,
YP2020_Intensity C30_R1_mult_log2,,
AST2020_anti-CD3.1,0.5607830237289183,
NJH2025_Sub4_HIIT_Post,,
EP2017_Untreated R#4 log2 ratio,,
HS2024_6_B_N1,0.5587246923841116,
KBE2022_Log2_Ex_27_T,0.5781572102684507,
CW2012_10 µM Gef/control Experiment 1 Replicate A,,
VOI2024_0.1uM 24 h_1 mono,,
AMK2021_120R_p5,,
AS2011_Ratio H/L Proteins,,
NJH2024_Sub7_HIIT_Post,,
NJH2015_TMT Subject 1 127_N/126 (Exercise/Basal) (normalized),,
AS2011_Ratio H/L RNAi_2_2,,
RB2022_7_RecoveryStrength,,
AH2018_SILAC_IT_3_X,,
JAW2011_Ratio H/L,,
PG2020_Intensity 10h_C,,
FSO2013_Ratio M/L normalized Rep2,0.5563816231363043,
CP2009_Ratio H/M Normalized (50 nM dasatinib vs 5 nM dasatinib),,
HH2022_Reporter intensity 5,0.562989535556374,
SR2019_HCC1954_Biol_repl_2,,
CK2022_14 40-1,0.573028991224305,
RB2022_6_PreSprint,,
NJH2025_Sub12_MICT_Mid,,
PG2020_Intensity 4h_D,0.5461374554989895,
NJH2025_Sub2_MICT_Post,,
AH2018_LFQ_4_C,0.5647773269029636,
DL2023_control-1,,
AR2021_ALG 10 μM,0.5304232610175897,
JAW2011_Ratio H/L LS2_2,,
AH2018_SILAC_IT_3_N,,
EJN2021_4_Rest_Ins,,
RN2012_H05,0.561114411355765,
NJH2024_Sub7_HIIT_Mid,,
GF2025_P2_Adh,0.566326900126312,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4b,,
RB2022_8_PostSprint,,
EJN2021_1_Rest_Ins,,
HH2022_Reporter intensity 3,0.5812152779985773,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4b,,
AH2018_SILAC_IT_1_C,,
JW2021_After_3,,
GF2025_P8_Sph,0.5943353460661264,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4,,
JJ2018_Ratio M/L normalized pP2___1,,
AH2018_SILAC_2_N,,
CK2022_11 200-1,0.5796791787389367,0.4431715546986328
CK2022_12 200-1,0.5828420978642329,0.44399420544622714
AS2011_Ratio H/L Normalized by Protein RNAi_1,,
RM2024_Intensity D2-1___3,,
NJH2024_Sub1_MICT_Pre,,
HH2022_Reporter intensity 9,0.5475645016917078,
WZ2023_Su_010_20min,0.5645886368456349,0.42612057824667976
AH2018_TMTMS2_2_N,0.5734979724415058,0.4737907575021283
NJH2024_Sub13_MICT_Pre,,
KBE2022_Log2_Ex_41_U,0.5782383093102392,
NJH2015_TMT Subject 3 129_N/128_C (Exercise/Basal) (normalized),,
AH2018_TMTMS3_Pool,0.5638648099443447,0.3949523824225688
KS2014_Intensity N4,0.5849518632821757,
NJH2024_Sub1_HIIT_Post,,
MM2018_Ratio H/L replicate2,,
RM2024_Intensity D4-2___2,,
NJH2024_Sub13_HIIT_Pre,,
CF2017_OSE 26,,
CK2022_14 200-1,0.58854914573281,0.4307733465470097
SR2019_Hs578T_Biol_repl_1,,
RB2022_7_PostSprint,,
TM2022_mock.4h.A,,
NJH2025_Sub12_HIIT_Pre,,
AH2018_TMTMS3_1_N,0.5640929837988444,0.39985214721878987
AST2020_anti-CD3+PDL2.2,0.5615371213726191,
PG2020_Intensity Mock_10h_A,0.5383318673406794,
JW2021_After_2,,
NJH2024_Sub2_MICT_Post,,
EJN2021_2_Rest_Ins,,
SR2019_LM2_Biol_repl_4,,
CP2009_Ratio H/M,,
JAW2011_Ratio H/L HS,,
CK2022_13 16-1,0.5673462071974229,
GF2025_P1_Adh,0.5493792441134863,
GF2025_P1_Sph,0.5674414762242107,
EJN2021_5_Ex_Basal,,
HS2024_7_I_T3,0.564106221463727,
JJ2018_Ratio H/L normalized pP2___2,,
WZ2023_Pe_010_10min,0.5654100746076963,0.43718927879001335
CF2017_EOC 1,,
CK2022_3 200-1,0.5759366839305312,0.4332365229951919
AH2018_LFQ_IT_3_C,,
SR2019_Hs578T_Biol_repl_2,,
NJH2024_Sub12_HIIT_Post,,
JJ2018_Ratio H/L normalized pP1___2,,
MV2014_Ratio H/L normalized A1___2 (10 min),,
NJH2024_Sub10_MICT_Mid,,
NJH2024_Sub13_MICT_Post,,
BS2014_Log2(Ratio H/L normalized Rep_1),,
RB2022_3_RecoverySprint,,
NJH2025_Sub1_HIIT_Mid,,
RCJD2014_20min_2,0.592728399317678,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2,,
HS2024_6_PD_T2,0.5726188753237843,
HS2024_5_B_T1,0.5501648356733876,
CW2012_10 µM Gef/control Experiment 2 Replicate A,,
DL2023_12h-3,,
SR2019_MDAMB231_Biol_repl_2,,
HS2024_3_B_T2,0.5657153205082232,
RB2022_6_PreStrength,,
CK2022_2 40-1,0.5685094644524494,
RB2022_1_PostSprint,,
CK2022_4 200-1,0.5752731950248144,0.43588893743596896
JW2021_Before_2,,
TM2022_S2.12h.A,,
MV2014_Ratio L/M normalized B2___2 (30 min),,
CK2022_5 16-1,0.5455811470544576,
AR2021_ALG 1 μM,0.5345675282979664,
HS2024_4_B_T1,0.5712233700385195,
MV2014_Ratio M/H normalized A3___1 (10 min),,
SR2019_BT549_Biol_repl_4,,
EJN2021_1_Rest_Basal,,
NJH2025_Sub8_MICT_Post,,
RCJD2014_5min_3,0.5387979608269131,
CR2017_Ratio Replicate 3.2,0.5653213883667446,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as3a,,
GF2025_P7_Adh,0.5370451904754081,
CK2022_9 16-1,0.5532107459719231,
NJH2024_Sub6_HIIT_Post,,
AMK2021_30R_p3,,
AS2011_Ratio H/L Normalized RNAi_2,,
RM2024_Intensity D0-2___2,,
KS2014_Intensity pY_N4,,
CK2022_13 200-1,0.5886672676750937,0.42759775878104167
AS2011_Ratio H/L Normalized_2,,
PG2020_Intensity 6h_D,0.5357141871522172,
CK2022_16 16-1,0.567665351604948,
FS2019_db/db3,,
CK2022_15 40-1,0.5735087150157901,
NJH2024_Sub9_MICT_Pre,,
BS2014_Log2(Ratio H/L unmodified peptide),,
WZ2023_Su_005_10min,0.5625596773857077,0.4393423158552877
RM2009_Ratio M/L (M:15 min timepoint;L:0 min. timepoint),,
KBE2022_Log2_Ex_41_T,0.5786362596427492,
AMK2021_Ctrl_p1,,
AH2018_LFQ_IT_3_X,,
HS2024_5_PD_T3,0.5729256768370866,
AH2018_TMTMS3_3_X,0.5675033224110029,0.4024906337345534
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2,,
KBE2022_Log2_Ex_40_U,0.5713111828539679,
AH2018_LFQ_M_1_N,0.5714204399684046,
KBE2022_Log2_Ex_27_U,0.5724053383912159,
HW2015_Ratio M/L normalized Exp3,,
RKK2015_TNF-α/IKKb(K44M),0.5469394782724112,0.4140722024739212
AH2018_SILAC_M_1_N,0.5704922893201582,
HW2015_Ratio M/L normalized Exp1,,
RB2022_5_RecoveryStrength,,
YP2020_Intensity P10_R1_mult_log2,,
RB2022_7_PreStrength,,
YA2020_Reporter_intensity_Normal_No.4,0.5801851701771825,
NJH2025_Sub13_HIIT_Pre,,
PG2020_Intensity CT_D,0.5562052089284955,
NJH2025_Sub9_MICT_Post,,
VOI2024_Veh1 mono,,
CK2022_12 16-1,0.5588671781952004,
RN2012_L13,0.5422148169016802,
LG2023_Control-1_intensity,0.5612488556865307,
RM2024_Intensity D6-3___2,,
